date,h,ret,ex_ew,ex_idx
20240201,3,0.029379488326536127,0.03548913739590064,0.032223920585345
20240201,5,0.13619394633351886,0.11815394163812802,0.11098737274316724
20240201,10,0.2280504393027054,0.18581994275427238,0.1883863871967938
20240201,15,0.1843316706793016,0.17022100369500653,0.15854869762890758
20240201,20,0.26267389661498086,0.24660026238194427,0.22336459436515835
20240201,30,0.2926785320234053,0.2678570339848872,0.23131616412744924
20240201,40,0.3194711508521823,0.30073712299020183,0.2619422607872363
20240201,60,0.24617595842677453,0.22611785561007763,0.20326596752280635
20240201,90,0.44476471066653,0.4087845720203259,0.38149148333808125
20240201,120,0.300866763204952,0.32803725079620527,0.27829176245662246
20240208,3,0.04013628654567185,0.028411895884756497,0.03293679043055052
20240208,5,0.04644632815681681,0.025955114270792033,0.03247272107094711
20240208,10,0.011952271770762643,0.018790399715214512,0.011504670559206294
20240208,15,0.05908328704412084,0.06339500308112725,0.045523320208201525
20240208,20,0.08529915456154191,0.08019360122302413,0.050517010515903286
20240208,30,0.10336009181535727,0.08835065192980612,0.04435190381825909
20240208,40,0.11761207975100177,0.1383445913191419,0.09913415410297446
20240208,60,0.1255264663833188,0.11785358337857794,0.10539847911271528
20240208,90,0.24117929759198029,0.237833254955095,0.2160984167353614
20240208,120,0.061501428968624074,0.1745895714401058,0.13398546094538158
20240219,3,0.0076112488166906675,0.01512229166537413,0.004361508594503842
20240219,5,-0.03274407604420729,-0.003200753914698781,-0.019415330145537455
20240219,10,0.031884159067977744,0.058403841549828014,0.032352974043159885
20240219,15,0.04604014935182145,0.06401117959842084,0.02559344064092052
20240219,20,0.028540821927324503,0.04732418672802833,0.007861960259300263
20240219,30,0.07889875700415262,0.1048754874228844,0.06168637813736157
20240219,40,0.10890344549647951,0.15369329367750267,0.1193199909354099
20240219,60,0.1865217512542678,0.19574028286875755,0.18538086259934095
20240219,90,0.23524334494884164,0.27875186841977606,0.2269748149622005
20240219,120,0.11145609353235231,0.21271984757131213,0.16552815340138155
20240226,3,0.03087495831436131,0.026793862241092876,0.010243676244101427
20240226,5,0.03580580639014942,0.036045669018537375,0.022765213452130353
20240226,10,0.046245277781854506,0.037524639347806615,0.01200522518353964
20240226,15,0.030888203710281677,0.022627403084574952,-0.003588718335656875
20240226,20,0.03918184021129476,0.01969655069592345,-0.01926598465478948
20240226,30,0.038916112808364774,0.0564567880431945,0.02076692103252937
20240226,40,0.015702737467231546,0.033479253964056065,0.015309719672660198
20240226,60,0.19620387303791786,0.1754443685900197,0.1791803416448186
20240226,90,0.2753652628487887,0.27337063360380837,0.22628073115347125
20240226,120,0.0653899829511911,0.14028768668131247,0.09666924526071753
20240305,3,-0.0014859392248716772,0.001316509655582273,-0.007980019885063092
20240305,5,-0.01267632347084762,-0.018751910139509713,-0.03359484369929115
20240305,10,-0.007799506713498646,-0.013465070602367343,-0.028941663157276795
20240305,15,-0.025940528927079265,-0.043007340936519804,-0.07075122241753001
20240305,20,-0.024783767661507007,-0.022070357441594798,-0.042513259339366095
20240305,30,-0.05992048713537235,-0.035673976729865824,-0.05000968642969289
20240305,40,-0.06309783190043428,-0.06193845714105878,-0.06683208725832168
20240305,60,0.1748854558372084,0.17281501359062124,0.18524338233458512
20240305,90,0.23691788233188832,0.250227405350702,0.22241414042941132
20240305,120,-0.09661990730013706,0.001361452268879874,-0.034726571507580045
20240312,3,0.003871352870403813,0.003359951078471566,0.0027498706975439685
20240312,5,0.008658370430137244,0.011540882414732785,0.008441072155311938
20240312,10,-0.015447542737084919,-0.022977979891908574,-0.038849514106588864
20240312,15,0.006140495318248327,0.016940125184288758,0.009254654295336104
20240312,20,-0.002991301552746164,0.025103483304787896,0.01240657856264806
20240312,30,-0.02473280151756624,0.005939630044495435,0.007926432604130007
20240312,40,0.023703790877650194,0.023242918639340276,0.03740467904819868
20240312,60,0.18317221043626764,0.1756071537600844,0.18757058329566223
20240312,90,0.2020736607813421,0.24774264198250345,0.23250209973545133
20240312,120,-0.07241453635951003,0.06411865934874345,0.042009749261353056
20240319,3,-0.0032873005119005098,-0.012581928266393906,-0.024576885958554
20240319,5,-0.020708598786426113,-0.028351597229351773,-0.043889680767612405
20240319,10,-0.03802970747897817,-0.02669692671396992,-0.03471324084562473
20240319,15,-0.08943627433274007,-0.061376229390486044,-0.07385702584507256
20240319,20,-0.08086656512872648,-0.049555476452372536,-0.05048262317671575
20240319,30,-0.07201753577845602,-0.06386543726901536,-0.055002055019817774
20240319,40,0.020267241603253147,0.016389464841012044,0.03914655818581968
20240319,60,0.1673476184080936,0.1659058445452139,0.164408429558711
20240319,90,0.17843243992942148,0.23505234009725062,0.21298715320747075
20240319,120,0.05660940566378064,0.18569252803233105,0.1685276466807305
20240326,3,0.007776633870221048,0.006909122093466564,0.008433934595952217
20240326,5,0.0008530301440378991,0.023342748986781917,0.02675824770363347
20240326,10,-0.040441190108271005,-0.000716640590447383,-0.002539644707553395
20240326,15,-0.047877269951078195,-0.004679377746461079,0.004482396687373123
20240326,20,-0.05666104366240464,-0.014281532046619447,-0.0018865873446245358
20240326,30,-0.008983858806440719,0.0021997991612861707,0.027256414632037804
20240326,40,0.06053403739377718,0.06878655469911905,0.09944211101553804
20240326,60,0.07231435277088447,0.09428915902724125,0.1035418591061755
20240326,90,0.07392964361360797,0.20705026708880037,0.19709060197227213
20240326,120,0.045038790575806,0.15487659429715087,0.14639646111790522
20240402,3,-0.04130072426109584,-0.02435134220840594,-0.03225586333613047
20240402,5,-0.049513058388572895,-0.027821671068126337,-0.037090192167699765
20240402,10,-0.05057968497278931,-0.025878836447896715,-0.02341768363965246
20240402,15,-0.03982939959979823,-0.017011453431119573,-0.010186355140292515
20240402,20,-0.007625869745331783,-0.008159114492753281,0.006143325887516003
20240402,30,0.022225766121381996,0.008466338685264072,0.038053480929638894
20240402,40,0.04568109054960161,0.04337483450102741,0.07335619971543947
20240402,60,0.12288666528024081,0.1464032191436987,0.13173123662568156
20240402,90,0.09847846879336036,0.1786080395358328,0.16861645480176868
20240402,120,0.030281804239367216,0.12686380375949835,0.12406814226093638
20240409,3,-0.04614857788361257,-0.014904241433359096,-0.013434801656206615
20240409,5,-0.01414338403907504,-0.007911433448001489,0.0006312641912963497
20240409,10,-0.02295733345361193,-0.019734796285455734,-0.005667042637942689
20240409,15,0.012702397407439038,-0.008210432488865538,0.013940329576108947
20240409,20,0.023465384669740002,-0.006603636861209943,0.02186347188459113
20240409,30,0.05698351870510655,0.022526091670390287,0.05817971209674978
20240409,40,0.11536436459253421,0.0799429562943085,0.10412236454560556
20240409,60,0.21649710587542503,0.19924893442623626,0.18649120094612737
20240409,90,0.04798797126286732,0.1058846672029849,0.09716926228818659
20240409,120,0.09133285365512317,0.15970453558782888,0.16242339850059917
20240417,3,-0.0049922440877610465,0.0030767775102351026,0.003190551566543196
20240417,5,0.0032501364364496384,0.0035611220429966383,0.005800567068949794
20240417,10,0.03255641458287734,0.007542942285870515,0.018790702179833647
20240417,15,0.0462461733020552,0.012500414142882766,0.02940300312646126
20240417,20,0.025408842428349728,-0.011871214653501754,0.0137687508201455
20240417,30,0.05398999513550303,0.028578071983956777,0.05452264621387173
20240417,40,0.10524451248916594,0.07343332355612374,0.07115579817019296
20240417,60,0.16305809318023673,0.15375190041716136,0.13880631346059213
20240417,90,0.00713024707555553,0.08192949958216633,0.06010346548294669
20240417,120,0.051071510995352946,0.12226299583403305,0.11868459094114758
20240424,3,0.03038668130407926,0.007401345591832597,0.009137083239959846
20240424,5,0.03403999588348348,0.01107860838383118,0.017682597380319832
20240424,10,0.05539943039327065,0.022716309246257456,0.03596063851659158
20240424,15,0.043871225550463855,0.007385988203476501,0.02964980555751351
20240424,20,0.04249600821299497,0.0038592770346152494,0.0258906273132745
20240424,30,0.04308301287436199,0.005275103305724033,0.013945172856954829
20240424,40,0.002843500525920594,-0.016618850974317763,-0.02171524856583622
20240424,60,0.07766197853136647,0.09812751154649696,0.07577644169324455
20240424,90,-0.07291177011903481,0.04123122430323882,0.012187117109002128
