rule,mode,date,net,ex_univmix,ex_pickmix
R1,원본,20240801,0.19105754815752193,0.24192358825196614,0.2420350133423415
R1,인과,20240801,0.19105754815752193,0.24192358825196614,0.2420350133423415
R1,원본,20240902,0.14727124496122032,0.18877612041760475,0.1866668138890838
R1,인과,20240902,0.14727124496122032,0.18877612041760475,0.1866668138890838
R1,원본,20241002,-0.14108122812582868,-0.06071352123852654,-0.06934297888258839
R1,인과,20241002,-0.14108122812582868,-0.06075317837621455,-0.06934297888258839
R1,원본,20241101,-0.07904337931105992,-0.04886684422401945,-0.05204415252344907
R1,인과,20241101,-0.07904337931105992,-0.048882678096359655,-0.05204415252344907
R1,원본,20241202,0.10254702616025002,-0.00430123752938627,-0.005695676934174054
R1,인과,20241202,0.10254702616025002,-0.004305983436520194,-0.005695676934174054
R1,원본,20250102,0.027590405358480414,-0.13349146383241867,-0.12468540250543879
R1,인과,20250102,0.027590405358480414,-0.1335627579634206,-0.12468540250543879
R1,원본,20250203,0.24056080115274064,0.04971635716560516,0.02669829617450331
R1,인과,20250203,0.24056080115274064,0.04961866819015459,0.02669829617450331
R1,원본,20250304,0.29694792838808687,0.15962118221935678,0.12872244285922924
R1,인과,20250304,0.29694792838808687,0.15962118221935678,0.12872244285922924
R1,원본,20250401,0.21714384845327023,-0.08332750915995707,-0.07677493872407098
R1,인과,20250401,0.21714384845327023,-0.08332750915995707,-0.07677493872407098
R1,원본,20250502,0.6344624725644719,0.22357253358801077,0.18166454592179493
R1,인과,20250502,0.6344624725644719,0.2239005058274588,0.18166454592179493
R1,원본,20250602,0.7546498355613518,0.4590178802080752,0.45787350506364244
R1,인과,20250602,0.7546498355613518,0.45907568668232634,0.45787350506364244
R1,원본,20250701,0.2805650359616168,0.03812409742154246,0.004472344426354691
R1,인과,20250701,0.5620170988571581,0.31959754171401056,0.285924407321896
R1,원본,20250801,0.38347264551692933,-0.16116921066238316,-0.19875895204033428
R1,인과,20250801,0.6959665885817384,0.15146529319916802,0.11373499102447482
R1,원본,20250901,0.6911549574091956,0.1444419416276278,0.10803709706291564
R1,인과,20250901,0.6911549574091956,0.14466068981001157,0.10803709706291564
R1,원본,20251001,0.3738769470815111,0.029197437341019206,0.1013708490038519
R1,인과,20251001,0.3738769470815111,0.02928510168543841,0.1013708490038519
R1,원본,20251103,0.46518709462107877,0.053689384284239194,0.036977416959933784
R1,인과,20251103,0.7129265226421971,0.301832597851897,0.28471684498105215
R1,원본,20251201,0.4680978592146687,-0.07692887802539555,0.14335637150044456
R1,인과,20251201,0.4680978592146687,-0.0772654194963312,0.14335637150044456
R1,원본,20260102,0.17174817412199733,-0.062252001755180864,0.18549938890606607
R1,인과,20260102,0.17174817412199733,-0.06272252434065886,0.18549938890606607
R1,원본,20260202,-0.20619245148359322,-0.05175556408918597,-0.03917979722954118
R1,인과,20260202,-0.20619245148359322,-0.05205612560022588,-0.03917979722954118
R1,원본,20260303,0.16336685090437802,0.11619634655504651,0.03172129118021344
R1,인과,20260303,0.16336685090437802,0.11560988250184694,0.03172129118021344
R1_amt,원본,20240801,0.18401051777630462,0.2348765578707488,0.2348855776268434
R1_amt,인과,20240801,0.18401051777630462,0.2348765578707488,0.2348855776268434
R1_amt,원본,20240902,0.09063718925581937,0.1321420647122038,0.13204703687007693
R1_amt,인과,20240902,0.09063718925581937,0.1321420647122038,0.13204703687007693
R1_amt,원본,20241002,-0.15182814396407127,-0.07146043707676912,-0.08008989472083097
R1_amt,인과,20241002,-0.15182814396407127,-0.07150009421445713,-0.08008989472083097
R1_amt,원본,20241101,-0.028878097679137908,0.0012984374079025654,-0.0050245379464810246
R1_amt,인과,20241101,-0.028878097679137908,0.001282603535562362,-0.0050245379464810246
R1_amt,원본,20241202,0.2429218097525479,0.1360735460629116,0.13317616975764962
R1_amt,인과,20241202,0.2429218097525479,0.13606880015577769,0.13317616975764962
R1_amt,원본,20250102,0.06641149620630912,-0.09467037298458997,-0.10101724675413806
R1_amt,인과,20250102,0.06641149620630912,-0.0947416671155919,-0.10101724675413806
R1_amt,원본,20250203,0.14750725388022054,-0.04333719010691495,-0.0663552510980168
R1_amt,인과,20250203,0.14750725388022054,-0.04343487908236551,-0.0663552510980168
R1_amt,원본,20250304,0.265440542323,0.12811379615426993,0.07915956411402378
R1_amt,인과,20250304,0.265440542323,0.12811379615426993,0.07915956411402378
R1_amt,원본,20250401,0.1853385157000527,-0.1151328419131746,-0.12262308852727946
R1_amt,인과,20250401,0.1853385157000527,-0.1151328419131746,-0.12262308852727946
R1_amt,원본,20250502,0.8416728156166239,0.4307828766401628,0.3326165903796027
R1_amt,인과,20250502,0.8416728156166239,0.4311108488796108,0.3326165903796027
R1_amt,원본,20250602,0.726433452928953,0.43080149757567643,0.4096012144512492
R1_amt,인과,20250602,0.726433452928953,0.43085930404992756,0.4096012144512492
R1_amt,원본,20250701,0.3036827066666158,0.061241768126541446,0.010873397572055854
R1_amt,인과,20250701,0.5991252867741835,0.356705729631036,0.3146742864592725
R1_amt,원본,20250801,0.6441093388850399,0.09946748270572736,0.07156285326444212
R1_amt,인과,20250801,0.6441093388850399,0.09960804350246943,0.07156285326444212
R1_amt,원본,20250901,0.7247660150256979,0.1780529992441301,0.10623616951192527
R1_amt,인과,20250901,0.7247660150256979,0.17827174742651386,0.10623616951192527
R1_amt,원본,20251001,0.5687471436277379,0.22406763388724604,0.26528341465916827
R1_amt,인과,20251001,0.5687471436277379,0.22415529823166525,0.26528341465916827
R1_amt,원본,20251103,0.508951246232405,0.09745353589556538,0.06503414573092925
R1_amt,인과,20251103,0.7614684919025169,0.3503745671122167,0.31755139140104116
R1_amt,원본,20251201,0.7572068181617208,0.21218008092165652,0.2128594494629853
R1_amt,인과,20251201,0.7572068181617208,0.21184353945072087,0.2128594494629853
R1_amt,원본,20260102,0.2652102439993889,0.03121006812221072,0.19790327408971964
R1_amt,인과,20260102,0.2652102439993889,0.03073954553673272,0.19790327408971964
R1_amt,원본,20260202,-0.028105925323149126,0.12633096207125813,0.13890672893090292
R1_amt,인과,20260202,-0.028105925323149126,0.12603040056021822,0.13890672893090292
R1_amt,원본,20260303,0.17978210563990876,0.13261160129057725,-0.05205904612372181
R1_amt,인과,20260303,0.17978210563990876,0.1320251372373777,-0.05205904612372181
R1_small_tilt,원본,20240801,-0.04015188053521588,0.01071415955922831,0.010620773981042102
R1_small_tilt,인과,20240801,-0.04015188053521588,0.01071415955922831,0.010620773981042102
R1_small_tilt,원본,20240902,-0.0601998156176265,-0.01869494016124207,-0.019797107346565986
R1_small_tilt,인과,20240902,-0.0601998156176265,-0.01869494016124207,-0.019797107346565986
R1_small_tilt,원본,20241002,-0.24002178437336766,-0.15965407748606553,-0.16434003580674664
R1_small_tilt,인과,20241002,-0.24002178437336766,-0.15969373462375352,-0.16434003580674664
R1_small_tilt,원본,20241101,-0.10410253233031216,-0.07392599724327169,-0.07710330554270131
R1_small_tilt,인과,20241101,-0.10410253233031216,-0.0739418311156119,-0.07710330554270131
R1_small_tilt,원본,20241202,0.07115526409623851,-0.03569299959339778,-0.032578628296763
R1_small_tilt,인과,20241202,0.07115526409623851,-0.0356977455005317,-0.032578628296763
R1_small_tilt,원본,20250102,0.12253242038742412,-0.03854944880347497,-0.05247279012128708
R1_small_tilt,인과,20250102,0.12253242038742412,-0.0386207429344769,-0.05247279012128708
R1_small_tilt,원본,20250203,0.0015972590961778766,-0.1892471848909576,-0.20251223241057195
R1_small_tilt,인과,20250203,0.0015972590961778766,-0.18934487386640816,-0.20251223241057195
R1_small_tilt,원본,20250304,-0.018503800899669284,-0.15583054706839938,-0.15964604740834898
R1_small_tilt,인과,20250304,-0.018503800899669284,-0.15583054706839938,-0.15964604740834898
R1_small_tilt,원본,20250401,-0.3146641384212355,-0.6151354960344628,-0.5804972914985946
R1_small_tilt,인과,20250401,-0.3146641384212355,-0.6151354960344628,-0.5804972914985946
R1_small_tilt,원본,20250502,0.442815625612634,0.0319256866361729,0.0837815299605309
R1_small_tilt,인과,20250502,0.442815625612634,0.03225365887562093,0.0837815299605309
R1_small_tilt,원본,20250602,0.09921497642912691,-0.19641697892414967,-0.16747749209859075
R1_small_tilt,인과,20250602,0.09921497642912691,-0.19635917244989853,-0.16747749209859075
R1_small_tilt,원본,20250701,0.017739042184461488,-0.22470189635561286,-0.19148717911360932
R1_small_tilt,인과,20250701,0.27285770202624837,0.030438144883100843,0.06363148072817756
R1_small_tilt,원본,20250801,0.1127976350339575,-0.431844221145355,-0.41132329090331016
R1_small_tilt,인과,20250801,0.1127976350339575,-0.4317036603486129,-0.41132329090331016
R1_small_tilt,원본,20250901,0.3944468201785378,-0.15226619560303,-0.10014107724901028
R1_small_tilt,인과,20250901,0.3944468201785378,-0.15204744742064624,-0.10014107724901028
R1_small_tilt,원본,20251001,0.015136326011684614,-0.32954318372880725,-0.24189095662051932
R1_small_tilt,인과,20251001,0.015136326011684614,-0.32945551938438805,-0.24189095662051932
R1_small_tilt,원본,20251103,0.5070986328894345,0.09560092255259489,0.18884091511060458
R1_small_tilt,인과,20251103,0.7743550928776362,0.363261168087336,0.471804797939137
R1_small_tilt,원본,20251201,0.16126216807882512,-0.38376456916123913,-0.05367637914314338
R1_small_tilt,인과,20251201,0.16126216807882512,-0.3841011106321748,-0.05367637914314338
R1_small_tilt,원본,20260102,-0.16872642009650762,-0.4027265959736858,-0.07391702061870087
R1_small_tilt,인과,20260102,-0.16872642009650762,-0.40319711855916385,-0.07391702061870087
R1_small_tilt,원본,20260202,-0.24907503134925263,-0.09463814395484538,0.025729910273183665
R1_small_tilt,인과,20260202,-0.24907503134925263,-0.09493870546588529,0.025729910273183665
R1_small_tilt,원본,20260303,-0.008144426357063857,-0.05531493070639537,0.08565009600757015
R1_small_tilt,인과,20260303,-0.008144426357063857,-0.05590139475959495,0.08565009600757015
R1_minus_mom,원본,20240102,0.0586698876899493,0.04747819334890225,0.05561573021327974
R1_minus_mom,인과,20240102,0.08952103316751943,0.07832933882647238,0.08646687569084988
R1_minus_mom,원본,20240201,-0.03700982781828272,-0.0505791726562099,-0.06695216741308829
R1_minus_mom,인과,20240201,-0.03700982781828272,-0.0505791726562099,-0.06695216741308829
R1_minus_mom,원본,20240304,-0.1139285580678907,-0.04662288561500011,-0.06161306769596758
R1_minus_mom,인과,20240304,-0.1139285580678907,-0.04662288561500011,-0.06161306769596758
R1_minus_mom,원본,20240401,-0.07612042946451826,0.03569156071915967,0.050085374706745275
R1_minus_mom,인과,20240401,-0.07612042946451826,0.03571367647839464,0.050085374706745275
R1_minus_mom,원본,20240502,-0.1470427977640632,-0.03104006343833937,-0.026953082111140475
R1_minus_mom,인과,20240502,-0.1470427977640632,-0.031007956220056962,-0.026953082111140475
R1_minus_mom,원본,20240603,-0.032527506524027576,0.11859784221512937,0.1234148222235881
R1_minus_mom,인과,20240603,-0.032527506524027576,0.11859784221512937,0.1234148222235881
R1_minus_mom,원본,20240701,-0.16782246530235193,0.004321423510452033,0.01102787979300665
R1_minus_mom,인과,20240701,-0.16782246530235193,0.004321423510452033,0.01102787979300665
R1_minus_mom,원본,20240801,0.08592803079683835,0.13679407089128254,0.1370079013159387
R1_minus_mom,인과,20240801,0.08592803079683835,0.13679407089128254,0.1370079013159387
R1_minus_mom,원본,20240902,0.15526602832169234,0.19677090377807677,0.19415802757795728
R1_minus_mom,인과,20240902,0.15526602832169234,0.19677090377807677,0.19415802757795728
R1_minus_mom,원본,20241002,-0.03504588273683387,0.04532182415046827,0.03274886718302571
R1_minus_mom,인과,20241002,-0.03504588273683387,0.04528216701278026,0.03274886718302571
R1_minus_mom,원본,20241101,-0.06049919428243717,-0.030322659195396697,-0.03349996749482632
R1_minus_mom,인과,20241101,-0.06049919428243717,-0.0303384930677369,-0.03349996749482632
R1_minus_mom,원본,20241202,0.19229757147409743,0.08544930778446114,0.08555780528014753
R1_minus_mom,인과,20241202,0.19229757147409743,0.08544456187732721,0.08555780528014753
R1_minus_mom,원본,20250102,0.11218794785004402,-0.04889392134085507,-0.06281726265866719
R1_minus_mom,인과,20250102,0.11218794785004402,-0.048965215471857004,-0.06281726265866719
R1_minus_mom,원본,20250203,0.09848318288277465,-0.09236126110436084,-0.11537932209546269
R1_minus_mom,인과,20250203,0.09848318288277465,-0.0924589500798114,-0.11537932209546269
R1_minus_mom,원본,20250304,0.21693775943712026,0.07961101326839018,0.06676776658838127
R1_minus_mom,인과,20250304,0.21693775943712026,0.07961101326839018,0.06676776658838127
R1_minus_mom,원본,20250401,0.3213589186790242,0.020887561065796922,0.034461540026678505
R1_minus_mom,인과,20250401,0.3213589186790242,0.020887561065796922,0.034461540026678505
R1_minus_mom,원본,20250502,0.6539024401720991,0.243012501195638,0.219857279727537
R1_minus_mom,인과,20250502,0.8931648275594865,0.4826028608224734,0.4778724333130391
R1_minus_mom,원본,20250602,0.5324423535699603,0.2368103982166837,0.23566602307225093
R1_minus_mom,인과,20250602,0.8288137069893768,0.5332395581103514,0.5420653304816647
R1_minus_mom,원본,20250701,0.25763355300628216,0.015192614466207816,-0.026817447308628894
R1_minus_mom,인과,20250701,0.5485397586356149,0.3061202014924673,0.27244706710035277
R1_minus_mom,원본,20250801,0.544969298347113,0.00032744216780056234,0.011163260473179393
R1_minus_mom,인과,20250801,0.544969298347113,0.00046800296454263535,0.011163260473179393
R1_minus_mom,원본,20250901,0.5665779847789323,0.01986496899736445,0.07199008735138418
R1_minus_mom,인과,20250901,0.5665779847789323,0.020083717179748217,0.07199008735138418
R1_minus_mom,원본,20251001,0.4687500177375312,0.12407050799703934,0.18076510421441683
R1_minus_mom,인과,20251001,0.4687500177375312,0.12415817234145854,0.18076510421441683
R1_minus_mom,원본,20251103,0.48052342208933074,0.06902571175249117,0.14655828147017014
R1_minus_mom,인과,20251103,0.8635199017031036,0.4524259769128034,0.5452621839242737
R1_minus_mom,원본,20251201,0.3756058941348123,-0.1694208431052519,0.21556881715897155
R1_minus_mom,인과,20251201,0.3756058941348123,-0.16975738457618755,0.21556881715897155
R1_minus_mom,원본,20260102,0.1336855108056797,-0.1003146650714985,0.14743672558974844
R1_minus_mom,인과,20260102,0.1336855108056797,-0.1007851876569765,0.14743672558974844
R1_minus_mom,원본,20260202,-0.21398586911047038,-0.059548981716063126,-0.07392128669851442
R1_minus_mom,인과,20260202,-0.19608893317732273,-0.04195260729395539,-0.05602435076536677
R1_minus_mom,원본,20260303,0.059325651232399045,0.012155146883067534,-0.047271010481899
R1_minus_mom,인과,20260303,0.059325651232399045,0.011568682829867956,-0.047271010481899
