anchor,ret,idx,ew,ex_idx,ex_ew,kospi_share,size_pct,amt_pct,n_win,worst_pick,best_pick
20240801,0.19105754815752193,-0.05086604009444419,-0.0543451074947402,0.24192358825196614,0.24540265565226213,0.45,0.7574031890660592,0.8990129081245255,1,-0.7016861219195849,2.142536475869809
20240902,0.14727124496122032,-0.041504875456384434,-0.03888926915318846,0.18877612041760475,0.1861605141144088,0.6,0.7733952049497292,0.871616395978345,1,-0.46853146853146854,1.0133333333333332
20241002,-0.14108122812582868,-0.08036770688730215,-0.09100146229897278,-0.06071352123852654,-0.0500797658268559,0.5,0.761963696369637,0.9067656765676568,1,-0.511164274322169,1.1897659429421363
20241101,-0.07904337931105992,-0.030176535087040473,-0.009153896110690698,-0.04886684422401945,-0.06988948320036922,0.5,0.6863484087102177,0.8651591289782244,0,-0.3871874808973653,0.957471264367816
20241202,0.10254702616025002,0.10684826368963629,0.12955921190892808,-0.00430123752938627,-0.027012185748678058,0.45,0.7465192465192465,0.85995085995086,1,-0.670859538784067,1.3120605732828556
20250102,0.027590405358480414,0.1610818691908991,0.13871249683281348,-0.13349146383241867,-0.11112209147433307,0.35,0.6931637519872814,0.8513513513513513,1,-0.7096018735362998,1.126637554585153
20250203,0.24056080115274064,0.1908444439871355,0.14042980306360245,0.04971635716560516,0.1001309980891382,0.5,0.7078606158833063,0.8435980551053485,1,-0.3397358943577431,1.8883861236802413
20250304,0.29694792838808687,0.13732674616873008,0.09197568684204789,0.15962118221935678,0.204972241546039,0.55,0.8260377358490566,0.9339622641509433,1,-0.32105263157894737,1.2628458498023716
20250401,0.21714384845327023,0.3004713576132273,0.2319800372104839,-0.08332750915995707,-0.01483618875721368,0.35,0.7110492845786963,0.9240858505564389,2,-0.8244178728760226,2.727027027027027
20250502,0.6344624725644719,0.4108899389764611,0.14448869527111344,0.22357253358801077,0.48997377729335845,0.5,0.8269519519519519,0.8506006006006006,3,-0.5485714285714286,2.13713405238829
20250602,0.7546498355613518,0.2956319553532766,0.08033783398281477,0.4590178802080752,0.674312001578537,0.4,0.8044590643274854,0.9364035087719298,4,-0.48913043478260865,3.6142613774641035
20250701,0.2805650359616168,0.24244093854007434,0.04701913657799798,0.03812409742154246,0.23354589938361883,0.6,0.8825831702544031,0.9331376386170906,1,-0.549597855227882,1.9978519080111194
20250801,0.38347264551692933,0.5446418561793125,0.22674962700050288,-0.16116921066238316,0.15672301851642645,0.6,0.7205778717406625,0.8840732910500353,2,-0.5884615384615385,1.9478740992606918
20250901,0.6911549574091956,0.5467130157815678,0.2139173468010706,0.1444419416276278,0.47723761060812503,0.5,0.8534214618973561,0.9568429237947123,2,-0.37655172413793103,2.425414364640884
20251001,0.3738769470815111,0.3446795097404919,0.14590468230382236,0.029197437341019206,0.22797226477768873,0.15,0.8067257945306725,0.9275683665927569,1,-0.469672131147541,1.9850746268656718
20251103,0.46518709462107877,0.4114977103368396,0.28791042416984386,0.053689384284239194,0.1772766704512349,0.45,0.8832248734634852,0.9620390455531453,1,-0.2382445141065831,2.142857142857143
20251201,0.4680978592146687,0.5450267372400642,0.13972894599567418,-0.07692887802539555,0.32836891321899453,0.2,0.7451811873554357,0.8770239013107171,2,-0.5518987341772152,3.363047001620745
20260102,0.17174817412199733,0.2340001758771782,-0.08341688345908818,-0.062252001755180864,0.25516505758108554,0.1,0.7779836916234248,0.9406968124536694,3,-0.7227600411946447,2.6658653846153846
20260202,-0.20619245148359322,-0.15443688739440725,-0.26027175941614394,-0.05175556408918597,0.054079307932550724,0.35,0.8986058301647655,0.9226869455006337,0,-0.863904761904762,0.8772893772893773
20260303,0.16336685090437802,0.04717050434933151,-0.07270762142384808,0.11619634655504651,0.2360744723282261,0.55,0.9580536912751678,0.9734340044742729,0,-0.7320930232558139,1.106508875739645
