f,date,tercile,ex120,ex60
vol_surge5,20240201,0,0.12412567055330363,0.10533687662187462
vol_surge5,20240201,1,0.01718742590269744,-0.02280972271368084
vol_surge5,20240201,2,-0.07391767111808045,-0.027829398312562464
vol_surge5,20240208,0,0.018674605270944965,0.048311212091255544
vol_surge5,20240208,1,-0.04365635636522323,-0.04770056058826176
vol_surge5,20240208,2,-0.024119270340338582,-0.03462479907574894
vol_surge5,20240219,0,0.0378434851436458,-0.03641079202343399
vol_surge5,20240219,1,-0.019565804888115535,0.011559677642211495
vol_surge5,20240219,2,-0.08358132694700952,-0.03181806963624226
vol_surge5,20240226,0,0.024618173436248423,0.05057839171831535
vol_surge5,20240226,1,0.039955262736733915,-0.004915739959372717
vol_surge5,20240226,2,-0.06028263130299166,0.010621842054013016
vol_surge5,20240305,0,-0.03175548301820024,-0.002895114575199373
vol_surge5,20240305,1,0.010871155184880282,0.042821306779359254
vol_surge5,20240305,2,-0.0459938954511839,-0.030881520339833875
vol_surge5,20240312,0,0.015249955533984068,0.00897138567914286
vol_surge5,20240312,1,0.040249043337413984,0.03959611324664568
vol_surge5,20240312,2,-0.021229616202236252,-0.028787189191450298
vol_surge5,20240319,0,-0.0011954584679624643,0.09283741634933036
vol_surge5,20240319,1,0.04529432755165444,-0.008736674312959897
vol_surge5,20240319,2,0.07710718820424615,0.05449390550632474
vol_surge5,20240326,0,0.05915382468455183,0.08533685773081591
vol_surge5,20240326,1,0.08059311102816008,0.09366278091971991
vol_surge5,20240326,2,0.030785773223859315,0.023340008469298464
vol_surge5,20240402,0,0.03654583643883541,0.014364199593770303
vol_surge5,20240402,1,0.1284483310533965,0.10974968386887964
vol_surge5,20240402,2,-0.02962045815174828,0.022276431674488183
vol_surge5,20240409,0,0.0348935459341137,0.08098524282291485
vol_surge5,20240409,1,0.025678853131941015,0.01875492073555538
vol_surge5,20240409,2,-0.0021498901434456414,0.07919761624224066
vol_surge5,20240417,0,0.016420794108565766,0.03583020485363226
vol_surge5,20240417,1,-0.03966092207552572,0.005499517106625931
vol_surge5,20240417,2,-0.07744072971348588,-0.028075867903429686
vol_surge5,20240424,0,-0.014890769774216535,0.01598730136406448
vol_surge5,20240424,1,-0.025098384093484125,0.06675187935416418
vol_surge5,20240424,2,0.009301834201727413,0.05313959437024358
vol_surge5,20240502,0,0.03885713766329534,0.05152478608761928
vol_surge5,20240502,1,0.013560426895108385,0.04338875069535998
vol_surge5,20240502,2,-0.06721110696764691,0.010464036197045312
vol_surge5,20240510,0,0.013005365005137508,0.003839807366992534
vol_surge5,20240510,1,-0.03584385464863241,-0.03050486318474967
vol_surge5,20240510,2,-0.12105222138003253,-0.04809225794133278
vol_surge5,20240520,0,-0.04001918915295658,-0.04806369689044588
vol_surge5,20240520,1,-0.09730140938418393,-0.0880529714066755
vol_surge5,20240520,2,-0.009389099568245483,-0.0018556446023393655
vol_surge5,20240527,0,-0.025133168202374587,-0.055103306867992086
vol_surge5,20240527,1,0.0054978308357053005,-0.013296404031260345
vol_surge5,20240527,2,-0.08834971286535367,-0.10567508283644354
vol_surge5,20240603,0,-0.010140301133524609,-0.05901266966143723
vol_surge5,20240603,1,-0.07289101107176293,-0.0680031928279967
vol_surge5,20240603,2,-0.03700480026005063,-0.04621764740048108
vol_surge5,20240611,0,-0.0416032221533503,-0.06255435675628279
vol_surge5,20240611,1,-0.08637368314832448,-0.06994872933095313
vol_surge5,20240611,2,-0.0940369862270003,-0.07359558869545547
vol_surge5,20240618,0,-0.028015134830013097,-0.01165694976197442
vol_surge5,20240618,1,-0.06469429631785541,-0.048955673385572246
vol_surge5,20240618,2,-0.1301121749166796,-0.1257272587133131
vol_surge5,20240625,0,-0.09908367252221333,-0.10744953890381125
vol_surge5,20240625,1,-0.0207068301376044,-0.03502148607608359
vol_surge5,20240625,2,-0.0715745286361215,-0.07636853449296942
vol_surge5,20240702,0,0.07979104168969024,0.017760099263004484
vol_surge5,20240702,1,0.02580931134482679,0.016876098811825037
vol_surge5,20240702,2,-0.04868882621383995,-0.02857915783404319
vol_surge5,20240709,0,0.05137126613876415,0.07022026600674439
vol_surge5,20240709,1,0.01112417415776304,-0.03797988825158244
vol_surge5,20240709,2,0.02509273191429582,0.0846782299775463
vol_surge5,20240716,0,0.04432228703413335,0.017955406685747192
vol_surge5,20240716,1,0.04098908736151603,0.01667960821669185
vol_surge5,20240716,2,0.033044323988902176,0.11267410064726367
vol_surge5,20240723,0,-0.0077509437179826566,0.010871902233866847
vol_surge5,20240723,1,0.11077851395838223,0.07936693641891827
vol_surge5,20240723,2,0.016122106040250078,-0.029696007501275115
