block,n,rank_corr,top5_repeat,top5_base,top5_next_mean_ex,top5_next_med_ex,bottom5_next_mean_ex
20230626-20231228,0,,,0.05,,,
20231228-20240705,1047,-0.02901720149682969,0.07547169811320754,0.05,0.019644109984569596,-0.07237085379087316,0.09145223737581788
20240705-20250113,923,0.05686882154312056,0.14893617021276595,0.05,-0.029014446966822538,-0.27126188490227654,0.013866173498956618
20250113-20250722,984,0.046407826491029855,0.1,0.05,-0.030185004996646198,-0.37459534036510456,-0.40273915330830234
20250722-20260127,1172,0.27171004717756686,0.1016949152542373,0.05,-0.031476882190296256,-0.2056882743393329,-0.3483495323009283
