h,flag,which,n,win_rate,mean_ex_idx,med_ex_idx,mean_ex_ew,med_ex_ew,p_lt_m30
60,buyback60,flag,64529,0.02777045979327124,-0.027137138231664852,-0.04067930339556647,0.07499926190609388,0.03975497030732966,0.09784747942785414
60,buyback60,noflag,924843,0.03898067023267733,-0.04470787082587178,-0.0790817788991186,0.04755686055889317,-0.0028497475539569495,0.13499264199437094
60,dilution120,flag,159566,0.053614178459070225,-0.0669734456316206,-0.11987255264829388,0.011994863840423673,-0.051782720337442245,0.21092839326673601
60,dilution120,noflag,829806,0.035294996661870366,-0.03905998383418252,-0.06964083583482583,0.0565292182966208,0.007579435472465812,0.1175021631562076
60,reduction120,flag,9584,0.02963272120200334,-0.10711762439949837,-0.12004207374176423,0.019864281513070174,-0.017826300716047516,0.2262103505843072
60,reduction120,noflag,979788,0.03833380282265143,-0.042940185488001534,-0.0761573754515143,0.04963510237662179,5.922241604311429e-05,0.13165399045507803
60,resumed60,flag,13890,0.04499640028797696,-0.10405413416978453,-0.13387575675493202,-0.0408704465537336,-0.08096309095441023,0.2755939524838013
60,resumed60,noflag,975482,0.03815344619377908,-0.042700513025913885,-0.07592192982554208,0.05063132632282106,0.0006623233153494335,0.13053341835113308
60,bonus120,flag,14141,0.04518775192702072,-0.044739211639765325,-0.08499977512022461,0.02300162089452714,-0.01903154007897845,0.14928222897956298
60,bonus120,noflag,975231,0.03814891036072479,-0.04354479767292561,-0.07640913006202554,0.049728721749346824,0.00010446461882840374,0.13232762289139702
120,buyback60,flag,58753,0.017616121729954214,-0.07562367483022168,-0.0872919942366902,0.11931647467119694,0.0570003268756083,0.23387741902541148
120,buyback60,noflag,837640,0.025237572226732247,-0.09493394787953008,-0.1358653476513706,0.08159723245730695,-0.004008233660152016,0.2840922114512201
120,dilution120,flag,143235,0.0366739972772018,-0.1257840614561266,-0.19748713406003837,0.020748165237737707,-0.08489757119791952,0.36972806925681573
120,dilution120,noflag,753158,0.022468061150515563,-0.08756052491833226,-0.12253934951880902,0.09611189575635931,0.012278851122502266,0.26388885200714857
120,reduction120,flag,7390,0.019350473612990526,-0.1579411810534269,-0.2148573481541058,0.05457200447850154,-0.023546623765153873,0.386468200270636
120,reduction120,noflag,889003,0.024782818505674334,-0.09313399903163967,-0.1320519937630833,0.08431469805928585,1.5464958032951337e-05,0.27992256494072576
120,resumed60,flag,10899,0.02917698871456097,-0.2462231021077347,-0.27809768234499,-0.08467460013406733,-0.16165209507830303,0.46784108633819615
120,resumed60,noflag,885494,0.02468339706423759,-0.09179057597142093,-0.13127909873382704,0.08614646186056214,0.0011379424672223193,0.2784987814711336
120,bonus120,flag,13232,0.030305320435308345,-0.0690785751081799,-0.12431914718980103,0.049220527946733386,-0.025278917874695023,0.28861850060459493
120,bonus120,noflag,883161,0.02465462129781546,-0.09403669564584279,-0.13279671963609174,0.08459162101372712,0.00016624924209907022,0.2806838164275823
