ticker,listed,k,date,ex60,ex120,mom_since
354320,20230630,1,20230731,-0.29930575129683934,-0.36886459285970297,-0.11055276381909551
354320,20230630,2,20230830,-0.23070758448737883,-0.3709245922856844,-0.22613065326633164
354320,20230630,3,20231004,-0.19467897769965936,-0.34288371948407304,-0.4482412060301507
354320,20230630,6,20240105,-0.2118916281685418,-0.2503006934345142,-0.5185929648241205
354320,20230630,9,20240408,-0.05769887625019954,0.04901958807986684,-0.6180904522613065
354320,20230630,12,20240711,0.06496176021429056,-0.11997500809331463,-0.6402010050251257
440320,20230630,1,20230731,-0.04793044056300577,0.36520646625497033,-0.46412698412698417
440320,20230630,2,20230830,0.601575066422519,0.1277785257791182,-0.4876190476190476
440320,20230630,3,20231004,0.7339356654504636,-0.21247969979580406,-0.5333333333333333
440320,20230630,6,20240105,-0.5142047409136398,-0.4725892963756907,-0.23555555555555552
440320,20230630,12,20240711,-0.1790199238311615,0.17911915791993294,-0.587936507936508
274400,20230706,1,20230804,-0.11357588884721781,-0.019494320480975658,-0.5662857142857143
274400,20230706,2,20230905,-0.09818093053563381,-0.2974437807271839,-0.4774285714285714
274400,20230706,3,20231011,0.1645399438212669,-0.32995666184985406,-0.6
274400,20230706,6,20240111,-0.3662382414801546,-0.4941697542955491,-0.5371428571428571
274400,20230706,9,20240415,-0.1754803497259263,-0.31068568298460497,-0.7262857142857143
378340,20230714,1,20230814,-0.2788764402182028,-0.2621130210784808,-0.5514834205933683
378340,20230714,2,20230913,-0.4728342218909759,-0.21025910717863272,-0.45462478184991273
378340,20230714,3,20231019,-0.13199260207559704,0.20505929814708135,-0.6457242582897034
378340,20230714,6,20240119,0.4650888913145512,0.05647509943210871,-0.6818499127399651
378340,20230714,9,20240423,-0.2673953604907944,-0.2869745638777246,-0.5410122164048865
378340,20230714,12,20240725,0.02683338281099068,-0.09504036683518491,-0.7019197207678883
321370,20230719,1,20230818,0.14756404685193625,0.3454587866185206,-0.4262428687856561
321370,20230719,2,20230918,-0.3309243384890119,-0.3041408288684587,-0.15533822330888347
321370,20230719,3,20231024,0.4113983912522301,-0.06898230037756692,-0.4247758761206194
321370,20230719,6,20240124,-0.3959807120363301,-0.44827464509446757,-0.1171964140179299
321370,20230719,9,20240426,-0.1546517920363425,-0.31927848322943186,-0.417277913610432
432430,20230720,1,20230821,-0.18801817283230515,0.17199601887300675,0.07149758454106281
432430,20230720,2,20230919,-0.19318848398436328,0.16454054325998824,-0.05797101449275366
432430,20230720,3,20231025,0.4271671128328749,1.0005305893649021,-0.3468599033816425
432430,20230720,6,20240125,0.2866508255578839,-0.308628883332129,-0.01352657004830915
432430,20230720,9,20240429,-0.36478123717833366,-0.45525767370656445,0.29758454106280197
432430,20230720,12,20240731,-0.2255720565131405,-0.3086637696046691,-0.30628019323671496
406820,20230724,1,20230823,-0.19377339740299349,-0.32841692990786453,-0.2163090128755365
406820,20230724,2,20230921,-0.27701566612756956,-0.46223316096277944,-0.2976088289393011
406820,20230724,3,20231027,-0.16578163998433282,-0.32778024134178196,-0.46817903126916005
406820,20230724,9,20240502,-0.02192988789919781,-0.11435384150309791,-0.3868792152053955
