h,rule,anchor,ret,idx,ew,ex_idx,ex_ew
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20240801,0.16670564279640404,-0.03602300941788685,-0.047959294858964795,0.2027286522142909,0.21466493765536884
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20240902,-0.05301821794977336,-0.09610777986403826,-0.10328431280998818,0.043089561914264905,0.05026609486021482
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20241002,-0.11089604065849216,-0.09119802817718152,-0.07850848648975707,-0.019698012481310645,-0.032387554168735094
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20241101,-0.12013645465933549,-0.030693714100456224,-0.022198570656492087,-0.08944274055887927,-0.09793788400284341
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20241202,0.010269169636835006,0.04208445824194528,0.05622187063803199,-0.03181528860511028,-0.045952701001196986
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250102,-0.026592039541720815,-0.01147847473255006,-0.020045606055172586,-0.015113564809170756,-0.00654643348654823
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250203,-0.004332859432108406,0.009231484136966816,0.019812476834558182,-0.013564343569075222,-0.024145336266666588
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250304,0.11858265201263796,0.015320717688655332,0.026106850703740234,0.10326193432398262,0.09247580130889772
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250401,0.07091354691133873,0.17583756380904153,0.18085752107446956,-0.1049240168977028,-0.10994397416313083
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250502,0.30829887112080895,0.12448097097077016,0.05246197844769393,0.1838179001500388,0.25583689267311505
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250602,0.21585450948821283,0.09675870876259099,0.023854003667089525,0.11909580072562184,0.1920005058211233
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250701,0.08400781776323417,0.1054065517910619,0.024280735632637232,-0.02139873402782773,0.05972708213059694
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250801,0.36872159470845967,0.23349087225720683,0.08158004324210236,0.13523072245125284,0.28714155146635734
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20250901,0.5249160944478192,0.20498758203874506,0.08832647245658827,0.3199285124090741,0.4365896219912309
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20251001,0.5033309790232456,0.1787970645394572,0.05060408731539212,0.32453391448378843,0.4527268917078535
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20251103,0.23731123558069644,0.2512114312420499,0.1392958677832175,-0.013900195661353476,0.09801536779747894
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20251201,0.27178339051115197,0.2808299965990464,0.12776500931062784,-0.009046606087894427,0.14401838120052413
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260102,0.3043780878417992,0.14971090868705667,0.08355153667558401,0.15466717915474254,0.2208265511662152
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260202,0.38451610442585027,0.1841197046935233,0.1410621559148764,0.20039639973232698,0.24345394851097388
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260303,0.5761219913314339,0.3220013723426128,0.08364172136626362,0.25412061898882116,0.4924802699651703
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260401,-0.08616946368057965,0.1623431579895489,-0.1184853330454568,-0.24851262167012855,0.03231586936487715
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260504,-0.3701567753350028,-0.30231206937231436,-0.34634110304788407,-0.06784470596268843,-0.023815672287118728
60,R1_달리는말(mom12_1↑+beta60↑+근고점),20260601,-0.33590281167866765,-0.2004931315334244,-0.11470284434372435,-0.13540968014524324,-0.2211999673349433
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20240801,-0.08344776141274754,-0.03602300941788685,-0.047959294858964795,-0.04742475199486069,-0.035488466553782745
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20240902,-0.17464802216955352,-0.09610777986403826,-0.10328431280998818,-0.07854024230551526,-0.07136370935956535
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20241002,-0.1874234661533199,-0.09119802817718152,-0.07850848648975707,-0.09622543797613838,-0.10891497966356282
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20241101,-0.06353932827070874,-0.030693714100456224,-0.022198570656492087,-0.032845614170252516,-0.041340757614216656
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20241202,-0.03293987312775851,0.04208445824194528,0.05622187063803199,-0.0750243313697038,-0.0891617437657905
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250102,-0.030857959439256462,-0.01147847473255006,-0.020045606055172586,-0.019379484706706404,-0.010812353384083876
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250203,0.08955303707603038,0.009231484136966816,0.019812476834558182,0.08032155293906357,0.0697405602414722
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250304,0.1324786608312573,0.015320717688655332,0.026106850703740234,0.11715794314260197,0.10637181012751708
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250401,0.04161725433391405,0.17583756380904153,0.18085752107446956,-0.13422030947512748,-0.1392402667405555
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250502,0.015800471933729725,0.12448097097077016,0.05246197844769393,-0.10868049903704043,-0.0366615065139642
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250602,0.06866416239259066,0.09675870876259099,0.023854003667089525,-0.028094546370000334,0.044810158725501134
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250701,0.03475663738217876,0.1054065517910619,0.024280735632637232,-0.07064991440888313,0.010475901749541529
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250801,0.31522137806581535,0.23349087225720683,0.08158004324210236,0.08173050580860852,0.233641334823713
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20250901,0.15554637958442086,0.20498758203874506,0.08832647245658827,-0.04944120245432421,0.06721990712783259
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20251001,0.42828417611197267,0.1787970645394572,0.05060408731539212,0.24948711157251546,0.37768008879658055
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20251103,0.23328327234077778,0.2512114312420499,0.1392958677832175,-0.01792815890127214,0.09398740455756027
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20251201,0.3598896733478343,0.2808299965990464,0.12776500931062784,0.07905967674878789,0.23212466403720644
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260102,0.12704850328010436,0.14971090868705667,0.08355153667558401,-0.022662405406952302,0.04349696660452035
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260202,0.11129472574407659,0.1841197046935233,0.1410621559148764,-0.0728249789494467,-0.029767430170799802
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260303,0.5940200161050463,0.3220013723426128,0.08364172136626362,0.2720186437624335,0.5103782947387827
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260401,-0.18705365160372908,0.1623431579895489,-0.1184853330454568,-0.349396809593278,-0.06856831855827228
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260504,-0.4583343344622911,-0.30231206937231436,-0.34634110304788407,-0.15602226508997674,-0.11199323141440704
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20260601,-0.3276930802165759,-0.2004931315334244,-0.11470284434372435,-0.1271999486831515,-0.21299023587285154
60,R3_조용함(lv60↓+to20↓),20240102,0.07184133751818889,0.049554687693736096,0.018524143516862115,0.02228664982445279,0.05331719400132677
