tag,factor,decile,n,rate,lift,lift_2023,lift_2024,lift_2025,lift_2026
60_all,lv60,D1,94228,0.007863904571889459,0.2055948786856068,0.04333458959409407,0.2505359895269765,0.23787730534413057,0.1351543459865658
60_all,lv60,D10,94994,0.052855969850727415,1.381872911850379,1.6126242574995786,1.5666873924526952,1.2857895957243946,1.150853020511406
60_all,lv20,D1,98547,0.009376236719534841,0.24513347450465411,0.2846906647728672,0.21006171675149446,0.2689791062796613,0.22112346155111354
60_all,lv20,D10,99304,0.050803593007331026,1.3282153217464026,1.3476788204821677,1.4645753065261495,1.2740742194591783,1.2403205114656666
60_all,rv21,D1,98548,0.009183342127694118,0.24009041480752016,0.27535654461637976,0.2090981308948362,0.26001313607033927,0.22111145310853988
60_all,rv21,D10,99305,0.05061175167413524,1.3231997985715331,1.3430476217863527,1.443557265597529,1.2860747803588344,1.2216342750953015
60_all,to20,D1,98489,0.01488491100528993,0.3891529258020165,0.5180436686850535,0.42397777692962185,0.39823438083878043,0.24628929086436033
60_all,to20,D10,99201,0.045906795294402274,1.2001928460749245,1.2299770480169208,1.1965582285295178,1.2122932777040534,1.1628590245869699
60_all,nh252,D1,81969,0.043687247618001926,1.1421647213571282,2.9303120823498086,1.6917677438145147,0.8829308370806227,0.6155557631348088
60_all,nh252,D10,82900,0.05044632086851628,1.3188747554455433,2.6137735464642713,1.0895045939986119,1.257759780902497,1.4391005439769944
60_all,dlow252,D1,82178,0.02341259217795517,0.6121016607638894,1.3319600374317313,0.7321057139587582,0.5711953795721887,0.37806855554729357
60_all,dlow252,D10,82761,0.08067809717137299,2.1092579963173015,3.1733278259251043,1.9380988761473499,2.1419880218735567,1.8048739447991853
60_all,mom12_1,D1,62115,0.042791596232794014,1.1187487024821468,,1.1378803498502166,1.0292890448747105,0.8904049127690694
60_all,mom12_1,D10,62712,0.07644469957902794,1.9985795341781052,,1.6420325029992386,1.8889060119101404,1.7332414626739563
60_all,mom21,D1,97436,0.04427521655240363,1.1575366527728956,1.3271403850806183,1.4366170445587965,1.08298282738659,0.8161803834917775
60_all,mom21,D10,98246,0.06016529935060969,1.572968912324906,1.3740157278414475,1.6267102274962353,1.6052841231609287,1.5182685141231063
60_all,mom63,D1,90352,0.04169249158845405,1.0900135768266777,1.9326558599083405,1.4317273299742346,0.8497523356432773,0.7432024776902607
60_all,mom63,D10,91181,0.06687796799771882,1.7484657388113805,1.4617693006814345,1.662725246803445,1.831399958082359,1.6094737148875602
60_all,ret5,D1,98501,0.046771098770570854,1.2227893013988644,1.1994344401086374,1.3684613381437716,1.1852288718434072,1.1114731541721201
60_all,ret5,D10,99298,0.055771516042619186,1.4580973065063085,1.2967356348282026,1.520033150722652,1.4651638288709534,1.4503776817810377
60_all,upratio63,D1,93480,0.03304450149764655,0.8639194708593285,1.068741276114176,1.008869258111602,0.8368274124056139,0.5792528616184854
60_all,upratio63,D10,95097,0.04946528281649264,1.2932263771561174,1.1507015809165728,1.1222246436233367,1.4639237399571265,1.1411360615041704
60_all,on60,D1,94135,0.03409996281935518,0.8915135801736404,1.6468553662606094,0.9623300993071073,0.7566502746655739,0.6974270062051675
60_all,on60,D10,95001,0.04991526404985211,1.3049907413135926,1.3023860670091834,1.0312982159292174,1.5773947765702325,1.0457780102139858
60_all,size,D1,98411,0.03228297649652986,0.8440100685020939,1.0151510733142814,0.8000486475168668,0.7505894676016668,1.0043368370571466
60_all,size,D10,99339,0.03154853582178198,0.8248087620714024,0.4932226611042985,0.8101499412486463,0.9261214777117438,0.8234884103218517
60_all,amt20,D1,98524,0.02714059518492956,0.7095670253231544,0.9452626553239937,0.65720623678985,0.7175217623590383,0.6299020073489706
60_all,amt20,D10,99341,0.05202283045268318,1.3600912139796546,1.2689484426533126,1.2438858767756338,1.5365485971088535,1.2036361500852493
60_all,max5_21,D1,98554,0.013819834811372446,0.36130744409790927,0.4130614712106386,0.31608551059335177,0.41033564988070204,0.2912832369300821
60_all,max5_21,D10,99312,0.04635894957306267,1.2120140225933504,1.2484278097591968,1.2553502627366997,1.1665849600283753,1.226049717187993
60_all,bbw20,D1,98495,0.012690999543124016,0.33179503739079075,0.3360283256335482,0.26884045400764656,0.30803559088891713,0.4678632694846519
60_all,bbw20,D10,99257,0.05645949404072257,1.4760838870612207,1.4055688041798553,1.7493279063313487,1.3927172667999537,1.3101870184488746
60_all,sma20gap,D1,98491,0.044806124417459466,1.1714167726435725,1.2927756416735119,1.428122643581463,1.0994819301711134,0.8931271198015661
60_all,sma20gap,D10,99294,0.05873466674723548,1.5355662793395308,1.3685192146133354,1.6041078944458407,1.5578031263411674,1.490152430528234
60_all,rsi14,D1,98481,0.03241234349773053,0.8473922551340182,0.9520802559617197,1.0233598539130428,0.838014777490479,0.5597827869456306
60_all,rsi14,D10,99292,0.050517665068686296,1.3207399869021035,1.1068564882997873,1.3747709498311345,1.3601857102774946,1.2865067804537966
60_all,dd52,D1,81969,0.043687247618001926,1.1421647213571282,2.9303120823498086,1.6917677438145147,0.8829308370806227,0.6155557631348088
60_all,dd52,D10,82900,0.05044632086851628,1.3188747554455433,2.6137735464642713,1.0895045939986119,1.257759780902497,1.4391005439769944
60_all,mom126,D1,80875,0.04158268933539413,1.0871428933524712,,1.683617031387305,0.8561310443767045,0.49954929023743005
60_all,mom126,D10,81625,0.07409494640122512,1.9371473009770077,,1.6291634470970031,2.0005195157660514,1.8041332866890027
60_all,mom252,D1,62061,0.04310275374228582,1.126883642298782,,1.4340409888523278,1.053897783357914,0.6799284759117993
60_all,mom252,D10,62712,0.07719415741803802,2.0181734511798513,,1.611175516365696,1.9118591228482908,1.7706495517964154
60_all,sma60gap,D1,94308,0.042265767485261056,1.1050013716784532,1.5405298257290876,1.4279536277732483,0.9514795950346667,0.7262386391074235
60_all,sma60gap,D10,95143,0.06451341664652155,1.6866466203631405,1.4703987913222398,1.6363233444444212,1.7424259501868122,1.6492005417776465
60_all,sma120gap,D1,87820,0.04232521065816443,1.106555461229011,2.3819049799815426,1.6493517184527433,0.799056078484854,0.5536698564457316
60_all,sma120gap,D10,88641,0.06930201599711194,1.8118403448747362,1.7915580223599201,1.6278492585246762,1.8401138318766677,1.7752471978171673
60_all,range120,D1,87945,0.01276934447666155,0.33384329687296443,0.6100441787010926,0.3503325728311797,0.26717822816866876,0.3421723067817006
60_all,range120,D10,88590,0.06210633254317643,1.6237155204636935,2.9200069065736356,1.733584741857641,1.4512911027724458,1.3175284525436215
60_all,range60,D1,94371,0.011656123173432516,0.30473910356856687,0.2353587233752773,0.3096553394314007,0.323505476553623,0.27342856804334553
60_all,range60,D10,95111,0.06300007359821683,1.6470815954341618,1.7522046508009832,1.8231130806854,1.622164506562633,1.3225031282613644
60_all,bbw60,D1,94382,0.012693098260261491,0.3318499065071858,0.2873210389256632,0.32808853115257475,0.3105104961078478,0.38444528436495784
60_all,bbw60,D10,95117,0.06255453809518803,1.6354334609917918,1.6824802442812208,1.8231130806854,1.5878684400326712,1.368728309730209
60_all,vol_dry,D1,87914,0.03608071524444343,0.9432986127639322,2.341977486039982,0.867544871903962,0.8587151100431688,0.7769742866862035
60_all,vol_dry,D10,88645,0.03552371820181623,0.9287364142580485,0.8615714459768484,1.0148516297915346,0.8440468276095648,0.8796260831923446
60_all,vol_surge5,D1,94398,0.029693425708171784,0.7763085373713854,1.366880907515082,0.7435610971926425,0.7565881504616969,0.5620890799356301
60_all,vol_surge5,D10,95132,0.04267754278265988,1.1157668751939798,1.2037056981185366,1.2746435761713322,1.0238974890187764,0.9906974337046037
60_all,hl_range20,D1,98558,0.00748797662290225,0.19576657261195057,0.1236770920734587,0.19175358547498805,0.2170441400391424,0.19818060096106568
60_all,hl_range20,D10,99280,0.054945608380338434,1.436504676015966,1.4148312015714855,1.6719409263134137,1.3926259685792588,1.2118990031914325
60_all,clv20,D1,98453,0.03405685961829502,0.8903866848366088,1.0780908780743004,1.087955779084664,0.7679900867304322,0.7627043829223666
60_all,clv20,D10,99281,0.03476999627320434,0.9090310163785303,0.6715238108931764,0.8885444456583349,0.9095357953575207,1.0746359269778911
60_all,upvol20,D1,98515,0.032502664568847386,0.8497536202153549,0.9264114255313793,0.7853224731764586,0.934208794167217,0.7174352361022356
60_all,upvol20,D10,99290,0.03742572263067781,0.9784626496461425,0.9031994144313727,1.1083260101158277,0.8996079029446029,1.0064978901467871
60_all,amihud20,D1,98467,0.04201407578173398,1.0984211131338877,0.7215263730889064,1.0799180777968067,1.251896693590517,1.0186201430027368
60_all,amihud20,D10,99141,0.03617070636769853,0.9456513516481947,0.8921913028686016,1.079009858644548,0.8769197442441645,0.9348948179951904
60_all,logprice,D1,98323,0.04099752855384803,1.071844378626899,1.2700960016044738,1.068149035442808,1.0032321661368881,1.1080716734367906
