date,tercile,n,base_med,ex120,ex60,win
20240326,0,14,19.5,0.017696730672790588,0.04006651931023534,0.0
20240326,1,11,33.0,0.03144261197130587,0.058098721587958806,0.0
20240326,2,11,52.0,0.027287212232533255,-0.0010915089622788412,0.0
20240402,0,17,21.0,0.020379670984846852,0.08047217018567385,0.0
20240402,1,13,33.0,-0.06851762756759512,-0.056351399663671434,0.0
20240402,2,15,50.0,0.12961254576782624,0.14067919905687118,0.13333333333333333
20240409,0,16,20.0,0.004026517728361274,0.08056540660473095,0.0
20240409,1,13,33.0,-0.11735697116421671,-0.07432892527881367,0.0
20240409,2,15,56.0,0.04283017997393073,0.13254811225892674,0.13333333333333333
20240417,0,14,21.0,0.02921736702120011,0.050202946381909974,0.0
20240417,1,12,36.5,-0.10279562287339504,-0.014140420109138916,0.0
20240417,2,13,59.0,-0.04159901022192816,0.05856690985975209,0.07692307692307693
20240424,0,14,17.0,0.13265611295637716,0.1598779068005383,0.0
20240424,1,10,30.5,-0.06980647358466059,-0.0077450431471334565,0.0
20240424,2,12,56.0,-0.05704282562646213,0.09382781598863095,0.0
20240502,0,17,17.0,0.05375203378926608,0.03687319554990426,0.0
20240502,1,17,36.0,-0.006296453149916696,0.003988303149125748,0.0
20240502,2,17,68.0,-0.0723560765483996,0.04371073933145778,0.0
20240510,0,21,21.0,-0.017067488352288038,-0.00573941532670882,0.0
20240510,1,21,44.0,-0.010622615620518604,0.018194088297632634,0.0
20240510,2,20,71.0,-0.07329542726196711,-0.045474925188805124,0.0
20240520,0,23,21.0,-0.0071411344146857115,0.012971432324989329,0.0
20240520,1,23,42.0,-0.06681570234225133,-0.05650912061779404,0.0
20240520,2,23,71.0,0.030323079339203828,-0.02080804115350881,0.043478260869565216
20240527,0,25,21.0,-0.041075162268262744,-0.016591891686411994,0.0
20240527,1,23,45.0,-0.009750040300125988,-0.032316136791272876,0.0
20240527,2,25,72.0,-0.03123440831658046,-0.0628442169221207,0.04
20240603,0,24,20.5,-0.04898510415149668,-0.07962647222262532,0.0
20240603,1,25,51.0,0.007967966370693516,-0.013532912701359322,0.0
20240603,2,22,73.5,-0.029067397339195136,-0.033817320967174415,0.045454545454545456
20240611,0,22,21.5,-0.09438239377192897,-0.11336634791718457,0.0
20240611,1,21,47.0,-0.03668876075194944,-0.0158301306741941,0.0
20240611,2,21,73.0,-0.06606881389923089,-0.07672035873052631,0.047619047619047616
20240618,0,26,23.5,-0.10100658760806319,-0.10366768401075478,0.0
20240618,1,24,52.0,-0.09916848457755334,-0.042385123092382314,0.0
20240618,2,24,74.0,-0.10021300081121594,-0.09353422300482019,0.041666666666666664
