date,cluster,ticker,is_leader,size_pct,grp_mom60,leader_mom20,own_mom20,own_mom60,rel_to_grp,ex60,ex120,fw60,fw120
20240201,0,33,0,0.6954419889502762,0.14176201688462373,-0.3327188940092166,-0.11117544875506657,0.21825396825396814,0.07649195136934442,-0.2500443563047635,-0.4054413915591475,-0.22659780503550675,-0.34602969657843774
20240201,0,233,0,0.5476519337016574,0.14176201688462373,-0.3327188940092166,-0.05076690429898467,-0.0019685039370078705,-0.1437305208216316,0.29849992802510705,-0.0008827668898141461,0.3219464792943638,0.058528928090895604
20240201,0,392,0,0.13604972375690608,0.14176201688462373,-0.3327188940092166,0.04355655599324715,0.27695909654317585,0.13519707965855213,-0.13762787692502687,-0.27729788295267177,-0.07525444638634726,-0.2915595764367225
20240201,0,432,0,0.8998618784530387,0.14176201688462373,-0.3327188940092166,-0.07891156462585036,0.06614173228346454,-0.07562028460115919,1.295856786902006,1.611125315178942,1.3193033381712627,1.6705370101596517
20240201,0,437,0,0.049723756906077346,0.14176201688462373,-0.3327188940092166,0.01563197856185794,0.1803789255125876,0.03861690862796388,-0.24078849183465156,-0.2749239457453714,-0.17841506129597196,-0.2891856392294221
20240201,0,500,0,0.5718232044198895,0.14176201688462373,-0.3327188940092166,-0.07904411764705888,0.08676789587852496,-0.05499412100609877,-0.020457262874008952,0.13202616454193494,0.041916167664670656,0.11776447105788423
20240201,0,602,0,0.731353591160221,0.14176201688462373,-0.3327188940092166,-0.11732711732711731,-0.06038047973531846,-0.20214249661994219,0.030877013511053875,-0.2779230312051145,0.09325044404973348,-0.29218472468916523
20240201,0,874,0,0.6084254143646409,0.14176201688462373,-0.3327188940092166,0.5186046511627906,0.5492289442467377,0.407466927362114,-0.035934861331836654,-0.016842505582823297,0.026438569206842955,-0.031104199066874005
20240201,0,917,0,0.580110497237569,0.14176201688462373,-0.3327188940092166,-0.06269592476489028,-0.034861200774693346,-0.17662321765931707,0.37093778379443254,0.09787151432014896,0.43331121433311215,0.08360982083609825
20240201,0,958,0,0.7168508287292817,0.14176201688462373,-0.3327188940092166,0.07861060329067637,0.20408163265306123,0.0623196157684375,-0.15649107759750314,-0.24792318046552908,-0.09411764705882353,-0.2621848739495798
20240201,0,1000,0,0.2935082872928177,0.14176201688462373,-0.3327188940092166,-0.125,-0.04236111111111107,-0.1841231279957348,-0.05092031672336117,0.7680197464547021,0.011453113815318439,0.7537580529706513
20240201,0,1050,0,0.669889502762431,0.14176201688462373,-0.3327188940092166,-0.060469314079422354,-0.0019175455417066445,-0.14367956242633037,-0.2744655610569138,-0.3398649859785212,-0.21209213051823417,-0.3541266794625719
20240201,0,1063,0,0.7707182320441989,0.14176201688462373,-0.3327188940092166,-0.12336719883889691,0.06338028169014076,-0.07838173519448297,-0.13462302002964843,-0.21233929173762411,-0.07224958949096882,-0.22660098522167482
20240201,0,1070,0,0.7859116022099447,0.14176201688462373,-0.3327188940092166,-0.1308139534883721,0.09323583180987205,-0.048526185074751677,0.0576265694613205,-0.1307383065159493,0.1200000000000001,-0.14500000000000002
20240201,0,1075,0,0.231353591160221,0.14176201688462373,-0.3327188940092166,0.2756827048114434,0.6884681583476764,0.5467061414630526,-0.28629687551475613,0.15493154994338076,-0.22392344497607652,0.14066985645933006
20240201,0,1081,0,0.7548342541436464,0.14176201688462373,-0.3327188940092166,-0.1608352144469526,0.0901759530791788,-0.05158606380544492,-0.29089029877547146,-0.3542933669869869,-0.22851686823679185,-0.3685550604710376
20240201,0,1083,0,0.7023480662983426,0.14176201688462373,-0.3327188940092166,0.004841251970276961,0.00688176895306869,-0.13488024793155504,0.01336886638008794,1.000704270514863,0.07574229691876755,0.9864425770308123
