h,rule,decile,n,win_lift,mean_ex_idx,med_ex_idx,p_beat_idx,mean_ex_ew,med_ex_ew,p_beat_ew,p_lt_m30
60,R1_달리는말(mom12_1↑+beta60↑+근고점),1,62218,0.7513209958218781,-0.09754516320067547,-0.1164212473746491,0.306920826770388,0.02387986277925301,-0.0059594697841628685,0.48437751133112605,0.20918383747468577
60,R1_달리는말(mom12_1↑+beta60↑+근고점),2,62495,0.6919333930933486,-0.07470161163502344,-0.09492099715230651,0.329674373949916,0.04136716279308762,0.002393206547714355,0.5063125050004,0.16956556524521962
60,R1_달리는말(mom12_1↑+beta60↑+근고점),3,62502,0.8077229389558512,-0.06498009515173707,-0.08932143929305769,0.33504527855108635,0.05143050725711423,0.009117674764582306,0.5231032606956577,0.15767495440145915
60,R1_달리는말(mom12_1↑+beta60↑+근고점),4,62503,0.8198403062547351,-0.06542353906270404,-0.09238004816826728,0.3321600563172968,0.050292985606048085,0.004755271820529261,0.5111914628097851,0.15746444170679808
60,R1_달리는말(mom12_1↑+beta60↑+근고점),5,62602,0.8243905365094907,-0.06463826419000418,-0.09253071209983865,0.33200217245455416,0.05247285341832876,0.004186027215709542,0.5094246190217565,0.15948372256477428
60,R1_달리는말(mom12_1↑+beta60↑+근고점),6,62602,0.835248770526333,-0.0730966784925601,-0.10186085755889335,0.3184882272131881,0.047437156639045595,-0.0024966130102970774,0.4933228970320437,0.17029807354397622
60,R1_달리는말(mom12_1↑+beta60↑+근고점),7,62503,1.0109969490906607,-0.06816995510433858,-0.10271076051688388,0.3185927075500376,0.05248845617470634,-0.0071090263022598466,0.48325680367342366,0.17229572980496935
60,R1_달리는말(mom12_1↑+beta60↑+근고점),8,62502,1.077103349462101,-0.06580635574461392,-0.10098219997367058,0.32555758215737096,0.05236076003807556,-7.288342687758464e-05,0.4994240184314102,0.17145051358356533
60,R1_달리는말(mom12_1↑+beta60↑+근고점),9,62495,1.6177185194026473,-0.03332271557990132,-0.08772837076756501,0.3536922953836307,0.0803007954276512,0.007200317978761084,0.5137691015281223,0.16258900712056965
60,R1_달리는말(mom12_1↑+beta60↑+근고점),10,62697,2.2138083553757495,0.006233325068429936,-0.07608238734083472,0.3917412316378774,0.12212661723307325,0.02058079557635112,0.5311099414645039,0.16578145684801507
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),1,62218,0.9164603422189688,-0.06694428202617565,-0.10038113571219764,0.3273972162396734,0.026377428825277997,-0.01842970567597535,0.45896685846539587,0.17274743643318655
