ticker,name,market,date,fw120,ex_idx,mom12_1,mom63,nh252,dlow252,beta60,rv21_pct,size_pct,amt20_pct,dsh,range120_pct,mdd_path,R1_pct
080220,제주반도체,KOSDAQ,20230802,4.954022988505747,5.085585923137179,,,,,,0.5352862849533955,0.33155792276964047,0.5639147802929427,,,-0.2382352941176471,
089030,테크윙,KOSDAQ,20240111,4.998217468805704,5.00919571965816,,0.6642120765832107,-0.03911564625850339,0.72782874617737,0.2189109746783829,0.7194050033806626,0.6693711967545639,0.8451656524678837,5.0,0.704088704088704,-0.19999999999999996,
065350,신성델타테크,KOSDAQ,20230728,4.895915678524374,5.001399828657391,,,,,,0.859117840684661,0.6543778801843319,0.8077682685977617,,,-0.5023255813953489,
091440,한울소재과학,KOSDAQ,20230905,4.934497816593886,4.993956392769059,,,,,-0.4440853595707912,0.9812889812889813,0.09424809424809424,0.7345807345807346,,,-0.24731903485254692,
420770,기가비스,KOSDAQ,20251230,4.968454258675079,4.985607933178288,0.3805789822799204,-0.18918918918918914,-0.22888616891064872,0.3999999999999999,1.013302190131675,0.32408102025506375,0.5971492873218305,0.2528132033008252,,0.6588502269288956,-0.14236111111111116,0.7119179163378059
012170,아센디오,KOSPI,20240920,4.968013468013468,4.962709875790533,-0.25769572082195247,-0.48,-0.6816326530612244,0.18406072106261862,0.784656343055822,0.9145936981757877,0.0024875621890547263,0.42703150912106136,140.0,0.8985629754860525,-0.6326194398682043,0.06577777777777778
043260,성호전자,KOSDAQ,20251217,4.97962382445141,4.907219710530871,2.7498873112463382,4.901189387008234,0.0,6.095709570957096,0.751751552011749,0.9938744257274119,0.6202143950995406,0.8269525267993875,0.0,0.9961360123647605,-0.3721804511278195,0.9458804523424879
348370,엔켐,KOSDAQ,20231019,4.949820788530466,4.867194854178825,,-0.13696612665684826,,,1.0285734685942445,0.5326251896813353,0.84597875569044,0.7890743550834598,,,-0.36186186186186187,
033790,피노,KOSDAQ,20240425,4.71714476317545,4.852925907406444,,0.1126228269085412,-0.16930022573363435,0.5175257731958762,0.29331744324010434,0.7674591381872214,0.23699851411589895,0.04086181277860327,,0.6500377928949358,-0.49593495934959353,
304360,에스바이오메딕스,KOSDAQ,20231110,4.962643678160919,4.8467634064737215,,-0.20572057205720573,,,0.6567216015932313,0.6852871754523997,0.14634146341463414,0.46026750590086546,,0.5803858520900321,-0.3041666666666667,
419530,SAMG엔터,KOSDAQ,20241114,4.887445887445887,4.846113565657786,-0.16223110387109407,-0.06677393403057119,-0.5053304904051172,0.3063063063063063,0.8228538358286371,0.5258333333333334,0.2733333333333333,0.41083333333333333,,0.8149405772495756,-0.14218750000000002,0.366696191319752
257720,실리콘투,KOSDAQ,20240125,4.802238805970149,4.8296980769079925,,0.05212121212121201,-0.1580989330746848,0.3605015673981191,0.5138648500667576,0.6977381768334475,0.7333790267306374,0.7580534612748457,,0.28019662921348315,-0.22916666666666663,
080220,제주반도체,KOSDAQ,20251219,4.785900783289817,4.826389837684203,1.1567909356725146,-0.02861685214626386,-0.20304347826086955,1.359073359073359,1.4012823923674727,0.2132409545804465,0.6959199384141648,0.7043879907621247,49.0,0.6350931677018633,-0.3104125736738703,0.8943089430894309
051980,중앙첨단소재,KOSDAQ,20231221,4.81038374717833,4.825712197249707,,0.2921348314606742,-0.5059076262083781,0.6936671575846833,1.5279763335321215,0.7929078014184398,0.5056737588652482,0.40354609929078017,,0.9709302325581395,-0.32957393483709274,
323280,태성,KOSDAQ,20240329,4.666585365853659,4.817782691734529,,0.0795155344918379,-0.18489065606361832,0.8295403837572513,0.8589705915516712,0.6300211416490487,0.24665257223396758,0.5799859055673009,44.0,0.8700646087580761,-0.4311493822538375,
319400,현대무벡스,KOSDAQ,20250718,4.95482546201232,4.79308563312308,0.6574811225662698,0.27734375,-0.10492700729927007,0.962,0.6783789012695798,0.5546719681908548,0.7249834327369119,0.6958250497017893,12.0,0.5700871898054997,-0.35390625,0.794961511546536
