ticker,name,market,mom12_1,beta60,days_since_high,size_pct,amt_pct
031980,피에스케이홀딩스,KOSDAQ,2.8378744869731873,1.7897547164166667,2.0,0.880485527544351,0.8711484593837535
131290,티에스이,KOSDAQ,5.948828524429822,1.6847540643287633,9.0,0.8748832866479925,0.9056956115779645
092870,엑시콘,KOSDAQ,1.9343766475207413,1.6946972544093795,0.0,0.6367880485527544,0.7684407096171803
159010,아스플로,KOSDAQ,6.683558148013124,1.4652233186433647,0.0,0.5387488328664799,0.6246498599439776
064290,인텍플러스,KOSDAQ,2.243755879360325,1.507830655219035,1.0,0.676937441643324,0.8263305322128851
080220,제주반도체,KOSDAQ,3.2879571538312016,2.084920170043967,65.0,0.8543417366946778,0.9551820728291317
089970,브이엠,KOSDAQ,3.5157139456509787,1.6888478199415984,58.0,0.7936507936507936,0.892623716153128
319660,피에스케이,KOSDAQ,4.468251876536481,1.610328170802332,58.0,0.892623716153128,0.9103641456582633
402340,SK스퀘어,KOSPI,5.661523181675489,1.6211552149313395,65.0,0.9971988795518207,0.996265172735761
000660,SK하이닉스,KOSPI,5.018039175710433,1.572833447653559,62.0,0.9990662931839402,1.0
084370,유진테크,KOSDAQ,2.078228979594209,1.7043344600023844,58.0,0.8823529411764706,0.8468720821661998
144960,뉴파워프라즈마,KOSDAQ,1.1381809588353513,1.501968842476894,0.0,0.6321195144724556,0.7366946778711485
098120,마이크로컨텍솔,KOSDAQ,2.0354092980012375,1.3306018539570592,0.0,0.6022408963585434,0.6946778711484594
252990,샘씨엔에스,KOSDAQ,2.0734527365882247,1.2894034267548977,2.0,0.7478991596638656,0.7525676937441643
009150,삼성전기,KOSPI,7.213733673390525,1.4487268344594444,66.0,0.996265172735761,0.9981325863678805
170920,엘티씨,KOSDAQ,1.7870290342200454,1.7355217058588688,72.0,0.5508870214752568,0.6788048552754435
032580,피델릭스,KOSDAQ,4.101749714720426,1.9422936763276002,83.0,0.3968253968253968,0.6078431372549019
009155,,KOSPI,5.338996488843584,1.3697834329180925,65.0,0.7787114845938375,0.8104575163398693
417840,저스템,KOSDAQ,2.5357747925044922,1.800078050836547,82.0,0.5424836601307189,0.8067226890756303
067310,하나마이크론,KOSDAQ,1.5050044063955685,1.4278384746957373,65.0,0.869281045751634,0.9449112978524743
