h,rule,n_anchor,mean_ret,mean_idx,mean_ew,ex_idx,ex_idx_lo,ex_idx_hi,p_beat_idx,ex_ew,ex_ew_lo,ex_ew_hi,p_beat_ew,worst,best,ex_idx_2024,ex_idx_2025,ex_idx_2026
60,R0_무작위20,30,0.0020815289690184983,0.05484158083346207,0.0028638074798905695,-0.052760051864443575,-0.09019293267453662,-0.023122512504924562,0.26666666666666666,-0.0007822785108720702,-0.004376651271855991,0.00262419325199353,0.5666666666666667,-0.34773966035906834,0.16126801886051004,-0.011502205522341297,-0.07588794230287352,-0.08901996367178823
60,R1_달리는말(mom12_1↑+beta60↑+근고점),23,0.13210900107235862,0.07688288428662728,0.014256381728497074,0.05522611678573131,-0.008120496229869522,0.12284998393653421,0.4782608695652174,0.1178526193438615,0.036584778323280144,0.21001032677839715,0.6521739130434783,-0.3701567753350028,0.5761219913314339,0.020972434496651125,0.08399344362422784,0.026236198349638418
60,R2_장기추세(mom252↑+sma120gap↑+amt20↑),23,0.05050090746407863,0.07688288428662728,0.014256381728497074,-0.026381976822548652,-0.07331094450602388,0.025292628738993926,0.2608695652173913,0.036244525735581554,-0.025134216252943268,0.11473959624187348,0.4782608695652174,-0.4583343344622911,0.5940200161050463,-0.06601207556329411,0.014946889571518606,-0.07601462732672862
60,R3_조용함(lv60↓+to20↓),30,0.013452805013249188,0.05484158083346207,0.0028638074798905695,-0.04138877582021289,-0.11496506204834968,0.017631049563011893,0.4666666666666667,0.010588997533358614,-0.03084200853167873,0.04815748020950949,0.5666666666666667,-0.10840615648555599,0.16118419581113186,0.0361231349519003,-0.09983363805574541,-0.07952287289337423
60,R4_고베타단독,30,-0.004210400742756278,0.05484158083346207,0.0028638074798905695,-0.05905198157621837,-0.12273438657101686,0.006367230627952347,0.26666666666666666,-0.007074208222646856,-0.07298613464042643,0.06877777292939458,0.36666666666666664,-0.5336792305678723,0.5378437711804963,-0.04421535830924472,0.0027205923625820048,-0.21227037598776632
60,R5_mom12_1단독,23,0.024809428049629604,0.07688288428662728,0.014256381728497074,-0.05207345623699767,-0.10924483455255378,0.007340226978680783,0.391304347826087,0.010553046321132527,-0.030260608534004772,0.064650376506662,0.5652173913043478,-0.4635634469866754,0.2634140518819888,-0.050845389085814485,-0.008410713265871098,-0.14042233147190344
60,"R6_쉬는말(cold: mom126↑, mom63<10%)",30,0.011720185869721695,0.05484158083346207,0.0028638074798905695,-0.04312139496374038,-0.09322313939886386,0.0041305351840759666,0.43333333333333335,0.00885637838983112,-0.029197705613879164,0.05391378807632376,0.5666666666666667,-0.4357858359288247,0.3490016805935999,-0.010963579716963377,-0.060922528439846656,-0.07183475850508185
60,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),30,0.06216739177957188,0.05484158083346207,0.0028638074798905695,0.007325810946109818,-0.04314992945111538,0.056026857718258605,0.43333333333333335,0.05930358429968132,0.012904628901952266,0.10808871305770844,0.6333333333333333,-0.5444101137646883,0.40818820388740096,0.031868748130487096,-0.021644007309131085,0.01617957308783705
120,R0_무작위20,27,0.021560082758584485,0.13215868084330995,0.023257056034256835,-0.11059859808472546,-0.19797061393555043,-0.024941759147158776,0.1111111111111111,-0.00169697327567235,-0.0067092016750622705,0.002099013518286879,0.4074074074074074,-0.26066810007672425,0.29292120282802725,-0.013652186744882068,-0.18984199788222691,-0.18141064425409323
120,R1_달리는말(mom12_1↑+beta60↑+근고점),20,0.2591691808334144,0.2080956489052324,0.07044639643020219,0.051073531928182,-0.010341204398376252,0.1152372665572295,0.55,0.18872278440321225,0.058237348361600265,0.32636944665157974,0.75,-0.20619245148359322,0.7546498355613518,0.06336362113552772,0.058538646014610174,0.000729593570226561
120,R2_장기추세(mom252↑+sma120gap↑+amt20↑),20,0.16510319740704993,0.2080956489052324,0.07044639643020219,-0.04299245149818245,-0.10470666438388308,5.742197039642502e-05,0.5,0.09465680097684773,0.007673877988383812,0.19976504637736878,0.65,-0.3010675497184076,0.8268074862183057,0.0031891328919690072,-0.046673352001968045,-0.10523815679995918
120,R3_조용함(lv60↓+to20↓),27,0.04559793748364933,0.13215868084330995,0.023257056034256835,-0.08656074335966063,-0.25062573499212326,0.051566386988411456,0.5185185185185185,0.02234088144939249,-0.06295942903342991,0.08079618774502512,0.5925925925925926,-0.09581873777242648,0.2772016022154693,0.07989306917501036,-0.2496336282572377,-0.10008445390803629
120,R4_고베타단독,27,0.033426497639557,0.13215868084330995,0.023257056034256835,-0.09873218320375295,-0.15452006185819667,0.004665861272964433,0.3333333333333333,0.010169441605300152,-0.09925950858229075,0.17097582722264856,0.48148148148148145,-0.40096241013670114,0.7371391904382081,-0.09239577230205075,-0.06159629088029925,-0.27262139610437647
120,R5_mom12_1단독,20,0.09453581948053749,0.2080956489052324,0.07044639643020219,-0.11355982942469486,-0.2256659663242416,0.007265341559887439,0.3,0.024089423050335325,-0.0420238810409072,0.14465085980846687,0.55,-0.49337698222348847,0.6132945155952948,-0.05656384599743709,-0.08690003862423672,-0.3151922983386238
120,"R6_쉬는말(cold: mom126↑, mom63<10%)",27,0.050919694110825905,0.13215868084330995,0.023257056034256835,-0.08123898673248403,-0.15246897425069655,-0.0063333293298236375,0.37037037037037035,0.027662638076569077,-0.00995909713672661,0.08227749536407367,0.48148148148148145,-0.3267212331271476,0.7340781562528456,-0.009612456396666587,-0.1290110630686758,-0.1766568027309868
120,R7_저점탈출+미매집(dlow252↑+upvol20↓+amt20↑),27,0.11714325876259822,0.13215868084330995,0.023257056034256835,-0.015015422080711724,-0.10783071146796118,0.0911960532429749,0.48148148148148145,0.09388620272834138,0.03994741525145202,0.16540082820344582,0.7407407407407407,-0.25145261318797235,0.6773772878480752,0.046641975218398614,-0.03959346761008675,-0.1633328291596531
