market,ticker,name,sector,final_score,keep_reason
kosdaq,481070,에이유브랜즈,소매,131.5,선정
kosdaq,038500,삼표시멘트,비금속광물(시멘트·유리),129.0,선정
kosdaq,439580,블루엠텍,도매,128.4,선정
kosdaq,103230,에스앤더블류,기계·장비,125.9,선정
kosdaq,138070,신진에스엠,금속가공,125.6,선정
kosdaq,150900,파수AI,출판·SW,123.1,선정
kosdaq,263750,펄어비스,출판·SW,123.0,선정
kosdaq,039310,세중,출판·SW,121.0,선정
kosdaq,196700,웹스,화학,120.8,선정
kosdaq,038870,에코심플렉스,전문서비스,119.0,선정
kosdaq,462980,아이지넷,IT서비스,118.6,선정
kosdaq,382800,지앤비에스 에코,기계·장비,118.5,선정
kosdaq,079810,APS이노베이션,전기장비,118.2,선정
kosdaq,045060,오공,화학,118.0,선정
kosdaq,413630,씨피시스템,고무·플라스틱,117.9,선정
kosdaq,024740,한일단조,자동차·부품,117.1,선정
kosdaq,024060,흥구석유,도매,117.0,선정
kosdaq,133750,메가엠디,교육,117.0,선정
kosdaq,067290,JW신약,제약·바이오,117.0,선정
kosdaq,493280,아이엠바이오로직스,지주·전문서비스,116.4,선정
kospi,001020,페이퍼코리아,펄프·종이,121.0,선정
kospi,009240,한샘,도매,120.1,선정
kospi,241590,화승엔터프라이즈,가죽·신발,119.5,선정
kospi,092220,KEC,반도체·전자부품,119.0,선정
kospi,084680,이월드,기타제조,116.3,선정
kospi,025750,한솔홈데코,목재,116.2,선정
kospi,012690,모나리자,펄프·종이,115.7,선정
kospi,000390,SP삼화,화학,115.6,선정
kospi,010040,한국내화,비금속광물(시멘트·유리),115.5,선정
kospi,001550,조비,화학,115.2,선정
kospi,161000,애경케미칼,화학,115.1,선정
kospi,008250,이건산업,목재,114.8,선정
kospi,005880,대한해운,운수·물류,113.7,선정
kospi,272550,삼양패키징,고무·플라스틱,113.6,선정
kospi,095720,웅진씽크빅,교육,113.0,선정
kospi,123690,한국화장품,도매,112.8,선정
kospi,460860,동국제강,철강·1차금속,112.6,선정
kospi,004560,현대비앤지스틸,철강·1차금속,112.5,선정
kospi,377300,카카오페이,금융보조,112.4,선정
kospi,001620,케이비아이동국실업,자동차·부품,111.6,선정
