ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
093370,후성,,10230,34.8,4.8,23.6,-56.6,124.8,-12.5,-44.3,-25.3,-23.0,-26.9,3.3,0.34,23550,4550,0,False,False,False,2485078,4449649,155.3,266.6,635.2,0.56,0,False,False,False,False,-,73.4,-93.8,-6.7,-506.4,268.2,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,73.4,75.4,093370,00595191,0,4,0,0,,[20251226] 유상증자결정(종속회사의주요경영사항)               (20251226800712) || [20251223] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251223800728) || [20251105] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251105800612),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251226800712 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251223800728 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251105800612,,,,20251226800712 || 20251223800728 || 20251105800612,주의,SAFE
034220,LG디스플레이,,9800,36.9,9.5,11.0,-45.4,8.6,-5.9,-19.5,-33.6,-8.7,-23.1,-23.0,1.05,17950,9020,5,False,False,True,4593639,4531656,471.3,460.0,489.4,1.01,0,False,False,False,False,-,68.4,-169.6,-144.0,-890.9,-37.6,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,73.4,75.4,034220,00105873,0,0,0,0,,,,,,,,,,,안전,SAFE
036570,NC,,228000,29.4,42.0,32.1,-33.6,29.5,2.2,-6.4,-12.3,-5.2,-11.6,-1.5,0.69,343500,176100,10,False,True,True,79564,93944,144.6,172.9,226.2,0.85,6,False,True,True,False,5일선회복/+3%반등,53.8,157.3,-78.2,387.2,74.6,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,72.8,74.8,036570,00261443,0,2,0,0,,[20260422] [기재정정]유상증자결정(종속회사의주요경영사항)               (20260422800548) || [20260414] 유상증자결정(종속회사의주요경영사항)               (20260414800760),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422800548 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260414800760,,,,20260422800548 || 20260414800760,주의,SAFE
128940,한미약품,,392000,31.7,44.4,44.3,-39.4,46.5,1.6,-2.7,-22.2,-1.6,-7.8,-14.5,0.67,647000,267500,10,False,True,True,75574,104485,279.6,285.9,421.8,0.72,6,False,True,True,False,5일선회복/+3%반등,46.8,142.4,42.0,65.4,552.1,True,10,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,72.8,74.8,128940,00828497,1,0,0,0,[20260310] 횡령ㆍ배임사실확인               (20260310802029),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310802029,,,,20260310802029,,위험,RISK
005690,파미셀,,10590,36.3,19.5,19.3,-49.9,4.2,-4.5,-18.5,-41.9,-9.3,-21.7,-30.5,0.63,21150,10160,0,False,False,False,455554,602844,40.7,49.0,71.6,0.76,0,False,False,False,False,-,64.7,17.7,-4.3,-0.8,25.1,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,72.7,74.7,005690,00145163,0,1,0,0,,[20260224] 주요사항보고서(감자결정) (20260224000422),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260224000422,,,,20260224000422,주의,SAFE
007660,이수페타시스,,87000,35.8,14.8,22.3,-47.1,62.3,-5.4,-18.9,-34.7,-13.6,-24.0,-25.0,0.48,164400,53600,0,False,False,False,571740,1074059,450.7,509.9,1152.9,0.53,0,False,False,False,False,-,64.5,-95.2,73.5,-4747.3,6497.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,72.5,74.5,007660,00107613,0,0,0,0,,,,,,,,,,,안전,SAFE
0120G0,삼양바이오팜,,41450,33.4,23.3,26.5,-72.5,78.3,-2.9,-10.6,-47.9,-6.9,-18.5,,0.77,150900,23250,0,False,False,False,29137,26238,8.3,12.0,11.7,1.11,3,False,True,False,False,5일선회복,61.3,8.7,-8.0,17.0,-6.0,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,72.3,74.3,0120G0,01965333,0,0,0,0,,,,,,,,,,,안전,SAFE
011500,한농화성,,12030,38.6,32.8,30.8,-59.2,7.2,-1.5,-16.2,-52.4,-5.2,-22.6,-34.2,0.59,29450,11220,5,False,False,True,52571,79677,5.5,6.2,10.2,0.66,6,False,True,True,False,5일선회복/+3%반등,52.9,1.2,-0.0,18.1,-0.7,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.9,73.9,011500,00160861,0,0,0,0,,,,,,,,,,,안전,SAFE
475560,더본코리아,,13980,34.1,34.6,20.6,-51.5,10.4,-2.9,-10.0,-33.7,-3.1,-11.8,-35.5,0.42,28850,12660,0,False,False,False,9945,16302,0.9,1.4,2.4,0.61,3,False,True,False,False,5일선회복,60.6,0.7,-0.8,4.2,-0.8,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.6,73.6,475560,00968607,0,0,0,0,,,,,,,,,,,안전,SAFE
022100,포스코DX,,19210,39.7,47.0,37.2,-57.9,12.4,3.1,-13.9,-44.6,-3.9,-25.4,-35.0,0.8,45600,17090,10,False,True,True,497722,417438,65.5,94.0,83.8,1.19,6,False,True,True,False,5일선회복/+3%반등,47.5,-13.3,27.3,34.7,-22.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.5,73.5,022100,00155212,0,0,0,0,,,,,,,,,,,안전,SAFE
005250,녹십자홀딩스,,9540,33.3,33.3,29.6,-47.0,5.3,-0.9,-6.7,-33.5,-3.3,-16.6,-33.3,1.18,18010,9060,5,False,False,True,78843,81880,9.1,7.4,8.1,0.96,7,False,True,False,True,5일선회복/거래량동반양봉,56.3,-1.6,2.9,0.3,-5.6,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,71.3,73.3,005250,00108135,0,0,0,0,,,,,,,,,,,안전,SAFE
