rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
663,011500,KOSPI,1.918,1212,0.866,774.0,한농화성,화학,WAIT,0.21,0.0417,-50.5,7.3,-11.9,15.1,3.7,38.6,-0.2,-1.6,0,0
664,263810,KOSDAQ,1.916,1212,0.922,723.0,상신전자,반도체·전자부품,WAIT,0.04,0.0227,-38.7,-14.5,-6.8,5.1,0.2,-1.1,-0.0,-0.0,0,0
665,112610,KOSPI,1.916,1212,0.833,811.0,씨에스윈드,금속가공,WAIT,1.74,0.0631,-46.2,-8.5,1.1,343.5,28.9,-621.5,112.3,-36.0,0,0
666,077970,KOSPI,1.911,1212,0.944,697.0,STX엔진,기계·장비,WAIT,1.16,0.0696,-56.4,40.0,-3.7,104.9,-14.9,71.8,-15.0,-357.3,0,0
667,033500,KOSDAQ,1.91,1212,0.576,998.0,동성화인텍,화학,,0.53,0.0408,-48.5,-29.1,-0.1,32.1,-11.4,24.6,16.4,-38.3,0,0
668,439090,KOSDAQ,1.909,1212,1.036,599.0,마녀공장,화학,,0.25,0.0539,-21.6,-30.9,21.0,21.7,0.7,-8.6,41.0,98.0,0,0
669,393890,KOSDAQ,1.907,1212,1.08,547.0,더블유씨피,전기장비,EXCLUDE,0.32,0.0618,-54.8,79.6,-23.8,29.8,-5.5,46.5,7.0,-24.6,0,0
670,377190,KOSPI,1.902,1212,0.648,942.0,,,,0.18,0.0269,-47.2,-25.0,-13.3,18.6,-5.6,63.0,0.2,-165.9,0,0
671,215600,KOSDAQ,1.901,1212,0.591,985.0,신라젠,지주·전문서비스,EXCLUDE,0.32,0.0359,-54.0,-15.5,-5.4,13.7,3.1,-7.0,0.1,-0.0,0,0
672,021080,KOSDAQ,1.899,1212,1.002,642.0,에이티넘인베스트,금융(은행),WAIT,0.1,0.0385,-42.9,3.8,-19.7,11.6,5.0,16.3,-0.6,-0.6,0,0
673,006110,KOSPI,1.896,1212,1.139,472.0,삼아알미늄,철강·1차금속,EXCLUDE,0.57,0.082,-61.1,282.9,-40.5,99.6,-34.2,362.2,38.2,-173.0,0,0
674,094360,KOSDAQ,1.895,1212,0.907,739.0,칩스앤미디어,반도체·전자부품,OBSERVE,0.27,0.0494,-36.1,-19.8,-0.6,25.9,-29.6,-9.0,-0.2,-3.5,0,0
675,065680,KOSDAQ,1.895,1212,1.092,532.0,우주일렉트로,반도체·전자부품,OBSERVE,0.26,0.0589,-41.4,11.6,-21.5,8.7,-6.5,0.6,0.0,-1.0,0,0
676,146320,KOSDAQ,1.894,1212,1.285,319.0,비씨엔씨,반도체·전자부품,WAIT,0.14,0.0586,-41.0,48.2,-8.4,10.7,-1.0,-40.2,-0.2,-1.2,0,0
677,200470,KOSDAQ,1.893,1212,1.266,335.0,에이팩트,반도체·전자부품,WATCH,0.25,0.072,-52.3,226.4,-28.2,124.3,-28.3,26.7,-9.0,-10.6,0,0
678,003350,KOSPI,1.888,1212,0.762,866.0,한국화장품제조,화학,,0.19,0.0369,-39.3,-29.9,9.7,7.3,2.1,-4.5,3.3,8.0,0,0
679,041920,KOSDAQ,1.887,1212,1.013,626.0,메디아나,의료·정밀·광학,OBSERVE,0.2,0.0499,-63.3,129.1,-16.0,11.9,14.5,37.3,0.0,1.7,0,0
680,304360,KOSDAQ,1.884,1212,1.11,514.0,에스바이오메딕스,제약·바이오,EXCLUDE,0.25,0.0606,-49.2,46.8,-20.8,23.4,-5.8,-21.9,2.0,-17.2,0,0
681,441270,KOSDAQ,1.879,1212,0.974,668.0,파인엠텍,반도체·전자부품,EXCLUDE,0.27,0.0536,-53.3,35.6,-10.9,22.7,-29.7,-9.0,-1.5,-66.0,0,0
682,004590,KOSDAQ,1.876,1212,1.205,406.0,한국가구,소매,OBSERVE,0.08,0.0473,-31.6,4.8,4.8,5.2,-1.0,-7.3,-0.0,0.2,0,0
683,003280,KOSPI,1.874,1212,0.649,941.0,흥아해운,운수·물류,WAIT,0.39,0.0424,-63.8,9.4,-14.5,111.2,14.0,5.3,-0.1,-0.2,0,0
684,399720,KOSDAQ,1.872,1212,0.934,707.0,가온칩스,반도체·전자부품,EXCLUDE,0.49,0.0611,-48.1,9.2,-7.0,65.7,-10.1,28.5,-1.6,34.9,0,0
685,372320,KOSDAQ,1.871,1212,0.746,873.0,큐로셀,지주·전문서비스,,0.48,0.0501,-51.0,-7.2,16.7,23.5,6.0,-56.5,1.0,6.4,0,0
686,098120,KOSDAQ,1.87,1212,1.167,449.0,마이크로컨텍솔,반도체·전자부품,WAIT,0.19,0.0595,-41.4,22.8,-5.9,21.4,-9.2,-14.8,-10.7,-17.1,0,0
687,079900,KOSPI,1.87,1212,0.836,809.0,전진건설로봇,기계·장비,WATCH,0.55,0.0568,-48.5,-3.1,-22.9,38.4,10.1,29.5,-0.2,-25.6,0,0
688,126340,KOSDAQ,1.87,1212,1.154,459.0,비나텍,전기장비,WATCH,0.56,0.0905,-60.0,279.2,-26.8,146.5,-88.6,15.6,-21.0,-175.3,0,0
689,187660,KOSDAQ,1.869,1212,1.023,613.0,페니트리움바이오,지주·전문서비스,EXCLUDE,0.27,0.057,-74.1,447.3,-22.6,27.6,14.8,73.0,0.0,0.0,0,0
690,138080,KOSDAQ,1.866,1212,1.149,461.0,오이솔루션,반도체·전자부품,EXCLUDE,0.27,0.0657,-59.1,238.2,-28.7,75.1,11.1,170.4,10.3,-44.3,0,0
691,043650,KOSDAQ,1.864,1212,1.073,555.0,국순당,음료,,0.07,0.0388,-23.6,-23.1,10.3,45.3,-1.1,-4.5,0.0,-0.4,0,0
692,051370,KOSDAQ,1.862,1212,0.876,763.0,인터플렉스,반도체·전자부품,WAIT,0.16,0.0413,-51.3,10.1,-18.3,9.6,-7.1,-19.2,3.5,-0.5,0,0
693,058430,KOSPI,1.861,1212,1.146,462.0,포스코스틸리온,철강·1차금속,OBSERVE,0.3,0.0684,-45.8,37.6,-2.4,139.2,3.0,-67.7,0.3,3.1,0,0
694,003780,KOSPI,1.858,1212,0.847,797.0,진양산업,고무·플라스틱,BUY,0.06,0.0249,-40.7,-17.6,0.1,7.2,-0.1,5.9,0.0,-0.0,0,0
695,107640,KOSDAQ,1.857,1212,1.061,571.0,한중엔시에스,전기장비,WATCH,0.3,0.0625,-54.3,65.7,-16.1,30.2,-9.9,12.7,9.5,-51.9,0,0
696,094820,KOSDAQ,1.855,1212,0.925,719.0,일진파워,건설,WAIT,0.18,0.0462,-47.4,5.8,6.3,26.8,1.1,-66.0,1.9,3.6,0,0
697,026890,KOSPI,1.854,1212,0.602,979.0,스틱인베스트먼트,금융(은행),,0.27,0.0361,-45.9,-34.9,6.7,7.7,4.4,21.8,0.1,-12.0,0,0
698,161000,KOSPI,1.853,1212,0.897,750.0,애경케미칼,화학,WATCH,0.48,0.0596,-48.3,5.8,-3.2,23.0,-3.5,0.4,0.2,-6.5,0,0
699,002780,KOSPI,1.849,1212,1.391,225.0,진흥기업,건설,,0.16,0.0735,-26.6,17.6,25.1,72.9,-20.8,-12.9,-0.7,-0.8,0,0
700,336370,KOSPI,1.847,1212,1.013,627.0,솔루스첨단소재,반도체·전자부품,EXCLUDE,0.57,0.0727,-50.2,28.5,-17.8,46.5,15.3,11.8,-22.2,-29.7,0,0
701,039740,KOSDAQ,1.847,1212,1.171,444.0,한국정보공학,도매,WAIT,0.02,0.0412,-41.7,24.1,-13.6,6.1,-0.2,-3.5,0.0,0.1,0,0
702,065660,KOSDAQ,1.843,1212,0.766,862.0,안트로젠,도매,EXCLUDE,0.22,0.0411,-62.4,23.7,-14.2,5.0,-0.5,3.6,-0.4,0.3,0,0
703,073490,KOSDAQ,1.842,1212,1.011,629.0,LIG아큐버,반도체·전자부품,EXCLUDE,0.19,0.0518,-56.5,59.5,-24.3,30.7,-0.3,74.9,-3.3,1.1,0,0
704,052900,KOSDAQ,1.84,1212,1.438,190.0,KX하이텍,고무·플라스틱,,0.1,0.0657,-35.4,65.3,-10.1,29.0,-2.4,22.6,-5.1,-21.9,0,0
705,003720,KOSPI,1.84,1212,1.164,451.0,삼영,고무·플라스틱,OBSERVE,0.21,0.0628,-53.1,114.8,-19.4,39.7,-0.0,41.3,-0.7,7.0,0,0
706,033790,KOSDAQ,1.837,1212,0.978,660.0,피노,전기장비,WATCH,0.51,0.0672,-66.9,150.9,-31.6,71.4,-6.6,74.9,0.2,-34.5,0,0
707,014910,KOSPI,1.836,1212,1.752,35.0,성문전자,반도체·전자부품,,0.06,0.1074,-19.5,112.4,17.8,107.6,7.3,-19.9,0.5,0.5,0,0
708,128820,KOSPI,1.835,1212,0.767,861.0,대성산업,소매,WAIT,0.19,0.0399,-63.6,25.5,-14.9,12.8,2.4,29.9,0.0,-2.4,0,0
709,382800,KOSDAQ,1.83,1212,1.185,432.0,지앤비에스 에코,기계·장비,WATCH,0.15,0.0584,-47.1,52.1,-25.7,36.1,-4.6,5.2,0.8,4.4,0,0
710,001360,KOSPI,1.83,1212,0.821,820.0,삼성제약,제약·바이오,EXCLUDE,0.13,0.0365,-39.8,-22.3,2.2,7.8,0.8,-2.7,-0.1,-2.3,0,0
711,001530,KOSPI,1.83,1212,0.598,982.0,DI동일,도매,,0.47,0.0442,-45.6,-36.8,5.2,13.1,0.4,1.1,-3.0,-20.9,0,0
712,242040,KOSDAQ,1.828,1212,1.401,218.0,나무기술,출판·SW,WATCH,0.16,0.0774,-48.5,388.9,-46.1,118.2,-12.4,10.6,0.2,0.6,0,0
713,462350,KOSDAQ,1.827,1212,0.926,717.0,이노스페이스,조선·기타운송,,0.22,0.0504,-58.7,47.5,-37.6,43.3,-4.3,37.4,-8.5,-121.2,0,0
714,161580,KOSDAQ,1.827,1212,0.875,764.0,필옵틱스,기계·장비,WATCH,0.75,0.0665,-48.9,4.5,-15.9,78.2,-17.8,-65.7,16.3,10.4,0,0
715,086390,KOSDAQ,1.82,1212,1.029,610.0,유니테스트,기계·장비,EXCLUDE,0.25,0.0584,-48.9,25.3,-8.4,26.4,16.2,52.2,-41.8,-80.4,0,0
716,282880,KOSDAQ,1.819,1212,0.855,786.0,코윈테크,기계·장비,OBSERVE,0.12,0.0377,-48.7,0.7,-9.6,5.1,1.7,-1.9,2.3,2.3,0,0
717,205100,KOSDAQ,1.819,1212,0.737,880.0,엑셈,출판·SW,,0.1,0.028,-42.1,-26.2,-10.6,12.1,0.2,41.5,0.1,-74.4,0,0
718,048870,KOSDAQ,1.817,1212,0.613,970.0,시너지이노베이션,의료·정밀·광학,WATCH,0.15,0.0276,-44.9,-36.8,0.5,6.4,5.1,4.6,0.7,0.8,0,0
719,033160,KOSDAQ,1.812,1212,1.208,400.0,엠케이전자,반도체·전자부품,WATCH,0.37,0.0965,-55.1,219.4,-29.8,276.6,225.2,-42.6,-207.9,57.2,0,0
720,100790,KOSDAQ,1.812,1212,1.015,623.0,미래에셋벤처투자,금융(은행),OBSERVE,0.93,0.0915,-74.2,410.3,-54.3,735.6,0.1,208.0,19.3,382.5,0,0
721,119850,KOSDAQ,1.811,1212,0.824,817.0,지엔씨에너지,전기장비,,0.49,0.0577,-32.5,-38.7,61.6,66.9,-59.2,-59.1,76.6,90.1,0,0
722,228760,KOSDAQ,1.81,1212,0.548,1015.0,지노믹트리,지주·전문서비스,EXCLUDE,0.28,0.0361,-64.7,-1.2,1.5,10.2,-0.3,7.2,0.5,-3.5,0,0
723,118990,KOSDAQ,1.805,1212,0.657,933.0,모트렉스,자동차·부품,WAIT,0.14,0.0305,-46.2,-25.3,-11.2,6.7,5.0,10.5,0.0,-0.0,0,0
724,348340,KOSDAQ,1.803,1212,0.867,773.0,뉴로메카,기계·장비,,0.43,0.059,-70.5,89.9,-22.5,67.8,4.6,61.4,15.2,31.1,0,0
725,055490,KOSPI,1.802,1212,1.289,311.0,테이팩스,고무·플라스틱,WAIT,0.06,0.053,-38.1,37.6,-24.7,5.2,-0.8,-4.2,0.0,-1.7,0,0
726,234690,KOSDAQ,1.799,1212,0.808,834.0,녹십자웰빙,제약·바이오,,0.15,0.0393,-45.4,-13.0,3.3,9.1,-3.4,-19.6,0.0,-3.3,0,0
727,046940,KOSDAQ,1.799,1212,1.243,368.0,우원개발,건설,,0.08,0.0524,-31.0,8.0,37.1,71.9,-22.6,-20.7,-0.8,-3.5,0,0
728,052460,KOSDAQ,1.796,1212,1.307,300.0,아이크래프트,IT서비스,,0.05,0.0525,-28.8,10.7,21.7,5.6,-0.9,-13.8,0.1,0.1,0,0
729,092870,KOSDAQ,1.795,1212,1.116,506.0,엑시콘,기계·장비,WATCH,0.23,0.0639,-57.4,138.4,-25.5,61.4,-14.6,52.1,-6.9,-27.8,0,0
730,204270,KOSDAQ,1.794,1212,0.855,787.0,제이앤티씨,반도체·전자부품,,0.93,0.0702,-45.2,-8.7,-0.5,128.2,-4.6,-30.8,3.1,-25.2,0,0
731,025900,KOSDAQ,1.79,1212,0.685,909.0,동화기업,목재,OBSERVE,0.3,0.0451,-53.3,-7.6,-19.2,6.4,-3.3,2.8,2.2,0.3,0,0
732,138360,KOSDAQ,1.789,1212,1.353,259.0,앤로보틱스,기계·장비,WATCH,0.16,0.0757,-49.2,264.2,-15.4,15.0,-2.1,-5.5,1.1,1.4,0,0
733,042520,KOSDAQ,1.787,1212,1.122,501.0,한스바이오메드,제약·바이오,WATCH,0.32,0.0755,-60.0,208.6,-7.9,47.9,15.3,63.4,-59.4,-125.9,0,0
734,047080,KOSDAQ,1.785,1212,1.191,422.0,한빛소프트,출판·SW,WAIT,0.03,0.0459,-36.7,13.1,-32.2,7.6,0.8,-0.8,-0.2,-0.2,0,0
735,007680,KOSDAQ,1.784,1212,1.21,398.0,대원,건설,,0.07,0.0505,0.0,-23.0,34.4,5.4,-1.2,-1.0,-0.1,-0.3,0,0
736,005740,KOSPI,1.783,1212,0.737,879.0,크라운해태홀딩스,금융(은행),,0.08,0.0276,-42.2,-26.0,0.2,6.1,1.7,-0.3,-0.0,-2.2,0,0
737,024840,KOSDAQ,1.781,1212,1.341,270.0,KBI메탈,철강·1차금속,,0.23,0.1203,-45.4,120.2,33.6,282.4,-48.8,-116.9,-0.0,-24.2,0,0
738,002030,KOSPI,1.777,1212,0.34,1112.0,아세아,엔지니어링,WAIT,0.36,0.0304,-55.3,-45.3,2.0,11.1,-6.0,-17.5,2.6,8.0,0,0
739,059210,KOSDAQ,1.776,1212,0.683,911.0,메타바이오메드,제약·바이오,,0.1,0.0277,-41.4,-36.0,12.9,6.9,-0.6,-4.8,-0.6,-2.6,0,0
740,079960,KOSDAQ,1.768,1212,0.864,776.0,동양이엔피,전기장비,,0.16,0.0454,-44.0,-10.5,0.7,7.4,3.4,-5.8,-0.2,-0.5,0,0
741,112290,KOSDAQ,1.764,1212,1.143,467.0,와이씨켐,화학,,0.21,0.0664,-37.6,9.4,-23.0,29.3,-2.7,2.5,-1.1,-0.9,0,0
742,010690,KOSPI,1.763,1212,1.11,515.0,화신,자동차·부품,OBSERVE,0.33,0.0779,-39.2,8.8,-17.8,239.8,8.8,-32.2,-6.0,-64.6,0,0
743,394280,KOSDAQ,1.762,1212,0.834,810.0,오픈엣지테크놀로지,출판·SW,EXCLUDE,0.3,0.0544,-48.0,-4.8,-11.4,14.4,0.2,0.2,-1.7,1.2,0,0
744,376900,KOSDAQ,1.761,1212,0.972,670.0,로킷헬스케어,제약·바이오,WATCH,0.61,0.0796,-74.0,238.8,-18.2,94.3,-5.9,-70.8,-4.0,-10.3,0,0
745,015860,KOSPI,1.757,1212,0.933,709.0,일진홀딩스,금융(은행),WATCH,0.3,0.0608,-57.7,43.7,-9.4,12.3,-5.2,-27.6,-0.6,-1.9,0,0
746,460930,KOSDAQ,1.756,1212,0.379,1095.0,현대힘스,조선·기타운송,WAIT,0.44,0.0362,-59.8,-27.3,-5.4,28.8,7.4,108.1,-0.7,-111.2,0,0
747,066980,KOSDAQ,1.755,1212,1.481,163.0,한성크린텍,연구개발,,0.11,0.0852,-17.3,16.5,18.1,86.6,19.7,5.9,-3.5,0.6,0,0
748,086890,KOSDAQ,1.755,1212,0.621,961.0,이수앱지스,제약·바이오,,0.14,0.032,-43.3,-41.2,16.1,5.2,0.8,-5.5,-0.0,-4.4,0,0
749,025320,KOSDAQ,1.755,1212,0.658,931.0,시노펙스,반도체·전자부품,,0.41,0.0497,-43.8,-32.5,8.1,54.6,-15.9,-24.3,10.8,5.2,0,0
750,446540,KOSDAQ,1.75,1212,1.255,349.0,메가터치,전기장비,WATCH,0.16,0.0709,-44.5,58.8,-15.0,15.5,-9.1,-22.6,0.0,1.0,0,0
751,377300,KOSPI,1.75,1212,0.284,1128.0,카카오페이,금융보조,WATCH,5.37,0.0469,-57.7,-50.8,-5.5,111.2,29.0,169.7,41.2,145.5,0,0
752,042500,KOSDAQ,1.749,1212,1.133,481.0,링네트,IT서비스,,0.09,0.052,-35.1,2.5,3.0,8.2,4.4,-1.4,-0.0,-0.1,0,0
753,053690,KOSPI,1.744,1212,0.778,856.0,한미글로벌,연구개발,WAIT,0.2,0.0454,-45.8,-14.7,3.0,27.0,-2.2,-64.3,7.2,24.4,0,0
754,012210,KOSDAQ,1.744,1212,1.09,535.0,삼미금속,금속가공,,0.18,0.0604,-58.9,138.4,-9.6,7.8,3.8,14.4,0.0,0.0,0,0
755,144510,KOSDAQ,1.742,1212,0.679,913.0,지씨셀,전문서비스,WAIT,0.23,0.0426,-48.1,-18.8,-9.2,8.0,2.3,-3.4,0.1,1.2,0,0
756,474650,KOSDAQ,1.739,1212,0.896,753.0,링크솔루션,기계·장비,EXCLUDE,0.15,0.0476,-69.2,101.5,-25.7,21.9,-2.5,56.4,-2.2,-3.3,0,0
757,079370,KOSDAQ,1.736,1212,0.606,977.0,제우스,기계·장비,OBSERVE,0.3,0.0439,-53.1,-15.9,-2.9,44.5,4.6,114.4,-15.2,-132.4,0,0
758,005420,KOSPI,1.729,1212,0.564,1003.0,코스모화학,화학,WATCH,0.39,0.0455,-51.5,-23.5,-6.2,18.1,-5.5,2.6,10.0,9.3,0,0
759,004100,KOSPI,1.729,1212,1.033,601.0,태양금속,자동차·부품,WATCH,0.09,0.0472,-33.5,-12.5,-14.6,23.4,1.6,28.3,0.0,0.0,0,0
760,149950,KOSDAQ,1.729,1212,1.297,305.0,아바텍,반도체·전자부품,OBSERVE,0.13,0.0715,-45.6,93.2,-35.3,76.2,-5.9,15.2,-0.0,-7.5,0,0
761,000650,KOSPI,1.728,1212,1.128,489.0,천일고속,운수·물류,OBSERVE,0.24,0.0728,-63.4,398.2,-18.8,32.8,-1.3,0.7,0.0,0.6,0,0
762,086900,KOSDAQ,1.723,1212,0.292,1124.0,메디톡스,제약·바이오,OBSERVE,0.56,0.0365,-57.2,-50.2,-2.1,60.7,12.8,206.1,-0.2,-258.4,0,0
763,190510,KOSDAQ,1.721,1212,0.914,733.0,나무가,반도체·전자부품,WAIT,0.18,0.0521,-52.1,17.9,-12.5,10.1,2.1,2.5,0.0,0.1,0,0
764,049630,KOSDAQ,1.721,1212,0.854,788.0,재영솔루텍,의료·정밀·광학,,0.16,0.0473,-80.7,112.4,-20.4,24.2,3.6,49.6,-0.3,-0.3,0,0
765,493280,KOSDAQ,1.719,1212,,,아이엠바이오로직스,지주·전문서비스,WAIT,0.31,0.0696,,,-14.0,24.0,13.6,54.0,-0.7,-41.4,0,0
766,063160,KOSPI,1.719,1212,0.67,919.0,종근당바이오,제약·바이오,WATCH,0.07,0.0248,-44.4,-29.1,-10.5,20.8,1.4,3.9,0.0,-1.3,0,0
767,187870,KOSDAQ,1.718,1212,1.287,314.0,디바이스,기계·장비,,0.18,0.0833,-52.3,267.8,-31.4,42.2,-0.3,105.8,-12.0,-64.7,0,0
768,086820,KOSDAQ,1.718,1212,0.599,981.0,바이오솔루션,제약·바이오,EXCLUDE,0.15,0.034,-54.4,-13.7,-10.0,6.4,-0.7,-3.4,-0.6,-0.3,0,0
769,039560,KOSDAQ,1.717,1212,0.812,826.0,다산네트웍스,반도체·전자부품,,0.11,0.0391,-55.6,13.1,-20.3,8.0,-1.6,-5.1,0.1,4.6,0,0
770,004380,KOSPI,1.716,1212,0.792,844.0,삼익THK,기계·장비,OBSERVE,0.17,0.0452,-40.6,-23.7,-8.9,8.2,-1.1,8.4,0.0,-32.8,0,0
771,019170,KOSPI,1.715,1212,0.547,1016.0,신풍제약,제약·바이오,WATCH,0.43,0.0467,-47.9,-36.7,-3.3,7.0,4.2,20.7,0.3,-0.4,0,0
772,041190,KOSDAQ,1.713,1212,0.308,1119.0,우리기술투자,금융(은행),EXCLUDE,0.4,0.0342,-60.8,-35.6,-7.6,31.1,4.9,48.4,3.8,5.5,0,0
773,378340,KOSDAQ,1.713,1212,0.875,765.0,필에너지,기계·장비,,0.24,0.0559,-48.3,1.9,-7.2,9.5,-9.5,-5.7,0.0,0.1,0,0
774,004980,KOSPI,1.711,1212,0.975,665.0,성신양회,비금속광물(시멘트·유리),,0.21,0.0583,-36.7,-12.4,5.9,15.5,-9.2,-5.6,0.6,0.4,0,0
775,234340,KOSDAQ,1.705,1212,0.823,818.0,헥토파이낸셜,금융보조,,0.26,0.0543,-53.2,9.5,-14.5,40.5,20.7,95.6,-18.7,-38.7,0,0
776,356680,KOSDAQ,1.703,1212,1.125,498.0,엑스게이트,출판·SW,OBSERVE,0.36,0.1236,-53.8,98.2,-18.6,297.1,17.7,5.6,4.6,6.0,0,0
777,039860,KOSDAQ,1.703,1212,1.0,643.0,나노엔텍,의료·정밀·광학,WAIT,0.15,0.0542,-49.9,24.9,-6.1,10.7,2.2,-0.7,-0.3,-1.0,0,0
778,455900,KOSDAQ,1.702,1212,0.79,847.0,엔젤로보틱스,기계·장비,EXCLUDE,0.29,0.0541,-52.9,4.8,-19.0,15.2,5.1,-3.2,-4.8,11.4,0,0
779,298830,KOSDAQ,1.7,1212,0.61,974.0,슈어소프트테크,출판·SW,WATCH,0.22,0.041,-59.2,-5.3,-14.0,16.9,3.0,32.0,-0.0,0.2,0,0
780,214430,KOSDAQ,1.7,1212,0.617,965.0,아이쓰리시스템,반도체·전자부품,WAIT,0.46,0.0519,-51.8,-17.0,0.0,33.2,-19.4,-33.0,7.2,25.3,0,0
781,216080,KOSDAQ,1.697,1212,0.634,953.0,제테마,제약·바이오,,0.2,0.041,-49.6,-20.2,14.4,10.1,1.6,-1.3,2.8,2.8,0,0
782,099430,KOSDAQ,1.696,1212,0.578,996.0,바이오플러스,제약·바이오,WATCH,0.25,0.0416,-47.5,-33.5,-3.5,16.0,3.3,4.5,1.5,2.3,0,0
783,307180,KOSDAQ,1.696,1212,1.224,385.0,아이엘,전기장비,,0.17,0.0738,-52.6,158.7,-34.3,32.2,-3.0,-3.5,1.0,-6.7,0,0
784,083310,KOSDAQ,1.696,1212,1.006,638.0,엘오티베큠,기계·장비,OBSERVE,0.17,0.0575,-44.5,8.5,-0.6,13.8,-1.7,-20.5,-0.0,-0.7,0,0
785,004090,KOSPI,1.695,1212,0.458,1060.0,한국석유,비금속광물(시멘트·유리),WATCH,0.14,0.0235,-60.9,-16.9,-7.0,15.7,4.9,11.3,0.0,-0.2,0,0
786,289080,KOSDAQ,1.695,1212,0.906,741.0,SV인베스트먼트,금융(은행),EXCLUDE,0.12,0.0461,-57.9,38.8,-15.5,11.0,-2.4,-6.0,-0.0,-0.2,0,0
787,009270,KOSPI,1.695,1212,0.541,1021.0,신원,의복,WATCH,0.12,0.0263,-47.5,-39.9,-0.7,6.2,4.2,4.5,-0.8,-1.9,0,0
788,109070,KOSPI,1.694,1212,1.5,152.0,주성코퍼레이션,반도체·전자부품,WATCH,0.08,0.0823,-35.8,105.8,-7.5,7.5,-0.1,-6.5,-0.0,0.0,0,0
789,403550,KOSPI,1.691,1212,0.924,720.0,쏘카,미분류,WATCH,0.41,0.0717,-40.1,-11.8,-1.3,5.6,0.5,-6.8,3.1,26.1,0,0
790,027360,KOSDAQ,1.689,1212,0.975,666.0,아주IB투자,금융(은행),EXCLUDE,0.53,0.0874,-76.8,265.3,-50.7,280.8,-0.2,632.4,-1.5,-33.6,0,0
791,012860,KOSDAQ,1.689,1212,1.062,570.0,모베이스전자,자동차·부품,WAIT,0.18,0.0628,-58.6,111.6,-15.1,17.6,2.0,11.2,0.7,1.6,0,0
792,187790,KOSDAQ,1.682,1212,1.303,302.0,나노,화학,OBSERVE,0.11,0.0704,-52.7,378.2,-31.1,15.4,-5.5,26.7,4.6,-39.8,0,0
793,108380,KOSDAQ,1.682,1212,0.696,902.0,대양전기공업,조선·기타운송,WAIT,0.18,0.0421,-46.8,-20.3,6.4,16.3,-3.2,-2.7,9.2,-44.8,0,0
794,338840,KOSDAQ,1.682,1212,0.809,829.0,와이바이오로직스,지주·전문서비스,EXCLUDE,0.17,0.0476,-68.1,51.5,-17.5,12.7,23.6,44.1,-26.2,-22.9,0,0
795,448900,KOSDAQ,1.681,1212,1.056,576.0,한국피아이엠,자동차·부품,OBSERVE,0.33,0.082,-68.5,382.8,-22.1,62.9,11.5,69.1,8.2,-58.7,0,0
796,003030,KOSPI,1.679,1212,0.406,1085.0,세아제강지주,금융(은행),WATCH,0.47,0.0421,-55.4,-34.3,-19.0,38.2,-2.2,22.9,4.8,-84.6,0,0
797,491000,KOSDAQ,1.674,1212,0.664,927.0,리브스메드,의료·정밀·광학,EXCLUDE,0.86,0.0633,-62.2,,-11.4,84.8,-17.3,68.3,-3.5,-52.0,0,0
798,040350,KOSDAQ,1.672,1212,1.322,286.0,크레오에스지,IT서비스,,0.16,0.0945,-31.9,19.7,-17.7,30.5,-2.1,4.8,0.9,1.0,0,0
799,054450,KOSDAQ,1.672,1212,0.84,805.0,텔레칩스,반도체·전자부품,EXCLUDE,0.16,0.0484,-43.3,-14.0,-6.7,17.5,-14.1,-29.3,0.0,1.2,0,0
800,317850,KOSDAQ,1.672,1212,0.946,695.0,대모,기계·장비,WATCH,0.05,0.041,-38.6,-12.5,-2.0,5.3,0.3,4.4,-0.3,-0.3,0,0
801,290690,KOSDAQ,1.669,1212,1.128,490.0,소룩스,전기장비,EXCLUDE,0.22,0.0761,-29.7,-9.7,-0.7,150.6,-6.4,5.0,0.0,-13.6,0,0
802,477850,KOSDAQ,1.669,1212,,,,,,0.54,0.1453,,,37.2,426.0,11.9,-81.6,5.9,-72.6,0,0
803,042370,KOSDAQ,1.667,1212,0.916,730.0,비츠로테크,금융(은행),WAIT,0.24,0.0602,-55.1,28.8,-13.7,22.0,-1.2,19.4,0.0,-4.2,0,0
804,046120,KOSDAQ,1.658,1212,0.864,775.0,오르비텍,연구개발,EXCLUDE,0.18,0.0525,-62.0,44.0,-22.3,25.1,-7.3,48.0,3.3,1.0,0,0
805,082210,KOSDAQ,1.657,1212,1.113,509.0,옵트론텍,의료·정밀·광학,,0.06,0.0511,-27.3,-14.2,25.4,5.6,-1.4,-3.5,-0.0,0.0,0,0
806,098070,KOSDAQ,1.656,1212,0.543,1019.0,한텍,금속가공,WAIT,0.28,0.0434,-58.2,-13.3,-19.5,17.4,1.8,35.8,1.9,-39.5,0,0
807,307930,KOSDAQ,1.655,1212,1.206,402.0,컴퍼니케이,금융(은행),WAIT,0.09,0.0621,-43.3,39.5,-24.0,8.7,-1.6,-5.4,0.0,-0.0,0,0
808,000520,KOSPI,1.652,1212,0.626,955.0,삼일제약,제약·바이오,WATCH,0.14,0.0372,-46.9,-28.6,-3.3,6.5,4.3,2.3,-1.0,-0.5,0,0
809,054540,KOSDAQ,1.648,1212,0.898,749.0,삼영엠텍,금속가공,WATCH,0.1,0.0458,-62.5,55.5,-4.7,9.5,5.8,20.8,-0.2,-1.1,0,0
