rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
562,048410,KOSDAQ,2.085,1212,1.023,614.0,현대바이오,화학,,0.73,0.0585,-62.2,126.8,-14.7,94.1,0.6,100.5,13.9,-10.4,0,0
563,253590,KOSDAQ,2.085,1212,1.054,579.0,네오셈,기계·장비,OBSERVE,0.44,0.0539,-51.0,41.5,-14.7,53.0,-2.5,43.1,4.1,16.3,0,0
564,005500,KOSPI,2.085,1212,1.307,297.0,삼진제약,제약·바이오,WAIT,0.25,0.0596,-25.4,5.2,-1.4,15.7,6.1,15.9,-0.1,-0.7,0,0
565,000390,KOSPI,2.084,1212,0.863,780.0,SP삼화,화학,WATCH,0.17,0.0283,-50.2,6.7,0.7,9.4,4.1,14.3,-0.4,-1.4,0,0
566,067390,KOSDAQ,2.083,1212,0.917,726.0,,,,0.22,0.037,-44.4,-4.2,-0.9,5.3,4.2,-5.7,0.0,-0.1,0,0
567,032500,KOSDAQ,2.082,1212,1.128,491.0,케이엠더블유,반도체·전자부품,EXCLUDE,0.69,0.0646,-57.5,151.0,-45.3,77.8,7.3,7.6,-5.1,-49.2,0,0
568,900140,KOSPI,2.081,1212,0.758,868.0,엘브이엠씨홀딩스,자동차판매,WATCH,0.24,0.0299,-39.8,-29.7,-10.2,8.3,2.9,3.0,-0.0,-0.0,0,0
569,330860,KOSDAQ,2.081,1212,1.431,195.0,네패스아크,전문서비스,OBSERVE,0.4,0.0863,-43.4,171.0,-6.7,192.7,-7.3,-130.6,-0.9,364.6,0,0
570,123860,KOSDAQ,2.08,1212,1.104,520.0,아나패스,반도체·전자부품,WATCH,0.18,0.0435,-32.9,-6.6,1.3,6.7,-3.4,-25.3,0.0,-0.1,0,0
571,397030,KOSDAQ,2.08,1212,1.138,475.0,에이프릴바이오,지주·전문서비스,EXCLUDE,0.72,0.0663,-58.3,183.6,-25.4,170.9,-13.5,155.2,-25.1,-200.9,0,0
572,008700,KOSPI,2.077,1212,1.046,589.0,아남전자,반도체·전자부품,,0.1,0.0309,-30.2,-16.6,5.0,6.5,-2.0,-4.7,5.2,15.9,0,0
573,285130,KOSPI,2.075,1212,0.558,1006.0,SK케미칼,화학,,0.74,0.0355,-46.5,-40.0,10.2,33.1,-11.6,-8.9,20.5,3.4,0,0
574,043260,KOSDAQ,2.075,1212,1.2,411.0,성호전자,반도체·전자부품,WATCH,1.52,0.0839,-60.1,4046.1,-49.0,1353.2,105.0,-239.9,-191.6,87.6,0,0
575,060280,KOSDAQ,2.072,1212,0.755,870.0,큐렉소,소매,WATCH,0.36,0.0368,-57.2,9.7,-13.3,26.4,0.8,75.2,9.2,-7.6,0,0
576,059090,KOSDAQ,2.069,1212,1.256,347.0,미코,반도체·전자부품,WATCH,0.54,0.0733,-41.8,44.8,-8.7,134.3,10.5,219.8,15.0,-250.8,0,0
577,077500,KOSPI,2.066,1212,1.264,337.0,유니퀘스트,도매,WAIT,0.13,0.0474,-29.9,7.7,-10.0,13.9,-2.4,-10.7,-0.4,0.6,0,0
578,323280,KOSDAQ,2.064,1212,1.077,550.0,태성,기계·장비,EXCLUDE,1.18,0.0677,-57.1,100.7,-19.1,138.4,10.9,11.0,24.0,18.7,0,0
579,204620,KOSDAQ,2.063,1212,0.802,838.0,글로벌텍스프리,금융보조,,0.34,0.0386,-37.3,-29.4,6.2,45.5,39.8,71.6,-28.4,-4.4,0,0
580,078600,KOSDAQ,2.062,1212,1.107,516.0,대주전자재료,반도체·전자부품,WATCH,1.34,0.0728,-53.2,76.2,-21.1,247.9,94.8,643.3,-86.1,-634.2,0,0
581,347700,KOSDAQ,2.061,1212,1.217,390.0,스피어,출판·SW,,1.26,0.0882,-53.9,191.8,-16.0,616.0,-285.6,-73.2,323.3,285.3,0,0
582,000490,KOSPI,2.057,1212,0.783,852.0,대동,기계·장비,WATCH,0.21,0.0297,-39.1,-27.9,-1.1,14.2,7.3,13.8,-1.4,-8.0,0,0
583,056080,KOSDAQ,2.056,1212,0.839,807.0,유진로봇,기계·장비,EXCLUDE,0.52,0.0464,-70.2,69.1,-25.2,51.6,-7.7,213.1,6.7,13.0,0,0
584,171090,KOSDAQ,2.055,1212,1.05,586.0,선익시스템,기계·장비,WATCH,0.54,0.0584,-58.9,106.3,-21.7,45.4,-7.4,-4.0,3.8,21.3,0,0
585,032580,KOSDAQ,2.052,1212,1.675,60.0,피델릭스,반도체·전자부품,,0.19,0.1102,-33.9,345.5,8.5,76.0,-64.5,-52.0,0.3,3.7,0,0
586,000250,KOSDAQ,2.048,1212,0.793,843.0,삼천당제약,제약·바이오,OBSERVE,4.8,0.0577,-82.7,75.3,-14.4,410.6,-5.0,509.6,58.9,15.9,0,0
587,039010,KOSDAQ,2.046,1212,1.305,301.0,현대에이치티,반도체·전자부품,OBSERVE,0.07,0.042,-34.5,23.7,-17.6,7.2,-2.6,-8.5,0.0,0.0,0,0
588,272450,KOSPI,2.042,1212,0.665,924.0,진에어,운수·물류,,0.3,0.0309,-41.0,-40.3,7.0,16.7,4.5,8.3,-1.4,2.2,0,0
589,014530,KOSPI,2.042,1212,0.84,806.0,극동유화,석유정제,WATCH,0.11,0.017,-48.2,-3.6,-5.5,5.2,-0.5,-7.8,0.0,-1.0,0,0
590,018310,KOSDAQ,2.04,1212,1.019,617.0,삼목에스폼,금속가공,,0.22,0.0443,-35.9,-9.7,-24.9,5.4,0.5,-3.8,-0.1,-21.2,0,0
591,173130,KOSDAQ,2.04,1212,1.186,429.0,오파스넷,IT서비스,WAIT,0.08,0.0377,-24.4,-11.1,-11.3,10.5,-2.7,20.1,0.0,-0.0,0,0
592,006910,KOSDAQ,2.036,1212,1.172,443.0,보성파워텍,금속가공,WATCH,0.36,0.0609,-54.0,135.5,-5.1,111.8,-43.0,-92.8,0.1,-0.4,0,0
593,388210,KOSDAQ,2.036,1212,0.885,759.0,씨엠티엑스,반도체·전자부품,OBSERVE,0.79,0.054,-50.1,,-12.2,76.8,-7.7,-21.9,-26.5,-1.1,0,0
594,052020,KOSDAQ,2.035,1212,0.863,778.0,에스티큐브,도매,EXCLUDE,0.55,0.0495,-63.4,49.4,-17.2,30.7,8.1,37.3,0.7,0.1,0,0
595,141000,KOSDAQ,2.032,1212,1.252,353.0,비아트론,기계·장비,,0.11,0.0457,-27.8,1.6,14.0,5.1,-2.3,-6.8,0.2,1.5,0,0
596,168360,KOSDAQ,2.031,1212,1.182,436.0,펨트론,기계·장비,WATCH,0.39,0.063,-43.7,36.4,-2.3,33.6,-11.7,17.3,5.6,4.7,0,0
597,009410,KOSPI,2.031,1212,0.597,983.0,태영건설,건설,,0.51,0.0355,-43.4,-44.6,9.3,6.3,0.3,-0.1,0.1,6.9,0,0
598,010170,KOSDAQ,2.028,1212,1.185,431.0,대한광통신,전기장비,EXCLUDE,1.76,0.1017,-61.1,2080.9,-31.7,1805.6,296.6,403.9,-39.2,76.3,0,0
599,067630,KOSDAQ,2.027,1212,0.616,967.0,,,,0.38,0.0332,-43.8,-39.6,5.0,7.3,1.2,-7.4,0.0,0.0,0,0
600,080580,KOSDAQ,2.024,1212,1.331,278.0,오킨스전자,반도체·전자부품,WATCH,0.3,0.071,-47.6,154.6,-9.3,53.2,-18.0,14.4,-0.9,-0.3,0,0
601,013310,KOSDAQ,2.019,1212,1.09,537.0,아진산업,자동차·부품,WATCH,0.1,0.0372,-37.9,3.3,-4.8,8.8,1.4,-13.9,-0.3,-0.4,0,0
602,200710,KOSDAQ,2.019,1212,1.215,393.0,에이디테크놀로지,반도체·전자부품,WATCH,0.41,0.0675,-49.9,102.1,-4.7,62.5,34.9,54.7,-49.4,-65.1,0,0
603,417840,KOSDAQ,2.015,1212,1.501,151.0,저스템,기계·장비,,0.25,0.0866,-42.9,290.5,-17.8,129.1,-62.0,-49.8,2.4,-7.4,0,0
