ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status
289080,SV인베스트먼트,,1870,44.6,36.2,37.6,-62.8,21.8,9.0,-25.3,-48.5,-4.0,-29.2,-27.3,0.66,5030,1535,10,False,True,True,357213,466224,5.9,6.4,9.2,0.77,6,False,True,True,False,5일선회복/+3%반등,45.7,-2.4,0.0,-1.0,-0.0,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.7,52.7,289080,00599151,0,1,0,0,,[20260316] 주요사항보고서(전환사채매수선택권행사자지정) (20260316001476),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316001476,,,,20260316001476,주의,SAFE
0015S0,페스카로,,7000,48.8,35.1,27.1,-85.1,10.2,1.7,-29.4,-54.8,-7.2,-28.8,,0.34,47000,6350,5,False,True,False,24215,35825,0.8,1.7,2.8,0.68,3,False,False,True,False,+3%반등,45.7,1.5,-0.0,5.9,0.1,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.7,52.7,0015S0,01817920,0,0,0,0,,,,,,,,,,,안전,SAFE
053260,금강철강,,4690,36.1,16.5,25.6,-42.3,26.1,0.9,-11.5,-22.5,-6.8,-12.3,1.8,0.04,8130,3720,5,False,True,False,33764,721940,1.1,1.6,40.1,0.05,0,False,False,False,False,-,56.7,-0.1,0.0,4.8,0.0,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.7,52.7,053260,00105475,0,0,0,0,,,,,,,,,,,안전,SAFE
056190,SFA,,20700,44.8,11.0,14.9,-43.3,2.6,-1.4,-25.3,-28.7,-9.0,-20.5,-22.1,0.79,36500,20175,5,False,True,False,89808,96575,16.0,19.4,22.2,0.93,0,False,False,False,False,-,56.6,-1.5,-2.0,-22.6,10.2,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.6,52.6,056190,00358271,0,0,0,0,,,,,,,,,,,안전,SAFE
243840,신흥에스이씨,,4520,44.3,32.3,23.9,-63.2,17.4,3.1,-29.3,-43.2,-9.4,-31.9,-27.4,0.69,12290,3850,5,False,True,False,197182,205183,6.5,8.9,10.3,0.96,3,False,False,True,False,+3%반등,53.6,-1.3,-0.4,-3.1,0.4,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.6,52.6,243840,00807379,0,0,0,0,,,,,,,,,,,안전,SAFE
199480,뱅크웨어글로벌,,2755,38.3,31.0,26.7,-74.3,6.0,1.5,-19.2,-41.9,-6.6,-24.0,-47.0,0.45,10710,2600,5,False,True,False,14134,25467,0.3,0.4,0.8,0.55,0,False,False,False,False,-,56.5,-0.2,0.0,0.4,-0.0,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.5,52.5,199480,01138595,0,0,0,0,,,,,,,,,,,안전,SAFE
263860,지니언스,,12270,54.7,62.1,45.0,-59.1,11.4,2.7,-12.4,-4.4,-0.7,-12.9,-29.4,2.06,30000,11010,10,False,True,True,37201,31317,8.1,4.5,3.9,1.19,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,33.5,1.7,-0.1,1.0,1.7,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.5,52.5,263860,00962223,0,0,0,0,,,,,,,,,,,안전,SAFE
0007C0,아크릴,,15200,49.2,22.7,23.9,-80.3,7.8,0.4,-33.3,-62.8,-8.5,-37.3,,0.43,77000,14100,5,False,True,False,51688,82951,5.3,8.2,14.3,0.62,0,False,False,False,False,-,48.5,2.4,-1.9,36.1,-8.8,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.5,52.5,0007C0,01829819,0,0,0,0,,,,,,,,,,,안전,SAFE
100660,서암기계공업,,3050,45.8,11.5,30.0,-50.6,4.1,2.2,-12.9,-29.6,-8.0,-16.2,-26.6,0.09,6180,2930,5,False,True,False,138707,611409,1.8,4.2,20.8,0.23,3,False,True,False,False,5일선회복,45.4,1.2,-0.0,-8.5,-0.0,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.4,52.4,100660,00166528,0,0,0,0,,,,,,,,,,,안전,SAFE
322310,오로스테크놀로지,,19890,47.1,41.4,40.8,-61.8,19.3,15.6,-28.7,-39.0,-6.1,-24.4,-26.7,0.91,52000,16670,5,False,True,False,108184,124620,22.3,20.1,27.3,0.87,6,False,True,True,False,5일선회복/+3%반등,42.4,-9.1,7.2,-30.7,11.0,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.4,52.4,322310,01016479,0,0,0,0,,,,,,,,,,,안전,SAFE
172670,에이엘티,,9450,45.0,42.6,38.8,-55.4,46.1,12.5,-26.6,-17.7,-5.3,-30.2,-23.1,0.32,21200,6470,10,False,True,True,52019,68656,2.2,4.7,6.9,0.76,6,False,True,True,False,5일선회복/+3%반등,45.3,-2.6,0.0,-3.5,0.8,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.3,52.3,172670,00493325,0,0,0,0,,,,,,,,,,,안전,SAFE
251630,브이원텍,,3485,43.7,43.0,34.1,-68.3,10.8,5.4,-12.9,-36.1,-5.5,-25.2,-38.2,0.18,11000,3145,5,False,True,False,56589,170918,1.1,1.9,6.5,0.33,6,False,True,True,False,5일선회복/+3%반등,42.3,0.6,-0.0,-4.7,0.1,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.3,52.3,251630,01027794,0,0,0,0,,,,,,,,,,,안전,SAFE
318020,포인트모바일,,1913,44.8,30.7,28.4,-67.1,4.5,-0.6,-23.5,-43.0,-6.3,-25.3,-46.7,0.48,5820,1830,10,False,True,True,26211,20037,0.2,0.5,0.4,1.31,3,False,False,True,False,+3%반등,48.2,-0.2,-0.0,0.0,-0.0,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.2,52.2,318020,00962393,0,0,0,0,,,,,,,,,,,안전,SAFE
196700,웹스,,1070,54.1,37.2,64.2,-69.3,13.2,9.4,-15.1,-48.2,3.4,-19.3,-39.7,1.91,3490,945,15,True,True,True,804420,250916,5.3,8.4,2.6,3.21,6,False,True,True,False,5일선회복/+3%반등,32.1,-2.1,1.8,-2.0,1.7,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.1,52.1,196700,00864338,0,0,0,0,,,,,,,,,,,안전,SAFE
408470,한패스,,5580,49.1,38.4,33.1,-88.3,9.4,1.1,-33.5,-64.6,-8.1,-36.6,,0.41,47750,5100,10,False,True,True,39984,72248,1.7,2.2,4.5,0.55,0,False,False,False,False,-,43.1,0.3,-0.1,9.6,-11.4,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.1,52.1,408470,01445024,0,0,0,0,,,,,,,,,,,안전,SAFE
403850,더핑크퐁컴퍼니,,10190,42.3,19.7,21.0,-83.4,4.0,-2.4,-14.6,-39.7,-4.9,-16.6,,0.32,61500,9800,0,False,False,False,85968,82781,2.7,9.1,9.0,1.04,0,False,False,False,False,-,53.0,-3.2,0.2,24.6,9.4,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.0,52.0,403850,01138364,0,0,0,0,,,,,,,,,,,안전,SAFE
226330,신테카바이오,,1518,46.9,20.0,29.3,-77.5,14.3,2.0,-20.1,-53.0,-5.8,-25.6,-54.1,1.5,6750,1328,10,True,True,False,1042043,348463,8.1,17.4,5.8,2.99,3,False,False,True,False,+3%반등,48.0,-4.8,-8.5,-2.8,-8.6,True,0,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,61.0,52.0,226330,01344336,0,24,0,0,,[20260629] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260629900508) || [20260625] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260625900444) || [20260528] 최대주주변경을수반하는주식담보제공계약체결               (20260528901045),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629900508 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260625900444 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260528901045,,,,20260629900508 || 20260625900444 || 20260528901045,주의,SAFE
054930,유신,,16220,45.9,16.7,22.2,-44.4,4.6,-5.7,-19.1,-40.0,-6.1,-18.2,-27.4,0.54,29150,15500,5,False,False,True,18563,22779,2.0,3.0,3.9,0.81,0,False,False,False,False,-,47.9,-0.1,0.5,0.5,-1.2,True,8,약세,-9,-7,0,-2,-21.1,-23.3,1479.45,,-3.78,-4374.0,-4374.0,-4374.0,10,10,1.0,60.9,51.9,054930,00144650,0,0,0,0,,,,,,,,,,,안전,SAFE
