ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score
012160,영흥,,2490,78.7,65.6,79.2,-17.5,603.4,4.0,564.0,385.4,32.4,144.0,277.2,0.16,3020,354,0,False,False,False,190734,214539,0.9,4.6,4.2,0.89,6,False,True,True,False,5일선회복/+3%반등,7.0,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,13.0,15.0
033780,KT&G,,182600,57.9,73.7,85.6,-5.1,42.5,1.5,8.3,5.5,4.1,2.1,15.2,0.89,192400,128100,5,False,False,True,223110,269209,439.8,400.0,472.2,0.83,6,False,True,True,False,5일선회복/+3%반등,2.0,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,13.0,15.0
014440,영보화학,,4515,50.0,81.0,53.6,-16.5,7.5,-0.3,2.6,-4.4,0.1,-0.3,-3.0,0.7,5410,4200,0,False,False,False,12375,16357,0.5,0.6,0.7,0.76,6,False,True,True,False,5일선회복/+3%반등,6.6,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.6,14.6
453340,현대그린푸드,,18550,59.8,62.1,76.9,-5.8,26.6,0.7,13.7,13.8,4.4,6.0,14.1,0.75,19690,14650,0,False,False,False,31412,49429,6.9,5.7,8.8,0.64,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,2.3,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.3,14.3
003610,방림,,5300,59.6,60.8,89.7,-15.6,24.7,2.3,4.7,-2.6,2.7,2.4,-1.4,0.92,6280,4250,0,False,False,False,108507,119538,5.8,5.6,6.2,0.91,6,False,True,True,False,5일선회복/+3%반등,6.2,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.2,14.2
002100,경농,,9160,55.0,39.6,59.6,-23.0,7.1,0.1,0.9,-7.6,0.3,-0.3,-2.9,0.7,11900,8550,0,False,False,False,29488,35185,2.3,2.7,3.2,0.84,3,False,True,False,False,5일선회복,9.2,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.2,14.2
096760,JW홀딩스,,3860,49.7,65.8,72.6,-14.1,22.7,-1.2,4.3,-8.2,2.2,1.7,1.6,0.72,4495,3145,0,False,False,False,54464,82089,2.3,2.1,3.1,0.66,6,False,True,True,False,5일선회복/+3%반등,6.1,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.1,14.1
161390,한국타이어앤테크놀로지,,70500,54.5,37.7,56.1,-10.1,87.3,-4.2,16.9,13.5,1.4,5.0,16.9,0.89,78400,37650,5,False,False,True,353950,401167,251.6,257.0,278.6,0.88,3,False,False,True,False,+3%반등,4.0,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,12.0,14.0
020120,키다리스튜디오,,3535,61.3,64.0,70.8,-22.2,26.2,-1.4,13.1,-7.0,3.4,3.7,-0.1,0.54,4545,2800,0,False,False,False,78245,93705,1.8,2.8,3.2,0.84,3,False,False,True,False,+3%반등,8.9,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,11.9,13.9
033270,유나이티드제약,,17490,51.5,54.1,59.9,-22.1,6.3,-0.5,2.1,-15.5,0.7,-3.0,-8.9,0.77,22450,16460,0,False,False,False,25343,31528,4.2,4.4,5.4,0.8,3,False,True,False,False,5일선회복,8.8,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,11.8,13.8
014710,사조씨푸드,,9310,61.7,73.0,73.2,-13.8,43.7,-2.5,25.6,20.0,5.8,17.1,11.8,0.34,10800,6480,0,False,False,False,17668,25707,0.8,1.6,2.3,0.69,6,False,True,True,False,5일선회복/+3%반등,5.5,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,11.5,13.5
016450,한세예스24홀딩스,,4415,55.3,62.2,80.7,-12.4,17.7,1.0,7.9,-5.3,3.1,2.6,2.1,0.86,5040,3750,0,False,False,False,10667,16801,0.6,0.5,0.7,0.63,6,False,True,True,False,5일선회복/+3%반등,5.0,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,11.0,13.0
003650,미창석유,,141200,55.4,59.3,64.5,-16.4,38.3,-1.3,8.6,18.0,2.0,9.1,17.2,1.27,169000,102100,0,False,False,False,4016,3487,6.0,5.7,4.8,1.15,3,False,False,True,False,+3%반등,7.9,,,,,False,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,10.9,12.9
