ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score
019180,티에이치엔,,5740,40.3,35.6,35.2,-44.1,109.9,0.3,-4.0,-23.8,-2.4,-15.3,-20.0,0.76,10270,2735,0,False,False,False,96290,117781,5.0,5.5,6.9,0.82,6,False,True,True,False,5일선회복/+3%반등,40.1,0.4,1.1,1.0,1.6,True,10,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,56.1,58.1,019180,00118965,0,4,0,0,,[20260224] 최대주주등소유주식변동신고서(최대주주변경시)               (20260224801113) || [20260224] 최대주주변경               (20260224800965) || [20260114] 최대주주변경               (20260114800255),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260224801113 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260224800965 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260114800255,,,,20260224801113 || 20260224800965 || 20260114800255,주의,SAFE,2025,700.6,309.6,126.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,721.1,339.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,175.0,33.8,417.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.03,default,5,76.1,78.1
078000,텔코웨어,,12550,33.3,31.7,27.3,-54.3,3.7,-1.3,-3.8,-27.1,-1.9,-8.0,-20.0,0.3,27450,12100,5,False,False,True,8781,9355,0.4,1.1,1.2,0.94,6,False,True,True,False,5일선회복/+3%반등,56.0,0.8,-0.0,5.3,-0.1,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,70.0,72.0,078000,00361488,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,32.9,33.8,-2.6,CFS,영업이익,dart_OperatingIncomeLoss,169.3,44.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-13.5,-18.2,25.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,5.15,default,0,75.0,77.0
004440,삼일씨엔에스,,5120,36.9,14.7,29.5,-53.7,28.3,1.0,13.0,-30.2,-9.0,-4.9,-10.9,0.14,11070,3990,5,False,True,False,47924,325040,2.3,2.5,19.9,0.15,3,False,True,False,False,5일선회복,51.7,-0.4,-0.0,-5.9,0.0,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,59.7,61.7,004440,00109806,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,50.0,-16.7,398.3,OFS,영업이익(손실),dart_OperatingIncomeLoss,140.8,-56.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.1,-12.9,200.9,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.82,default,0,74.7,76.7
016740,두올,,3410,32.8,15.2,8.2,-37.1,4.1,-5.0,-12.8,-26.7,-5.4,-17.9,-17.9,1.05,5420,3275,0,False,False,False,31443,51157,1.8,1.1,1.9,0.61,0,False,False,False,False,-,67.7,-0.4,0.0,2.2,2.2,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,67.7,69.7,016740,00119672,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,486.0,429.2,13.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,506.5,539.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,60.0,170.8,-64.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,1.04,default,2,74.7,76.7
077970,STX엔진,,25550,42.5,38.2,41.4,-62.3,27.9,2.2,-13.4,-49.4,-3.0,-23.5,-29.3,0.92,67700,19970,5,False,False,True,165978,200295,46.6,40.6,53.7,0.83,6,False,True,True,False,5일선회복/+3%반등,41.4,-2.8,-10.6,1.7,-46.4,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,52.4,54.4,077970,00480455,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,695.9,422.4,64.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,728.7,367.1,영업활동 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,175.0,154.5,13.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.05,default,7,74.4,76.4
001550,조비,,10340,45.4,12.5,25.0,-50.6,5.2,-3.9,-1.5,-31.6,-2.0,-6.6,-17.2,1.06,20950,9830,5,True,False,False,56249,40189,4.5,5.9,4.2,1.4,0,False,False,False,False,-,42.3,2.1,0.0,4.8,-0.2,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,50.3,52.3,001550,00148948,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,38.2,48.3,-20.9,OFS,영업이익(손실),dart_OperatingIncomeLoss,40.3,-5.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,47.3,18.3,158.6,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.05,default,-1,74.3,76.3
014910,성문전자,,1805,14.4,0.4,6.5,-56.5,73.7,-15.7,-29.8,5.1,-22.5,-30.0,-1.5,0.25,4150,1039,0,False,False,False,472882,1613298,7.4,9.1,41.7,0.29,0,False,False,False,False,-,87.3,-0.1,-0.0,-0.3,-0.0,True,0,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,87.3,89.3,014910,00132628,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,16.7,11.0,51.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,72.3,44.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,6.7,7.6,-11.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,피크아웃,-15,5,현금창출양호,4.33,default,-3,74.3,76.3
003070,코오롱글로벌,,8930,32.0,26.1,30.3,-34.2,5.8,-0.4,-3.4,-24.7,-3.7,-5.3,-7.9,0.53,13570,8440,0,False,False,False,21013,27064,1.3,1.8,2.5,0.78,3,False,True,False,False,5일선회복,51.2,1.2,-0.5,4.2,-0.6,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,57.2,59.2,003070,00152880,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,36.5,-566.7,106.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,723.6,-2132.7,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,220.1,96.0,129.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,19.82,default,2,74.2,76.2
085310,엔케이,,8130,39.7,58.1,46.9,-53.8,17.0,1.4,-11.5,-23.0,-0.9,-15.0,-30.8,2.31,17610,6950,0,False,False,False,30334,26235,5.0,2.4,2.1,1.16,6,False,True,True,False,5일선회복/+3%반등,49.0,-1.0,3.6,1.1,5.5,True,8,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,63.0,65.0,085310,00172228,0,2,0,0,,[20260515] [기재정정]주식병합결정               (20260515803244) || [20260316] 주식병합결정               (20260316800325),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515803244 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260316800325,,,,20260515803244 || 20260316800325,주의,SAFE,2025,-6.5,-48.2,86.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,-58.8,-86.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,-9.6,155.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,6,74.0,76.0
004980,성신양회,,7870,43.3,10.5,21.4,-48.6,4.9,-6.8,0.8,-33.4,-7.5,-9.4,-18.4,0.28,15310,7500,0,False,False,False,131910,345267,8.0,10.4,30.6,0.38,0,False,False,False,False,-,45.8,7.9,-0.4,-0.0,0.0,True,3,조정,2,-2,2,2,18.1,-21.0,1459.42,-2.94,-5.63,15909.0,15909.0,15909.0,10,10,1.0,48.8,50.8,004980,00132804,0,0,0,0,,,,,,,,,,,안전,SAFE,2025,436.6,532.4,-18.0,CFS,영업이익,dart_OperatingIncomeLoss,1310.0,417.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,7.9,-62.6,112.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.0,default,0,73.8,75.8
