market,run_id,run_timestamp,ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,reversal_score,supply_score_v2,supply_intensity,quality_score,turnaround_score,oversold_component,PBR,PER,DIV,BPS,EPS,value_score,value_source,main_candidate,final_score_v3,entry_score,grade,bucket
kosdaq,20260602,20260602_2340,484590,삼양컴텍,금속가공,7810,18.7,3.4,5.5,-65.5,1.6,-20.6,-41.0,-39.3,-24.3,-32.4,,1.69,22650,7690,0,0,0,0,204236,202433,26.4,17.3,21.4,1.01,0,0,0,0,0,-,91.2,10.5,-13.4,-15.8,-23.7,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,99.2,98.2,484590,141583,0,0,0,0,,,,,,,,,,,안전,2025.0,266.3,180.6,47.5,OFS,영업이익(손실),dart_OperatingIncomeLoss,177.0,-69.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,20.0,55.6,-64.1,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,피크아웃,-15,2,현금창출보통,0.66,default,-3,83.2,82.2,0,0.0,-0.136,10.0,-15.0,20.0,2.06,12.03,0.0,3797.0,649.0,0.0,PYKRX,True,15.0,3.5,C,OBSERVE
kosdaq,20260602,20260602_2340,053290,NE능률,미분류,1620,33.0,27.9,21.4,-42.2,7.7,-4.5,-26.2,-16.9,-10.5,-21.2,-19.9,1.13,2805,1504,0,0,0,0,69337,54233,1.0,1.1,1.0,1.28,0,0,0,0,0,-,68.1,-0.7,0.0,-1.6,0.0,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,68.1,67.1,053290,363927,0,0,0,0,,,,,,,,,,,안전,2025.0,10.7,-10.5,202.0,OFS,영업이익(손실),dart_OperatingIncomeLoss,184.3,95.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-120.9,3.6,-3474.8,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,피크아웃,-15,5,현금창출양호,17.22,default,4,62.1,61.1,3,-10.0,-0.7,13.0,-15.0,17.025,0.33,0.0,0.0,4846.0,0.0,7.0,PYKRX,True,15.0,-1.0,B,OBSERVE
kosdaq,20260602,20260602_2340,014970,삼륭물산,미분류,5340,15.0,8.9,6.1,-58.0,2.7,-10.7,-28.1,-17.5,-14.8,-28.0,-26.9,0.55,12700,5200,0,0,0,0,55787,65305,1.7,3.1,4.2,0.85,0,0,0,0,0,-,86.6,-0.7,0.0,6.6,0.0,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,86.6,85.6,014970,125488,0,0,0,0,,,,,,,,,,,안전,2025.0,65.2,57.9,12.6,CFS,영업이익,dart_OperatingIncomeLoss,13.3,71.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,6.8,11.1,-38.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,-3,현금창출약함,0.2,default,0,83.6,82.6,0,-10.0,-0.167,5.0,0.0,20.0,1.38,13.09,1.97,3863.0,408.0,0.0,PYKRX,True,15.0,-2.0,C,OBSERVE
kosdaq,20260602,20260602_2340,273640,와이엠텍,미분류,7280,11.0,5.2,10.4,-48.0,15.6,-23.0,-39.1,-4.1,-29.0,-20.1,-15.4,0.31,13990,6300,0,0,0,0,111784,187919,4.2,9.1,21.0,0.59,0,0,0,0,0,-,85.0,0.3,0.0,20.0,0.0,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,93.0,92.0,273640,1215618,0,2,0,0,,[20260108] 유상증자결정(종속회사의주요경영사항)               (20260108900464) || [20251224] 주요사항보고서(전환사채권발행결정) (20251224000001),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260108900464 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251224000001,,,,20260108900464 || 20251224000001,주의,2025.0,17.4,43.2,-59.6,OFS,영업이익(손실),dart_OperatingIncomeLoss,36.9,67.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,4.7,14.5,-67.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,하락지속,-10,5,현금창출양호,2.12,default,-3,85.0,84.0,0,0.0,0.014,15.0,-10.0,20.0,1.3,23.41,1.37,5590.0,311.0,0.0,PYKRX,False,15.0,11.0,WATCH,WATCH
kosdaq,20260602,20260602_2340,352700,씨앤투스,미분류,1651,5.2,14.7,-0.6,-45.9,3.2,-8.8,-22.9,-21.9,-11.7,-16.4,-27.4,0.87,3050,1600,0,0,0,0,39279,41165,0.6,0.7,0.8,0.95,0,0,0,0,0,-,83.6,-0.4,0.2,-1.4,0.3,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,91.6,90.6,352700,875237,0,0,0,0,,,,,,,,,,,안전,2025.0,-57.5,14.0,-510.2,CFS,영업이익,dart_OperatingIncomeLoss,2.1,82.2,영업활동 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-3.6,3.2,-213.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,하락지속,-10,0,회계손실현금유입,,default,2,83.6,82.6,0,-10.0,-0.25,5.0,-10.0,20.0,0.27,0.0,3.03,6082.0,0.0,10.0,PYKRX,True,15.0,-9.0,C,OBSERVE
kosdaq,20260602,20260602_2340,356890,싸이버원,미분류,2790,22.5,7.6,4.3,-48.5,3.5,-19.0,-27.7,-19.8,-17.0,-18.8,-25.0,0.29,5420,2695,0,0,0,0,180990,404184,3.3,5.5,14.1,0.45,0,0,0,0,0,-,86.5,1.5,0.0,-2.4,0.0,1,8,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,94.5,93.5,356890,1293953,0,0,0,0,,,,,,,,,,,안전,2025.0,4.1,113.3,-96.3,CFS,영업이익,dart_OperatingIncomeLoss,-16.8,151.2,Ⅰ. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-2.0,-5.5,63.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-10,밸류트랩의심,-4.1,default,-3,101.5,100.5,0,5.0,0.106,-10.0,8.5,20.0,0.83,0.0,1.25,3342.0,0.0,1.0,PYKRX,False,14.5,10.0,WATCH,WATCH
kosdaq,20260602,20260602_2340,039440,에스티아이,미분류,27000,30.8,9.1,19.4,-37.5,55.4,-18.9,-30.6,-29.2,-16.9,-17.3,-4.0,0.54,43200,17380,0,0,0,0,165800,274159,39.6,48.1,93.6,0.6,0,0,0,0,0,-,76.0,-20.6,-36.5,14.2,-4.1,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,76.0,75.0,039440,298340,0,0,0,0,,,,,,,,,,,안전,2025.0,197.2,272.9,-27.7,CFS,영업이익,dart_OperatingIncomeLoss,186.8,158.3,영업활동 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,3.6,52.4,-93.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,하락지속,-10,5,현금창출양호,0.95,default,-3,68.0,67.0,0,-10.0,-0.61,15.0,-10.0,19.0,1.44,25.84,0.56,18772.0,1045.0,0.0,PYKRX,True,14.0,-1.3,B,OBSERVE
kosdaq,20260602,20260602_2340,239890,피엔에이치테크,화학,4030,29.0,4.2,4.1,-43.6,2.3,-15.7,-37.1,-19.9,-22.8,-24.5,-24.5,0.54,7150,3940,0,0,0,0,100001,102527,2.3,4.5,5.5,0.98,0,0,0,0,0,-,85.8,-3.3,-0.1,-2.8,-4.2,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,85.8,84.8,239890,1112889,0,2,0,0,,[20250901] 전환사채(해외전환사채포함)발행후만기전사채취득               (20250901900830) || [20250602] 전환사채(해외전환사채포함)발행후만기전사채취득               (20250602900737),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250901900830 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250602900737,,,,20250901900830 || 20250602900737,주의,2025.0,21.9,25.4,-13.5,OFS,영업이익,-표준계정코드 미사용-,82.8,93.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,0.9,4.6,-81.2,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익,-표준계정코드 미사용-,ok,3개월 기준 YoY 계산 성공,하락지속,-10,5,현금창출양호,3.78,default,0,80.8,79.8,0,-10.0,-0.618,15.0,-10.0,20.0,0.72,13.94,4.96,5596.0,289.0,9.0,PYKRX,False,14.0,-1.0,WATCH,WATCH
kosdaq,20260602,20260602_2340,263810,상신전자,미분류,2645,39.3,17.0,7.0,-37.2,6.7,-10.2,-17.6,-13.3,-8.1,-10.4,-14.1,0.18,4215,2480,0,0,0,0,194587,423169,2.1,5.4,12.5,0.46,0,0,0,0,0,-,60.2,-1.3,0.0,-8.8,0.0,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,60.2,59.2,263810,760999,0,1,0,0,,[20250604] [기재정정]주요사항보고서(유상증자결정) (20250604000011),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250604000011,,,,20250604000011,주의,2025.0,25.6,21.3,20.4,CFS,영업이익,dart_OperatingIncomeLoss,35.3,12.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-6.2,9.0,-168.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,피크아웃,-15,5,현금창출양호,1.38,default,-3,47.2,46.2,0,0.0,-0.104,18.0,-15.0,15.05,0.8,23.2,0.0,3315.0,114.0,6.0,PYKRX,False,14.0,8.4,WATCH,WATCH
kosdaq,20260602,20260602_2340,217820,원익피앤이,미분류,2285,13.5,5.6,10.2,-50.6,3.2,-23.3,-43.5,-42.3,-27.7,-29.9,-33.0,0.61,4625,2215,0,0,0,0,420066,443453,6.2,10.6,14.9,0.95,0,0,0,0,0,-,85.9,-8.1,0.0,-11.7,-0.2,1,0,조정,-1,-1,0,0,3.9,-15.9,1516.74,,2.76,-896.0,-896.0,-896.0,10,10,1.0,85.9,84.9,217820,1020843,0,0,0,0,,,,,,,,,,,안전,2025.0,14.0,-487.5,102.9,CFS,영업이익,dart_OperatingIncomeLoss,613.7,-424.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-60.8,90.4,-167.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,피크아웃,-15,5,현금창출양호,43.84,default,-3,72.9,71.9,0,-10.0,-0.544,13.0,-15.0,20.0,0.99,50.78,0.0,2304.0,45.0,6.0,PYKRX,True,14.0,-6.1,B,OBSERVE
