rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
32,025320,KOSDAQ,0.972,1093,시노펙스,반도체·전자부품,WATCH,0.36,0.0605,-51.8,-38.2,-2.7,32.4,-10.0,-22.7,-9.3,-18.9,1,1,
33,030000,KOSPI,0.971,1093,제일기획,엔지니어링,,2.18,0.0201,-18.2,-4.4,-1.0,54.9,23.5,111.9,-3.9,-104.4,1,1,
34,121600,KOSDAQ,0.97,1093,나노신소재,화학,WATCH,0.58,0.0536,-47.1,-21.8,1.8,24.3,-8.0,-12.3,-16.1,-2.0,1,1,
35,007340,KOSPI,0.969,1093,DN오토모티브,전기장비,OBSERVE,2.64,0.0552,-28.2,85.6,-5.6,155.8,-15.8,107.9,41.3,-35.1,1,1,
36,277810,KOSDAQ,0.968,1093,레인보우로보틱스,기계·장비,EXCLUDE,8.9,0.0608,-47.8,84.0,-6.2,422.3,53.7,413.8,-111.8,-599.2,1,1,
37,052690,KOSPI,0.967,1093,한전기술,연구개발,,4.11,0.0688,-44.8,2.6,5.3,384.0,-209.9,-757.3,-4.7,172.9,1,1,
38,047810,KOSPI,0.966,1093,한국항공우주,조선·기타운송,WATCH,12.33,0.0514,-37.4,58.5,-15.7,546.1,-129.7,-865.8,-462.6,-722.9,1,1,
39,466100,KOSDAQ,0.965,1093,클로봇,출판·SW,EXCLUDE,0.63,0.0657,-67.4,68.1,-21.6,162.9,-21.5,-98.4,-63.3,-343.6,1,1,
40,060280,KOSDAQ,0.964,1093,큐렉소,소매,WATCH,0.34,0.0417,-60.0,11.9,-11.2,16.9,3.5,-13.7,-9.3,-17.7,1,1,
41,328130,KOSDAQ,0.963,1093,루닛,출판·SW,,0.67,0.0532,-60.9,-41.0,-16.2,40.5,-2.8,-59.2,-21.7,-63.1,1,1,
42,036540,KOSDAQ,0.962,1093,SFA반도체,반도체·전자부품,,0.92,0.0661,-49.0,62.7,9.6,106.0,-1.6,-56.6,11.2,91.9,1,1,
43,214430,KOSDAQ,0.962,1093,아이쓰리시스템,반도체·전자부품,WAIT,0.44,0.0529,-54.0,-16.1,-8.8,16.1,0.2,-18.4,-9.2,-9.8,1,1,
44,007070,KOSPI,0.961,1093,GS리테일,소매,OBSERVE,2.12,0.0321,-13.8,50.9,-4.0,51.9,12.9,43.7,-16.6,23.1,1,1,
45,108320,KOSPI,0.96,1093,LX세미콘,반도체·전자부품,OBSERVE,0.59,0.0441,-44.9,-32.9,2.4,33.8,-19.8,-41.5,-9.9,-13.6,1,1,
46,003670,KOSPI,0.959,1093,포스코퓨처엠,전기장비,,16.33,0.0547,-38.0,-3.3,24.5,674.3,-157.3,-362.6,294.9,709.7,1,1,
47,003570,KOSPI,0.958,1093,SNT다이내믹스,자동차·부품,WATCH,0.94,0.0445,-62.2,-47.5,-10.3,14.8,-26.2,-14.3,8.2,-25.8,1,1,
48,095660,KOSDAQ,0.957,1093,네오위즈,출판·SW,WAIT,0.39,0.0265,-42.1,-18.7,-6.9,8.6,2.7,1.6,-6.9,-16.3,1,1,
49,272210,KOSPI,0.956,1093,한화시스템,반도체·전자부품,WATCH,13.0,0.0592,-57.7,35.8,-1.9,264.6,-66.1,117.8,-154.3,-64.0,1,1,
50,007310,KOSPI,0.955,1093,오뚜기,식료품,,1.34,0.0234,-22.9,-15.4,-0.1,15.9,14.5,-0.0,8.2,22.0,1,1,
51,003090,KOSPI,0.954,1093,대웅,제약·바이오,OBSERVE,0.98,0.0325,-42.6,-19.3,-5.7,10.1,2.8,-4.1,-0.4,-1.0,0,1,
52,307950,KOSPI,0.953,1093,현대오토에버,출판·SW,OBSERVE,10.83,0.0558,-57.9,174.0,-5.3,393.5,263.0,-214.7,-206.2,-635.9,0,1,
53,068790,KOSDAQ,0.952,1093,DMS,기계·장비,,0.15,0.0437,-27.0,-11.2,-19.1,5.8,-1.7,-8.4,-0.3,-0.3,0,1,
54,352480,KOSDAQ,0.952,1093,씨앤씨인터내셔널,화학,,0.3,0.0364,-52.0,-55.0,8.2,5.9,-2.0,-2.8,3.9,13.7,0,1,
