ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate
037370,EG,,3670,14.4,5.5,-5.8,-52.2,2.7,-20.2,-33.2,-36.4,-22.0,-27.0,-34.1,2.09,7670,3575,0,False,False,False,46769,41913,3.1,1.9,2.0,1.12,0,False,False,False,False,-,95.5,0.4,0.0,-1.5,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,103.5,102.5,037370,261054,0,0,0,0,,,,,,,,,,,안전,2025.0,-21.7,-54.7,60.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,-36.7,-24.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-7.2,-10.2,29.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,-2,106.5,105.5,-999.0,EXCLUDE,EXCLUDE,-999.0,7.0,PYKRX,-12.0,5.5,0,10.0,20.0,False
085670,뉴프렉스,,4370,23.2,4.7,4.1,-40.0,5.3,-19.1,-36.4,-24.1,-23.0,-25.5,-20.7,0.6,7280,4150,0,False,False,False,396163,403836,10.7,19.0,23.0,0.98,0,False,False,False,False,-,84.4,-13.1,-0.0,-8.3,-9.1,True,0,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,84.4,83.4,085670,493510,0,0,0,0,,,,,,,,,,,안전,2025.0,92.3,146.4,-36.9,CFS,영업이익,dart_OperatingIncomeLoss,147.4,427.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.0,-1.3,1071.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.6,default,-3,106.4,105.4,56.0,B,OBSERVE,21.9,9.0,PYKRX,20.0,17.0,0,-10.0,20.0,True
014190,원익큐브,,1371,19.8,10.9,6.2,-49.8,2.5,-12.1,-24.0,-30.2,-12.1,-18.6,-17.9,0.77,2730,1337,0,False,False,False,202559,213930,2.3,2.9,3.4,0.95,0,False,False,False,False,-,84.2,-0.8,-0.0,-4.9,-0.0,True,0,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,84.2,83.2,014190,128175,0,0,0,0,,,,,,,,,,,안전,2025.0,33.1,35.6,-7.2,CFS,영업이익,dart_OperatingIncomeLoss,172.7,10.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,25.3,6.4,298.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,5.22,default,-3,106.2,105.2,54.0,B,OBSERVE,17.9,12.0,PYKRX,15.0,17.0,0,-10.0,20.0,True
322180,LS티라유텍,,6250,19.5,9.2,11.7,-46.4,28.9,-16.6,-33.4,-27.3,-22.4,-21.2,-14.0,0.95,11660,4850,0,False,False,False,295789,385888,22.9,19.5,33.1,0.77,0,False,False,False,False,-,83.9,0.6,0.2,14.4,-5.6,True,15,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,98.9,97.9,322180,1309388,0,2,0,0,,[20260227] 주요사항보고서(감자결정) (20260227006502) || [20250905] 유상증자결정(종속회사의주요경영사항)               (20250905900113),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260227006502 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250905900113,,,,20260227006502 || 20250905900113,주의,2025.0,-42.9,-79.1,45.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,-68.7,-43.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-26.0,-29.1,10.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,2,105.9,104.9,-999.0,EXCLUDE,EXCLUDE,-999.0,-5.0,PYKRX,-12.0,3.0,0,3.0,20.0,False
035810,이지홀딩스,,4505,29.9,10.8,-1.1,-51.5,27.8,-14.2,-18.1,-44.5,-12.7,-17.6,-7.3,0.91,9290,3525,0,False,False,False,398133,454544,18.1,18.8,23.8,0.88,0,False,False,False,False,-,83.8,11.3,-6.5,6.8,-7.8,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,91.8,90.8,035810,242378,0,0,0,0,,,,,,,,,,,안전,2025.0,1513.5,1234.0,22.7,CFS,영업이익,dart_OperatingIncomeLoss,2364.0,1648.6,I. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,341.7,174.1,96.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.56,default,-1,105.8,104.8,79.0,B,OBSERVE,44.1,15.0,PYKRX,23.0,11.0,0,10.0,20.0,True
0007C0,아크릴,,27000,31.3,0.0,5.7,-64.9,9.1,-12.6,-29.7,-34.0,-17.9,-22.7,,0.88,77000,24750,5,True,False,False,387649,297104,67.9,118.3,100.4,1.3,0,False,False,False,False,-,85.6,0.1,-0.8,-1.3,1.7,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,98.6,97.6,0007C0,1829819,0,0,0,0,,,,,,,,,,,안전,2025.0,-22.5,-23.9,5.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,-47.1,-14.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-7.9,-10.7,26.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,2,105.6,104.6,-999.0,EXCLUDE,EXCLUDE,-999.0,-5.0,PYKRX,-12.0,5.5,0,0.0,20.0,False
014100,메디앙스,,1415,17.4,2.0,-1.9,-42.5,0.4,-11.0,-21.1,-16.1,-12.3,-15.3,-21.5,2.42,2460,1410,5,True,False,False,49011,30803,1.1,0.7,0.5,1.59,0,False,False,False,False,-,89.6,0.1,0.0,0.2,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,102.6,101.6,014100,267854,0,0,0,0,,,,,,,,,,,안전,2025.0,-11.0,-88.2,87.5,CFS,영업손실,dart_OperatingIncomeLoss,0.0,-22.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,12.8,-2.9,535.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,-5,이중적자,,default,-2,105.6,104.6,-999.0,EXCLUDE,EXCLUDE,-999.0,7.0,PYKRX,-12.0,5.5,0,10.0,20.0,False
311320,지오엘리먼트,,7270,28.6,7.6,2.0,-33.4,20.2,-20.9,-16.1,-1.4,-18.6,-10.7,-0.2,0.56,10910,6050,0,False,False,False,118071,197471,8.4,9.4,18.9,0.6,0,False,False,False,False,-,75.6,-1.5,1.1,4.6,2.7,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,83.6,82.6,311320,668965,0,0,0,0,,,,,,,,,,,안전,2025.0,44.3,53.1,-16.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,73.1,65.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,20.8,7.6,172.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.65,default,-3,105.6,104.6,55.9,B,OBSERVE,33.6,0.0,PYKRX,20.0,17.0,0,0.0,18.9,True
432470,케이엔에스,,9540,21.8,6.9,11.3,-53.2,12.8,-19.3,-35.2,-40.4,-23.6,-27.6,-21.9,0.34,20400,8460,0,False,False,False,70538,165988,5.5,7.2,23.1,0.42,0,False,False,False,False,-,85.5,3.2,0.0,7.6,-0.1,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,93.5,92.5,432470,1402995,0,2,0,0,,[20250904] [기재정정]주요사항보고서(전환사채권발행결정) (20250904000437) || [20250903] 주요사항보고서(전환사채권발행결정) (20250903000155),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250904000437 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250903000155,,,,20250904000437 || 20250903000155,주의,2025.0,-15.6,8.1,-293.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,-101.7,2.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.4,10.9,22.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,-3,105.5,104.5,-999.0,EXCLUDE,EXCLUDE,-999.0,-5.0,PYKRX,-15.0,8.5,0,5.0,20.0,False
038070,서린바이오,,5350,32.8,12.9,-9.2,-42.1,4.3,-12.3,-17.1,-18.7,-10.1,-13.5,-16.8,0.32,9244,5130,0,False,False,False,252220,233086,4.2,15.2,14.2,1.08,0,False,False,False,False,-,75.5,2.3,-0.0,-9.6,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1518.42,,3.02,-896.0,-896.0,-896.0,10,10,1.0,83.5,82.5,038070,373447,0,1,0,0,,[20250611] 주요사항보고서(전환사채권발행결정) (20250611000515),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250611000515,,,,20250611000515,주의,2025.0,6.9,9.5,-27.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,47.6,-46.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.7,1.0,79.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,6.9,default,-3,105.5,104.5,56.9,WATCH,WATCH,41.6,6.0,PYKRX,15.0,17.0,0,10.0,18.875,False
