market,ticker,name,sector,final_score_v3,grade,bucket,final_score,keep_reason
kosdaq,143240,사람인,IT서비스,93.4,A+,BUY,90.8,선정
kosdaq,133750,메가엠디,교육,92.1,B,WAIT,123.5,선정
kosdaq,263770,유에스티,철강·1차금속,88.0,B,WAIT,116.9,선정
kosdaq,196700,웹스,화학,86.0,B,OBSERVE,103.3,선정
kosdaq,099390,브레인즈컴퍼니,출판·SW,86.0,B,WAIT,87.1,선정
kosdaq,063570,NICE인프라,사업지원,86.0,B,OBSERVE,101.9,선정
kosdaq,100700,세운메디칼,제약·바이오,85.3,B,OBSERVE,101.3,선정
kosdaq,053620,태양,금속가공,85.3,B,OBSERVE,76.2,선정
kosdaq,080010,이상네트웍스,도매,85.0,B,WAIT,80.0,선정
kosdaq,046940,우원개발,건설,83.8,B,OBSERVE,107.0,선정
kosdaq,451250,삐아,화학,83.6,B,WAIT,111.4,선정
kosdaq,208140,정다운,식료품,82.7,B,WAIT,92.8,선정
kosdaq,104480,티케이케미칼,화학,82.4,B,WAIT,101.7,선정
kosdaq,267980,매일유업,식료품,82.2,B,OBSERVE,81.9,선정
kosdaq,105760,포스뱅크,기계·장비,81.0,B,OBSERVE,95.9,선정
kosdaq,014570,고려제약,제약·바이오,80.5,B,OBSERVE,98.0,선정
kosdaq,035080,그래디언트,소매,80.2,C,OBSERVE,111.9,선정
kosdaq,014190,원익큐브,도매,79.0,B,OBSERVE,110.9,선정
kosdaq,192250,케이사인,출판·SW,79.0,B,OBSERVE,99.4,선정
kosdaq,073560,우리손에프앤지,식료품,78.5,B,WAIT,87.0,선정
kospi,272550,삼양패키징,고무·플라스틱,91.9,B,OBSERVE,113.7,선정
kospi,058850,KTcs,IT서비스,86.5,A+,BUY,84.9,선정
kospi,001560,제일연마,비금속광물(시멘트·유리),86.2,B,WAIT,106.6,선정
kospi,027410,BGF,금융(은행),85.8,B,OBSERVE,101.1,선정
kospi,001620,케이비아이동국실업,자동차·부품,85.6,WATCH,WATCH,117.4,선정
kospi,016090,대현,의복,83.9,B,WAIT,101.7,선정
kospi,210540,디와이파워,기계·장비,82.5,B,WAIT,95.0,선정
kospi,084870,TBH글로벌,의복,81.6,B,WAIT,95.4,선정
kospi,007700,F&F홀딩스,금융(은행),81.2,A,BUY,91.6,선정
kospi,000230,일동홀딩스,제약·바이오,81.0,B,OBSERVE,103.4,선정
kospi,317400,자이에스앤디,부동산,79.9,B,OBSERVE,99.6,선정
kospi,013580,계룡건설,건설,79.4,B,WAIT,107.8,선정
kospi,033530,SJG세종,자동차·부품,79.3,B,OBSERVE,104.3,선정
kospi,120110,코오롱인더,화학,78.8,B,WAIT,110.3,선정
kospi,007210,벽산,비금속광물(시멘트·유리),78.4,B,OBSERVE,106.5,선정
kospi,003120,일성아이에스,제약·바이오,78.2,B,WAIT,98.6,선정
kospi,004560,현대비앤지스틸,철강·1차금속,78.0,B,OBSERVE,119.7,선정
kospi,001430,세아베스틸지주,철강·1차금속,78.0,B,OBSERVE,104.2,선정
kospi,226320,잇츠한불,화학,77.5,B,WAIT,105.9,선정
kospi,004430,송원산업,화학,77.5,B,WAIT,104.9,선정
