market,ticker,name,sector,final_score,keep_reason
kosdaq,216080,제테마,제약·바이오,134.5,선정
kosdaq,042000,카페24,IT서비스,131.8,선정
kosdaq,287840,인투셀,지주·전문서비스,127.4,선정
kosdaq,337930,젝시믹스,IT서비스,123.7,선정
kosdaq,310200,애니플러스,미디어·엔터,121.6,선정
kosdaq,077360,덕산하이메탈,반도체·전자부품,121.4,선정
kosdaq,222080,씨아이에스,기계·장비,121.1,선정
kosdaq,464490,쿼드메디슨,제약·바이오,119.1,선정
kosdaq,067160,SOOP,출판·SW,118.7,선정
kosdaq,088130,동아엘텍,기계·장비,118.2,선정
kosdaq,475230,엔알비,금속가공,117.4,선정
kosdaq,342870,오아,소매,117.2,선정
kosdaq,150900,파수AI,출판·SW,117.2,선정
kosdaq,456070,이엔셀,제약·바이오,116.6,선정
kosdaq,419530,SAMG엔터,미디어·엔터,115.6,선정
kosdaq,024740,한일단조,자동차·부품,114.8,선정
kosdaq,095270,웨이브일렉트로,의료·정밀·광학,114.6,선정
kosdaq,413630,씨피시스템,고무·플라스틱,114.5,선정
kosdaq,065370,위세아이텍,출판·SW,114.5,선정
kosdaq,311390,네오크레마,식료품,114.2,선정
kospi,016590,신대양제지,펄프·종이,124.9,선정
kospi,123690,한국화장품,도매,117.0,선정
kospi,027740,마니커,식료품,116.7,선정
kospi,000390,SP삼화,화학,112.3,선정
kospi,052690,한전기술,연구개발,110.7,선정
kospi,002790,아모레퍼시픽홀딩스,화학,110.6,선정
kospi,001380,SG글로벌,자동차·부품,110.2,선정
kospi,090430,아모레퍼시픽,화학,109.0,선정
kospi,460860,동국제강,철강·1차금속,109.0,선정
kospi,001460,BYC,의복,108.8,선정
kospi,002720,국제약품,제약·바이오,108.7,선정
kospi,047400,유니온머티리얼,비금속광물(시멘트·유리),108.7,선정
kospi,484870,엠앤씨솔루션,기계·장비,108.5,선정
kospi,000890,보해양조,음료,107.4,선정
kospi,009810,플레이그램,도매,106.9,선정
kospi,037270,YG PLUS,IT서비스,106.7,선정
kospi,011930,신성이엔지,반도체·전자부품,105.8,선정
kospi,024890,대원화성,고무·플라스틱,105.4,선정
kospi,004410,서울식품,식료품,104.9,선정
kospi,013870,지엠비코리아,자동차·부품,104.9,선정
