market,ticker,name,sector,final_score_v3,grade,bucket,final_score,keep_reason
kosdaq,133750,메가엠디,교육,91.2,B,WAIT,116.0,선정
kosdaq,143240,사람인,IT서비스,89.8,B,WAIT,98.0,선정
kosdaq,080010,이상네트웍스,도매,86.9,B,OBSERVE,90.7,선정
kosdaq,010470,오리콤,엔지니어링,86.4,B,OBSERVE,112.4,선정
kosdaq,196700,웹스,화학,86.0,B,OBSERVE,119.8,선정
kosdaq,099390,브레인즈컴퍼니,출판·SW,85.0,B,OBSERVE,116.0,선정
kosdaq,088130,동아엘텍,기계·장비,84.0,B,OBSERVE,105.3,선정
kosdaq,094970,제이엠티,반도체·전자부품,81.6,B,OBSERVE,105.6,선정
kosdaq,038460,바이오스마트,반도체·전자부품,81.0,B,OBSERVE,105.5,선정
kosdaq,003380,하림지주,금융(은행),81.0,B,OBSERVE,110.0,선정
kosdaq,105760,포스뱅크,기계·장비,81.0,B,OBSERVE,107.7,선정
kosdaq,277070,린드먼아시아,금융(은행),79.6,B,OBSERVE,114.4,선정
kosdaq,051500,CJ프레시웨이,도매,79.3,B,WAIT,107.2,선정
kosdaq,035810,이지홀딩스,식료품,79.0,B,OBSERVE,103.7,선정
kosdaq,192250,케이사인,출판·SW,79.0,B,OBSERVE,104.2,선정
kosdaq,171120,라이온켐텍,화학,78.8,B,OBSERVE,99.0,선정
kosdaq,005860,한일사료,식료품,78.0,B,OBSERVE,107.0,선정
kosdaq,078070,유비쿼스홀딩스,금융(은행),78.0,B,OBSERVE,108.8,선정
kosdaq,024740,한일단조,자동차·부품,78.0,B,OBSERVE,116.1,선정
kosdaq,041460,한국전자인증,출판·SW,78.0,B,OBSERVE,106.8,선정
kospi,460860,동국제강,철강·1차금속,82.0,B,OBSERVE,110.6,선정
kospi,005880,대한해운,운수·물류,82.0,B,OBSERVE,111.7,선정
kospi,013580,계룡건설,건설,81.6,B,OBSERVE,97.6,선정
kospi,000230,일동홀딩스,제약·바이오,81.0,B,OBSERVE,99.4,선정
kospi,084870,TBH글로벌,의복,79.0,B,OBSERVE,99.2,선정
kospi,001430,세아베스틸지주,철강·1차금속,78.0,B,OBSERVE,102.4,선정
kospi,003120,일성아이에스,제약·바이오,78.0,B,WAIT,91.2,선정
kospi,120110,코오롱인더,화학,77.7,B,OBSERVE,105.7,선정
kospi,272550,삼양패키징,고무·플라스틱,77.0,B,OBSERVE,111.6,선정
kospi,016090,대현,의복,76.8,B,OBSERVE,96.0,선정
kospi,000850,화천기공,기계·장비,76.5,B,OBSERVE,66.9,선정
kospi,006650,대한유화,화학,76.2,B,OBSERVE,102.6,선정
kospi,001620,케이비아이동국실업,자동차·부품,75.6,WATCH,WATCH,109.6,선정
kospi,001380,SG글로벌,자동차·부품,75.3,WATCH,WATCH,106.3,선정
kospi,499790,GS피앤엘,금융(은행),75.0,B,WAIT,87.1,선정
kospi,012690,모나리자,펄프·종이,74.7,B,WAIT,113.7,선정
kospi,013870,지엠비코리아,자동차·부품,73.8,C,OBSERVE,95.2,선정
kospi,004560,현대비앤지스틸,철강·1차금속,73.0,B,OBSERVE,110.5,선정
kospi,009290,광동제약,제약·바이오,73.0,B,OBSERVE,99.9,선정
kospi,024890,대원화성,고무·플라스틱,72.9,WATCH,WATCH,105.5,선정
