ticker,return_pct,market,lv63@앵커,rv21@앵커,nh252@앵커,mom12@앵커,mom_1m@앵커,sma20@앵커,vol_exp@앵커,drawdown@앵커,big@앵커,amt20@앵커
002990,229.15851272015658,KOSPI,0.04508123280988897,0.05473418111441203,-0.111304347826087,1.028169014084507,4.285714285714293,2.2767075306479923,1.0667607312186402,-11.1304347826087,11.279663447644468,16.24509577
009150,178.8732394366197,KOSPI,0.05311607175189982,0.05637316390154331,-0.02572898799313894,2.102246320681642,42.17772215269087,22.143970754260533,1.094372952430793,-2.572898799313894,13.62763228547899,3182.59517625
009155,158.58123569794049,KOSPI,0.05311259761715232,0.05022675956354073,-0.020179372197309364,1.920494699646643,35.71428571428572,21.510399288177062,0.990524453053177,-2.0179372197309364,11.802894082732584,60.17571605
402340,142.9310344827586,KOSPI,0.05819798478343375,0.06235333855021917,-0.14831130690161531,4.717344753747323,4.693140794223827,5.483313630990261,1.1419622601043222,-14.831130690161531,13.883864988557034,3272.335346
040350,138.7978142076503,KOSDAQ,0.056498236270776735,0.04937047071502526,-0.5442092154420921,-0.44362139917695476,7.017543859649122,1.1259238792567627,1.037264261692106,-54.42092154420921,10.85397273486832,6.7533045775
319660,127.09832134292567,KOSDAQ,0.06717453778544376,0.05712905002846092,-0.0691964285714286,2.1811414392059554,36.274509803921575,3.0329235900920404,0.805319210505276,-6.91964285714286,12.383065282030334,323.76133935
131290,125.14619883040936,KOSDAQ,0.05049677741401177,0.04738032524088979,-0.05970149253731338,1.2192066805845512,8.818181818181813,3.6902286902286807,0.4240929162881152,-5.970149253731338,12.121905386482283,74.8050954
089970,124.05200433369447,KOSDAQ,0.06668240764026101,0.05615136107934816,-0.09686888454011744,2.4522747546833186,16.687737041719352,5.55809698078682,0.9271682857068559,-9.686888454011743,12.058132689041114,212.08797015
159010,122.2873900293255,KOSDAQ,0.05903536967144855,0.04516031435532888,-0.07962213225371118,-0.020000000000000018,37.77777777777778,21.981756394204965,1.0517407024524807,-7.9622132253711175,10.958768894347235,7.090621925
080220,115.2173913043478,KOSDAQ,0.06911499015962957,0.05442293843251966,-0.24036697247706418,2.4944089456869007,-1.6627078384798155,1.6200294550809957,1.2912056983423443,-24.036697247706417,12.154099207063553,487.77831425
039830,109.93520518358531,KOSDAQ,0.044332079656981306,0.04082065708263324,-0.6492424242424242,0.8386554621848739,-17.761989342806395,-5.379860011239979,0.7240002739260674,-64.92424242424242,10.998539888358902,5.31276597
000660,109.61538461538463,KOSPI,0.05537754809430092,0.06064664997894752,-0.05368516833484982,3.7718930256948084,11.827956989247301,9.508265768137303,0.9710642118221859,-5.368516833484982,14.869941539241722,41319.2133225
069960,108.87500000000001,KOSPI,0.035109592241090955,0.03680095579784196,-0.30434782608695654,0.41068447412353914,-7.514450867052025,-2.540049948224399,0.802551963389757,-30.434782608695656,12.236837677250756,78.03948765
006340,108.87245841035119,KOSPI,0.06983772598678022,0.06458965802000655,-0.27770360480640854,1.2737642585551332,-7.836456558773419,-2.461011448661321,1.067656037434626,-27.770360480640853,11.627593177455706,395.254650355
011070,105.25587828492391,KOSPI,0.055994702395231646,0.057976447791288126,-0.057366362451108266,0.5634771732332708,42.32283464566928,14.516512235685441,1.2148842136019382,-5.736636245110827,12.932253475878886,898.2917995
024840,98.39357429718876,KOSDAQ,0.05182696919977651,0.04681154743059704,-0.08623853211009169,0.17803837953091683,15.277777777777768,10.777444110777434,0.6667457622214108,-8.62385321100917,11.01450291171443,31.8010181325
219130,96.73469387755102,KOSDAQ,0.05423501950994667,0.04783121745333696,-0.11870503597122306,1.7705627705627704,13.251155624036981,18.053324767105682,0.3538865223168422,-11.870503597122307,11.36558186752496,16.08944155
031330,90.04815409309792,KOSDAQ,0.04615534734503688,0.05198554828472573,-0.04594180704441042,0.8598130841121496,24.6,16.350733028293952,1.356953295977795,-4.594180704441042,11.794466622383943,41.71342102
281820,89.126213592233,KOSPI,0.05529647818958729,0.05114633176086289,-0.028301886792452824,0.3742331288343559,16.121758737316803,8.977410992964074,0.4010448733648567,-2.8301886792452824,12.008443048596906,70.26031405
034730,87.98283261802575,KOSPI,0.045298593704823184,0.04326685849782063,-0.1757075471698113,1.5540123456790123,4.01785714285714,4.860486048604851,1.0623267304834474,-17.570754716981128,13.403801378047206,602.28957225
064290,87.5,KOSDAQ,0.060085787660327655,0.08198615144122402,-0.05882352941176472,0.6977528089887641,53.846153846153854,23.701775635904433,1.192902457297587,-5.882352941176472,11.489585990216831,95.31651276
420770,85.03937007874016,KOSDAQ,0.06433694010638577,0.060969612884412765,-0.02841530054644814,1.7969052224371374,16.209150326797396,12.838738338516208,0.596348288748238,-2.841530054644814,12.051875700208273,124.57175435
004170,83.38192419825073,KOSPI,0.03802594190100365,0.043372573244373054,-0.12276214833759591,1.37782640408461,1.9316493313521477,4.748816613223394,0.9803490220986135,-12.27621483375959,12.510504404857324,175.86208375
