factor,설명,승자중앙값,전체중앙값,승자백분위
lv63,63일 변동성(저변동 우대),0.05476574884976698,0.04852649368802081,0.6244798890429959
rv21,21일 변동성,0.05156594002279431,0.04224873791437077,0.6782999308914996
nh252,52주고가 근접(close/max252-1),-0.11500469189865503,-0.26610878661087867,0.8331029716655148
mom12,12-1개월 모멘텀,1.123687847334529,0.37281292059219373,0.7962169878658101
mom_1m,1개월 수익률,10.323069403714557,0.22813253512929954,0.7409972299168974
sma20,20일선 이격(%),5.171899839797556,1.3234666287178065,0.7066344160331721
vol_exp,변동성 팽창(std5/std21),0.9766335264719446,0.8998094061299435,0.5970974429854872
drawdown,"52주 낙폭(큰 낙폭=가점, v3 가설방향)",-11.500469189865504,-26.610878661087867,0.8331029716655148
big,log10(시총),11.806754480545445,11.4467049848033,0.7014512785072564
amt20,20일 평균 거래대금(억),83.6917876475,29.417573,0.6990324809951625
