variant,ic,n_run,diff,ci_lo,ci_hi,n_week,wk_pos
V6 +to20,0.3048534757989015,35,0.04687264156922211,0.025748402813197745,0.06109398254852301,9,0.8888888888888888
V9 +lv20,0.3032404281439356,35,0.04525959391425624,0.014599705884655933,0.06189629392674712,9,0.7777777777777778
V0 rv단독,0.30265022303237277,35,0.04466938880269345,-0.011667320977621938,0.07239541032673744,9,0.7777777777777778
V1 rv+roe (=lv_b),0.2579808342296794,35,0.0,0.0,0.0,9,0.0
V4 +sv5,0.23695184476452893,35,-0.021028989465150454,-0.038832145762745275,0.012594136854525055,9,0.3333333333333333
V8 rv+sv (roe제거),0.23626647404744086,35,-0.021714360182238567,-0.05739102998169662,0.015185986995723542,9,0.3333333333333333
V7 rv+nh (roe제거),0.2151647192041197,35,-0.04281611502555973,-0.08672597418870086,-0.004378035979928812,9,0.2222222222222222
V3 +nh252,0.21082096219726734,35,-0.04715987203241203,-0.07608453687438894,-0.007399835029339262,9,0.2222222222222222
V2 +rev (=lv_a),0.20968478052097503,35,-0.048296053708704365,-0.08841830325607497,0.006665877940023721,9,0.2222222222222222
V5 +nh252+sv5,0.20600324913133652,35,-0.05197758509834282,-0.07031222989994079,-0.00978710348368428,9,0.2222222222222222
