anchor,n,breadth,big5pct,med_fw5,mk_kos1,mk_kos5,mk_kos20,ic_rv21,ic_dd52,ic_dlow52,ic_mom21,ic_mom63,ic_mom12_1,ic_ret5,ic_sma20gap,ic_max5_21,ic_upr63,ic_amihud63,ic_obv63,ic_amt20,ic_amt_trend,ic_size,ic_turn20,ic_vol_exp,ic_svr5,ic_credit_rate,ic_dcr20,ic_loanchg5,ic_frg5n,ic_frg20n,ic_ins5n,ic_ins20n,ic_pen5n,ic_pen20n,ic_tru5n,ic_tru20n,ic_per5n,ic_per20n
20260522,1618,0.0896168108776267,0.06242274412855377,-11.56420354062973,0.9809409799074853,-9.568265396639486,-23.219622264518193,-0.2233835169708053,0.13605286209682343,-0.08541349546304577,0.06769277737981313,-0.06812129406114814,-0.013487416426984292,-0.029942548615751872,0.11477583545913957,-0.1663375602941212,0.05127877498712633,-0.22426547521509052,-0.21022429394115422,0.045414313151816876,-0.002035211220357457,0.3139705340860227,-0.3784650478652267,0.061704676130406755,0.32700939455350314,,,,-0.10371339788140535,-0.06226870857941932,-0.055600765364135205,-0.09264984519982894,-0.14905007920573643,-0.11532061612087484,-0.03829477965866006,-0.03214982480294686,0.10424300372351786,0.09117133775932659
20260526,1614,0.07868649318463444,0.05080545229244114,-12.200798909820971,-3.3594309691945434,-12.493603520622255,-22.448231160236077,-0.35674834472026273,0.03674121148898959,-0.2517414934917422,-0.03530364788347744,-0.20557086576225367,-0.1338212652849375,-0.15498738514957752,0.0008606128756864453,-0.3089438795206991,-0.06761782159356225,-0.11233004538959493,-0.301035127052976,-0.12350958743841103,-0.0401024973411068,0.21062708865880386,-0.48718127718264953,0.05007609194986616,0.3157024101057384,,,,-0.051137490484357374,-0.08707044029883126,-0.093061173464646,-0.0904840135144208,-0.1695401512462355,-0.12382405369955242,-0.060098588977912495,-0.041438271745299834,0.08435823528544893,0.10661613170864
20260527,1623,0.133086876155268,0.06531115218730746,-8.633093525179858,-2.5389849355325733,-7.360144025839932,-21.649766575768016,-0.28197410376638427,0.1101925836308688,-0.13151365798390588,0.04087120115944778,-0.12018768196775781,-0.04348521548903212,-0.02692307679083087,0.0821855349459521,-0.21789685948796683,-0.020529821024648398,-0.18129519086412682,-0.24689141634148368,-0.01498946015415753,-0.005042390187221104,0.28357960043485,-0.4134649148505823,-0.03564869886744123,0.338167177149011,,,,-0.015217500246890388,-0.05180281673049147,-0.1747844711880452,-0.1228231571380302,-0.18681446170891094,-0.15028228838845398,-0.09892026603361027,-0.06539246946937544,0.08972941996155477,0.08629034815528623
20260528,1619,0.1099444101297097,0.05188387893761581,-9.122203098106707,-2.6766634068600803,-9.228874642326767,-22.908290774747353,-0.3284964078577723,0.12536182832827608,-0.1693357585913032,0.08016246977644337,-0.12454681627075424,-0.09211820677554822,-0.02106356049818666,0.12572194109410453,-0.26274839511725717,-0.038125387143524515,-0.14581691854329754,-0.29084708936980963,-0.0677295283598951,0.023237755058779216,0.24536178777164278,-0.43439006201539926,-0.11056693118404366,0.32538066627146206,,,,0.03988328899225976,-0.03447562261772639,-0.19823962211291615,-0.1384256193175785,-0.21846060476159068,-0.14986453151798873,-0.11158617440931905,-0.05398270455575999,0.0653880499908369,0.06352559715129329
20260529,1607,0.04853764779091475,0.023646546359676415,-13.650401482396546,-2.304614812058059,-15.203758838853743,-14.349646445850384,-0.39320535480983176,0.15147926982188026,-0.2327174302987811,0.11927456511084858,-0.0848616299764376,-0.18365484733991605,0.056967989886106074,0.1536530207238528,-0.32019722721257804,-0.07724681282986401,-0.02484128137766162,-0.24817556184738424,-0.18674083026928515,0.028262975307570944,0.11394632838242867,-0.4082502534893647,-0.14911768885498988,0.2246678815379644,,,,0.039121250134180795,-0.04593658558267471,-0.1808528448489499,-0.10342639874846482,-0.19108005961238292,-0.11168469325390401,-0.13387031252264553,-0.045810920193594104,0.04824097142049794,0.04938577912951874
20260601,1606,0.1506849315068493,0.06787048567870485,-7.402907263955605,-2.2856489814576775,-7.830252468977084,-12.747254840337895,-0.3331037989682254,0.14844949362296447,-0.1938998840483024,0.06886087351035294,-0.06604212146194716,-0.1362370570455879,0.07395395980703356,0.1036764704178251,-0.27544429878460014,-0.055504998419593374,0.04167010631199525,-0.21326589786737307,-0.2053222420175856,0.03256104079179204,0.03831751050854851,-0.3158393839206283,-0.16947897594708014,0.13435313339625546,,,,-0.029220042726642838,-0.05757775376711959,-0.13198542422027512,-0.07338206039868807,-0.16147657294582646,-0.08826001945868024,-0.0871938394139774,-0.029993573483320653,0.10267018447447045,0.04190722773801262
20260602,1601,0.15677701436602123,0.0637101811367895,-6.213489113117365,2.309873980292987,-7.251249963451356,-9.422726431001038,-0.3489253648115032,0.14593381345221637,-0.174821940043128,0.015483383062080048,-0.03957468407822498,-0.1044174145497532,0.13598728161940749,0.08770816276688348,-0.307506408713374,-0.021774373374977868,-0.010292589120158952,-0.1850035926131113,-0.16438494541253346,-0.030894495283736553,0.0820074883841484,-0.320228530581473,-0.08234594874593333,0.1642582684621758,,,,0.05160434857041271,-0.020671788409370714,-0.20494292054680543,-0.1422799324376737,-0.19764330893975082,-0.1118413501258282,-0.15830089486106094,-0.10566319023183515,0.07066032279104467,0.0626245123182729
20260604,1588,0.21536523929471033,0.08942065491183879,-5.122569267073357,-4.504967944138016,-5.029864822382901,-17.434006839854057,-0.3220592157755805,0.14704179360026,-0.21192179736790234,0.0588591939012482,-0.08579767237121314,-0.15659495346420793,0.15255925279255067,0.15098993825186383,-0.2778270004462986,-0.028077552655067957,0.05670543408514078,-0.2163318020535763,-0.23147643450577327,0.012803744691642048,0.03708315659241893,-0.3377487170864771,0.021016939619772156,0.16742052396991414,,,,-0.019323242797973157,-0.03956784011909968,-0.10576302556120819,-0.07496035604736796,-0.13319970074112464,-0.0841798260957275,-0.1228539065508456,-0.05063249899202268,0.062470390728166646,0.04883292372784075
20260605,1565,0.49456869009584664,0.20575079872204474,0.0,-9.082837875583582,2.654522963967909,-13.370376281872243,-0.18885274490800552,0.15223609688770032,-0.07936892172075878,0.043017697906604785,-0.05464329460453002,-0.0039897899362346155,0.08859129046618175,0.06879442312789907,-0.15001175464464056,0.05105008071160762,-0.023120717145927283,-0.10460493600654057,-0.08197381016199051,0.02759890047377015,0.10232384948894095,-0.21019895382416728,-0.009943646760764669,0.13588326759522504,,,,-0.03341297260776627,-0.03170654681341224,-0.05860182712523123,-0.06713507931151654,-0.10729096842617554,-0.07841845222192768,-0.06850951626588536,-0.04197283750319609,0.0739190956203269,0.0551903309119483
20260608,1539,0.8927875243664717,0.7186484730344379,8.525506638714187,6.1905441139358475,13.456368843195566,-7.057351956900993,-0.018582463284894685,0.04154499893114343,0.08431175694826715,-0.13968329935147072,-0.06019861699667674,0.22370886219782085,-0.11364660277259561,-0.11906854651160463,-0.03243859353697984,0.09613477218869604,-0.21522264530792554,-0.0746699311451338,0.15304531606581784,-0.037694929168981435,0.2597327636495361,-0.1112894318903066,0.05827769096818209,0.15957633392844173,,,,0.03783269289378602,0.0543850065100519,-0.016088729174670358,-0.09060210256992568,-0.0709601257762872,-0.0783274044196909,-0.06113501113255015,-0.062412640732288104,-0.021594064567712165,0.0030830733751977674
