date,ticker,opinion_score,opinion_label,target_price,coverage,fetched_at
20260912,000020,,,,0,20260912_0128
20260912,000040,,,,0,20260912_0128
20260912,000050,,,,0,20260912_0128
20260912,000070,,,,0,20260912_0128
20260912,000080,,,,0,20260912_0128
20260912,000087,,,,0,20260912_0128
20260912,000100,,,,0,20260912_0128
20260912,000105,,,,0,20260912_0128
20260912,000120,,,,0,20260912_0128
20260912,000140,,,,0,20260912_0128
20260912,000145,,,,0,20260912_0128
20260912,000150,,,,0,20260912_0128
20260912,000155,,,,0,20260912_0128
20260912,000157,,,,0,20260912_0128
20260912,000180,,,,0,20260912_0128
20260912,000210,,,,0,20260912_0128
20260912,000215,,,,0,20260912_0128
20260912,000220,,,,0,20260912_0128
20260912,000225,,,,0,20260912_0128
20260912,000227,,,,0,20260912_0128
20260912,000230,,,,0,20260912_0128
20260912,000240,,,,0,20260912_0128
20260912,000250,,,,0,20260912_0128
20260912,000270,,,,0,20260912_0128
20260912,000320,,,,0,20260912_0128
20260912,000370,,,,0,20260912_0128
20260912,000390,,,,0,20260912_0128
20260912,000400,,,,0,20260912_0128
20260912,000430,,,,0,20260912_0128
20260912,000440,,,,0,20260912_0128
20260912,000480,,,,0,20260912_0128
20260912,000490,,,,0,20260912_0128
20260912,000500,,,,0,20260912_0128
20260912,000520,,,,0,20260912_0128
20260912,000540,,,,0,20260912_0128
20260912,000545,,,,0,20260912_0128
20260912,000590,,,,0,20260912_0128
20260912,000640,,,,0,20260912_0128
20260912,000650,,,,0,20260912_0128
20260912,000660,,,,0,20260912_0128
20260912,000670,,,,0,20260912_0128
20260912,000680,,,,0,20260912_0128
20260912,000700,,,,0,20260912_0128
20260912,000720,,,,0,20260912_0128
20260912,000725,,,,0,20260912_0128
20260912,000760,,,,0,20260912_0128
20260912,000810,,,,0,20260912_0128
20260912,000815,,,,0,20260912_0128
20260912,000850,,,,0,20260912_0128
20260912,000860,,,,0,20260912_0128
20260912,000880,,,,0,20260912_0128
20260912,000890,,,,0,20260912_0128
20260912,000910,,,,0,20260912_0128
20260912,000950,,,,0,20260912_0128
20260912,000970,,,,0,20260912_0128
20260912,000990,,,,0,20260912_0128
20260912,001000,,,,0,20260912_0128
20260912,001020,,,,0,20260912_0128
20260912,001040,,,,0,20260912_0128
20260912,001045,,,,0,20260912_0128
20260912,001060,,,,0,20260912_0128
20260912,001065,,,,0,20260912_0128
20260912,001067,,,,0,20260912_0128
20260912,001070,,,,0,20260912_0128
20260912,001080,,,,0,20260912_0128
20260912,001120,,,,0,20260912_0128
20260912,001130,,,,0,20260912_0128
