factor,label,D10_mean,D10_win,D1_mean,D1_win,spread
svr5,공매도비중5d,-7.47853260633052,0.22334819618970408,-19.683071740260786,0.11543134872417983,12.204539133930265
dd52,52주고점대비낙폭,-12.678637424675276,0.2272543469470279,-19.94039435027292,0.08407437348423606,7.261756925597645
sma20gap,SMA20이격,-16.644118806352232,0.19813991103922363,-22.21637434002914,0.07154405820533549,5.572255533676909
size,시가총액,-12.271393071203361,0.18277395875454913,-15.88026041992677,0.1293451899757478,3.6088673487234093
mom21,1개월수익,-16.991686558419005,0.20048602673147023,-20.53530921269386,0.07885159725030327,3.5436226542748557
ret5,직전1주수익(반전),-18.72914504386167,0.1556813586736757,-21.79731892392742,0.08084074373484236,3.06817388006575
per5n,개인5d,-10.968313869923742,0.16017842660178427,-13.590781757249642,0.1673419773095624,2.6224678873259
ins20n,기관20d,-10.072009601804792,0.25587996755879966,-11.56244684146207,0.1559967585089141,1.4904372396572771
per20n,개인20d,-9.669452863252046,0.16139497161394972,-11.11972513344099,0.21839546191247974,1.450272270188945
upr63,상승일비율63,-14.726203950877094,0.19490497371613424,-15.776075333717305,0.12126111560226355,1.0498713828402106
tru20n,투신20d,-11.306793147842802,0.22384428223844283,-11.463937633571089,0.1778768233387358,0.15714448572828665
frg5n,외인5d,-12.370464929548813,0.16666666666666666,-11.78130364117081,0.1600486223662885,-0.5891612883780031
tru5n,투신5d,-12.606934238911103,0.20884022708840227,-11.344626442832396,0.1993517017828201,-1.2623077960787068
amihud63,비유동성,-16.147407626169898,0.13708046906591184,-14.878540211146928,0.15319320937752628,-1.268867415022969
vol_exp,변동성팽창(std5/21),-16.96425027673802,0.1322280630812778,-15.320672031365593,0.13904607922392886,-1.643578245372428
amt_trend,거래대금팽창,-18.236758170932706,0.12494945410432673,-16.514252201342067,0.09013742926434923,-1.7225059695906388
ins5n,기관5d,-12.525049109277884,0.21654501216545013,-10.506353180372018,0.1847649918962723,-2.0186959289058652
frg20n,외인20d,-11.554608980714844,0.17842660178426603,-7.984560991045636,0.1912479740680713,-3.5700479896692086
pen20n,연기금20d,-12.522197622255154,0.19464720194647203,-8.941842858017042,0.1940842787682334,-3.5803547642381126
pen5n,연기금5d,-13.097385752989453,0.18329278183292783,-8.856855970117255,0.19692058346839547,-4.240529782872198
mom63,3개월수익,-21.452714094664998,0.16314935064935066,-17.074072001187993,0.10020283975659229,-4.378642093477005
mom12_1,12-1모멘텀,-21.947715469337496,0.12292358803986711,-15.949092896349216,0.13319502074688797,-5.99862257298828
amt20,거래대금20,-18.876315020429246,0.13141932875050547,-9.501736373894017,0.17421180274858528,-9.374578646535229
obv63,OBV매집,-21.190947588807383,0.11200970481196927,-11.33992602883137,0.17623282134195634,-9.851021559976013
dlow52,52주저점대비거리,-21.5545511258517,0.1528507885159725,-11.50224813580902,0.16248989490703314,-10.052302990042678
max5_21,복권성(최대급등),-23.612455409686905,0.1293974929235746,-8.281085695339446,0.18714632174616005,-15.33136971434746
rv21,실현변동성21,-24.161645916538568,0.10553983016579054,-6.0800103624056465,0.2053354890864996,-18.081635554132923
turn20,회전율,-26.726921136197078,0.06550748079255965,-5.563526286005924,0.2663702506063056,-21.163394850191153
