c1,c2,n,events,lift
mom12_1↑,nh_fresh↑,4754,86,1.0352017694921387
price↓,zr20↑,18508,334,1.0326965063902724
vol_dry↓,dd52↑,3990,72,1.0326314136385302
sma20gap↑,size↑,7382,133,1.0310110785159825
ret5↓,nh_fresh↑,10840,195,1.0294163481209746
amt_trend↓,mom63↓,39275,706,1.0286656532763707
mom21↓,zr20↑,15974,287,1.0281440071886694
amihud63↓,nh_fresh↑,7656,137,1.0240104160085586
rv_ratio↑,sma60gap↑,4361,78,1.0235150849466972
rv_ratio↓,price↓,27122,485,1.0233065613516914
ret5↑,obv63↓,10069,180,1.0229911958530478
amt20↑,zr20↑,8292,148,1.021381891484806
sma60gap↓,mom63↓,82542,1464,1.014966763447626
vol_dry↑,obv63↓,14336,254,1.013891439253651
upr63↑,nh_fresh↓,9939,176,1.0133412202120733
vol_dry↑,mom21↑,4519,80,1.0130558236624954
sma60gap↓,zr20↑,17243,305,1.0122149397399662
vol_dry↑,amihud63↓,6844,121,1.0117217842687554
dd52↓,dlow52↓,47196,833,1.0100096908424365
rv_ratio↑,obv63↑,11785,208,1.009995595633443
amt20↑,sma60gap↓,13542,239,1.009952208724953
vol_dry↓,sma60gap↓,42950,755,1.0059340648090125
amt_trend↓,mom21↓,49363,866,1.0039268696532035
mom21↓,amihud63↓,22982,403,1.0034666829767422
ret5↓,zr20↑,12321,216,1.0032138642361177
rv_ratio↑,obv63↓,13475,236,1.002233605791162
vol_dry↓,sma20gap↓,42836,748,0.9992598082844603
sma20gap↑,obv63↓,4410,77,0.9991665067150592
upr63↓,nh_fresh↑,15595,271,0.9944195266050427
dd52↓,amihud63↓,9606,166,0.9888974057148079
mom63↓,zr20↑,17177,296,0.9861208178601631
amt_trend↓,nh_fresh↑,13529,233,0.9855438587862003
amt_trend↓,zr20↑,16496,284,0.9852023156107177
amt_trend↓,vol_dry↓,73720,1269,0.9850585102395901
rv_ratio↓,sma60gap↓,41785,718,0.9833084461529038
rv_ratio↓,obv63↑,26228,449,0.9796408756585218
sma60gap↓,obv63↓,50761,868,0.9785325751732503
mom63↓,nh_fresh↑,17685,302,0.9772093431393177
amt_trend↓,obv63↑,30160,515,0.9771508714242253
sma60gap↑,mom21↑,6562,112,0.9767142599791442
mom21↑,ret5↑,5161,88,0.9757409792373375
ret5↓,price↑,17074,291,0.9753117215759837
rv_ratio↑,upr63↑,8643,147,0.9732816907732126
turn20↓,mom12_1↑,14348,244,0.9731598665144264
dd52↑,amihud63↑,5588,95,0.9728658070361211
dlow52↓,price↓,33461,568,0.9713934071494815
vol_dry↓,mom21↓,46685,792,0.9708084554909517
rv_ratio↓,amt_trend↓,71402,1208,0.9681491965725796
dd52↑,price↓,5451,92,0.9658226301963748
vol_dry↓,mom12_1↓,17800,299,0.9612512506124398
mom12_1↓,obv63↓,28646,481,0.9608748374510939
size↓,nh_fresh↑,13354,224,0.9598920134765828
vol_dry↑,dd52↑,9381,157,0.9577149090442627
rv_ratio↓,size↑,18133,302,0.9530660802635434
obv63↑,zr20↑,10704,178,0.9516113947464563
vol_dry↓,mom63↓,30446,506,0.9510558156934381
rv_ratio↑,dlow52↓,17942,296,0.9440752027858668
dlow52↓,mom12_1↓,46015,755,0.9389300898304267
obv63↑,price↓,25530,418,0.9369387454272824
rv_ratio↓,nh_fresh↑,13134,215,0.9367575019349833
rv_ratio↓,size↓,25785,421,0.9343308568266793
sma20gap↓,size↑,17110,278,0.9297806810800462
vol_dry↓,upr63↓,32080,519,0.925803311892493
amihud63↑,nh_fresh↑,10280,166,0.9240611361183313
dd52↓,size↑,7634,123,0.9220164885006066
rv_ratio↓,vol_dry↓,59384,955,0.9202793050547982
amihud63↓,price↑,55493,892,0.9198401929704397
upr63↓,obv63↓,45908,737,0.9186812374410266
rv_ratio↑,amt20↑,7974,128,0.9185852555065596
amt_trend↑,nh_fresh↑,7049,113,0.9173533784681911
vol_dry↓,price↑,5929,95,0.9169124860377542
amt20↑,dd52↓,7745,124,0.9161909443580072
sma20gap↓,price↑,18372,294,0.9157493635263309
amt20↓,mom12_1↑,7504,120,0.9151117938028019
bbw20↓,dlow52↑,4383,70,0.9139286695732295
rv_ratio↓,upr63↓,29715,474,0.9128267089937773
amt20↓,nh_fresh↑,17308,276,0.9125316311301894
sma60gap↓,nh_fresh↑,16306,260,0.912455391768377
sma60gap↓,amihud63↓,20954,334,0.9121478925394273
vol_dry↑,zr20↑,10242,163,0.910727739384792
mom21↑,upr63↑,4338,69,0.9102176966114175
sma20gap↓,dlow52↓,34672,549,0.9061063674055501
mom12_1↓,obv63↑,12511,198,0.905646885632545
mom21↓,price↑,19568,309,0.903644836942599
mom63↓,obv63↓,60966,962,0.9029695434709194
amihud63↓,size↑,71374,1126,0.9027844829330883
rv_ratio↑,zr20↑,9736,153,0.899283442726755
dd52↑,ret5↓,4781,75,0.8976938533643883
upr63↓,zr20↑,22450,352,0.8972470723998037
mom21↓,size↑,18136,284,0.8961125605599028
amt20↑,obv63↓,13738,214,0.8914069034484594
vol_dry↓,price↓,35940,559,0.890060375043867
upr63↑,price↓,7734,120,0.887897452895814
nh_fresh↓,zr20↑,3426,53,0.8852669335884898
vol_dry↓,zr20↑,16550,256,0.8851720637352637
dlow52↓,mom21↓,37720,583,0.8844689729378534
dlow52↓,ret5↓,25349,390,0.8804192049888648
price↑,nh_fresh↓,6777,104,0.8781760435694351
sma20gap↑,mom21↑,7119,109,0.8761798007396738
amt20↓,amt_trend↓,34953,534,0.8742638717162533
rv_ratio↓,amihud63↑,14510,220,0.8676428659276186
size↑,price↑,60629,915,0.8636274162168058
nh_fresh↑,zr20↑,11807,178,0.8627126593856245
obv63↓,nh_fresh↑,19204,289,0.8611759192100643
obv63↑,nh_fresh↑,7910,119,0.8609069418276979
upr63↑,size↓,7133,107,0.8584149754363476
amt_trend↓,price↑,10167,152,0.8555324685303975
amihud63↓,zr20↑,12202,182,0.8535443642618102
rv_ratio↓,price↑,17614,262,0.8511949358381642
rv_ratio↓,zr20↑,19469,289,0.8494541246345512
upr63↑,amihud63↑,8644,128,0.8473853340362456
vol_dry↓,nh_fresh↑,12276,181,0.8437376459663957
upr63↑,size↑,24965,366,0.8389483936360299
obv63↑,size↓,30346,444,0.8372733122182836
sma60gap↓,dlow52↓,49789,725,0.8332788037191554
upr63↑,price↑,22662,329,0.830774953052488
bbw20↑,max21↓,4070,59,0.82955146425282
rv_ratio↓,mom63↓,28087,407,0.8292295820674345
amt20↑,dd52↑,14172,205,0.827767649027852
size↑,nh_fresh↑,8392,121,0.8250981758264252
vol_dry↓,obv63↑,39933,570,0.8168243001604455
dd52↑,nh_fresh↓,13618,194,0.8152186975174204
upr63↓,amihud63↓,10546,150,0.813934062760315
dlow52↓,mom63↓,51811,735,0.8118038305912717
vol_dry↓,size↓,39683,561,0.8089917561866505
amt20↓,zr20↑,24277,343,0.8085089532406549
sma60gap↓,obv63↑,11299,159,0.8052724615826621
size↑,nh_fresh↓,7296,102,0.8000204311392258
amt20↑,mom63↓,10758,150,0.7978944623415394
obv63↑,amihud63↑,25582,356,0.7963449589059548
dlow52↓,upr63↓,42619,593,0.796227494019268
amt_trend↑,dlow52↓,15551,215,0.7911628210670741
amt20↓,vol_dry↓,29273,404,0.7897686024326385
upr63↑,zr20↑,8673,119,0.7851693658315565
dd52↑,mom21↑,5281,72,0.7801930203404156
upr63↓,obv63↑,12286,167,0.7778425419286651
mom12_1↓,amihud63↓,6639,90,0.775756766911006
amt20↓,obv63↓,34383,463,0.770589266745764
obv63↓,zr20↑,21761,293,0.7705033002098532
turn20↓,amihud63↑,5209,70,0.769005444181122
mom63↓,amihud63↓,17570,236,0.7686452952780826
amt_trend↑,obv63↑,17995,241,0.7663919306602714
bbw20↓,dd52↓,13840,185,0.7649294295693652
dd52↓,max21↓,18630,249,0.7648428727291824
turn20↓,ret5↑,11079,147,0.7592809507494247
amt20↓,upr63↑,12597,167,0.7586388402108105
amt20↑,mom12_1↓,4999,66,0.7555209832732395
amt_trend↑,zr20↑,9744,127,0.7458511737038354
sma60gap↓,size↑,16348,212,0.742090656832436
amt20↓,obv63↑,15214,197,0.7409835148750912
upr63↑,obv63↓,3047,39,0.7324498335169916
rv_ratio↓,obv63↓,20879,264,0.7235690206203216
vol_dry↑,size↑,8107,102,0.7199887832233616
vol_dry↓,amihud63↑,24742,310,0.7169892151051619
dd52↓,price↑,10332,128,0.7089429759397317
amt20↓,dlow52↓,43637,540,0.7081489344623373
dlow52↓,nh_fresh↑,25899,320,0.7070542132330696
max21↓,size↓,14772,182,0.7050465971244657
turn20↓,dd52↓,11653,141,0.6924160051761834
mom63↓,obv63↑,6624,80,0.6911230777673335
amt_trend↑,dd52↑,5621,67,0.6820982718772566
dd52↑,upr63↑,24005,286,0.6817891014368953
bbw20↓,mom63↑,5652,67,0.6783571100888286
sma60gap↓,price↑,18526,219,0.6764694480066183
rv_ratio↓,amt20↓,29693,351,0.6764547800672367
turn20↑,bbw20↓,3416,40,0.6700818599430353
obv63↓,amihud63↓,23369,273,0.6685105267270277
mom63↑,max21↓,3863,45,0.666612629500669
bbw20↓,mom12_1↑,11089,129,0.6657069003741043
turn20↓,mom21↓,15765,183,0.6642672580755943
mom63↓,size↑,15002,173,0.6599069067571252
dd52↑,amihud63↓,18525,213,0.6579715545876276
size↑,zr20↑,14359,165,0.6575752829902716
amt_trend↓,dlow52↓,22715,261,0.6575268593006511
rv_ratio↑,nh_fresh↓,4824,55,0.6524408159519977
amt_trend↓,bbw20↓,26465,297,0.642199972764903
bbw20↓,ret5↑,10798,121,0.6412505919184442
sma20gap↓,max21↓,24321,272,0.6399900295318769
vol_dry↓,dlow52↓,21473,240,0.6395938062400434
bbw20↓,obv63↑,13693,153,0.6394087196660839
mom21↑,price↑,3252,36,0.6334869834590613
turn20↓,sma20gap↓,12476,138,0.6329792189644644
bbw20↓,price↓,22141,244,0.630635371697258
vol_dry↑,price↑,8454,93,0.6295155131345606
price↑,nh_fresh↑,10206,112,0.627983438563898
max21↓,price↓,21707,236,0.6221540442270195
bbw20↓,mom12_1↓,18691,203,0.6215115906235327
upr63↓,size↑,10124,109,0.6161126038587256
rv_ratio↓,dlow52↓,24075,258,0.6132522382760908
mom12_1↓,size↑,7373,79,0.6131526212249669
mom21↓,max21↓,33798,360,0.6095330108908419
mom12_1↑,max21↓,12703,135,0.6081534884108678
bbw20↓,nh_fresh↑,20434,217,0.6077039743609837
mom21↑,size↑,3493,37,0.6061622276117958
dlow52↓,zr20↑,26570,281,0.6052021989385394
amt_trend↓,turn20↓,16737,177,0.6051755618406485
rv_ratio↑,vol_dry↓,8077,84,0.595134236781894
dlow52↓,obv63↓,53562,555,0.5929552652201195
vol_dry↓,turn20↓,8369,86,0.5880450725493641
rv_ratio↓,turn20↓,23181,238,0.5875306423240663
ret5↓,max21↓,15858,161,0.5809826917077039
mom12_1↓,max21↓,17245,175,0.5807117075586351
dd52↑,price↑,19713,199,0.5776783430724854
vol_dry↑,bbw20↓,13519,136,0.5756785823006427
max21↓,obv63↑,11156,111,0.5693773738924354
max21↓,nh_fresh↑,19191,190,0.5665545442882439
rv21↓,dd52↓,12594,124,0.5634348788353792
rv_ratio↓,bbw20↓,35350,348,0.5633464444701288
dd52↑,zr20↑,12400,122,0.5630200711592335
rv21↓,amt_trend↑,6950,68,0.5598991909440567
bbw20↓,size↓,16714,163,0.5580754760547469
rv21↓,size↓,13815,134,0.5550596288414128
amt20↑,max21↓,12375,119,0.5502847603924922
obv63↓,size↑,27178,261,0.5495519394000401
amt_trend↑,vol_dry↓,9703,93,0.5484823403112001
sma60gap↓,max21↓,33426,319,0.5461249350111929
amt_trend↑,max21↓,4840,46,0.5438738798760784
ret5↑,max21↓,5899,56,0.543244530766498
bbw20↓,amihud63↑,12979,123,0.5423124950468935
mom63↓,price↑,17129,158,0.5278503445959113
turn20↓,mom12_1↓,15794,145,0.5253655610785491
turn20↓,sma20gap↑,6760,62,0.5248445905364472
dd52↑,size↑,22964,210,0.5233081377903848
vol_dry↑,max21↓,10501,96,0.5231500924251957
turn20↓,nh_fresh↑,13998,127,0.5191865864102136
turn20↓,ret5↓,11473,103,0.5137430538159964
rv_ratio↑,amihud63↓,5464,49,0.5131816528399754
upr63↓,price↑,12076,108,0.5117836212840844
sma20gap↑,bbw20↓,6732,60,0.5100266563202782
rv21↓,price↓,21172,187,0.5054351637501551
turn20↓,sma60gap↓,18797,166,0.5053651369525162
bbw20↓,ret5↓,9297,81,0.49857204022479856
max21↓,amihud63↑,9767,85,0.49801619958293164
rv_ratio↑,dd52↑,7472,65,0.49780840531902953
vol_dry↓,bbw20↓,20748,180,0.4964574104031395
price↑,zr20↑,14375,124,0.4936277470645402
sma60gap↑,bbw20↓,4326,37,0.48944166922052773
rv_ratio↓,max21↓,46176,392,0.4857977392788679
amt_trend↓,max21↓,33373,282,0.4835480003786333
dlow52↓,obv63↑,11390,96,0.4823177454395944
max21↓,upr63↓,25655,213,0.4751090644605652
rv_ratio↑,bbw20↓,7835,65,0.4747446591632149
rv21↓,amihud63↑,9578,79,0.47199564379741926
rv21↓,obv63↑,10975,90,0.4692709954917694
obv63↓,price↑,28708,233,0.4644497305809706
sma60gap↓,bbw20↓,16330,132,0.4625657557113195
amt_trend↑,bbw20↓,8958,71,0.4535581993278187
rv_ratio↑,size↑,6377,50,0.448682694363613
rv21↓,vol_dry↑,12059,92,0.436578419205609
amt20↓,turn20↓,38842,296,0.43608972988991357
bbw20↓,mom21↓,11158,85,0.4359315487835179
rv21↓,sma20gap↓,12100,92,0.43509910390086276
bbw20↓,upr63↓,21557,163,0.43269812621325043
mom63↓,max21↓,29913,226,0.4323487423409406
rv21↓,nh_fresh↑,19595,144,0.4205357836609069
amt20↓,dd52↑,12756,93,0.41720948165879385
vol_dry↓,max21↓,25394,185,0.41689467217610515
rv21↓,amt_trend↓,26403,191,0.41396709655246844
rv_ratio↑,max21↓,4725,34,0.4117777118583274
turn20↓,mom63↑,5155,37,0.41073223298700345
amt20↓,max21↓,43977,315,0.4098931740302338
rv21↓,sma60gap↓,21282,151,0.4060226302372623
rv21↓,ret5↑,7925,56,0.40436586586644435
rv21↓,mom21↓,17221,121,0.40208024455811864
rv21↓,ret5↓,9574,67,0.40046734763129926
amt20↓,bbw20↓,42146,292,0.39647172507539225
max21↓,amihud63↓,24214,164,0.3875815023382413
turn20↓,mom63↓,20466,138,0.3858618555555878
rv21↓,rv_ratio↓,40513,273,0.3856150494676749
bbw20↓,zr20↑,30189,203,0.38479820929293607
sma20gap↓,bbw20↓,7021,47,0.38307571135726465
turn20↓,price↓,8204,54,0.37666376222736486
dd52↑,obv63↓,7021,46,0.37492516430711004
turn20↓,upr63↓,18316,120,0.37491804437083565
bbw20↓,upr63↑,22199,145,0.3737836691596291
turn20↓,zr20↑,24913,162,0.37211289350700055
rv21↓,rv_ratio↑,5152,33,0.36654206088731794
amt20↑,bbw20↓,13645,87,0.3648643607918478
rv21↓,sma20gap↑,4942,31,0.35895886604880445
rv21↓,mom12_1↓,16361,102,0.3567599208845298
dlow52↓,upr63↑,7381,46,0.35663860975480555
turn20↓,upr63↑,22691,141,0.35559136698770727
rv21↓,upr63↓,24171,150,0.35512592056060077
rv_ratio↑,price↑,6618,41,0.35452170208590866
dlow52↓,max21↓,53165,327,0.3519716355571751
max21↓,zr20↑,29387,180,0.350512075102744
turn20↓,size↑,44112,270,0.3502617774430202
turn20↓,price↑,37985,232,0.3495115933836875
bbw20↓,amihud63↓,25103,152,0.3465003628071765
mom12_1↓,price↑,9622,58,0.34494382339117047
turn20↓,obv63↓,42578,247,0.33196892144455814
bbw20↓,mom63↓,21018,120,0.32671990202189677
rv21↓,vol_dry↓,19805,113,0.32650461826923904
rv21↓,mom12_1↑,8274,47,0.32506339973886333
rv21↓,amt20↓,45672,258,0.32326255991629194
max21↓,upr63↑,21084,118,0.3202688730325344
max21↓,obv63↓,42775,238,0.31839971524755534
max21↓,size↑,30578,170,0.31814534772231623
bbw20↓,dlow52↓,46203,248,0.30716182343366305
bbw20↓,obv63↓,38224,205,0.3069046442555127
bbw20↓,max21↓,67422,350,0.29706545035296084
bbw20↓,dd52↑,28150,146,0.2967974658086587
turn20↓,amihud63↓,27786,144,0.2965665688057105
rv21↓,mom63↓,22135,114,0.2947209828624989
max21↓,price↑,28070,144,0.29356603779249985
vol_dry↑,turn20↓,9975,51,0.2925789005309169
rv21↓,zr20↑,32106,163,0.2905274249915604
bbw20↓,size↑,32987,166,0.2879724885347696
rv21↓,bbw20↓,79635,392,0.28168765503787285
amt20↑,turn20↓,15495,76,0.28067759301544215
rv21↓,max21↓,89154,427,0.2740771147487576
rv21↓,dlow52↓,52715,248,0.26921744718022445
turn20↓,dlow52↓,39475,181,0.2623869117639892
turn20↓,bbw20↓,59323,263,0.2536987777201517
bbw20↓,price↑,29618,125,0.2415127238467115
rv21↓,obv63↓,41093,170,0.23673736263239445
turn20↓,max21↓,58736,242,0.23577444468589487
amt20↑,dlow52↓,8038,33,0.2349371358163053
rv21↓,amt20↑,11487,46,0.22915901267521718
dd52↑,max21↓,21357,76,0.20363811882634622
dlow52↓,amihud63↓,14999,53,0.20220844819482406
rv21↓,turn20↓,64312,225,0.2002056060891501
turn20↓,dd52↑,26968,89,0.18885435273965565
rv21↓,amihud63↓,23158,75,0.18533009383086368
rv21↓,dd52↑,25944,84,0.18527980382698725
rv21↓,upr63↑,20111,62,0.1764183497601503
rv21↓,size↑,31253,91,0.16662317749852187
dlow52↓,size↑,18446,49,0.15201260712987236
rv21↓,price↑,28783,75,0.14911143080759964
dlow52↓,price↑,19493,38,0.11155541229606208
