c1,c2,n,events,lift
amt20↑,sma60gap↑,10963,330,1.722543735922158
rv21↑,mom12_1↓,12673,381,1.7204072839667415
sma20gap↑,upr63↓,4624,139,1.7202149062802323
turn20↑,obv63↓,5435,163,1.7162232763162906
amt20↑,mom12_1↑,31148,934,1.7159413587951806
amt20↑,ret5↑,10823,323,1.7078141033946848
ret5↑,amihud63↑,10824,323,1.7076563230821022
rv21↑,mom63↓,14940,445,1.704492699023773
max21↑,obv63↓,6489,193,1.7020223812533666
ret5↑,upr63↑,11987,356,1.6995158704206335
sma60gap↓,max21↑,10620,315,1.6973514231946885
rv_ratio↓,sma20gap↑,4114,122,1.696997783756562
ret5↑,price↓,10390,308,1.696371239504682
bbw20↑,ret5↓,23356,692,1.695482687989449
max21↑,upr63↓,16557,490,1.693558344577898
sma20gap↑,mom63↑,7479,221,1.6909644304651534
rv_ratio↓,mom63↑,18650,551,1.690668630153539
amt_trend↑,mom63↑,4809,142,1.6897377207646496
bbw20↑,dd52↓,21642,638,1.6869764418893016
vol_dry↑,mom12_1↑,6654,196,1.6856174037376768
vol_dry↑,dd52↓,13469,396,1.6824631652162405
mom12_1↑,amihud63↓,33446,982,1.680169258028786
sma20gap↑,price↓,5736,168,1.676045756794755
rv_ratio↓,ret5↑,9629,282,1.675921426590106
max21↑,upr63↑,6457,189,1.6750074753905149
dlow52↑,mom63↓,9774,285,1.6686231214603575
obv63↓,size↓,15054,438,1.6649758195523596
vol_dry↑,max21↑,11656,339,1.6643163945149997
rv21↑,dlow52↓,8264,240,1.6619068007493285
dd52↓,ret5↑,10065,292,1.6601785717861381
mom21↓,mom63↑,14230,412,1.6568303742602746
sma20gap↑,max21↑,7029,203,1.6526779257852393
turn20↑,ret5↓,26227,756,1.6495250342923788
sma60gap↑,size↓,4164,120,1.6491351826840117
mom63↑,amihud63↓,15605,448,1.6428577953176915
rv21↑,max21↑,39709,1138,1.6399818573858789
vol_dry↑,mom21↓,9951,285,1.6389430599089072
mom63↑,nh_fresh↓,8781,251,1.6357445280290328
rv_ratio↑,dlow52↑,3849,110,1.6354245238516167
turn20↑,dd52↓,17901,511,1.633538367621814
turn20↑,sma20gap↓,30570,872,1.6323255483063757
vol_dry↑,amihud63↑,17747,506,1.6315909936666715
sma20gap↑,obv63↑,6141,175,1.6307398464173037
rv_ratio↑,bbw20↑,13864,395,1.6304004170122914
amt20↑,sma20gap↑,6414,182,1.6237836502529792
amt20↑,bbw20↑,14282,405,1.622750405394886
mom63↓,max21↑,11047,312,1.6162032354313556
mom12_1↑,upr63↑,22738,642,1.615728917174985
sma60gap↓,amihud63↑,17079,481,1.6116412315489217
vol_dry↑,price↓,15214,427,1.6060911718358575
sma20gap↓,max21↑,19059,534,1.6033446197648462
turn20↑,mom21↓,25005,700,1.6019793476262607
rv21↑,amt_trend↑,19020,532,1.6006148857213423
amt_trend↑,ret5↑,7160,200,1.59846343126076
amt_trend↑,mom21↓,6123,171,1.5981501606225903
ret5↑,upr63↓,9746,272,1.5970857283239048
dd52↓,max21↑,15660,437,1.596891506813671
dd52↑,dlow52↑,11471,320,1.5963732079612298
rv_ratio↑,ret5↑,8908,248,1.5931519676813575
mom12_1↑,ret5↓,25060,697,1.591612873698214
dd52↓,amihud63↑,25405,705,1.5880188365121166
sma20gap↑,amihud63↑,6705,186,1.5874494103026322
vol_dry↑,mom63↑,5275,146,1.5838575663533156
sma20gap↑,mom63↓,3077,85,1.5808008519098125
amt20↑,price↓,3801,105,1.5808008519098125
mom63↑,size↓,8436,233,1.580538509426091
mom12_1↑,obv63↓,14347,396,1.579500688108841
max21↑,size↓,21089,580,1.5738297067996787
rv_ratio↓,mom12_1↑,27390,753,1.5732171632664773
mom63↓,amihud63↑,18739,515,1.5727024004565149
rv_ratio↓,turn20↑,16976,466,1.5708556627613695
vol_dry↑,ret5↑,18695,513,1.5702819096269784
amt20↓,dlow52↑,3755,103,1.569686832604774
bbw20↑,mom12_1↑,15897,435,1.565884821980488
sma20gap↓,nh_fresh↓,3475,95,1.5644242099907466
max21↑,price↓,17897,489,1.5635592848151711
bbw20↑,mom21↓,34435,940,1.5621167820179205
mom21↑,max21↑,3971,108,1.55635835069922
mom12_1↑,size↑,28662,779,1.5553090455546135
vol_dry↓,ret5↑,4712,128,1.5544989022515507
sma60gap↑,ret5↑,10646,289,1.5534494037676194
turn20↑,max21↑,29344,796,1.5523136827955162
sma20gap↓,bbw20↑,37494,1017,1.5521901019736626
rv21↑,price↑,5791,157,1.5514286931003676
vol_dry↑,sma20gap↓,9966,270,1.5503459288146204
max21↑,zr20↑,5542,150,1.5488539563100472
ret5↑,amihud63↓,11972,324,1.5486883588272475
vol_dry↓,mom63↑,16243,439,1.5466213740306816
rv21↑,amt20↑,17803,481,1.5461001288335694
bbw20↑,zr20↑,5115,138,1.5439000460998358
dd52↓,size↓,33580,905,1.5422458817575153
amt_trend↓,mom12_1↑,26186,703,1.5362853646953354
mom12_1↑,price↑,28277,758,1.5339867403212677
ret5↑,nh_fresh↑,6307,169,1.5333793327753054
amt_trend↓,mom63↑,13638,365,1.5315384701777646
max21↑,amihud63↑,18838,504,1.5310221564350859
mom12_1↓,max21↑,12425,332,1.5290701777539548
dd52↓,price↓,33349,889,1.5254735331191702
rv21↑,nh_fresh↑,4244,113,1.5236625741805558
rv21↑,zr20↑,5599,149,1.5228654465138678
ret5↓,nh_fresh↓,6321,168,1.5209299890800057
mom12_1↑,nh_fresh↓,8884,236,1.5201595945560458
vol_dry↓,amihud63↓,11340,301,1.5189349420264284
