date,combo,ic,top50_abs,top50_exc
20240805,wu_a(기존),-0.060435224981292314,11.807852684580277,3.403771194184324
20240805,wu_b(기존),-0.12495455894537753,6.766191634507467,-1.6378898558884878
20240805,c1_wu_a+max5,-0.0036552101791558745,11.052366167878393,2.648284677482437
20240805,c2_max5대체lv,-0.02715702447949678,12.16783950852468,3.763758018128724
20240805,c3_up추가,-0.09396520740773769,9.80591615661911,1.401834666223156
20240805,c4_질모멘텀,-0.0416472080042848,11.119996321091921,2.7159148306959655
20240903,wu_a(기존),0.016006313953546156,-2.5717657950499015,-1.0125691777137458
20240903,wu_b(기존),-0.0582727303379385,1.4561410035669358,3.015337620903092
20240903,c1_wu_a+max5,0.036224117503680764,-2.9980663934113663,-1.4388697760752112
20240903,c2_max5대체lv,0.02020720144989122,-2.5823783476405064,-1.0231817303043504
20240903,c3_up추가,-0.019114297911577746,-1.0538045466429147,0.5053920706932409
20240903,c4_질모멘텀,0.01262541164976047,-2.6123306700681983,-1.053134052732043
20241008,wu_a(기존),0.23598808004402805,3.1371711873594386,7.765248714860752
20241008,wu_b(기존),0.14996353041517727,-2.4625224189431845,2.1655551085581277
20241008,c1_wu_a+max5,0.28451944907621346,2.5163778090627695,7.144455336564081
20241008,c2_max5대체lv,0.24622492379349792,3.189569896651375,7.817647424152687
20241008,c3_up추가,0.1690252880695373,3.133042370560974,7.761119898062284
20241008,c4_질모멘텀,0.25829698827726855,1.7505330667218746,6.378610594223187
20241106,wu_a(기존),0.2309511867328654,0.5116277488832239,9.105572296242698
20241106,wu_b(기존),0.14105277600613436,-10.577815842908924,-1.9838712955494497
20241106,c1_wu_a+max5,0.24393195854230457,0.8178512525191657,9.41179579987864
20241106,c2_max5대체lv,0.19520794605081482,0.2071808067850694,8.801125354144544
20241106,c3_up추가,0.1518117420765673,-2.8302087931112965,5.763735754248176
20241106,c4_질모멘텀,0.21528806730963124,0.18887607161634576,8.78282061897582
