c1,c2,c3,n,events,lift,meanfw20,P(-30)%
vol_dry↑,bbw20↑,sma20gap↓,4592,165,2.056211561075198,-1.1187738,7.643728222996515
dlow52↑,obv63↓,mom21↓,3045,109,2.048447947936203,0.5900278,4.499178981937603
amt20↓,bbw20↑,sma20gap↓,4694,168,2.0481036346345793,0.27483702,5.5389859394972305
rv_ratio↓,max21↑,vol_dry↓,1847,66,2.0448561967422436,-0.4947221,4.656199242014076
dlow52↑,obv63↓,upr63↓,2660,95,2.0437496728262574,-0.4661404,4.62406015037594
dlow52↑,price↓,mom63↑,3277,116,2.0256633925357597,-2.774892,6.83552029295087
dlow52↑,price↓,sma20gap↓,2982,104,1.9957743283937164,-2.4875884,6.203890006706908
dlow52↑,price↓,bbw20↑,2443,84,1.9676214615175431,-4.0451546,9.701187065083912
dlow52↑,obv63↓,rv_ratio↓,1907,65,1.9505109620051333,-0.41756228,5.0340849501835345
dlow52↑,price↓,dd52↓,1696,57,1.9232455647586715,-4.954614,8.84433962264151
vol_dry↑,bbw20↑,ret5↓,4285,144,1.923080205562537,-1.5177368,7.3745624270711785
dlow52↑,price↓,rv_ratio↓,3133,104,1.8995847581455672,-1.8890927,4.564315352697095
dlow52↑,price↓,max21↑,2450,80,1.86857112944115,-5.989838,10.89795918367347
dlow52↑,price↓,mom21↓,3054,98,1.836296366154306,-2.2364843,6.155861165684348
dlow52↑,price↓,amihud63↑,1696,53,1.7882809637229753,-3.0713158,6.662735849056604
dlow52↑,price↓,size↓,2562,79,1.7645488978499928,-3.5721529,6.5964090554254495
vol_dry↑,bbw20↑,mom12_1↑,1969,59,1.7147153171706335,-3.6712165,10.665312341289996
dlow52↑,price↓,obv63↑,2010,56,1.5943281029808816,-1.325928,5.920398009950248
dlow52↑,price↓,turn20↑,3519,93,1.5123399113496945,-3.9216669,7.5589656152316
dlow52↑,obv63↓,dd52↓,2087,54,1.4806657907586496,-2.5852203,6.0852898897939625
amt20↓,bbw20↑,vol_dry↓,1732,40,1.3215933219199818,-0.9776078,3.4642032332563506
amt20↓,bbw20↑,amt_trend↓,1955,39,1.141572707276866,-3.2127209,6.854219948849105
vol_dry↑,bbw20↑,amt20↑,2096,40,1.092079977846092,-3.7791734,8.874045801526718
