variant,ic,n_run,diff,ci_lo,ci_hi,n_week,wk_pos
V6 +to20,0.19374896307872902,40,0.03113497516992487,0.010753212209371662,0.04602995069917423,10,0.9
V9 +lv20,0.18647471528047613,40,0.023860727371671976,-0.0006746930119024126,0.04187216951536303,10,0.7
V0 rv단독,0.1816764363855769,40,0.019062448476772784,-0.020423782776842155,0.04601160967620189,10,0.4
V1 rv+roe (=lv_b),0.16261398790880413,40,0.0,0.0,0.0,10,0.0
V2 +rev (=lv_a),0.16098258959061867,40,-0.0016313983181854507,-0.038473851143498314,0.04008226760838932,10,0.4
V4 +sv5,0.1540131182675326,40,-0.008600869641271519,-0.034620650933714185,0.021965779681729983,10,0.3
V8 rv+sv (roe제거),0.14873007751236345,40,-0.013883910396440708,-0.055384990663791496,0.020909745414774115,10,0.4
V3 +nh252,0.1277004257205133,40,-0.03491356218829084,-0.05835832675218513,-0.0034635862970691564,10,0.3
V5 +nh252+sv5,0.1276388178700596,40,-0.03497517003874455,-0.05634067329991448,-0.0019637861953918897,10,0.2
V7 rv+nh (roe제거),0.1230871154850944,40,-0.03952687242370971,-0.0809660034230946,-0.0012903616256391005,10,0.4
