factor,mean_ic,n_anchor,ci_lo,ci_hi,pos_share,top_terc_%,bot_terc_%,top_win,bot_win
lv20,-0.5050060451059345,6,-0.5855768988344259,-0.39221930924025816,0.0,-17.994068568524572,-3.6728965824700848,0.12465526682596574,0.3053699570944448
lvb_score,0.3960716672280557,6,0.2939905204891041,0.47833101471945066,1.0,-5.383593630553862,-17.297461343528845,0.28328355236957387,0.12356330260063268
amt20_억,-0.3611610687142792,6,-0.4183916789530729,-0.29450806908824817,0.0,-16.717655288929357,-5.852620728071962,0.1458744026284349,0.27487845930734955
mom12_%,-0.3514940796883544,6,-0.41272020564929285,-0.28657963346846577,0.0,-17.113754679978175,-7.482517417894514,0.12517518184323814,0.2516147809215624
rsi14,-0.20247375498846767,6,-0.28135640291029146,-0.1280477553019806,0.0,-13.855444407126505,-8.006686873901783,0.17955122461170847,0.21987068220584147
r20_%,0.20061351153983897,6,0.09352524469440236,0.27725072317094895,0.8333333333333334,-8.707049228596556,-14.484107362075365,0.2386126045400239,0.14724758233583554
nh252_%,0.17339763930675658,6,0.04214471421082591,0.2893304449592348,0.8333333333333334,-8.417088959013219,-13.370288391008076,0.2407606531262445,0.16598494924220222
r5_%,0.15903124795926457,6,-0.018874892678556614,0.2953368869277901,0.8333333333333334,-9.626536059179578,-13.955659790242434,0.2580470927917165,0.15481673091228781
short_ratio5,0.11790464810136932,6,0.03161003376380447,0.20590040992794978,1.0,-9.767119099781677,-12.071071789546664,0.2275338510553564,0.1720426350473013
mcap_조,-0.09202207068710566,6,-0.18726095217811312,0.015242820260135395,0.3333333333333333,-13.209740523219253,-9.540226661836337,0.19690611310234965,0.19760431460066274
fgn20_억,-0.055360596328683065,6,-0.12565889993269283,0.02429556316369812,0.3333333333333333,-13.719720854161809,-11.251178811126806,0.16550677021107127,0.1991689396842572
inst5_억,-0.04786891622378017,6,-0.09089765870721471,0.002643414958668313,0.16666666666666666,-12.651584558882503,-11.103271561139808,0.18821933492632414,0.2173489476492114
credit_rate,-0.04450870127468078,2,,,0.5,-9.319635765979397,-8.963040753227274,0.1730884109916368,0.2916792282182695
volr_5_20,-0.016588034485848342,6,-0.08471628983021645,0.04459589688908655,0.5,-11.610903713426675,-11.203689897913156,0.18605759657506968,0.2058595012135284
person20_억,0.013535510136016957,6,-0.04339730414256976,0.07482927636914126,0.6666666666666666,-12.11785596959654,-12.491363107774767,0.18672590601354042,0.18858700961054378
inst20_억,0.008375677027525357,6,-0.02621596931204286,0.044664362574023286,0.5,-11.528075018556171,-12.213525719891692,0.2100557546794106,0.19643812507983738
fgn5_억,0.00829741210518529,6,-0.11192944004550347,0.10524220543623336,0.6666666666666666,-12.516491701915712,-12.849472537444953,0.18633512544802866,0.1719047511703223
