factor,mean_ic,n_anchor,ci_lo,ci_hi,pos_share
credit_rate,-0.3564111927403698,2,,,0.0
lv20,-0.29909563825530205,6,-0.4716926770708283,-0.1380232092837135,0.0
r5_%,0.1916606642657063,6,-0.0014725890356142347,0.34797919167667063,0.8333333333333334
nh252_%,0.18240896358543415,6,0.014021608643457398,0.3505094037615047,0.6666666666666666
short_ratio5,0.17694367795979712,6,0.08183363394219006,0.24441956880474824,0.8333333333333334
inst20_억,-0.16653882836013745,6,-0.2554669867947179,-0.0837779368323197,0.0
r20_%,0.12416166466586633,6,0.014225690276110446,0.259703881552621,0.8333333333333334
mom12_%,-0.1168724511081028,6,-0.2439712906439171,0.009989783147301477,0.3333333333333333
lvb_score,0.11020155064175378,6,-0.043123074991214795,0.2437838964606905,0.6666666666666666
inst5_억,-0.09748418124340746,6,-0.19347014628580775,0.010613462878724706,0.16666666666666666
rsi14,0.09672669067627049,6,-0.01712685074029612,0.1957262905162065,0.8333333333333334
amt20_억,-0.09342937174869947,6,-0.21300760304121652,-0.00011204481792717487,0.16666666666666666
mcap_조,0.09285314125650258,6,0.007903161264505819,0.16581032412965185,0.8333333333333334
person20_억,0.0852658914148513,6,0.015178822509230964,0.14998919567827143,0.8333333333333334
fgn20_억,0.03242897158863546,6,-0.044593837535014,0.12779511804721888,0.6666666666666666
fgn5_억,-0.008741576515619595,6,-0.12068464722386048,0.08781476682848204,0.5
volr_5_20,0.0037454981992797176,6,-0.10607442977190877,0.1174549819927971,0.5
