factor,mean_ic,n_anchor,ci_lo,ci_hi,pos_share,top_terc_pct,bot_terc_pct,top_win,bot_win,y2024,y2025,y2026
credit_rate,-0.3726563518242412,1,,,0.0,-9.591905260630634,-1.2932566957805678,0.1328125,0.546875,,,-0.3726563518242412
short_ratio5,0.16455282076181876,4,0.016341162222416515,0.312764479301221,0.75,-2.3791023596591883,-6.137252813427882,0.3981029836460621,0.2952655451223638,,,0.16455282076181876
mom12_%,0.08129008099758696,25,0.029556600430088897,0.13184332575086308,0.68,1.1125365113149601,0.03171310874446384,0.49840577375336215,0.44427378366508224,0.12534219215633297,0.0367004911719947,0.11997042541967716
nh252_%,0.07193475321740969,25,0.015937878121289436,0.1311730591790246,0.64,1.3237139133532039,0.010747122473300124,0.4907270985358896,0.44785047484860996,0.12896848790561644,0.013483274774876606,0.12325122938614637
mcap억지수,0.04606783472718309,25,-0.0023689774986236337,0.09216380596479926,0.64,1.056555475329042,0.21816005654940213,0.48832997717884274,0.4586032721230152,0.006603970577626526,0.057988087959396216,0.05945928417158051
volr_5_20,0.03142243066635863,25,0.0013038235161681308,0.06409306175311079,0.68,0.6208994929478441,0.0580405041598025,0.46744316323669416,0.4401267784618819,0.01652617786898237,0.04613540661656634,0.01896840286375363
r5_%,-0.00694179019165182,25,-0.05402554164653497,0.038544945770274945,0.48,0.5251492688786717,0.3522476198028345,0.4504131851416174,0.46654415298722923,-0.0027867110513936414,-0.01448416298223588,0.0024264953291281343
r20_%,0.00530807123530203,25,-0.04677644611583384,0.057025298204282635,0.44,0.8403298545080538,0.2232166534935427,0.46158685055143633,0.4639293349064895,0.043714105403769875,-0.0367664437547477,0.04451635335955768
rsi14,0.003908581703173974,25,-0.04643187495647413,0.05700984834335388,0.48,0.6779303731772103,0.12303098901156659,0.45713416581857624,0.4597512747371143,0.04793620022489273,-0.02257794889403644,0.01157610399406145
