probe_time,ticker,date,close,volume
22:16,373110,20260922,1000.0,59059
22:16,085660,20260922,7830.0,203083
22:16,000230,20260922,5930.0,20747
22:16,298000,20260922,52200.0,10068
22:16,035900,20260922,37750.0,189361
22:16,042520,20260922,17350.0,94081
22:16,018500,20260922,1330.0,53840
22:16,053060,20260922,1233.0,22876
22:16,464580,20260922,1510.0,13634
22:16,068270,20260922,178300.0,336667
22:16,038500,20260922,6700.0,284309
22:16,011420,20260922,1424.0,17363
22:16,153460,20260922,5600.0,9772
22:16,027050,20260922,1298.0,92699
22:16,051380,20260922,1528.0,19906
22:16,002900,20260922,6680.0,154966
22:16,001780,20260922,1538.0,669816
22:16,042000,20260922,15080.0,60768
22:16,204610,20260922,2980.0,63078
22:16,052330,20260922,10570.0,10256
22:16,030720,20260922,5140.0,16550
22:16,002240,20260922,16860.0,15744
22:16,038540,20260922,1884.0,79237
22:16,037560,20260922,1556.0,100823
22:16,065510,20260922,6630.0,28969
22:16,177900,20260922,3585.0,27641
22:16,207940,20260922,1392000.0,29801
22:16,192400,20260922,26850.0,19354
22:16,039020,20260922,2435.0,18624
22:16,063160,20260922,12870.0,6530
22:16,069640,20260922,1343.0,35965
22:16,000320,20260922,15900.0,7131
22:16,036000,20260922,2740.0,12296
22:16,175140,20260922,2295.0,16571
22:16,035600,20260922,9970.0,41722
22:16,033920,20260922,7530.0,13128
22:16,068760,20260922,39050.0,37004
22:16,308080,20260922,5580.0,93840
22:16,001800,20260922,23900.0,77471
22:16,079960,20260922,16840.0,41889
