factor,n,events,selected_rate,original_lift,availability_matched_lift,date_matched_lift,expected_rate
mom12_1,53669,3185,0.059345245858875705,2.3989475973472456,2.037295055147169,2.037790765783133,0.0291223450686651
mom252,53661,3187,0.05939136430554779,2.400811870301822,2.0388782802563807,2.0401208118964864,0.029111689836808178
beta60,85633,3513,0.04102390433594526,1.65833328881222,1.6258987675173013,1.627096477282878,0.025212951357655153
lv60,85039,399,0.004691964863180423,0.1896660410192058,0.18595645665045293,0.18586835697812445,0.025243483826204144
hl_range20,89299,294,0.003292310104256487,0.13308697773550326,0.13308697773550326,0.1330095949567331,0.024752425607546945
