name,date,stop,hold,stop_return,difference,hits
R1,20240801,0.07,0.19105754815752196,-0.08240778524468487,-0.2734653334022068,20
R1,20240801,0.1,0.19105754815752196,-0.06288386941559741,-0.2539414175731194,18
R1,20240801,0.25,0.19105754815752196,0.13874734143357131,-0.05231020672395065,9
R1,20240902,0.07,0.14727124496122035,-0.0321783533029551,-0.17944959826417545,19
R1,20240902,0.1,0.14727124496122035,0.16574590796370528,0.01847466300248493,13
R1,20240902,0.25,0.14727124496122035,0.16552732541052448,0.01825608044930413,9
R1,20241002,0.07,-0.14108122812582868,-0.012377233154286816,0.12870399497154186,18
R1,20241002,0.1,-0.14108122812582868,-0.0267599444456287,0.11432128368019998,15
R1,20241002,0.25,-0.14108122812582868,-0.1267052424037063,0.014375985722122397,14
R1,20241101,0.07,-0.07904337931105991,-0.025092152334477064,0.05395122697658285,18
R1,20241101,0.1,-0.07904337931105991,-0.06807873150345962,0.010964647807600286,18
R1,20241101,0.25,-0.07904337931105991,-0.10716343062216112,-0.028120051311101207,16
R1,20241202,0.07,0.10254702616025002,-0.07098105271841891,-0.17352807887866895,19
R1,20241202,0.1,0.10254702616025002,-0.05260815416896366,-0.1551551803292137,18
R1,20241202,0.25,0.10254702616025002,0.020703420621822836,-0.08184360553842718,11
R1,20250102,0.07,0.027590405358480417,-0.04391839267871036,-0.07150879803719078,18
R1,20250102,0.1,0.027590405358480417,-0.030979599417982645,-0.05857000477646306,17
R1,20250102,0.25,0.027590405358480417,-0.08468037608557169,-0.11227078144405211,12
R1,20250203,0.07,0.24056080115274062,-0.006421676635992751,-0.24698247778873336,16
R1,20250203,0.1,0.24056080115274062,-0.020088318775875198,-0.26064911992861584,16
R1,20250203,0.25,0.24056080115274062,0.15431457871123436,-0.08624622244150626,8
R1,20250304,0.07,0.2969479283880868,-0.02355769768753571,-0.3205056260756225,18
R1,20250304,0.1,0.2969479283880868,-0.02937524221135871,-0.32632317059944554,17
R1,20250304,0.25,0.2969479283880868,0.16641889488798448,-0.13052903350010234,7
R1,20250401,0.07,0.21714384845327026,-0.08662242797567224,-0.3037662764289425,19
R1,20250401,0.1,0.21714384845327026,-0.06237003783915952,-0.2795138862924298,18
R1,20250401,0.25,0.21714384845327026,0.3221449066636529,0.10500105821038266,7
R1,20250502,0.07,0.6344624725644717,0.5060505090715227,-0.12841196349294903,10
R1,20250502,0.1,0.6344624725644717,0.5432646748380044,-0.0911977977264673,9
R1,20250502,0.25,0.6344624725644717,0.6381370646478312,0.003674592083359407,3
R1,20250602,0.07,0.7546498355613519,0.466484242972464,-0.2881655925888879,11
R1,20250602,0.1,0.7546498355613519,0.4549494609252556,-0.2997003746360963,10
R1,20250602,0.25,0.7546498355613519,0.7895019439739633,0.03485210841261144,4
R1,20250701,0.07,0.562017098857158,0.0026965894428926827,-0.5593205094142654,16
R1,20250701,0.1,0.562017098857158,0.4086728926542527,-0.1533442062029053,13
R1,20250701,0.25,0.562017098857158,0.5161054237195309,-0.04591167513762706,6
R1,20250801,0.07,0.6959665885817385,0.30869494687485605,-0.3872716417068825,13
R1,20250801,0.1,0.6959665885817385,0.3411511059884733,-0.35481548259326523,11
R1,20250801,0.25,0.6959665885817385,0.6894705662044032,-0.006496022377335375,4
R1,20250901,0.07,0.6911549574091956,0.6126978161662858,-0.07845714124290981,7
R1,20250901,0.1,0.6911549574091956,0.674171233768357,-0.016983723640838666,4
R1,20250901,0.25,0.6911549574091956,0.6800684026393965,-0.01108655476979914,3
R1,20251001,0.07,0.37387694708151115,0.3781529050141126,0.004275957932601437,10
R1,20251001,0.1,0.37387694708151115,0.3724519411762693,-0.0014250059052418607,9
R1,20251001,0.25,0.37387694708151115,0.38014471555879137,0.006267768477280222,5
R1,20251103,0.07,0.7129265226421969,-0.133675589575838,-0.8466021122180349,20
R1,20251103,0.1,0.7129265226421969,-0.15458457872324538,-0.8675111013654423,20
R1,20251103,0.25,0.7129265226421969,0.18116770754970668,-0.5317588150924902,10
R1,20251201,0.07,0.4680978592146687,0.18495502377613363,-0.283142835438535,15
R1,20251201,0.1,0.4680978592146687,0.3345172199540225,-0.13358063926064617,14
R1,20251201,0.25,0.4680978592146687,0.4705058232394975,0.002407964024828846,7
R1,20260102,0.07,0.17174817412199736,0.17527054472544953,0.003522370603452174,16
R1,20260102,0.1,0.17174817412199736,0.16121254721603945,-0.010535626905957912,15
R1,20260102,0.25,0.17174817412199736,0.2647455598029621,0.09299738568096474,8
R1,20260202,0.07,-0.2061924514835932,-0.10999617020494941,0.09619628127864378,20
R1,20260202,0.1,-0.2061924514835932,-0.09156784096995976,0.11462461051363343,20
R1,20260202,0.25,-0.2061924514835932,-0.10010650974822814,0.10608594173536505,15
R1,20260303,0.07,0.16336685090437802,0.09619365776542876,-0.06717319313894926,15
R1,20260303,0.1,0.16336685090437802,0.12486841847660324,-0.03849843242777479,14
R1,20260303,0.25,0.16336685090437802,0.1379250484233584,-0.025441802481019626,10
R1_amt,20240801,0.07,0.1840105177763046,-0.07740892174633562,-0.26141943952264024,20
R1_amt,20240801,0.1,0.1840105177763046,-0.05621135647424609,-0.2402218742505507,18
R1_amt,20240801,0.25,0.1840105177763046,0.11578210968971396,-0.06822840808659063,11
R1_amt,20240902,0.07,0.09063718925581939,-0.04919296285128767,-0.13983015210710706,19
R1_amt,20240902,0.1,0.09063718925581939,0.07074897882252021,-0.019888210433299178,15
R1_amt,20240902,0.25,0.09063718925581939,0.10408282969933846,0.013445640443519077,11
R1_amt,20241002,0.07,-0.15182814396407127,-0.019450592223405044,0.13237755174066623,19
R1_amt,20241002,0.1,-0.15182814396407127,-0.04364594681153639,0.10818219715253488,16
R1_amt,20241002,0.25,-0.15182814396407127,-0.14842771700524718,0.0034004269588240876,15
R1_amt,20241101,0.07,-0.02887809767913791,-0.025796704193180038,0.003081393485957873,18
R1_amt,20241101,0.1,-0.02887809767913791,-0.051900608943997464,-0.023022511264859553,18
R1_amt,20241101,0.25,-0.02887809767913791,-0.08409342506274652,-0.055215327383608605,14
R1_amt,20241202,0.07,0.2429218097525479,-0.04854802698418878,-0.29146983673673665,18
R1_amt,20241202,0.1,0.2429218097525479,-0.027367818356697098,-0.270289628109245,17
R1_amt,20241202,0.25,0.2429218097525479,0.2070648471192485,-0.035856962633299405,8
R1_amt,20250102,0.07,0.06641149620630912,0.002173656013431952,-0.06423784019287718,17
R1_amt,20250102,0.1,0.06641149620630912,0.0010241532783619224,-0.0653873429279472,16
R1_amt,20250102,0.25,0.06641149620630912,-0.013779891509390347,-0.08019138771569947,10
R1_amt,20250203,0.07,0.14750725388022057,-0.02878013827475696,-0.17628739215497752,18
R1_amt,20250203,0.1,0.14750725388022057,-0.05419104845126046,-0.20169830233148103,18
R1_amt,20250203,0.25,0.14750725388022057,0.03375988709674409,-0.11374736678347648,9
R1_amt,20250304,0.07,0.2654405423230001,-0.03071736209291674,-0.29615790441591683,18
R1_amt,20250304,0.1,0.2654405423230001,-0.034257471854110565,-0.2996980141771106,17
R1_amt,20250304,0.25,0.2654405423230001,0.04792527379356658,-0.21751526852943348,11
R1_amt,20250401,0.07,0.18533851570005275,-0.07986621992633809,-0.26520473562639085,19
R1_amt,20250401,0.1,0.18533851570005275,0.05578806987114673,-0.129550445828906,16
R1_amt,20250401,0.25,0.18533851570005275,0.31104379926254805,0.1257052835624953,8
R1_amt,20250502,0.07,0.8416728156166238,0.7034043055672022,-0.13826851004942153,7
R1_amt,20250502,0.1,0.8416728156166238,0.7571427618533175,-0.08453005376330625,6
R1_amt,20250502,0.25,0.8416728156166238,0.8308902648428405,-0.010782550773783317,2
R1_amt,20250602,0.07,0.7264334529289531,0.48667980196629035,-0.23975365096266277,9
R1_amt,20250602,0.1,0.7264334529289531,0.4664921380165664,-0.2599413149123867,9
R1_amt,20250602,0.25,0.7264334529289531,0.7360056534000642,0.00957220047111107,6
R1_amt,20250701,0.07,0.5991252867741834,0.005193467259369672,-0.5939318195148138,16
R1_amt,20250701,0.1,0.5991252867741834,0.4380565039452559,-0.1610687828289275,11
R1_amt,20250701,0.25,0.5991252867741834,0.5589001968174825,-0.04022508995670093,4
R1_amt,20250801,0.07,0.6441093388850401,0.5398776885604561,-0.10423165032458392,11
R1_amt,20250801,0.1,0.6441093388850401,0.5722002041367759,-0.07190913474826421,9
R1_amt,20250801,0.25,0.6441093388850401,0.651240898179625,0.007131559294584977,4
R1_amt,20250901,0.07,0.7247660150256978,0.6808654421753291,-0.043900572850368746,5
R1_amt,20250901,0.1,0.7247660150256978,0.6969547051779627,-0.027811309847735166,3
R1_amt,20250901,0.25,0.7247660150256978,0.7089208395662435,-0.015845175459454297,2
R1_amt,20251001,0.07,0.568747143627738,0.5336064219595997,-0.03514072166813831,8
R1_amt,20251001,0.1,0.568747143627738,0.5354498818495566,-0.033297261778181486,7
R1_amt,20251001,0.25,0.568747143627738,0.53379351104117,-0.03495363258656803,4
R1_amt,20251103,0.07,0.7614684919025169,-0.01713644151386772,-0.7786049334163846,19
R1_amt,20251103,0.1,0.7614684919025169,0.06078534625428676,-0.7006831456482301,18
R1_amt,20251103,0.25,0.7614684919025169,0.3488933502794143,-0.41257514162310255,9
R1_amt,20251201,0.07,0.7572068181617208,0.48739106320600056,-0.2698157549557202,10
R1_amt,20251201,0.1,0.7572068181617208,0.6468641321391629,-0.11034268602255781,9
R1_amt,20251201,0.25,0.7572068181617208,0.7489779974331037,-0.008228820728617081,3
R1_amt,20260102,0.07,0.265210243999389,0.24543292863818916,-0.01977731536119981,15
R1_amt,20260102,0.1,0.265210243999389,0.23573394638379774,-0.02947629761559123,13
R1_amt,20260102,0.25,0.265210243999389,0.33604852003656344,0.07083827603717446,6
R1_amt,20260202,0.07,-0.028105925323149143,-0.08746368889368708,-0.05935776357053794,20
R1_amt,20260202,0.1,-0.028105925323149143,0.004411401834435169,0.03251732715758431,19
R1_amt,20260202,0.25,-0.028105925323149143,0.07223423528393266,0.10034016060708181,12
R1_amt,20260303,0.07,0.1797821056399088,0.14307472811918248,-0.03670737752072631,14
R1_amt,20260303,0.1,0.1797821056399088,0.18399210602728777,0.0042100003873789815,13
R1_amt,20260303,0.25,0.1797821056399088,0.14389330087409516,-0.03588880476581363,11
