name,mode,date,net,index_original,index_matched,ex_original,ex_matched,ex_ew,kospi_pick,kospi_universe,known_later_exclusions,cap_exclusions,missing_exit,entry_failed,size_min,size_max,size_median
R1,original,20240801,0.19105754815752193,-0.05086604009444419,-0.05097746518481956,0.24192358825196614,0.2420350133423415,0.24540265565226213,0.45,0.3955960516324981,0,0,0,0,0.3363705391040243,0.9992406985573272,0.7574031890660592
R1,causal_uncapped,20240801,0.19105754815752193,-0.05086604009444419,-0.05097746518481956,0.24192358825196614,0.2420350133423415,0.24540265565226213,0.45,0.3955960516324981,0,0,0,0,0.3363705391040243,0.9992406985573272,0.7574031890660592
R1,original,20240902,0.14727124496122032,-0.04150487545638444,-0.03939556892786347,0.18877612041760478,0.1866668138890838,0.1861605141144088,0.6,0.3905645784996133,0,0,0,0,0.27842227378190254,0.9992266047950503,0.7733952049497292
R1,causal_uncapped,20240902,0.14727124496122032,-0.04150487545638444,-0.03939556892786347,0.18877612041760478,0.1866668138890838,0.1861605141144088,0.6,0.3905645784996133,0,0,0,0,0.27842227378190254,0.9992266047950503,0.7733952049497292
R1,original,20241002,-0.14108122812582868,-0.08036770688730216,-0.07173824924324029,-0.060713521238526524,-0.06934297888258839,-0.05007976582685593,0.5,0.3905862923203964,0,0,0,0,0.334983498349835,0.9991749174917491,0.761963696369637
R1,causal_uncapped,20241002,-0.14108122812582868,-0.08036770688730216,-0.07173824924324029,-0.060713521238526524,-0.06934297888258839,-0.05007976582685593,0.5,0.3905862923203964,0,0,0,0,0.334983498349835,0.9991749174917491,0.761963696369637
R1,original,20241101,-0.07904337931105992,-0.030176535087040476,-0.026999226787610853,-0.04886684422401945,-0.05204415252344907,-0.06988948320036922,0.5,0.3989941324392288,0,0,0,0,0.2152428810720268,0.9673366834170855,0.6863484087102177
R1,causal_uncapped,20241101,-0.07904337931105992,-0.030176535087040476,-0.026999226787610853,-0.04886684422401945,-0.05204415252344907,-0.06988948320036922,0.5,0.3989941324392288,0,0,0,0,0.2152428810720268,0.9673366834170855,0.6863484087102177
R1,original,20241202,0.10254702616025002,0.1068482636896363,0.10824270309442409,-0.004301237529386284,-0.005695676934174068,-0.027012185748678086,0.45,0.4036095159967186,0,0,0,0,0.07616707616707617,0.9918099918099919,0.7465192465192465
R1,causal_uncapped,20241202,0.10254702616025002,0.1068482636896363,0.10824270309442409,-0.004301237529386284,-0.005695676934174068,-0.027012185748678086,0.45,0.4036095159967186,0,0,0,0,0.07616707616707617,0.9918099918099919,0.7465192465192465
R1,original,20250102,0.027590405358480414,0.1610818691908991,0.1522758078639192,-0.13349146383241867,-0.12468540250543879,-0.11112209147433307,0.35,0.4081145584725537,0,0,0,0,0.3497615262321145,0.9896661367249603,0.6931637519872814
R1,causal_uncapped,20250102,0.027590405358480414,0.1610818691908991,0.1522758078639192,-0.13349146383241867,-0.12468540250543879,-0.11112209147433307,0.35,0.4081145584725537,0,0,0,0,0.3497615262321145,0.9896661367249603,0.6931637519872814
R1,original,20250203,0.24056080115274064,0.1908444439871355,0.21386250497823733,0.04971635716560516,0.02669829617450331,0.1001309980891382,0.5,0.3819951338199513,0,0,0,0,0.2739059967585089,0.9837925445705025,0.7078606158833063
R1,causal_uncapped,20250203,0.24056080115274064,0.1908444439871355,0.21386250497823733,0.04971635716560516,0.02669829617450331,0.1001309980891382,0.5,0.3819951338199513,0,0,0,0,0.2739059967585089,0.9837925445705025,0.7078606158833063
R1,original,20250304,0.29694792838808687,0.13732674616873008,0.16822548552885763,0.15962118221935678,0.12872244285922924,0.204972241546039,0.55,0.37886792452830187,0,0,0,0,0.12528301886792453,0.9939622641509434,0.8260377358490566
R1,causal_uncapped,20250304,0.29694792838808687,0.13732674616873008,0.16822548552885763,0.15962118221935678,0.12872244285922924,0.204972241546039,0.55,0.37886792452830187,0,0,0,0,0.12528301886792453,0.9939622641509434,0.8260377358490566
