name,mode,date,ticker
R1,original,20240801,033790
R1,original,20240801,012450
R1,original,20240801,053030
R1,original,20240801,087010
R1,original,20240801,107640
R1,original,20240801,000150
R1,original,20240801,281820
R1,original,20240801,402340
R1,original,20240801,000155
R1,original,20240801,000250
R1,original,20240801,305090
R1,original,20240801,000660
R1,original,20240801,003350
R1,original,20240801,004140
R1,original,20240801,145020
R1,original,20240801,323280
R1,original,20240801,950160
R1,original,20240801,032820
R1,original,20240801,005430
R1,original,20240801,314930
R1,causal_uncapped,20240801,033790
R1,causal_uncapped,20240801,012450
R1,causal_uncapped,20240801,053030
R1,causal_uncapped,20240801,087010
R1,causal_uncapped,20240801,107640
R1,causal_uncapped,20240801,000150
R1,causal_uncapped,20240801,281820
R1,causal_uncapped,20240801,402340
R1,causal_uncapped,20240801,000155
R1,causal_uncapped,20240801,000250
R1,causal_uncapped,20240801,305090
R1,causal_uncapped,20240801,000660
R1,causal_uncapped,20240801,003350
R1,causal_uncapped,20240801,004140
R1,causal_uncapped,20240801,145020
R1,causal_uncapped,20240801,323280
R1,causal_uncapped,20240801,950160
R1,causal_uncapped,20240801,032820
R1,causal_uncapped,20240801,005430
R1,causal_uncapped,20240801,314930
R1,original,20240902,003350
R1,original,20240902,305090
R1,original,20240902,323280
R1,original,20240902,033790
R1,original,20240902,337930
R1,original,20240902,310210
R1,original,20240902,103590
R1,original,20240902,281820
R1,original,20240902,107640
R1,original,20240902,004140
R1,original,20240902,402340
R1,original,20240902,009070
R1,original,20240902,000660
R1,original,20240902,000150
R1,original,20240902,087010
R1,original,20240902,003160
R1,original,20240902,082740
R1,original,20240902,009540
R1,original,20240902,071970
R1,original,20240902,257720
R1,causal_uncapped,20240902,003350
R1,causal_uncapped,20240902,305090
R1,causal_uncapped,20240902,323280
R1,causal_uncapped,20240902,033790
R1,causal_uncapped,20240902,337930
R1,causal_uncapped,20240902,310210
R1,causal_uncapped,20240902,103590
R1,causal_uncapped,20240902,281820
R1,causal_uncapped,20240902,107640
R1,causal_uncapped,20240902,004140
R1,causal_uncapped,20240902,402340
R1,causal_uncapped,20240902,009070
R1,causal_uncapped,20240902,000660
R1,causal_uncapped,20240902,000150
R1,causal_uncapped,20240902,087010
R1,causal_uncapped,20240902,003160
R1,causal_uncapped,20240902,082740
R1,causal_uncapped,20240902,009540
R1,causal_uncapped,20240902,071970
R1,causal_uncapped,20240902,257720
R1,original,20241002,337930
R1,original,20241002,003350
R1,original,20241002,310210
R1,original,20241002,000520
R1,original,20241002,323280
R1,original,20241002,033790
R1,original,20241002,305090
R1,original,20241002,314930
R1,original,20241002,001250
R1,original,20241002,234690
R1,original,20241002,103590
R1,original,20241002,402340
R1,original,20241002,089030
R1,original,20241002,281820
R1,original,20241002,000660
R1,original,20241002,267260
R1,original,20241002,053030
R1,original,20241002,000100
R1,original,20241002,063160
R1,original,20241002,087010
R1,causal_uncapped,20241002,337930
R1,causal_uncapped,20241002,003350
R1,causal_uncapped,20241002,310210
R1,causal_uncapped,20241002,000520
R1,causal_uncapped,20241002,323280
R1,causal_uncapped,20241002,033790
R1,causal_uncapped,20241002,305090
R1,causal_uncapped,20241002,314930
R1,causal_uncapped,20241002,001250
R1,causal_uncapped,20241002,234690
R1,causal_uncapped,20241002,103590
R1,causal_uncapped,20241002,402340
R1,causal_uncapped,20241002,089030
R1,causal_uncapped,20241002,281820
R1,causal_uncapped,20241002,000660
R1,causal_uncapped,20241002,267260
R1,causal_uncapped,20241002,053030
R1,causal_uncapped,20241002,000100
R1,causal_uncapped,20241002,063160
R1,causal_uncapped,20241002,087010
R1,original,20241101,310210
R1,original,20241101,323280
R1,original,20241101,003350
R1,original,20241101,950210
R1,original,20241101,087010
R1,original,20241101,000520
R1,original,20241101,314930
R1,original,20241101,033790
R1,original,20241101,014820
R1,original,20241101,337930
R1,original,20241101,007110
R1,original,20241101,234690
R1,original,20241101,036560
R1,original,20241101,000150
R1,original,20241101,013890
R1,original,20241101,067080
R1,original,20241101,305090
R1,original,20241101,103590
R1,original,20241101,402340
R1,original,20241101,003160
R1,causal_uncapped,20241101,310210
R1,causal_uncapped,20241101,323280
R1,causal_uncapped,20241101,003350
R1,causal_uncapped,20241101,950210
R1,causal_uncapped,20241101,087010
R1,causal_uncapped,20241101,000520
R1,causal_uncapped,20241101,314930
R1,causal_uncapped,20241101,033790
R1,causal_uncapped,20241101,014820
R1,causal_uncapped,20241101,337930
R1,causal_uncapped,20241101,007110
R1,causal_uncapped,20241101,234690
R1,causal_uncapped,20241101,036560
R1,causal_uncapped,20241101,000150
R1,causal_uncapped,20241101,013890
R1,causal_uncapped,20241101,067080
R1,causal_uncapped,20241101,305090
R1,causal_uncapped,20241101,103590
R1,causal_uncapped,20241101,402340
R1,causal_uncapped,20241101,003160
R1,original,20241202,007390
R1,original,20241202,001380
R1,original,20241202,310210
R1,original,20241202,323280
R1,original,20241202,267260
R1,original,20241202,051980
R1,original,20241202,100840
R1,original,20241202,036560
R1,original,20241202,100220
R1,original,20241202,067080
R1,original,20241202,039610
R1,original,20241202,000100
R1,original,20241202,000810
R1,original,20241202,314930
R1,original,20241202,010120
R1,original,20241202,210120
