ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
363260,모비데이즈,,1052,21.3,16.7,7.5,-57.0,8.9,-15.7,-30.0,-32.6,-19.2,-25.3,-35.1,2.03,2445,966,0,False,False,False,201811,181880,3.8,2.2,2.4,1.11,4,False,False,False,True,거래량동반양봉,90.5,0.2,-0.0,-3.3,-0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.5,101.5,363260,01493535,0,0,0,0,,,,,,,,,,,안전
058110,멕아이씨에스,,2055,14.6,11.0,-4.5,-48.6,38.3,-16.6,-26.7,24.1,-17.1,-22.9,-2.4,0.55,4000,1486,0,False,False,False,94861,138210,1.6,2.1,3.5,0.69,0,False,False,False,False,-,87.5,0.9,0.5,2.1,0.5,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.5,101.5,058110,00270113,0,0,0,0,,,,,,,,,,,안전
199730,바이오인프라,,3185,16.1,12.4,-5.0,-49.7,3.7,-14.2,-24.6,-20.7,-14.8,-19.2,-30.6,1.55,6330,3070,5,True,False,False,20706,12067,0.6,0.7,0.4,1.72,0,False,False,False,False,-,89.3,0.2,-0.4,0.3,-0.4,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.3,101.3,199730,01110058,0,0,0,0,,,,,,,,,,,안전
226590,엠디바이스,,15710,27.4,5.8,6.7,-58.7,72.8,-27.4,-42.1,-46.7,-30.0,-38.7,-17.3,0.54,38000,9090,0,False,False,False,225295,362116,28.4,39.9,88.0,0.62,0,False,False,False,False,-,87.3,32.7,1.6,1.8,-56.4,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.3,101.3,226590,01022142,0,2,0,0,,[20250911] [기재정정]주요사항보고서(전환사채권발행결정) (20250911000339) || [20250911] 주요사항보고서(전환사채권발행결정) (20250911000306),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250911000339 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250911000306,,,,20250911000339 || 20250911000306,주의
038110,에코플라스틱,,2470,13.4,4.7,7.2,-52.3,1.9,-13.8,-34.0,-26.9,-17.5,-28.6,-25.0,0.63,5180,2425,0,False,False,False,650426,1279581,13.2,17.2,42.4,0.51,0,False,False,False,False,-,87.1,10.6,0.6,28.8,1.6,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.1,101.1,038110,00139153,0,0,0,0,,,,,,,,,,,안전
308430,셀비온,,19400,16.5,5.4,7.2,-54.0,23.6,-18.0,-48.0,-30.0,-25.9,-35.7,-22.4,0.54,42200,15700,0,False,False,False,101449,122876,13.0,21.8,33.4,0.83,0,False,False,False,False,-,87.1,17.3,0.2,-2.6,14.3,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.1,101.1,308430,01275489,0,4,0,0,,[20260422] [기재정정]주요사항보고서(유상증자결정) (20260422000666) || [20260422] [기재정정]주요사항보고서(전환사채권발행결정) (20260422000658) || [20260415] 주요사항보고서(전환사채권발행결정) (20260415000475),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422000666 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422000658 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260415000475,,,,20260422000666 || 20260422000658 || 20260415000475,주의
464490,쿼드메디슨,,8410,13.7,12.2,6.1,-69.0,5.8,-16.7,-39.1,-55.5,-20.8,-32.3,,0.77,27150,7950,0,False,False,False,102666,113354,7.5,9.2,12.4,0.91,0,False,False,False,False,-,87.0,6.0,1.3,16.5,-2.4,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,102.0,101.0,464490,01671285,0,4,0,0,,[20251201] [기재정정]주요사항보고서(유상증자결정) (20251201000469) || [20251106] [기재정정]주요사항보고서(유상증자결정) (20251106000406) || [20251029] [기재정정]주요사항보고서(유상증자결정) (20251029000299),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251201000469 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251106000406 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251029000299,,,,20251201000469 || 20251106000406 || 20251029000299,주의
450950,아스테라시스,,8120,20.5,4.2,7.2,-53.5,1.4,-14.9,-29.2,-38.0,-17.0,-23.7,-33.8,1.03,17480,8010,0,False,False,False,58698,60030,5.1,5.0,5.9,0.98,0,False,False,False,False,-,86.9,2.6,0.3,6.6,2.8,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.9,100.9,450950,01590528,0,0,0,0,,,,,,,,,,,안전
054540,삼영엠텍,,8900,23.3,8.7,8.0,-61.0,79.8,-20.1,-35.9,-34.6,-19.7,-23.6,-31.1,0.78,22800,4950,0,False,False,False,168225,234820,16.2,16.2,26.9,0.72,0,False,False,False,False,-,86.8,8.1,0.3,4.7,0.1,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.8,100.8,054540,00250614,0,11,0,0,,[20260430] 최대주주변경을수반하는주식담보제공계약체결               (20260430901789) || [20260430] 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등               (20260430900805) || [20260323] [기재정정]최대주주변경을수반하는주식담보제공계약체결               (20260323901438),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430901789 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430900805 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323901438,,,,20260430901789 || 20260430900805 || 20260323901438,주의
025870,신라에스지,,3225,10.2,21.6,4.5,-50.3,7.5,-14.7,-28.2,-34.1,-16.4,-23.6,-36.8,1.89,6490,3000,5,True,False,False,18725,11279,0.7,0.6,0.4,1.66,0,False,False,False,False,-,88.8,0.1,-0.0,0.6,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,101.8,100.8,025870,00136004,0,0,0,0,,,,,,,,,,,안전
