ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score
950250,테라뷰,,4620,17.5,17.8,23.9,-77.8,12.1,1.0,-33.6,-46.5,-19.0,-30.8,,0.65,20800,4120,10,False,True,True,392181,693584,21.0,17.5,40.6,0.57,6,False,True,True,False,5일선회복/+3%반등,78.5,5.1,0.0,1.2,-3.4,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
033340,좋은사람들,,1137,15.1,0.0,6.9,-61.1,49.6,-11.5,-34.5,-46.2,-24.1,-30.5,-38.1,1.46,2925,760,5,False,True,False,1084545,1303152,21.9,13.1,19.6,0.83,0,False,False,False,False,-,89.5,2.7,0.0,15.9,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
101360,에코앤드림,,14830,17.7,16.3,23.5,-44.9,7.4,-1.5,-28.7,-29.7,-14.5,-16.2,-26.1,0.92,26900,13810,5,False,True,False,91062,108080,14.8,13.2,19.0,0.84,6,False,True,True,False,5일선회복/+3%반등,76.3,0.9,0.9,5.1,-32.8,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.3,101.3
019660,글로본,,1928,14.1,6.4,2.5,-47.9,inf,-5.0,-17.8,-14.9,-10.6,-17.4,-25.5,6.38,3700,0,10,True,True,False,85103,47113,5.9,1.7,1.0,1.81,0,False,False,False,False,-,92.1,-0.7,0.0,-0.4,-0.0,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.1,101.1
131100,티엔엔터테인먼트,,1082,12.4,5.2,5.5,-52.3,1.1,-5.2,-18.3,-24.1,-11.3,-14.2,-23.3,0.85,2270,1070,5,False,True,False,55114,43589,0.4,0.6,0.5,1.26,0,False,False,False,False,-,82.0,0.1,0.2,0.1,0.4,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.0,101.0
278650,HLB바이오스텝,,4000,10.1,8.5,10.5,-60.4,5.8,-16.4,-38.3,-35.7,-29.7,-34.4,-40.4,1.65,10100,3780,10,True,True,False,150607,58071,3.6,6.1,2.6,2.59,3,False,True,False,False,5일선회복,89.0,-1.0,-0.3,-4.8,-2.1,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.0,101.0
456070,이엔셀,,11150,20.9,11.0,18.1,-46.8,11.5,-6.1,-30.0,-34.3,-18.2,-23.6,-20.2,1.14,20950,10000,5,False,True,False,164058,128423,15.9,19.0,17.7,1.28,0,False,False,False,False,-,81.9,3.8,0.4,9.6,-0.4,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.9,100.9
194480,데브시스터즈,,17390,16.7,12.2,23.9,-70.1,4.1,-1.8,-28.0,-51.2,-13.1,-32.4,-52.7,0.83,58200,16700,5,False,True,False,74790,84448,12.2,12.8,17.0,0.89,3,False,True,False,False,5일선회복,78.9,2.5,0.5,-13.9,-20.3,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.9,100.9
037070,파세코,,6900,15.2,7.7,2.2,-34.8,23.2,-17.2,-26.8,-17.2,-21.2,-20.4,-6.8,2.45,10590,5600,5,True,False,False,277753,156759,27.2,20.1,13.1,1.77,0,False,False,False,False,-,88.7,7.9,-0.0,-0.3,0.1,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.7,100.7
072770,멤레이비티,,1083,0.0,9.8,-51.7,-66.5,8.3,-23.4,-23.2,-27.6,-22.2,-26.9,-38.8,11.22,3230,1000,5,True,False,False,391330,136414,16.6,4.4,1.7,2.87,0,False,False,False,False,-,96.6,-1.7,-0.5,-1.9,1.5,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.6,100.6
049080,기가레인,,1494,30.6,21.0,21.3,-52.2,inf,-6.3,-34.5,297.3,-20.5,-14.5,81.3,1.53,3125,0,10,True,True,False,21385889,13607754,272.8,312.8,263.9,1.57,3,False,True,False,False,5일선회복,80.5,30.3,-110.9,25.7,-110.9,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.5,100.5
241840,에이스토리,,3790,14.9,2.3,9.3,-68.8,0.8,-10.0,-30.3,-44.5,-18.5,-26.5,-47.7,2.37,12140,3760,0,False,False,False,44897,37942,3.4,1.8,1.7,1.18,0,False,False,False,False,-,93.1,0.9,0.0,-0.5,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.1,100.1
328380,솔트웨어,,3150,7.6,8.4,18.2,-57.9,6.2,-1.7,-28.8,-22.9,-19.1,-21.1,-28.6,0.96,7475,2965,5,False,True,False,37399,29201,0.9,1.2,1.0,1.28,6,False,True,True,False,5일선회복/+3%반등,82.1,0.2,0.0,0.5,-0.9,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.1,100.1
301300,바이브컴퍼니,,2035,19.2,14.0,24.4,-70.5,5.6,1.0,-23.6,-26.4,-12.9,-17.7,-41.4,1.78,6890,1927,10,False,True,True,56949,57939,2.1,1.1,1.3,0.98,3,False,True,False,False,5일선회복,79.9,0.1,0.0,0.9,-0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.9,99.9
036170,에이치엠넥스,,4965,26.8,2.6,7.7,-51.5,519.9,-17.7,-36.8,186.3,-28.0,-19.5,101.7,1.19,10240,801,5,False,True,False,1944293,2383616,140.5,102.6,171.9,0.82,0,False,False,False,False,-,87.9,9.8,0.0,3.1,1.9,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.9,99.9
101400,엔시트론,,1938,14.6,18.2,15.3,-56.4,15.8,1.7,-22.3,-32.5,-16.0,-21.5,-17.9,1.29,4442,1673,15,True,True,True,78212,37472,1.0,1.5,0.8,2.09,6,False,True,True,False,5일선회복/+3%반등,79.4,-0.5,-0.2,-1.0,-0.0,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.4,99.4
417180,핑거스토리,,6140,8.1,12.0,2.7,-65.8,4.1,-22.3,-23.9,-29.7,-18.6,-20.7,-35.6,3.1,17961,5900,5,True,False,False,29891,9175,1.7,1.8,0.6,3.26,0,False,False,False,False,-,95.4,-1.1,-0.9,-1.4,-0.2,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.4,99.4
228760,지노믹트리,,13800,18.6,12.8,23.5,-58.6,21.2,-1.5,-22.2,-34.3,-11.2,-19.4,-34.6,1.2,33300,11390,5,False,True,False,145382,123540,20.8,20.1,19.0,1.18,3,False,False,True,False,+3%반등,77.0,8.7,0.2,37.5,1.0,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.0,99.0
298060,풍전약품,,3065,12.1,0.6,-4.8,-63.4,0.3,-33.9,-33.9,-30.3,-29.0,-27.3,-37.6,5.6,8375,3055,0,False,False,False,74281,17685,3.2,2.5,0.6,4.2,0,False,False,False,False,-,100.0,-2.0,-1.6,-2.0,-1.6,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,100.0,99.0
306040,에스제이그룹,,3695,9.8,3.0,13.8,-75.0,16.9,-14.9,-51.1,-61.0,-33.8,-43.9,-40.7,1.46,14800,3160,5,False,True,False,186443,214644,11.9,7.6,11.4,0.87,0,False,False,False,False,-,86.8,1.2,-0.0,18.6,-0.1,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.8,98.8
087260,모바일어플라이언스,,1001,10.0,6.0,10.3,-60.9,10.0,-27.4,-53.8,-50.8,-47.0,-49.7,-48.5,1.16,2560,910,5,False,True,False,2560767,1984947,23.0,27.9,33.6,1.29,0,False,False,False,False,-,86.7,8.6,-0.0,15.6,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.7,98.7
476040,오가노이드사이언스,,16900,19.8,21.6,25.5,-67.5,9.0,3.2,-27.5,-44.7,-13.3,-24.2,-45.9,0.85,52000,15510,10,False,True,True,60384,66690,9.5,10.0,13.0,0.91,6,False,True,True,False,5일선회복/+3%반등,75.6,2.6,-0.6,10.0,-4.5,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.6,98.6
462980,아이지넷,,1712,8.4,0.4,10.4,-52.4,0.1,-7.6,-30.0,-15.2,-17.7,-23.8,-21.1,2.7,3600,1710,5,False,True,False,148141,126885,6.0,2.6,2.6,1.17,0,False,False,False,False,-,94.3,-2.4,0.0,-6.1,1.1,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.3,98.3
080530,코디,,3370,30.3,55.8,26.4,-62.5,40.1,5.3,-17.3,-32.5,-11.2,-14.7,-36.5,1.53,8990,2405,15,True,True,True,163403,46292,2.5,4.9,1.4,3.53,6,False,True,True,False,5일선회복/+3%반등,70.3,2.5,-0.5,2.1,-2.3,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.3,98.3
067000,조이시티,,1641,16.8,9.4,24.4,-50.8,8.1,-3.4,-36.3,-41.7,-18.5,-28.4,-23.4,0.91,3335,1518,5,False,True,False,412455,514021,7.7,6.7,10.6,0.8,6,False,True,True,False,5일선회복/+3%반등,80.2,2.3,-8.3,1.3,-40.8,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,99.2,98.2
360070,탑머티리얼,,15500,15.4,16.7,26.0,-46.4,7.0,-0.7,-28.6,-26.4,-12.9,-14.5,-27.4,0.7,28900,14490,5,False,True,False,25221,36665,3.9,3.8,6.5,0.69,3,False,True,False,False,5일선회복,75.8,0.8,0.1,-10.2,-0.3,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,98.8,97.8
049470,비트플래닛,,2115,16.2,12.9,18.2,-89.3,25.5,2.2,-37.1,-39.5,-27.4,-33.3,-70.1,1.17,19850,1685,10,True,True,False,129075,78029,2.0,2.7,1.7,1.65,6,False,True,True,False,5일선회복/+3%반등,82.8,-0.5,-0.0,-4.7,-1.4,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,98.8,97.8
043910,자연과환경,,3660,11.7,15.9,-0.2,-58.3,7.0,-25.8,-26.9,-35.4,-21.9,-24.0,-39.3,2.27,8780,3420,5,True,False,False,134152,55103,3.8,4.9,2.3,2.43,0,False,False,False,False,-,93.3,-1.9,-1.3,-3.0,0.6,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,98.3,97.3
036090,위지트,,1682,5.6,7.4,-10.8,-39.4,15.8,-18.0,-19.6,-16.8,-16.0,-13.6,-13.2,2.72,2774,1452,5,True,False,False,1069521,489435,20.8,18.4,9.2,2.19,4,False,False,False,True,거래량동반양봉,89.2,-12.9,-0.0,-7.5,-0.0,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,98.2,97.2
035890,서희건설,,2025,15.8,8.0,19.8,-50.8,6.0,-10.2,-36.7,-36.7,-22.2,-31.6,-35.8,0.2,4120,1910,5,False,True,False,1096819,4799551,20.3,22.6,140.9,0.23,3,False,False,True,False,+3%반등,82.1,-7.8,11.8,-81.5,67.6,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,98.1,97.1
251120,바이오에프디엔씨,,11440,20.2,11.9,15.6,-50.5,2.9,-2.2,-19.2,-25.7,-12.1,-15.7,-28.0,1.37,23100,11120,10,False,True,True,48411,38077,6.0,5.5,4.8,1.27,0,False,False,False,False,-,79.7,1.3,-0.0,-2.5,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.7,96.7
115310,인포바인,,9950,13.6,5.2,5.7,-50.6,56.0,-9.9,-27.8,-42.1,-17.5,-24.5,-30.0,1.21,20160,6380,10,True,True,False,59606,29764,3.8,6.4,3.5,2.0,0,False,False,False,False,-,87.7,-2.2,0.0,-7.5,-3.7,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.7,96.7
070300,엑스큐어,,1830,26.4,2.1,-1.9,-48.9,59.1,-21.8,-38.8,0.6,-24.4,-19.8,9.4,1.02,3580,1150,0,False,False,False,476260,521530,9.9,9.6,13.0,0.91,0,False,False,False,False,-,89.7,0.9,-0.0,-9.5,-0.4,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.7,96.7
078160,메디포스트,,13150,20.2,0.8,13.2,-54.8,62.7,-18.4,-48.4,-38.7,-39.5,-40.8,-26.0,0.47,29100,8080,5,False,True,False,444756,531751,33.0,61.3,109.9,0.84,0,False,False,False,False,-,84.7,39.8,-35.9,33.7,-137.4,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.7,96.7
054220,비츠로시스,,2265,25.1,29.4,20.5,-54.7,46.6,-5.8,-15.3,-30.5,-12.1,-15.8,-2.1,3.75,4995,1545,15,True,True,True,288299,127404,9.5,6.3,3.0,2.26,3,False,True,False,False,5일선회복,79.6,-0.8,-0.0,-4.1,-0.8,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.6,96.6
294140,레몬,,2830,23.9,17.1,21.6,-70.2,5.6,-0.7,-27.5,-52.8,-10.1,-14.3,-47.7,0.69,9500,2680,5,False,True,False,42900,85253,1.4,1.2,2.8,0.5,6,False,True,True,False,5일선회복/+3%반등,78.3,0.6,0.0,-1.9,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.3,96.3
123750,알톤,,1756,21.7,16.0,0.4,-49.8,38.8,-7.9,-17.2,-37.6,-11.8,-20.2,-4.3,2.44,3500,1265,0,False,False,False,77688,83973,3.5,1.4,1.7,0.93,0,False,False,False,False,-,89.1,0.7,0.0,1.2,-0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,97.1,96.1
046390,삼화네트웍스,,2100,0.0,14.9,-52.0,-54.8,18.4,-15.3,-16.1,-6.5,-14.4,-14.8,-29.3,18.57,4642,1774,5,True,False,False,481884,126265,50.6,10.1,2.7,3.82,0,False,False,False,False,-,91.8,-0.7,-0.6,-0.6,0.4,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,96.8,95.8
191410,육일씨엔에쓰,,1824,13.1,1.3,15.9,-64.2,37.7,-8.6,-36.1,-39.8,-21.6,-25.9,-18.5,1.03,5100,1325,5,False,True,False,147483,181735,3.4,2.8,4.3,0.81,0,False,False,False,False,-,83.8,2.1,0.0,5.5,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,96.8,95.8
226590,엠디바이스,,21650,30.7,13.8,21.9,-43.0,138.2,5.1,-22.7,2.6,-13.8,-19.7,15.1,0.37,38000,9090,10,False,True,True,165027,388196,31.4,35.3,100.9,0.43,6,False,True,True,False,5일선회복/+3%반등,72.8,-7.4,3.2,5.0,-59.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,96.8,95.8
036120,서울평가정보,,1760,27.0,11.7,2.9,-40.3,1.6,-6.6,-13.9,-17.8,-7.2,-12.0,-16.8,2.05,2950,1732,0,False,False,False,184385,156240,5.8,3.3,3.0,1.18,0,False,False,False,False,-,81.7,0.9,0.3,-6.7,0.3,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,96.7,95.7
