ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
016090,대현,,1554,16.7,2.1,10.6,-21.1,0.3,-3.7,-15.5,-3.8,-7.3,-9.4,-10.3,0.32,1969,1549,0,False,False,False,146589,273282,1.3,2.3,4.7,0.54,0,False,False,False,False,-,67.0,0.6,-0.2,-1.6,-1.3,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,75.0,69.0,016090,00113614,0,0,0,0,,,,,,,,,,,안전
017900,광전자,,8720,38.7,6.9,7.9,-61.2,inf,-22.1,-16.4,394.6,-22.8,-11.1,125.1,0.12,22450,0,0,False,False,False,2036770,7333457,79.1,193.8,915.6,0.28,0,False,False,False,False,-,67.0,26.9,-0.3,63.2,5.4,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,75.0,69.0,017900,00152729,0,0,0,0,,,,,,,,,,,안전
031820,아이티센씨티에스,,6150,24.5,9.8,11.6,-38.4,22.3,-11.6,-18.3,-13.9,-17.4,-16.8,-5.4,0.15,9980,5030,0,False,False,False,59812,206932,1.7,3.9,16.9,0.29,0,False,False,False,False,-,74.9,-1.4,-0.0,-7.3,-0.0,True,0,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.9,68.9,031820,00186559,0,1,0,0,,[20260303] 주식병합결정               (20260303801271),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260303801271,,,,20260303801271,주의
016580,환인제약,,10130,21.8,6.9,12.5,-23.3,1.4,-3.2,-15.1,1.0,-6.7,-6.0,-7.3,0.36,13210,9990,0,False,False,False,39730,49722,1.8,4.1,5.5,0.8,0,False,False,False,False,-,66.9,-3.7,0.4,-4.3,0.8,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.9,68.9,016580,00166573,0,2,0,0,,[20251030] 최대주주변경               (20251030800491) || [20251030] 최대주주등소유주식변동신고서(최대주주변경시)               (20251030800448),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251030800491 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251030800448,,,,20251030800491 || 20251030800448,주의
007540,샘표,,43100,16.5,8.7,11.2,-41.0,1.8,-5.4,-15.7,-18.2,-8.1,-15.1,-14.7,0.78,73100,42350,0,False,False,False,5824,7052,2.3,2.5,3.3,0.83,0,False,False,False,False,-,74.8,-1.0,-0.1,-4.7,-1.1,True,0,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.8,68.8,007540,00130091,0,0,0,0,,,,,,,,,,,안전
033920,무학,,7440,16.2,21.1,19.8,-29.1,5.1,-2.9,-15.7,-17.3,-7.8,-12.9,-13.0,0.59,10490,7080,0,False,False,False,91349,86426,3.7,6.7,7.0,1.06,3,False,True,False,False,5일선회복,63.8,0.5,-0.3,1.6,-1.9,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.8,68.8,033920,00121543,0,1,0,0,,[20251028] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251028800517),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251028800517,,,,20251028800517,주의
267270,HD건설기계,,147700,29.0,27.0,20.7,-32.1,119.1,-4.8,-22.7,24.9,-9.8,-9.1,22.8,0.55,217500,67400,0,False,False,False,361897,355929,288.8,536.0,588.3,1.02,0,False,False,False,False,-,66.7,349.6,-505.1,1117.3,-1891.0,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.7,68.7,267270,01205842,0,2,1,0,,[20260319] [첨부정정]주요사항보고서(감자결정) (20260319000350) || [20260224] 주요사항보고서(감자결정) (20260224002613),[20250701] 매매거래정지및정지해제(중요내용공시)               (20250701800423),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319000350 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260224002613,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250701800423,,,20260319000350 || 20260224002613,주의
009160,SIMPAC,,4735,17.6,8.4,15.5,-31.4,13.0,-7.5,-26.5,-1.4,-16.6,-14.1,-5.7,0.6,6900,4190,0,False,False,False,175425,227528,6.3,8.5,13.3,0.77,0,False,False,False,False,-,74.6,-5.3,-0.7,1.6,-2.4,True,0,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.6,68.6,009160,00138260,0,3,1,0,,[20251215] 최대주주변경               (20251215801703) || [20251215] 최대주주등소유주식변동신고서(최대주주변경시)               (20251215801495) || [20251002] 주요사항보고서(감자결정) (20251002000370),[20251002] 매매거래정지및정지해제(중요내용공시)               (20251002800382),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251215801703 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251215801495 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251002000370,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251002800382,,,20251215801703 || 20251215801495 || 20251002000370,주의
017940,E1,,85000,25.3,10.6,19.7,-25.8,26.5,-2.6,-18.6,-8.6,-8.5,-12.3,-2.7,0.61,114500,67200,0,False,False,False,16343,17618,8.9,14.0,16.6,0.93,0,False,False,False,False,-,66.6,3.6,-2.7,-34.2,9.4,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.6,68.6,017940,00165583,0,0,0,0,,,,,,,,,,,안전
003670,포스코퓨처엠,,209000,33.7,10.0,14.6,-30.2,118.9,-12.2,-21.7,12.9,-13.8,-10.8,3.6,0.55,299500,95477,0,False,False,False,377261,406412,426.4,868.7,1023.9,0.93,0,False,False,False,False,-,66.5,-73.8,65.2,-630.2,27.0,True,8,강세,-6,0,-3,-3,67.0,17.6,1558.84,3.44,7.15,-167387.0,-167387.0,-167387.0,10,10,1.0,74.5,68.5,003670,00155276,0,7,0,0,,[20250729] 유상증자또는주식관련사채등의발행결과(자율공시)               (20250729800118) || [20250728] 유상증자또는주식관련사채등의청약결과(자율공시)               (20250728800052) || [20250723] 유상증자또는주식관련사채등의청약결과(자율공시)               (20250723800061),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250729800118 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250728800052 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250723800061,,,,20250729800118 || 20250728800052 || 20250723800061,주의
