rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
34,043150,1.8,100,바텍,의료·정밀·광학,58.3,0.01376255685393782,8.09,0.5,-9.0,-35.5,5.3,-2.1,-15.5,0.0,-0.2,45.0,71.3,0,0,
35,038500,1.781,100,삼표시멘트,비금속광물(시멘트·유리),67.2,0.02015771226599639,5.19,-1.5,-8.5,-71.5,20.2,-4.3,-2.3,-1.5,-11.3,-58.9,66.2,0,0,
36,070300,1.768,100,퀀텀레일,출판·SW,60.4,0.041660324258530466,1.17,-9.0,-22.1,-59.8,5.4,-0.5,1.8,0.0,0.1,-231.2,45.4,0,0,
37,124500,1.766,100,아이티센글로벌,IT서비스,67.9,0.061578169624746215,37.19,-3.3,-23.2,-61.5,169.8,23.6,-27.7,-19.9,-143.8,-61.5,67.9,0,0,
38,035810,1.756,100,이지홀딩스,식료품,42.2,0.010083137732619797,3.84,0.1,2.9,-50.6,6.1,-6.4,-11.1,3.1,5.9,3.6,62.2,0,0,
39,063080,1.738,100,컴투스홀딩스,출판·SW,62.0,0.028710447659331565,4.32,-2.7,-8.1,-58.1,5.5,1.8,-0.4,-0.1,6.4,-139.8,43.0,0,0,
40,060280,1.724,100,큐렉소,소매,51.7,0.016731669216079104,2.86,-0.6,-7.3,-64.7,12.0,-10.7,-15.4,0.1,-16.1,1286.0,57.7,0,0,
41,123330,1.702,100,제닉,화학,68.6,0.051252167880423936,46.02,-2.4,-15.2,-37.8,98.8,-6.1,25.5,6.7,-83.6,82.9,98.6,0,0,
42,111710,1.654,100,남화산업,예술·스포츠,62.2,0.019566358952482075,3.53,-0.5,1.8,-59.7,5.8,1.3,3.4,0.0,0.0,-48.0,60.2,0,0,
43,086900,1.638,100,메디톡스,제약·바이오,61.9,0.023732212386726882,3.67,-1.5,0.4,-52.0,21.3,-10.7,-33.7,-1.0,2.5,-126.3,46.9,0,0,
44,064260,1.606,100,다날,출판·SW,67.9,0.04063041806511276,0.0,-11.7,-16.5,-61.7,99.4,-10.7,-41.6,-5.6,-11.2,67.0,76.9,0,0,
45,225570,1.582,100,넥슨게임즈,출판·SW,51.3,0.038207859318017325,0.0,-7.3,16.6,-29.8,24.0,-30.3,-52.6,35.6,92.6,148.9,64.3,0,0,
46,330350,1.534,100,위더스제약,제약·바이오,49.8,0.06442431155259752,5.06,-5.8,-19.2,-40.3,83.6,3.1,-13.7,0.0,0.9,29.6,57.8,0,0,
47,403850,1.507,100,더핑크퐁컴퍼니,미디어·엔터,49.1,0.04716260367036096,11.24,-1.9,7.6,-79.9,16.3,1.7,-20.3,1.3,14.7,-6.9,59.1,0,0,
48,028300,1.487,100,HLB,제약·바이오,50.7,0.03351477047263233,0.0,-4.2,-17.7,-55.0,473.9,-271.2,-1075.8,-12.8,-251.6,2.3,55.7,0,0,CB 08/05
49,085660,1.475,100,차바이오텍,제약·바이오,48.0,0.019731030893772757,0.0,-1.9,-3.5,-67.3,23.8,-13.4,-42.6,-3.4,-21.6,-35.8,35.0,0,0,
50,950200,1.47,100,소마젠,전문서비스,64.0,0.03933468643730939,,-2.5,-18.5,-33.7,19.6,-0.2,-1.9,0.0,0.0,-70.0,44.0,0,0,
51,007820,1.459,100,엠엑스로보틱스,기계·장비,65.8,0.024623690678207695,0.0,-2.7,-16.2,-54.4,8.5,0.7,7.2,0.0,0.0,-649.6,55.8,0,0,유상증자 08/10
52,019210,1.445,100,와이지-원,금속가공,45.3,0.03286135187486375,6.41,0.1,-11.3,-55.5,64.4,-2.8,12.9,-23.3,-24.6,206.8,64.3,0,0,
53,099190,1.44,100,아이센스,의료·정밀·광학,61.2,0.01975908497420482,0.0,-1.8,-11.1,-42.1,6.4,-1.8,-2.0,0.0,-9.8,41.8,78.2,0,0,
54,396300,1.407,100,HT로보틱스,금속가공,61.2,0.05340355121814028,1.93,-4.3,6.9,-37.1,71.9,-14.1,9.9,-3.1,19.5,256.8,62.2,0,0,
55,484810,1.405,100,티엑스알로보틱스,기계·장비,63.6,0.043409626498083755,0.0,-5.8,-11.3,-54.3,58.6,0.2,-0.7,0.0,-13.1,-589.9,48.6,0,0,
56,178320,1.399,100,서진시스템,전기장비,57.0,0.04961010531660133,0.0,-10.7,-16.6,-61.8,340.9,-146.2,-357.8,-27.8,99.8,-224.1,31.0,0,0,CB 08/24
57,493330,1.389,100,지에프아이,기계·장비,62.3,0.04918164655234931,0.0,-9.6,1.2,-52.4,13.9,-1.0,2.0,0.3,-13.4,330.8,77.3,0,0,
58,365340,1.388,100,성일하이텍,화학,65.6,0.03158754221381017,0.0,-2.8,-3.9,-59.5,12.8,-8.0,-13.6,-4.4,-9.5,136.3,62.6,0,0,
59,084110,1.384,100,휴온스글로벌,제약·바이오,67.7,0.07549695566583915,5.28,-4.2,-5.7,-72.0,14.0,-7.6,-57.8,0.1,-1.5,-22.8,62.7,0,0,
60,198440,1.379,100,강동씨앤엘,비금속광물(시멘트·유리),60.6,0.09178762698051039,0.5,-10.6,29.6,-44.5,108.4,3.9,-6.7,0.0,-0.6,-13.5,45.6,0,0,
61,086450,1.356,100,동국제약,제약·바이오,40.7,0.045335254932742326,10.11,-0.5,6.2,-34.7,118.6,-5.3,-262.0,5.5,225.1,17.9,61.7,0,0,
62,237690,1.351,100,에스티팜,제약·바이오,69.0,0.040057799007134416,9.44,0.4,-18.1,-47.6,112.4,51.0,123.6,-273.7,-274.4,41.7,92.0,0,0,
63,101360,1.345,100,에코앤드림,전기장비,68.0,0.044586464135006935,0.0,-4.9,-3.6,-72.8,7.3,-1.2,-22.7,0.0,-0.3,-1781.7,45.0,0,0,
64,491000,1.336,100,리브스메드,의료·정밀·광학,56.6,0.04244392932843903,0.0,-4.4,-16.7,-69.6,56.5,-24.8,-113.3,-32.6,-62.8,-124.4,59.6,0,0,
65,064550,1.298,100,바이오니아,제약·바이오,66.2,0.07168281535309462,0.0,-15.8,-8.0,-47.3,95.9,-23.4,-63.4,-1.0,0.2,-77.8,45.2,0,0,
66,308080,1.288,100,바이젠셀,지주·전문서비스,61.4,0.06425147235270674,0.0,-11.3,-1.9,-67.9,16.8,0.1,-12.1,0.0,0.0,55.2,71.4,0,0,
67,476060,1.264,100,온코닉테라퓨틱스,지주·전문서비스,61.3,0.057644438190748104,22.17,0.4,1.3,-49.1,121.3,10.3,-18.0,-1.3,-11.7,150.6,83.3,0,0,
68,331920,1.212,100,셀레믹스,제약·바이오,63.2,0.08560546883724651,0.0,-11.7,21.7,-45.4,12.6,0.0,-6.8,0.7,2.1,31.2,76.2,0,0,
69,045390,1.207,100,대아티아이,전기장비,51.6,0.05063785833838754,13.25,1.2,12.1,-35.9,59.6,-25.9,-3.5,0.1,0.4,-45.2,44.6,0,0,
70,243840,1.175,100,신흥에스이씨,전기장비,46.4,0.04596854067590204,0.0,-3.3,8.9,-55.2,14.0,-1.5,-39.2,-0.3,1.5,142.9,66.4,0,0,
71,466100,1.172,100,클로봇,출판·SW,41.9,0.035678773118741035,0.0,-1.9,-14.4,-72.1,69.1,-22.1,-128.0,-2.7,-86.0,-51.2,21.9,0,0,
72,389470,1.157,100,인벤티지랩,지주·전문서비스,58.3,0.035484320701423426,0.0,-1.8,-16.1,-75.3,18.4,-22.8,-7.8,-28.8,-65.9,-27.7,50.3,0,0,
73,082800,1.146,100,비보존 제약,제약·바이오,58.7,0.039975089291153454,0.0,-2.3,-3.1,-63.8,8.5,1.2,-8.2,0.0,0.0,29.1,73.7,0,0,
74,365270,1.144,100,큐라클,지주·전문서비스,56.3,0.023456627913628403,0.0,0.6,-14.5,-54.9,5.7,-2.2,-1.3,-0.3,-5.9,144.4,86.3,0,0,
75,439960,1.093,100,코스모로보틱스,의료·정밀·광학,51.5,0.02532784123314216,0.0,0.3,-11.8,-83.2,96.2,1.7,-9.1,7.1,5.8,-259.9,82.5,0,0,
76,087010,1.089,100,펩트론,제약·바이오,56.6,0.052836763047539016,0.0,-3.7,-21.4,-63.4,206.3,-126.6,73.0,-106.0,-512.0,-59.6,42.6,0,0,
77,323990,1.083,100,박셀바이오,지주·전문서비스,61.6,0.06756820713209814,0.0,-4.6,5.1,-63.6,10.7,-3.3,-3.2,0.0,0.0,-22.4,41.6,0,0,
78,900290,1.082,100,GRT,금융(은행),68.4,0.05025685527001677,,-1.4,-11.4,-52.6,11.0,-4.5,-16.0,0.0,-3.5,-16.5,67.4,0,0,
79,377450,1.061,100,리파인,IT서비스,61.0,0.04300089579472455,4.41,2.5,-12.0,-19.4,29.3,-2.0,-11.2,8.3,73.9,-23.5,72.0,0,0,
80,373110,1.01,100,엑셀세라퓨틱스,제약·바이오,67.7,0.043741261692752983,0.0,-2.0,-15.1,-71.9,5.9,-0.1,-1.2,0.0,-0.4,-3.5,52.7,0,0,
81,126640,1.003,100,화신정공,자동차·부품,63.0,0.04950363927828452,8.7,3.7,-10.1,-50.4,54.1,5.6,-44.3,0.0,0.1,89.3,101.0,0,0,
82,287840,0.979,100,인투셀,지주·전문서비스,47.8,0.023746737470430747,0.0,5.6,-9.9,-76.9,6.1,-6.2,-0.3,-1.7,-16.2,40.7,79.8,0,0,
83,095700,0.943,100,제넥신,지주·전문서비스,46.1,0.06453814531314256,0.0,-3.2,-13.0,-63.4,13.8,-5.4,-14.6,0.0,1.5,-40.0,45.1,0,0,
84,445680,0.923,100,큐리옥스바이오시스템즈,의료·정밀·광학,41.2,0.06159774605686003,0.0,-2.8,-11.6,-68.2,44.2,-12.7,-115.9,-0.8,-24.1,-12.6,36.2,0,0,
85,026040,0.879,100,제이에스티나,기타제조,56.1,0.053580931225650136,4.17,1.6,7.4,-54.6,12.2,1.8,-1.8,0.0,0.0,-125.3,49.1,0,0,
86,092190,0.876,100,서울바이오시스,반도체·전자부품,41.1,0.0417654453959529,0.0,0.0,-10.1,-58.5,15.0,-10.3,-2.9,2.3,4.1,1212.4,79.1,0,0,
87,477850,0.862,100,마키나락스,출판·SW,55.5,0.0353674161089147,0.0,3.0,-16.6,-73.3,150.4,15.4,-31.8,-7.1,27.4,33.4,80.5,0,0,
88,094170,0.857,100,동운아나텍,반도체·전자부품,64.9,0.048129964191245656,1.52,2.8,-18.6,-51.2,29.3,0.8,-46.4,0.0,-2.5,-263.1,63.9,0,0,
89,094940,0.852,100,푸른로보틱스,반도체·전자부품,57.5,0.03603072857296108,0.0,2.3,-1.6,-60.6,14.6,-0.6,-1.8,0.0,0.0,-18.6,63.5,0,0,
90,475960,0.821,100,토모큐브,의료·정밀·광학,45.5,0.0384236241598257,0.0,1.7,-15.4,-59.4,7.1,2.9,0.5,0.1,-12.2,47.9,78.5,0,0,
91,222040,0.792,100,코스맥스엔비티,식료품,61.5,0.03657699197211832,0.0,3.5,-11.4,-34.3,20.5,3.9,-37.2,-7.9,14.1,236.2,102.5,0,0,
92,153890,0.792,100,져스텍,전기장비,40.2,0.03709979445794738,0.0,3.2,-21.9,-75.5,40.7,5.0,10.7,0.1,-14.0,126.8,77.2,0,0,
93,394420,0.782,100,리센스메디컬,의료·정밀·광학,49.3,0.03569358172765139,0.0,5.1,-18.3,-75.8,7.9,-0.9,-9.4,-1.7,-6.6,-65.5,45.3,0,0,
94,228340,0.647,100,동양파일,비금속광물(시멘트·유리),45.9,0.08133137156980597,0.0,-1.7,17.6,-52.9,106.8,-2.3,-11.4,0.0,0.4,240.4,65.9,0,0,
95,215600,0.638,100,신라젠,지주·전문서비스,61.1,0.07185628548214264,0.0,-1.3,-1.8,-58.5,79.4,-5.3,-58.5,-0.3,-4.3,0.1,56.1,0,0,
96,119830,0.6,100,아이텍,전문서비스,43.1,0.045331979812724216,0.0,4.4,-13.6,-36.1,11.0,2.2,1.5,-0.2,-4.2,-80.3,62.1,0,0,CB 07/31
97,457600,0.537,100,벡트,반도체·전자부품,50.1,0.08013811561711459,0.0,-0.3,-5.0,-22.2,7.8,0.1,-5.3,0.0,0.0,0.7,58.1,0,0,유상증자 07/16
98,310210,0.414,100,보로노이,지주·전문서비스,48.0,0.05724066979868807,0.0,5.6,-10.7,-60.2,121.7,-101.7,-248.5,-16.2,-74.3,-188.3,46.0,0,0,
99,371950,0.408,100,풍원정밀,반도체·전자부품,46.2,0.06156689103181769,0.0,5.4,-9.3,-84.9,6.0,4.9,9.2,-11.7,-22.5,-76.6,47.2,0,0,유상증자 08/14
