rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
31,041830,1.914,122,인바디,의료·정밀·광학,52.3,-3.8,-4.8,1.28,0.2,-22.6,47.5,11.8,4.3,60.0,74.3,70.7,39.0,OBSERVE,B,0,0,
32,290690,1.898,122,아리바이오홀딩스,전기장비,54.9,-4.4,-2.1,1.14,-2.5,-45.5,16.0,-1.6,1.2,0.0,0.0,1.6,57.0,EXCLUDE,EXCLUDE,0,0,CB 09/10
33,086900,1.881,122,메디톡스,제약·바이오,60.9,-1.8,0.6,0.42,-1.0,-51.9,21.5,-11.3,-37.2,-0.5,3.1,-126.3,47.0,OBSERVE,C,0,0,
34,0017J0,1.865,122,세미티에스,기계·장비,58.9,-2.5,-6.1,0.77,0.6,-69.8,5.6,0.4,-1.1,0.0,-0.2,-107.0,56.0,OBSERVE,C,0,0,
35,060280,1.857,122,큐렉소,소매,52.7,-3.1,-7.4,1.22,2.4,-64.4,11.6,-11.9,-14.1,2.3,-15.4,1286.0,54.0,WATCH,WATCH,0,0,
36,041910,1.844,122,폴라리스AI파마,제약·바이오,42.0,-1.4,3.9,0.18,-2.0,-47.5,6.2,-0.6,2.2,0.0,0.1,-38.9,20.0,WATCH,WATCH,0,0,
37,108860,1.811,122,셀바스AI,출판·SW,46.5,-2.6,-6.4,0.77,4.0,-50.0,20.9,6.9,21.8,-3.2,-24.1,2359.9,93.0,WAIT,B,0,0,
38,486990,1.803,122,노타,출판·SW,44.2,-1.7,-6.2,0.64,4.6,-73.2,16.8,4.0,0.6,1.5,-41.3,-59.8,79.0,EXCLUDE,EXCLUDE,0,0,
39,002800,1.787,122,신신제약,제약·바이오,56.2,-1.9,2.4,0.18,-0.7,-36.0,5.5,-1.0,-6.5,0.0,0.0,83.0,15.0,WAIT,B,0,0,
40,394800,1.787,122,쓰리빌리언,지주·전문서비스,45.0,-2.8,-14.2,2.34,12.2,-76.9,10.7,-14.2,-27.3,-1.8,-19.2,-4.6,120.0,EXCLUDE,EXCLUDE,0,0,
41,129920,1.754,122,대성하이텍,기계·장비,40.8,-2.1,-13.4,0.86,9.0,-66.2,5.0,-1.5,-1.3,-0.8,-3.9,-45.2,111.0,EXCLUDE,EXCLUDE,0,0,
42,278280,1.73,122,천보,화학,69.3,-7.8,6.2,0.77,-3.7,-55.4,13.2,5.1,8.5,-4.3,-6.2,138.6,65.0,WATCH,WATCH,0,0,
43,005860,1.725,122,한일사료,식료품,55.9,-2.5,0.2,0.39,-3.5,-55.6,22.5,0.5,-11.7,0.0,0.7,-136.3,16.0,OBSERVE,B,0,0,
44,236200,1.725,122,슈프리마,반도체·전자부품,49.8,-3.5,-9.3,1.24,-3.6,-21.7,11.6,27.5,22.3,-3.6,1.0,34.2,5.0,WAIT,B,0,0,
45,237880,1.693,122,클리오,화학,43.7,-2.3,-3.0,0.48,-1.4,-20.0,10.9,1.3,9.9,-1.2,-0.5,230.0,38.0,WAIT,B,0,0,
46,036890,1.693,122,진성티이씨,기계·장비,66.7,-5.4,1.3,0.7,-2.3,-42.8,7.3,-1.3,37.4,-6.4,-44.1,-21.3,21.0,OBSERVE,C,0,0,
47,475960,1.672,122,토모큐브,의료·정밀·광학,46.0,-3.5,-4.3,0.7,3.8,-59.3,7.9,3.7,-3.6,0.3,-10.8,47.9,112.0,EXCLUDE,EXCLUDE,0,0,
48,085910,1.664,122,네오티스,자동차·부품,43.9,-2.4,-13.9,0.86,10.7,-60.8,21.6,9.9,44.3,1.9,-28.5,249.7,81.0,WATCH,WATCH,0,0,
49,247540,1.66,122,에코프로비엠,전기장비,51.2,-5.1,0.0,0.69,0.4,-59.4,424.2,-17.1,-92.0,-229.2,-652.6,20.2,77.0,WATCH,WATCH,0,0,유상증자 06/30
50,122350,1.656,122,삼기,자동차·부품,49.4,-5.0,6.3,0.49,-5.9,-33.2,14.6,-0.4,10.7,0.0,0.2,-79.8,50.0,OBSERVE,B,0,0,
51,389470,1.652,122,인벤티지랩,지주·전문서비스,68.9,-4.5,-10.0,2.13,4.1,-74.8,18.2,-5.3,-7.4,-43.6,-66.1,-27.7,104.0,EXCLUDE,EXCLUDE,0,0,
52,011040,1.648,122,경동제약,제약·바이오,42.6,-1.3,-0.6,0.13,-1.4,-19.9,8.4,-1.2,-2.3,-0.1,0.0,674.2,24.0,WATCH,WATCH,0,0,
53,331920,1.648,122,셀레믹스,제약·바이오,58.8,-12.3,28.5,0.75,-15.5,-44.3,12.7,-1.5,-5.7,0.7,2.1,31.2,73.0,EXCLUDE,EXCLUDE,0,0,
54,214150,1.643,122,클래시스,의료·정밀·광학,61.7,-3.3,-3.9,0.64,-1.4,-60.2,74.4,-6.1,-39.3,-2.2,-56.8,2.2,14.0,WATCH,WATCH,0,0,
55,114190,1.598,122,강원에너지,전기장비,51.6,-4.4,4.1,0.44,-0.9,-57.8,9.6,0.8,4.7,-0.1,-2.2,94.4,78.0,OBSERVE,C,0,0,
56,206650,1.59,122,유바이오로직스,제약·바이오,66.0,-3.9,-3.0,0.65,-2.9,-52.5,10.7,-0.4,-13.1,0.0,0.7,-23.7,13.0,WAIT,B,0,0,
57,086520,1.586,122,에코프로,금융(은행),56.4,-5.1,-1.7,0.72,0.0,-57.7,563.9,-195.5,-162.7,150.2,-257.2,174.6,89.0,WATCH,WATCH,0,0,
58,476060,1.549,122,온코닉테라퓨틱스,지주·전문서비스,56.1,-3.7,3.4,0.29,5.3,-48.0,121.7,15.9,-16.1,-4.3,-9.4,150.6,80.0,WAIT,B,0,0,
59,270660,1.549,122,에브리봇,전기장비,43.8,-3.3,1.0,0.35,1.9,-57.7,7.2,1.7,2.7,-0.2,-0.2,-1368.9,90.0,EXCLUDE,EXCLUDE,0,0,
60,063080,1.545,122,컴투스홀딩스,출판·SW,64.2,-5.1,-4.7,0.78,-5.5,-57.2,5.6,3.4,1.1,-1.8,6.4,-139.8,29.0,EXCLUDE,EXCLUDE,0,0,
61,199800,1.545,122,툴젠,지주·전문서비스,48.8,-4.4,-12.3,1.38,6.6,-77.1,7.0,13.6,6.2,-15.6,-24.1,-9.6,108.0,EXCLUDE,EXCLUDE,0,0,
62,287840,1.529,122,인투셀,지주·전문서비스,50.4,-2.6,-11.1,0.7,6.7,-76.9,6.1,0.7,6.6,-1.7,-16.7,40.7,94.0,EXCLUDE,EXCLUDE,0,0,
63,043150,1.525,122,바텍,의료·정밀·광학,57.6,-3.4,-7.0,0.69,-0.1,-35.4,5.5,-2.8,-13.5,-0.2,-3.5,45.0,23.0,WAIT,B,0,0,
64,100700,1.52,122,세운메디칼,제약·바이오,53.3,-2.9,1.1,0.18,-3.7,-31.5,7.5,0.3,-0.4,0.1,-0.4,41.2,6.0,OBSERVE,B,0,0,
65,0001A0,1.496,122,덕양에너젠,전력·가스,54.9,-4.9,1.5,0.45,-2.1,-80.1,12.1,-11.3,-15.1,-8.3,-9.3,42.2,18.0,OBSERVE,B,0,0,
66,053980,1.488,122,오상자이엘,출판·SW,55.7,-2.3,-1.0,0.12,0.6,-37.5,8.8,-0.7,2.1,0.0,0.0,-32.3,31.0,OBSERVE,B,0,0,
67,466100,1.484,122,클로봇,출판·SW,44.0,-3.2,-13.3,0.78,5.4,-71.4,69.3,-13.5,-139.8,0.9,-92.2,-51.2,116.0,EXCLUDE,EXCLUDE,0,0,
68,042000,1.455,122,카페24,IT서비스,68.9,-5.3,-7.0,0.89,-2.2,-65.4,7.3,-6.9,6.9,0.1,-28.6,-26.7,7.0,OBSERVE,B,0,0,
69,119830,1.426,122,아이텍,전문서비스,50.0,-2.8,-8.8,0.6,6.9,-36.3,11.7,3.9,2.3,-2.5,-3.9,-80.3,118.0,WATCH,WATCH,0,0,CB 07/31
70,126700,1.385,122,하이비젼시스템,의료·정밀·광학,68.6,-6.3,2.2,0.48,-3.3,-50.1,5.4,-1.5,-16.4,-0.2,15.7,11.4,55.0,EXCLUDE,EXCLUDE,0,0,
71,084110,1.377,122,휴온스글로벌,제약·바이오,65.3,-8.4,-3.3,0.83,-2.7,-71.4,13.8,-5.8,-55.5,0.2,-1.7,-22.8,66.0,OBSERVE,B,0,0,
72,383310,1.369,122,에코프로에이치엔,화학,58.8,-5.2,-0.7,0.49,-1.6,-53.0,32.5,-16.0,-60.9,-0.1,-0.1,57.3,52.0,WATCH,WATCH,0,0,
73,194700,1.352,122,노바렉스,식료품,62.1,-4.1,-5.0,0.55,1.1,-52.4,7.9,-1.9,-21.3,0.2,9.7,-0.5,34.0,OBSERVE,C,0,0,
