ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate,market
307280,원바이오젠,제약·바이오,5290,40.8,24.4,22.8,-37.0,11.0,-2.0,-12.7,-19.0,-6.4,-17.2,-17.5,0.74,8400,4765,0,False,False,False,21132,19248,0.8,1.2,1.1,1.1,3,False,False,True,False,+3%반등,47.2,0.2,0.1,1.2,0.0,True,15,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,65.2,58.2,307280,1326224,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,79.3,64.1,23.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,84.8,88.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,21.2,15.3,38.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.07,default,2,82.2,75.2,80.8,B,WAIT,59.2,15.0,PYKRX,23.0,11.0,7,13.0,11.8,True,kosdaq
075970,동국알앤에스,비금속광물(시멘트·유리),1665,37.3,37.4,23.9,-45.9,4.7,-2.9,-3.0,-22.7,-4.0,-13.9,-24.3,1.25,3075,1591,0,False,False,False,25353,23479,0.5,0.4,0.4,1.08,3,False,False,True,False,+3%반등,50.6,0.3,0.0,0.5,0.0,True,3,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,56.6,49.6,075970,472890,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,33.8,11.4,196.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,67.3,56.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.6,4.1,37.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.99,default,-1,70.6,63.6,80.6,B,WAIT,55.9,15.0,PYKRX,23.0,11.0,4,15.0,12.65,True,kosdaq
282880,코윈테크,기계·장비,9690,30.8,13.1,17.6,-54.2,3.3,-6.8,-20.5,-29.3,-11.9,-27.1,-36.6,1.18,21150,9380,0,False,False,False,35703,45332,5.3,3.6,5.0,0.79,3,False,False,True,False,+3%반등,77.1,0.1,1.8,-2.8,3.9,True,15,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,95.1,88.1,282880,1211232,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,-254.5,36.0,-806.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,205.9,-347.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-10.4,-25.3,59.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,2,117.1,110.1,80.3,C,OBSERVE,51.7,15.0,PYKRX,10.0,17.0,4,15.0,19.275,True,kosdaq
466410,사이냅소프트,출판·SW,8300,40.5,63.6,41.8,-45.4,13.4,-1.7,-9.1,-23.8,-1.9,-14.6,-29.2,0.53,15210,7320,0,False,False,False,9497,14191,0.6,0.8,1.2,0.67,6,False,True,True,False,5일선회복/+3%반등,40.2,0.6,0.0,2.2,-0.5,True,3,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,49.2,42.2,466410,1207901,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,3.1,7.0,-56.1,OFS,기타영업외손익,dart_NonOperatingProfitLoss,62.3,62.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.6,0.3,416.1,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,기타영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,20.1,default,2,76.2,69.2,80.0,A,BUY,66.9,12.0,PYKRX,15.0,17.0,11,15.0,10.05,True,kosdaq
101330,모베이스,반도체·전자부품,3185,34.1,21.2,20.5,-65.2,10.6,-2.0,-10.3,-29.3,-8.1,-22.4,-23.8,0.67,9140,2880,0,False,False,False,66052,85347,1.8,2.2,3.0,0.77,3,False,False,True,False,+3%반등,63.0,0.5,-0.0,1.2,-0.0,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,74.0,67.0,101330,498001,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,418.0,533.3,-21.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,1050.3,902.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,99.5,83.5,19.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.51,default,2,101.0,94.0,79.8,B,WAIT,55.1,15.0,PYKRX,20.0,12.0,7,10.0,15.75,True,kosdaq
038070,서린바이오,도매,4300,30.3,42.5,28.0,-48.1,12.7,-0.7,-11.8,-28.9,-6.6,-19.5,-30.2,0.4,8284,3815,5,False,False,True,19949,25848,0.5,0.9,1.2,0.77,3,False,False,True,False,+3%반등,63.5,0.8,0.0,1.7,0.0,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,79.5,72.5,038070,373447,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,6.9,9.5,-27.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,47.6,-46.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,1.7,1.0,79.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,6.9,default,2,106.5,99.5,78.9,B,WAIT,60.7,9.0,PYKRX,15.0,17.0,7,15.0,15.875,True,kosdaq
464280,티디에스팜,제약·바이오,5730,36.0,15.5,19.1,-51.0,5.5,-8.8,-11.0,-28.4,-8.5,-21.4,-35.5,0.81,11690,5430,0,False,False,False,9924,18064,0.8,0.6,1.1,0.55,7,False,False,True,True,+3%반등/거래량동반양봉,62.5,0.6,0.0,1.2,-0.2,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,77.5,70.5,464280,1232192,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,37.7,37.3,1.0,OFS,영업이익,dart_OperatingIncomeLoss,37.8,39.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.4,1.9,612.2,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,1.0,default,-1,81.5,74.5,78.6,A,BUY,60.6,12.0,PYKRX,23.0,5.0,8,15.0,15.625,True,kosdaq
045300,성우테크론,반도체·전자부품,2430,30.8,8.6,14.1,-36.8,1.9,-4.7,-12.1,-16.4,-9.4,-18.9,-20.6,0.8,3845,2385,0,False,False,False,32983,38527,0.8,0.8,1.0,0.86,0,False,False,False,False,-,68.9,0.4,-0.0,-0.2,-0.2,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,76.9,69.9,045300,350482,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,19.5,11.8,64.9,CFS,영업이익(손실),dart_OperatingIncomeLoss,70.4,51.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,13.7,5.0,172.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,3.61,default,2,93.9,86.9,78.2,B,OBSERVE,49.3,12.0,PYKRX,23.0,11.0,0,15.0,17.225,True,kosdaq
066310,큐에스아이,반도체·전자부품,7080,27.9,13.1,20.0,-68.9,7.1,-5.3,-25.1,-33.9,-14.7,-36.3,-24.7,0.63,22750,6610,0,False,False,False,64866,99237,4.4,4.7,8.4,0.65,0,False,False,False,False,-,78.8,2.3,-0.1,13.2,0.0,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,86.8,79.8,066310,411446,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,2.9,11.8,-75.2,CFS,영업이익,dart_OperatingIncomeLoss,47.5,32.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,-0.3,1698.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,16.38,default,2,113.8,106.8,76.7,B,OBSERVE,47.8,12.0,PYKRX,15.0,17.0,3,10.0,19.7,True,kosdaq
079810,APS이노베이션,전기장비,2845,30.2,9.0,22.4,-66.3,2.7,-3.1,-21.7,-36.6,-12.8,-35.2,-45.4,0.61,8440,2770,0,False,False,False,141999,163330,2.9,4.2,5.3,0.87,0,False,False,False,False,-,76.6,0.9,-0.0,1.5,-0.0,True,8,약세,-7,-7,0,0,-20.9,-16.6,1512.98,,-0.79,345.0,345.0,345.0,10,10,1.0,84.6,77.6,079810,445160,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,25.5,53.6,-52.4,CFS,영업이익,dart_OperatingIncomeLoss,279.5,86.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,30.0,12.4,142.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,10.96,default,2,111.6,104.6,76.2,B,OBSERVE,47.6,12.0,PYKRX,15.0,17.0,3,10.0,19.15,True,kosdaq
