rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
34,001790,KOSPI,3.674,1103,대한제당,식료품,,0.25,0.0308,-8.2,-7.3,5.6,5.0,-1.5,-4.0,10.1,35.3,1,1,
35,030190,KOSPI,3.671,1103,NICE평가정보,IT서비스,,0.95,0.0209,-10.3,-3.9,8.1,21.6,-10.1,-53.0,9.8,67.2,1,1,
36,300720,KOSPI,3.671,1103,한일시멘트,비금속광물(시멘트·유리),,1.23,0.0256,-20.1,-23.6,13.1,15.8,-8.1,-9.3,17.4,66.5,1,1,
37,088980,KOSPI,3.669,1103,맥쿼리인프라,금융(은행),,4.75,0.0113,-16.2,-13.7,-0.7,138.2,-97.6,-284.4,99.3,106.7,1,1,
38,021240,KOSPI,3.664,1103,코웨이,미분류,,6.91,0.0256,-10.2,-9.4,2.1,155.1,-133.8,-430.0,15.9,24.4,1,1,
39,031210,KOSPI,3.662,1103,서울보증보험,,,3.05,0.0218,-29.5,3.1,-1.6,28.3,-6.8,123.9,6.9,-148.0,1,1,
40,123890,KOSPI,3.653,1103,,,,0.31,0.0236,-15.2,-4.1,10.3,6.6,-0.0,24.2,4.3,3.6,1,1,
41,395400,KOSPI,3.649,1103,SK리츠,,,1.57,0.0325,-26.7,11.0,-7.5,11.5,1.1,22.6,-1.2,-27.1,1,1,
42,138040,KOSPI,3.647,1103,메리츠금융지주,,,22.37,0.0261,-8.5,-2.3,5.9,327.0,-214.8,-73.3,735.4,751.0,1,1,
43,003555,KOSPI,3.646,1103,LG우,,,0.22,0.0179,-21.6,10.5,6.4,5.3,-3.9,3.3,0.1,2.5,1,1,
44,003545,KOSPI,3.645,1103,대신증권우,,,0.5,0.0168,-31.2,-1.7,2.7,6.6,-0.5,-10.1,-0.8,-1.1,1,1,
45,294870,KOSPI,3.643,1103,IPARK현대산업개발,건설,,1.53,0.0317,-5.1,11.0,2.2,33.8,-33.1,15.9,39.4,75.6,1,1,
46,036460,KOSPI,3.633,1103,한국가스공사,전력·가스,OBSERVE,3.24,0.0201,-23.0,-14.8,-1.8,58.4,50.6,232.8,-17.7,-17.2,1,1,
47,034310,KOSPI,3.628,1103,NICE,엔지니어링,,0.46,0.0224,-18.7,-2.1,-3.2,7.1,-2.5,-26.0,5.8,43.5,1,1,
48,020560,KOSPI,3.624,1103,아시아나항공,운수·물류,,1.67,0.0304,-16.3,-23.6,10.9,10.9,17.2,29.8,27.6,51.0,1,1,
49,011760,KOSPI,3.623,1103,현대코퍼레이션,도매,,0.34,0.0312,-20.3,19.2,-4.6,5.1,-1.1,18.0,2.3,-2.1,1,1,
