rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
29,036570,1.846,107,NC,출판·SW,54.1,-3.1,-5.2,0.96,1.7,-39.2,159.7,38.7,336.1,12.8,-574.3,106.0,49,WATCH,WATCH,0,0,
30,008250,1.836,107,이건산업,목재,42.5,-2.2,19.7,0.1,-1.9,-48.1,10.3,-0.2,-4.2,0.7,3.3,119.3,103,OBSERVE,C,0,0,
31,178920,1.827,107,PI첨단소재,고무·플라스틱,58.4,-2.7,-5.0,0.87,-1.5,-42.6,5.1,0.1,-0.3,-0.2,1.9,42.1,45,WAIT,B,0,0,
32,042660,1.813,107,한화오션,조선·기타운송,47.2,-2.7,-5.6,0.89,-2.5,-46.1,576.3,-208.2,346.0,-66.2,-257.7,98.0,27,WATCH,WATCH,0,0,
33,068270,1.799,107,셀트리온,제약·바이오,55.5,-2.7,-7.2,0.93,1.1,-24.7,729.0,-227.0,-766.9,143.6,-1017.8,86.3,42,WATCH,WATCH,0,0,
34,022100,1.79,107,포스코DX,연구개발,44.3,-2.2,2.4,0.2,-5.4,-54.1,300.6,-21.9,-135.8,0.1,2109.1,-42.3,7,OBSERVE,B,0,0,
35,353200,1.785,107,대덕전자,반도체·전자부품,42.2,-1.2,-9.1,0.77,3.1,-47.9,785.8,271.6,2165.2,-144.2,-3033.8,3666.0,101,WAIT,B,0,0,
36,097520,1.776,107,엠씨넥스,반도체·전자부품,60.7,-2.3,-5.0,0.76,0.3,-41.6,5.8,0.5,-22.9,-1.1,-1.5,-86.5,41,WAIT,B,0,0,
37,005850,1.776,107,에스엘,자동차·부품,53.0,-2.5,-6.1,0.84,-3.4,-36.6,35.2,1.3,-46.2,-12.2,-8.5,347.1,10,OBSERVE,B,0,0,
38,489790,1.766,107,한화비전,반도체·전자부품,55.5,-2.6,-13.4,1.28,0.3,-51.6,68.0,18.0,264.7,-29.8,-287.8,11.6,78,WATCH,WATCH,0,0,
39,251270,1.715,107,넷마블,출판·SW,67.1,-3.9,-7.3,3.55,-1.3,-49.6,227.7,-3806.6,-3866.3,-16.4,-38.5,-20.7,54,WATCH,WATCH,0,0,
40,161000,1.692,107,애경케미칼,화학,52.0,-2.9,6.6,0.36,-3.7,-49.8,30.3,9.3,-3.4,-0.4,1.9,5274.5,91,WATCH,WATCH,0,0,
41,285130,1.692,107,SK케미칼,화학,41.8,-3.6,4.5,0.52,-5.4,-37.4,48.5,-5.7,-127.8,9.3,248.0,-436.1,56,OBSERVE,C,0,0,
42,093050,1.659,107,LF,의복,50.7,-4.0,-3.6,0.89,-2.9,-18.0,5.0,-10.3,-30.0,11.3,20.5,96.3,21,OBSERVE,C,0,0,
43,012690,1.65,107,모나리자,펄프·종이,61.4,-1.9,0.0,0.24,-0.7,-46.2,5.7,-0.8,-1.8,0.0,0.7,156.5,58,OBSERVE,B,0,0,
44,001800,1.65,107,오리온홀딩스,금융(은행),67.6,-4.3,-4.9,1.01,-4.7,-19.0,15.1,-18.4,-23.7,5.7,13.5,82.5,2,OBSERVE,B,0,0,
45,271980,1.645,107,제일약품,제약·바이오,44.7,-1.8,0.1,0.12,0.3,-47.5,11.9,-0.9,-3.3,0.0,0.0,-250.4,57,WATCH,WATCH,0,0,
46,128820,1.636,107,대성산업,소매,56.6,-3.1,-2.4,0.72,-6.2,-69.4,5.3,-1.5,-0.7,0.0,-0.3,494.5,26,WATCH,WATCH,0,0,
47,011780,1.631,107,금호석유화학,화학,44.0,-3.8,0.2,0.73,-3.8,-25.9,119.6,32.6,75.4,-75.3,-12.6,419.7,40,OBSERVE,B,0,0,
48,078520,1.579,107,에이블씨엔씨,화학,57.9,-3.2,-6.2,0.83,6.4,-36.0,13.2,5.5,8.5,5.3,4.9,52.5,87,WAIT,B,0,0,
49,267250,1.575,107,HD현대,금융(은행),44.3,-6.6,-4.3,1.24,-14.3,-36.3,350.6,-453.2,-443.0,59.0,483.5,262.2,23,WATCH,WATCH,0,0,
50,030190,1.575,107,NICE평가정보,IT서비스,54.9,-3.7,3.0,0.47,-4.5,-17.0,19.7,1.6,-31.6,-2.1,39.8,19.2,1,OBSERVE,B,0,0,
51,003570,1.57,107,SNT다이내믹스,자동차·부품,42.4,-2.3,-9.4,0.77,-1.6,-63.0,10.9,-7.5,-39.8,5.9,21.4,-41.9,73,WATCH,WATCH,0,0,
52,282330,1.561,107,BGF리테일,소매,61.2,-5.6,-3.6,0.99,-5.1,-12.1,78.0,-1.4,119.2,-1.4,-28.7,22.2,5,OBSERVE,B,0,0,
53,097230,1.533,107,HJ중공업,건설,60.8,-3.6,-11.7,1.12,-2.6,-54.6,32.1,9.4,24.8,-0.6,-5.2,1114.7,11,WATCH,WATCH,0,0,
54,004490,1.533,107,세방전지,전기장비,52.1,-4.1,8.9,0.45,-2.6,-22.8,71.0,13.8,-52.1,3.6,169.9,-2.4,50,WATCH,WATCH,0,0,
55,298050,1.514,107,HS효성첨단소재,화학,68.2,-3.4,-0.3,0.57,-3.6,-41.2,23.5,-11.7,-57.8,-0.8,59.7,32.1,46,WATCH,WATCH,0,0,
56,475150,1.439,107,SK이터닉스,건설,43.1,-1.9,-8.6,0.59,-1.3,-41.6,668.9,158.3,251.4,-64.5,23.9,-51.2,64,WATCH,WATCH,0,0,
57,064350,1.421,107,현대로템,조선·기타운송,65.3,-3.6,-10.0,0.89,-0.5,-56.2,407.6,30.3,139.1,-43.3,-767.5,-9.8,43,WAIT,B,0,0,
58,019170,1.421,107,신풍제약,제약·바이오,59.8,-4.6,11.8,0.39,-6.3,-40.9,92.0,3.8,-112.9,0.1,-16.3,-262.7,71,WATCH,WATCH,0,0,
59,108670,1.411,107,LX하우시스,고무·플라스틱,40.4,-3.0,-2.6,0.51,-2.5,-21.9,7.3,-4.6,-7.9,1.1,24.7,78.5,62,OBSERVE,C,0,0,
60,204320,1.407,107,HL만도,자동차·부품,48.3,-2.5,-11.0,0.75,-3.0,-39.0,145.9,41.4,81.2,-39.4,-104.0,2.8,47,OBSERVE,B,0,0,
