rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
34,009540,1.676,102,HD한국조선해양,금융(은행),51.0,0.030372939181648555,16.32,-1.7,-12.0,-29.5,602.8,-105.4,423.8,63.2,-629.8,72.5,79.0,0,0,
35,101530,1.672,102,해태제과식품,식료품,41.2,0.016101782813178825,7.54,-1.2,1.1,-24.1,6.2,-0.5,-3.3,0.0,0.0,-9.8,36.2,0,0,
36,103140,1.657,102,풍산,철강·1차금속,44.9,0.04709794681625248,6.4,-9.3,-2.9,-50.8,128.6,-25.5,-198.1,-34.7,389.6,33.8,46.9,0,0,
37,020000,1.647,102,한섬,의복,49.6,0.02059804178958528,3.22,-3.1,-5.0,-46.1,19.3,-11.6,1.2,2.6,-61.5,525.0,69.6,0,0,
38,015860,1.647,102,일진홀딩스,금융(은행),41.1,0.035222005359359536,6.69,-5.2,5.2,-57.8,9.0,-0.9,-1.3,0.3,-3.6,118.6,57.1,0,0,
39,200880,1.637,102,서연이화,자동차·부품,63.2,0.029106286178707943,5.12,-4.4,-3.4,-36.5,7.0,2.2,2.7,-0.1,-0.7,-3.6,63.2,0,0,
40,475150,1.613,102,SK이터닉스,건설,51.1,0.06517044803022895,11.25,-6.8,-9.9,-40.7,1521.4,-60.2,-352.0,-97.3,-34.3,-51.2,29.1,0,0,
41,001440,1.603,102,대한전선,전기장비,48.8,0.0430937199854574,5.26,-7.7,-3.7,-63.9,423.1,-99.5,-375.8,-9.5,37.9,-202.3,28.8,0,0,
42,000990,1.603,102,DB하이텍,반도체·전자부품,49.1,0.045183123986828826,12.49,-4.3,-0.1,-61.0,295.6,138.3,471.8,-168.3,-597.7,42.5,64.1,0,0,
43,068270,1.598,102,셀트리온,제약·바이오,51.2,0.020275335022381158,5.93,-1.4,-1.2,-21.4,961.0,-353.4,1412.3,16.8,-469.9,86.3,61.2,0,0,
44,009450,1.578,102,경동나비엔,전기장비,60.7,0.036407013865625476,11.64,-3.6,-11.1,-26.7,45.3,11.2,-98.5,-21.1,17.8,64.6,79.7,0,0,
45,000120,1.569,102,CJ대한통운,운수·물류,49.0,0.02102438073390155,5.46,-1.7,-4.6,-52.3,34.1,-34.2,-155.9,0.0,0.7,-11.9,42.0,0,0,
46,000150,1.559,102,두산,반도체·전자부품,50.6,0.04360184162429854,4.84,-7.8,-9.4,-54.1,662.8,-212.4,-204.2,126.7,-244.8,37.6,63.6,0,0,
47,008490,1.549,102,서흥,화학,60.5,0.05951831534114017,8.91,-7.2,-3.8,-32.2,20.5,-3.8,0.3,0.6,1.2,11.8,70.5,0,0,
