rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
38,051905,KOSPI,2.519,1053,LG생활건강우,,,0.21,0.0259,-18.5,-6.7,-9.3,10.2,-42.2,-63.1,18.2,37.8,1,1,
39,026960,KOSPI,2.512,1053,동서,도매,,2.54,0.0192,-15.8,-6.4,-2.9,13.9,-2.4,1.2,-1.7,6.4,1,1,
40,136490,KOSPI,2.509,1053,선진,식료품,OBSERVE,0.24,0.0254,-25.5,-8.3,-3.3,8.6,-2.4,4.7,-0.9,1.7,1,1,
41,086670,KOSDAQ,2.496,1053,비엠티,기계·장비,,0.18,0.0399,0.0,20.5,23.2,8.0,6.1,8.6,-0.6,22.4,1,1,
42,035890,KOSDAQ,2.494,1053,서희건설,건설,,0.48,0.0291,-31.3,-33.1,7.0,6.4,-1.1,2.8,0.3,3.9,1,1,
43,000080,KOSPI,2.489,1053,하이트진로,음료,WAIT,1.06,0.0167,-22.8,-20.5,-2.8,12.7,-10.9,3.2,-0.1,-3.6,1,1,
44,071320,KOSPI,2.484,1053,지역난방공사,전력·가스,,0.91,0.0255,-30.3,-10.9,7.4,7.7,-6.3,-14.4,10.7,21.2,1,1,
45,001800,KOSPI,2.482,1053,오리온홀딩스,금융(은행),OBSERVE,1.45,0.0216,-14.7,23.5,-5.8,14.9,-18.8,-25.7,5.1,12.4,1,1,
46,004100,KOSPI,2.477,1053,태양금속,자동차·부품,,0.11,0.031,-19.2,12.9,17.8,9.2,-1.6,-4.5,-0.1,1.3,1,1,
47,183190,KOSPI,2.476,1053,아세아시멘트,비금속광물(시멘트·유리),,0.38,0.0369,-26.8,-28.7,4.8,5.7,-2.5,-0.6,1.2,-1.3,1,1,
48,018250,KOSPI,2.472,1053,애경산업,화학,EXCLUDE,0.29,0.0204,-38.3,-31.0,-2.7,6.3,-2.2,-9.5,-1.1,-1.5,1,1,
49,020560,KOSPI,2.47,1053,아시아나항공,운수·물류,,1.58,0.0238,-19.7,-26.5,8.8,12.6,-3.2,47.4,6.4,74.6,1,1,
50,043150,KOSDAQ,2.466,1053,바텍,의료·정밀·광학,WAIT,0.26,0.0294,-35.4,-15.5,-8.9,5.4,-2.8,-13.5,-0.2,-3.5,1,1,
51,003850,KOSPI,2.461,1053,보령,제약·바이오,OBSERVE,0.71,0.0255,-22.5,3.2,-8.0,10.8,-12.6,-33.8,18.8,15.4,0,1,
52,306200,KOSPI,2.457,1053,세아제강,철강·1차금속,,0.42,0.0243,-19.5,5.5,6.7,12.8,10.9,55.0,-11.5,-22.8,0,1,
53,272450,KOSPI,2.456,1053,진에어,운수·물류,,0.3,0.0293,-32.3,-38.2,1.7,6.7,-3.6,3.0,-0.4,7.3,0,1,
54,395400,KOSPI,2.455,1053,SK리츠,,,1.58,0.0193,-25.8,9.7,-7.4,12.2,-5.0,-2.8,2.5,-8.5,0,1,
55,036800,KOSDAQ,2.455,1053,나이스정보통신,통신,,0.35,0.0304,-7.3,51.8,3.5,12.8,0.2,5.1,3.7,36.0,0,1,
56,043650,KOSDAQ,2.454,1053,국순당,음료,,0.06,0.0387,-21.5,-21.2,-0.1,6.5,-0.4,-0.4,-0.1,0.0,0,1,
57,215200,KOSDAQ,2.453,1053,메가스터디교육,교육,,0.37,0.0232,-27.0,-23.1,-1.0,10.6,-2.0,-16.7,13.5,19.1,0,1,
58,099750,KOSDAQ,2.45,1053,이지케어텍,출판·SW,,0.1,0.0288,-33.1,-25.3,15.5,6.7,-4.8,-5.2,-0.1,0.1,0,1,
59,241770,KOSDAQ,2.445,1053,메카로,반도체·전자부품,,0.4,0.0428,-17.6,202.8,11.4,6.1,2.8,23.4,0.2,-2.2,0,1,
60,044820,KOSPI,2.439,1053,코스맥스비티아이,금융(은행),,0.25,0.0419,-8.4,17.8,9.9,7.8,-11.8,-15.0,6.6,7.5,0,1,
61,478560,KOSDAQ,2.438,1053,블랙야크아이앤씨,가죽·신발,,0.08,0.0367,-17.4,-27.7,16.4,8.4,0.1,5.0,0.5,-8.0,0,1,
62,027740,KOSPI,2.432,1053,마니커,식료품,WATCH,0.04,0.0371,-31.8,-22.9,-7.5,5.3,-1.5,-0.7,0.0,0.0,0,1,
63,415640,KOSPI,2.432,1053,KB발해인프라,금융(은행),,1.26,0.0172,-7.6,16.0,1.5,27.4,21.3,108.6,-28.9,-118.0,0,1,
64,067390,KOSDAQ,2.424,1053,아스트,,,0.25,0.0318,-36.3,-8.0,18.4,5.1,-2.2,-9.8,-0.0,0.1,0,1,
65,014820,KOSPI,2.424,1053,동원시스템즈,고무·플라스틱,,0.62,0.0298,-28.8,-29.4,0.0,8.3,-3.7,-6.9,1.9,8.5,0,1,
66,300720,KOSPI,2.421,1053,한일시멘트,비금속광물(시멘트·유리),,1.2,0.0238,-22.5,-24.3,0.4,13.3,-6.3,-6.8,8.2,57.0,0,1,
67,017180,KOSPI,2.417,1053,명문제약,제약·바이오,,0.04,0.0329,-35.4,-30.8,3.4,5.2,-2.7,-3.8,0.0,-0.0,0,1,
68,030190,KOSPI,2.415,1053,NICE평가정보,IT서비스,OBSERVE,0.89,0.02,-16.0,-4.8,-2.5,20.2,-1.5,-32.7,0.2,39.6,0,1,
69,031430,KOSPI,2.415,1053,신세계인터내셔날,소매,OBSERVE,0.37,0.0264,-38.0,-1.5,1.7,6.1,-12.8,-11.1,7.3,-15.2,0,1,
70,009270,KOSPI,2.411,1053,신원,의복,,0.13,0.0245,-39.0,-33.2,3.2,6.3,0.7,-0.1,0.0,-0.3,0,1,
71,475460,KOSDAQ,2.41,1053,미트박스,IT서비스,,0.01,0.0376,-29.5,-47.0,29.3,6.0,-2.7,-1.9,-0.1,0.2,0,1,
72,001230,KOSPI,2.41,1053,동국홀딩스,금융(은행),,0.34,0.0256,-15.0,14.1,12.1,15.9,-1.9,11.9,1.4,1.4,0,1,
73,007310,KOSPI,2.408,1053,오뚜기,식료품,OBSERVE,1.27,0.0202,-27.0,-17.2,-5.1,13.0,-14.0,-6.4,2.3,17.5,0,1,
74,013030,KOSDAQ,2.4,1053,하이록코리아,철강·1차금속,,0.44,0.0303,-19.5,-17.6,20.0,11.7,15.1,-9.7,10.7,58.0,0,1,
75,462870,KOSPI,2.397,1053,시프트업,출판·SW,OBSERVE,1.82,0.0254,-26.9,-23.7,-2.5,11.2,-19.5,-34.0,2.9,19.2,0,1,
76,003690,KOSPI,2.387,1053,코리안리,보험,,2.63,0.0213,-3.6,32.2,3.7,33.0,-18.4,-64.6,15.0,70.5,0,1,
77,028100,KOSPI,2.381,1053,동아지질,건설,,0.22,0.027,-3.5,17.7,10.4,22.8,0.0,-2.6,14.6,36.2,0,1,
78,010955,KOSPI,2.38,1053,S-Oil우,,,0.3,0.0307,-3.1,73.0,11.8,17.6,-2.0,-32.6,7.6,60.8,0,1,
79,014830,KOSPI,2.373,1053,유니드,화학,OBSERVE,0.41,0.022,-38.2,-18.3,-2.4,7.9,-6.3,-19.7,1.0,20.4,0,1,
80,121440,KOSDAQ,2.373,1053,골프존홀딩스,도매,,0.33,0.0564,-5.5,42.9,3.4,5.0,1.0,17.0,-0.7,1.0,0,1,
81,053800,KOSDAQ,2.37,1053,안랩,출판·SW,,0.77,0.0214,-0.3,-6.6,20.9,37.2,83.4,54.7,46.4,75.0,0,1,
82,048430,KOSDAQ,2.368,1053,유라테크,전기장비,,0.07,0.0293,-28.9,-26.2,5.8,10.1,-3.6,-4.4,0.0,0.0,0,1,
83,126720,KOSPI,2.365,1053,수산인더스트리,건설,,0.31,0.0291,-39.6,-9.0,2.9,5.8,-4.1,1.3,-0.9,-7.7,0,1,
84,006040,KOSPI,2.352,1053,동원산업,금융(은행),WATCH,1.57,0.0216,-29.0,-14.4,-7.3,13.8,-5.3,29.3,-5.5,-5.2,0,1,
85,000390,KOSPI,2.344,1053,SP삼화,화학,,0.19,0.0261,-42.3,-1.5,14.1,5.8,-7.5,-4.6,0.5,0.5,0,1,
86,009240,KOSPI,2.344,1053,한샘,도매,,0.93,0.025,-23.4,-10.8,0.5,15.2,-9.3,-47.4,17.2,76.4,0,1,
87,033320,KOSDAQ,2.341,1053,제이씨현시스템,도매,,0.06,0.0329,-40.5,-38.4,4.0,5.0,0.8,2.4,0.0,0.0,0,1,
88,052860,KOSDAQ,2.336,1053,아이앤씨,반도체·전자부품,,0.12,0.0535,-3.1,130.5,27.6,6.6,-0.0,12.0,-0.4,-0.7,0,1,
89,035810,KOSDAQ,2.329,1053,이지홀딩스,식료품,,0.3,0.0201,-46.0,14.2,3.5,6.0,-6.6,-9.0,3.1,5.7,0,1,
90,090435,KOSPI,2.327,1053,아모레퍼시픽우,,,0.45,0.029,-23.6,11.2,-5.6,13.6,-46.5,-43.5,27.2,29.2,0,1,
91,092730,KOSDAQ,2.326,1053,네오팜,화학,,0.38,0.0346,-7.9,14.6,0.0,15.6,-24.2,-69.5,25.1,77.1,0,1,
92,000240,KOSPI,2.326,1053,한국앤컴퍼니,금융(은행),,2.34,0.021,-28.9,-2.7,3.1,15.8,-21.3,-54.6,17.2,70.6,0,1,
93,105630,KOSPI,2.324,1053,한세실업,의복,OBSERVE,0.35,0.0284,-43.8,-6.9,-3.6,5.2,-4.1,-5.6,-2.7,-6.2,0,1,
94,089590,KOSPI,2.323,1053,제주항공,운수·물류,,0.35,0.024,-34.5,-36.0,2.0,10.7,-14.6,5.2,2.0,14.2,0,1,
95,236200,KOSDAQ,2.317,1053,슈프리마,반도체·전자부품,WAIT,0.35,0.035,-20.1,58.7,-10.4,11.8,27.5,22.2,-3.5,1.2,0,1,
96,192080,KOSPI,2.312,1053,더블유게임즈,출판·SW,,1.24,0.0207,-21.3,11.7,-0.2,25.4,12.8,16.8,-10.0,-13.5,0,1,
