rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
33,005945,KOSPI,3.272,1076,1.703,49.0,NH투자증권우,,0.47,0.0221,-15.2,45.5,-1.0,15.2,1.9,-31.0,-2.0,-14.9,1,1
34,088980,KOSPI,3.242,1076,1.337,258.0,맥쿼리인프라,금융(은행),4.78,0.0097,-15.6,-11.9,-2.4,129.1,-91.9,50.4,21.0,95.5,1,1
35,192080,KOSPI,3.24,1076,1.55,117.0,더블유게임즈,출판·SW,1.3,0.0284,-17.4,14.4,-0.3,30.9,12.3,97.5,-10.3,-49.7,1,1
36,030000,KOSPI,3.236,1076,1.431,188.0,제일기획,엔지니어링,2.18,0.0211,-18.1,-0.3,0.9,58.2,32.6,-26.6,-22.2,48.2,1,1
37,089860,KOSPI,3.232,1076,1.554,112.0,롯데렌탈,미분류,1.55,0.0308,0.0,2.2,28.9,44.6,-27.4,18.8,39.2,72.6,1,1
38,001800,KOSPI,3.22,1076,1.633,80.0,오리온홀딩스,금융(은행),1.68,0.0373,-1.2,14.3,4.3,21.4,21.3,51.4,5.5,7.0,1,1
39,282330,KOSPI,3.219,1076,1.576,100.0,BGF리테일,소매,2.61,0.0371,-1.4,6.7,22.2,94.6,174.8,288.3,-78.2,-162.8,1,1
40,029780,KOSPI,3.213,1076,1.352,245.0,삼성카드,,5.52,0.0256,-29.3,5.7,-1.5,43.8,-4.2,-25.4,2.1,20.6,1,1
41,267250,KOSPI,3.206,1076,1.534,128.0,HD현대,금융(은행),17.85,0.0418,-27.2,33.2,13.3,330.8,-153.4,-525.2,197.0,841.8,1,1
42,453340,KOSPI,3.2,1076,1.572,103.0,현대그린푸드,소매,0.61,0.0227,-3.3,6.8,0.4,8.5,3.4,10.0,6.6,5.3,1,1
43,138930,KOSPI,3.192,1076,1.39,215.0,BNK금융지주,,4.64,0.0297,-34.0,19.3,-16.2,183.1,-123.9,-328.2,32.8,160.5,1,1
44,161890,KOSPI,3.191,1076,1.578,99.0,한국콜마,화학,2.5,0.0385,-10.1,10.9,-0.6,288.0,-115.2,4.8,185.2,172.6,1,1
45,031210,KOSPI,3.191,1076,1.358,237.0,서울보증보험,,3.09,0.0244,-28.6,5.2,1.6,11.8,2.5,7.0,3.4,5.0,1,1
