rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
151,006280,KOSPI,2.829,1076,1.163,414.0,녹십자,제약·바이오,1.56,0.0322,-26.2,-17.1,8.0,50.6,48.5,96.1,-3.3,-28.1,0,0
152,013030,KOSDAQ,2.829,1076,1.399,206.0,하이록코리아,철강·1차금속,0.41,0.0327,-24.4,3.8,10.3,13.3,1.3,20.7,3.3,-12.6,0,0
153,006040,KOSPI,2.825,1076,1.1,481.0,동원산업,금융(은행),1.67,0.0274,-24.5,-24.4,9.3,16.1,16.7,30.0,2.0,20.7,0,0
154,008770,KOSPI,2.821,1076,1.227,359.0,호텔신라,소매,1.74,0.0373,-36.2,3.7,-12.2,132.4,248.3,317.8,-487.1,-627.8,0,0
155,001060,KOSPI,2.812,1076,1.289,319.0,JW중외제약,제약·바이오,0.6,0.0322,-34.2,5.8,2.8,7.7,2.6,12.9,0.3,-1.7,0,0
156,034020,KOSPI,2.811,1076,1.216,370.0,두산에너빌리티,기계·장비,51.18,0.0473,-41.4,15.3,2.3,1775.7,-217.3,-138.5,403.3,984.8,0,0
157,122900,KOSPI,2.808,1076,1.376,226.0,아이마켓코리아,도매,0.27,0.0173,-4.9,-13.2,11.0,5.8,17.7,26.8,0.8,0.6,0,0
158,009240,KOSPI,2.807,1076,1.176,399.0,한샘,도매,0.97,0.0306,-19.8,-22.3,18.4,16.4,-2.4,-29.4,23.4,124.7,0,0
159,008930,KOSPI,2.8,1076,1.157,422.0,한미사이언스,금융(은행),3.13,0.0386,-11.9,-29.4,36.8,77.5,19.4,-158.6,208.9,485.8,0,0
160,298020,KOSPI,2.797,1076,1.308,296.0,효성티앤씨,화학,1.51,0.0424,-34.7,10.1,23.5,83.7,50.5,-64.6,-30.6,124.1,0,0
161,006360,KOSPI,2.795,1076,1.683,58.0,GS건설,건설,2.99,0.0724,-19.0,49.2,9.6,971.9,119.3,-76.1,854.6,1380.5,0,0
162,009420,KOSPI,2.795,1076,1.767,29.0,한올바이오파마,제약·바이오,2.97,0.08,-19.5,101.1,-0.9,170.1,-6.8,36.9,111.4,-17.3,0,0
163,014680,KOSPI,2.794,1076,1.48,160.0,한솔케미칼,화학,2.5,0.0568,-31.4,32.3,-6.6,101.1,8.6,15.2,3.4,-7.5,0,0
164,002790,KOSPI,2.792,1076,1.119,459.0,아모레퍼시픽홀딩스,화학,2.02,0.0334,-24.5,-22.4,8.8,28.7,30.9,69.5,0.8,32.4,0,0
165,092460,KOSDAQ,2.785,1076,1.653,69.0,한라IMS,조선·기타운송,0.32,0.0452,-14.9,29.5,21.7,9.1,0.4,-13.3,5.8,48.3,0,0
166,136480,KOSDAQ,2.779,1076,1.326,274.0,하림,식료품,0.29,0.0162,-19.5,-10.4,-2.2,9.9,0.7,9.8,0.0,0.0,0,0
167,131290,KOSDAQ,2.779,1076,1.856,9.0,티에스이,의료·정밀·광학,2.51,0.0922,-20.2,462.1,-15.8,299.2,-199.8,297.8,150.9,-205.2,0,0
168,023530,KOSPI,2.777,1076,1.338,257.0,롯데쇼핑,소매,3.01,0.05,-47.7,123.4,-31.5,211.9,152.3,866.2,-370.5,-1001.6,0,0
169,002900,KOSPI,2.776,1076,1.532,129.0,TYM,기계·장비,0.28,0.0369,-24.7,24.0,6.0,15.7,6.9,19.9,-8.6,-11.0,0,0
170,005880,KOSPI,2.775,1076,1.243,352.0,대한해운,운수·물류,0.65,0.0332,-34.5,1.4,5.0,52.8,35.1,102.8,3.3,-3.3,0,0
171,095570,KOSPI,2.771,1076,1.451,176.0,AJ네트웍스,미분류,0.21,0.0234,-16.5,0.5,6.4,8.6,5.2,13.9,4.2,1.9,0,0
172,004430,KOSPI,2.77,1076,1.488,156.0,송원산업,화학,0.3,0.036,-20.6,9.9,0.8,28.2,7.3,2.5,-1.6,11.4,0,0
173,259960,KOSPI,2.769,1076,1.002,565.0,크래프톤,출판·SW,11.17,0.0353,-28.6,-28.9,1.7,272.1,-35.8,-48.2,-177.3,29.1,0,0
174,003470,KOSPI,2.767,1076,1.256,344.0,유안타증권,,0.89,0.0373,-40.8,19.0,-0.2,18.1,8.7,12.9,1.2,2.6,0,0
175,252990,KOSDAQ,2.766,1076,1.871,5.0,샘씨엔에스,반도체·전자부품,0.94,0.0805,-4.1,111.6,33.8,122.2,-12.2,-176.4,46.8,352.9,0,0
176,353810,KOSDAQ,2.765,1076,1.488,154.0,이지바이오,식료품,0.21,0.029,-19.6,8.9,4.0,5.3,5.9,4.9,4.2,8.9,0,0
177,005430,KOSPI,2.765,1076,1.716,46.0,한국공항,운수·물류,0.29,0.0487,0.0,27.9,13.1,17.0,-1.2,22.6,2.8,1.4,0,0
178,090435,KOSPI,2.762,1076,1.28,325.0,아모레퍼시픽우,,0.48,0.0312,-19.3,-14.3,13.9,7.9,15.3,49.2,-4.0,-16.2,0,0
179,005680,KOSPI,2.76,1076,1.659,67.0,삼영전자,반도체·전자부품,0.28,0.0447,-16.6,35.6,-5.3,5.9,-0.1,-12.3,2.3,14.3,0,0
180,005389,KOSPI,2.756,1076,1.329,268.0,현대차3우B,,0.45,0.0345,-37.0,19.6,-2.9,22.6,-3.3,26.8,-0.3,-8.0,0,0
181,219130,KOSDAQ,2.753,1076,1.946,1.0,타이거일렉,반도체·전자부품,0.51,0.0769,-2.1,270.8,10.7,47.5,5.3,-69.4,9.6,133.1,0,0
182,108670,KOSPI,2.753,1076,1.439,182.0,LX하우시스,고무·플라스틱,0.31,0.0348,-18.8,0.8,8.2,10.0,27.6,8.4,0.2,-1.0,0,0
183,005300,KOSPI,2.752,1076,1.024,547.0,롯데칠성,음료,0.95,0.0187,-30.9,-24.4,1.6,19.6,3.1,57.1,-4.3,-24.8,0,0
184,083450,KOSDAQ,2.75,1076,1.725,43.0,GST,기계·장비,0.91,0.0685,-25.6,126.2,2.0,66.3,-29.0,-25.0,-3.1,34.6,0,0
185,267260,KOSPI,2.748,1076,1.296,312.0,HD현대일렉트릭,전기장비,27.54,0.0565,-46.2,66.7,-10.2,1274.1,47.9,701.6,1.2,-302.3,0,0
186,002310,KOSPI,2.747,1076,1.302,304.0,아세아제지,펄프·종이,0.32,0.0245,-28.6,-2.1,-0.1,7.6,4.3,20.4,2.6,10.8,0,0
187,300720,KOSPI,2.746,1076,1.072,506.0,한일시멘트,비금속광물(시멘트·유리),1.09,0.0278,-30.1,-20.8,0.6,10.7,7.7,13.3,0.5,-1.5,0,0
188,004170,KOSPI,2.744,1076,1.461,169.0,신세계,소매,4.08,0.0621,-44.3,253.8,-31.3,471.3,360.0,1265.1,-384.2,-980.0,0,0
189,060980,KOSPI,2.744,1076,1.319,284.0,HL홀딩스,금융(은행),0.36,0.03,-24.5,-6.1,3.4,6.1,6.2,8.4,-6.3,-12.4,0,0
190,086670,KOSDAQ,2.744,1076,1.77,27.0,비엠티,기계·장비,0.18,0.0446,0.0,42.2,17.8,9.0,2.1,-2.7,-1.9,2.8,0,0
191,032190,KOSDAQ,2.744,1076,1.312,292.0,다우데이타,도매,0.77,0.0405,-34.0,7.9,6.5,17.7,5.1,21.0,0.6,5.9,0,0
192,006260,KOSPI,2.742,1076,1.454,174.0,LS,금융(은행),10.3,0.0646,-40.3,82.9,0.3,460.8,-618.6,-1054.0,418.0,867.8,0,0
193,004690,KOSPI,2.741,1076,1.185,391.0,삼천리,전력·가스,0.45,0.0223,-22.0,-19.3,8.6,10.5,2.7,45.7,-4.0,-20.6,0,0
194,030610,KOSPI,2.739,1076,1.223,364.0,교보증권,,1.15,0.039,-39.6,10.0,1.0,5.4,-0.5,-4.6,5.6,13.5,0,0
195,018670,KOSPI,2.738,1076,1.201,377.0,SK가스,도매,2.13,0.0417,-20.7,-19.1,6.2,39.3,-43.9,-3.6,30.9,79.4,0,0
196,001680,KOSPI,2.738,1076,1.099,483.0,대상,식료품,0.64,0.0221,-25.3,-23.7,5.3,13.0,5.0,-3.2,2.1,20.0,0,0
197,035600,KOSDAQ,2.738,1076,1.307,297.0,KG이니시스,출판·SW,0.28,0.0204,-14.9,-15.5,6.5,6.3,6.3,21.4,-0.2,-0.8,0,0
198,011210,KOSPI,2.737,1076,1.336,259.0,현대위아,자동차·부품,1.76,0.0481,-36.0,17.6,4.7,52.5,32.5,134.1,0.4,-50.3,0,0
199,166090,KOSDAQ,2.735,1076,1.691,55.0,하나머티리얼즈,반도체·전자부품,1.19,0.0692,-25.6,98.0,6.9,81.7,-60.0,-154.4,6.6,133.0,0,0
200,120110,KOSPI,2.735,1076,1.265,334.0,코오롱인더,화학,1.75,0.0443,-41.9,28.2,4.8,96.3,-70.2,66.1,43.4,42.4,0,0
201,001720,KOSPI,2.732,1076,1.224,361.0,신영증권,,2.47,0.0442,-41.1,15.4,-4.3,13.8,-10.2,17.1,19.4,20.3,0,0
202,012630,KOSPI,2.732,1076,1.27,329.0,HDC,금융(은행),1.36,0.0428,-24.5,-10.0,12.1,14.4,-6.7,1.6,10.6,19.0,0,0
203,000640,KOSPI,2.731,1076,1.104,473.0,동아쏘시오홀딩스,금융(은행),0.61,0.023,-23.4,-25.0,10.1,16.4,12.3,43.1,-9.5,-28.1,0,0
204,044820,KOSPI,2.726,1076,1.524,131.0,코스맥스비티아이,금융(은행),0.24,0.0365,0.0,-1.9,27.9,7.6,1.2,6.7,1.8,5.6,0,0
205,121440,KOSDAQ,2.726,1076,1.692,53.0,골프존홀딩스,도매,0.29,0.0494,0.0,20.5,1.5,24.0,-26.9,76.8,0.9,0.5,0,0
206,003550,KOSPI,2.726,1076,1.403,202.0,LG,금융(은행),16.27,0.0635,-35.1,28.9,6.2,299.2,162.5,591.0,59.1,32.2,0,0
207,192820,KOSPI,2.722,1076,1.099,484.0,코스맥스,화학,2.31,0.0371,-23.5,-25.5,17.8,160.9,-56.5,-230.3,177.6,605.4,0,0
208,033270,KOSPI,2.72,1076,1.268,330.0,유나이티드제약,제약·바이오,0.29,0.0179,-14.3,-18.5,3.5,5.4,0.8,13.6,0.1,-0.0,0,0
209,011560,KOSDAQ,2.719,1076,1.755,32.0,세보엠이씨,건설,0.23,0.0493,-19.0,83.1,-4.4,7.6,-1.9,-4.5,-1.2,2.8,0,0
210,139480,KOSPI,2.713,1076,1.107,467.0,이마트,소매,2.26,0.0377,-35.9,-10.5,0.0,87.7,27.5,-27.4,-4.3,110.9,0,0
211,007690,KOSPI,2.712,1076,1.402,204.0,국도화학,화학,0.37,0.0377,-10.1,-9.3,9.5,13.9,8.4,16.1,-1.3,5.5,0,0
212,004990,KOSPI,2.71,1076,0.965,595.0,롯데지주,금융(은행),2.4,0.0294,-37.7,-18.9,2.8,33.7,14.5,42.6,-9.1,-24.6,0,0
213,006120,KOSPI,2.71,1076,1.258,340.0,SK디스커버리,금융(은행),0.92,0.0416,-22.9,-12.5,-0.4,21.3,-0.9,5.8,0.8,-5.1,0,0
214,365550,KOSPI,2.707,1076,1.047,523.0,ESR켄달스퀘어리츠,,0.81,0.0252,-29.9,-23.9,-0.3,9.3,-1.0,7.5,-5.4,-16.4,0,0
215,145020,KOSDAQ,2.703,1076,1.075,501.0,휴젤,제약·바이오,3.5,0.04,-22.4,-29.0,16.2,128.2,88.6,52.9,60.0,64.5,0,0
216,248070,KOSPI,2.698,1076,1.167,409.0,솔루엠,반도체·전자부품,0.74,0.0348,-34.2,-8.5,2.8,17.4,12.2,-20.1,-2.7,25.2,0,0
217,045100,KOSDAQ,2.696,1076,1.749,35.0,한양이엔지,연구개발,0.59,0.0674,-12.5,54.1,7.2,35.5,-4.6,15.4,-2.0,7.4,0,0
218,326030,KOSPI,2.696,1076,0.967,593.0,SK바이오팜,지주·전문서비스,6.95,0.0363,-37.0,-20.0,7.6,103.2,-8.9,79.4,38.1,32.2,0,0
219,101160,KOSDAQ,2.694,1076,1.556,111.0,월덱스,반도체·전자부품,0.49,0.0523,-15.9,13.7,0.2,32.9,-7.4,78.9,27.9,64.3,0,0
220,373220,KOSPI,2.694,1076,1.133,445.0,LG에너지솔루션,전기장비,86.0,0.0505,-28.5,-17.6,12.7,1019.0,-311.4,-411.6,1007.8,1408.3,0,0
221,011760,KOSPI,2.694,1076,1.344,253.0,현대코퍼레이션,도매,0.36,0.0355,-15.5,-11.6,18.8,7.5,7.2,19.2,1.5,6.5,0,0
222,015760,KOSPI,2.694,1076,0.862,676.0,한국전력,전력·가스,22.92,0.0329,-47.4,-11.6,-1.4,519.6,166.6,1193.4,-80.1,-658.2,0,0
223,069620,KOSPI,2.693,1076,1.09,489.0,대웅제약,제약·바이오,1.5,0.0357,-33.2,-16.7,-1.8,44.3,63.8,70.0,8.8,-84.4,0,0
224,098460,KOSDAQ,2.693,1076,1.633,79.0,고영,기계·장비,2.16,0.0735,-27.1,65.9,10.1,355.7,82.1,152.5,133.5,101.6,0,0
225,006340,KOSPI,2.691,1076,1.862,7.0,대원전선,전기장비,1.17,0.0931,-17.1,235.5,32.3,2011.3,-266.4,-176.4,40.2,429.6,0,0
226,016380,KOSPI,2.687,1076,1.208,372.0,KG스틸,철강·1차금속,0.59,0.0346,-21.4,-18.0,13.3,16.3,13.9,16.6,7.6,17.7,0,0
227,001200,KOSPI,2.687,1076,1.419,193.0,,,0.42,0.0425,-31.6,18.9,-1.6,22.9,3.7,22.4,6.5,20.5,0,0
228,204320,KOSPI,2.685,1076,1.513,138.0,HL만도,자동차·부품,2.53,0.0662,-30.0,35.4,8.6,302.6,177.6,378.2,65.9,33.9,0,0
229,037460,KOSDAQ,2.681,1076,1.68,61.0,삼지전자,반도체·전자부품,0.62,0.065,-32.5,191.3,5.3,31.6,29.5,-42.1,17.1,82.6,0,0
230,100120,KOSDAQ,2.679,1076,1.486,157.0,뷰웍스,의료·정밀·광학,0.23,0.0364,-21.4,10.7,9.1,7.8,8.0,17.3,-0.2,-1.2,0,0
231,006800,KOSPI,2.675,1076,1.127,451.0,미래에셋증권,,20.37,0.0492,-56.6,109.7,-13.7,673.4,344.9,2649.4,-335.4,-1470.2,0,0
232,097230,KOSPI,2.674,1076,1.306,299.0,HJ중공업,건설,1.58,0.0499,-47.6,88.3,-1.4,80.4,3.4,14.9,0.8,70.8,0,0
233,001790,KOSPI,2.673,1076,1.416,195.0,대한제당,식료품,0.24,0.0333,-12.6,-7.0,-3.7,10.4,-0.2,-12.0,5.6,44.2,0,0
234,302440,KOSPI,2.672,1076,0.926,626.0,SK바이오사이언스,제약·바이오,2.92,0.0313,-38.0,-22.3,1.6,29.7,8.3,36.1,6.5,20.8,0,0
235,005090,KOSPI,2.672,1076,1.731,40.0,SGC에너지,전력·가스,0.81,0.0735,-18.1,64.7,28.5,83.6,-81.4,-136.8,137.1,190.6,0,0
236,279570,KOSPI,2.659,1076,,,케이뱅크,금융(은행),2.28,0.0352,,,2.0,108.9,7.9,338.2,-16.8,-70.2,0,0
237,018880,KOSPI,2.658,1076,1.364,233.0,한온시스템,기계·장비,3.86,0.0611,-34.3,16.9,4.4,185.3,30.0,-57.4,41.2,38.3,0,0
238,008060,KOSPI,2.656,1076,1.551,116.0,대덕,금융(은행),0.48,0.0543,-34.2,70.8,1.9,15.7,-4.2,-1.6,-0.2,5.6,0,0
239,215200,KOSDAQ,2.653,1076,1.158,420.0,메가스터디교육,교육,0.4,0.0261,-22.6,-21.2,-1.5,14.1,1.5,-0.7,8.4,34.5,0,0
240,029460,KOSPI,2.652,1076,1.636,78.0,케이씨,의료·정밀·광학,0.38,0.0567,-13.8,23.7,13.6,11.0,8.0,26.5,-1.5,-1.8,0,0
241,020560,KOSPI,2.644,1076,1.086,491.0,아시아나항공,운수·물류,1.49,0.038,-25.6,-24.2,0.7,8.5,3.2,14.5,13.4,-13.4,0,0
242,002840,KOSPI,2.644,1076,1.181,393.0,미원상사,화학,0.55,0.0349,-25.6,-16.3,2.0,6.6,-1.4,-0.2,0.7,1.4,0,0
243,058610,KOSDAQ,2.643,1076,1.679,62.0,에스피지,전기장비,2.38,0.0834,-32.1,184.0,45.1,764.2,-266.8,-928.7,288.3,449.3,0,0
244,222040,KOSDAQ,2.639,1076,1.881,4.0,코스맥스엔비티,식료품,0.22,0.0626,0.0,95.8,31.0,34.6,1.4,-8.8,4.8,34.3,0,0
245,009450,KOSPI,2.636,1076,1.079,498.0,경동나비엔,전기장비,1.05,0.036,-22.7,-27.6,13.2,21.7,9.7,-21.1,27.2,75.5,0,0
246,003540,KOSPI,2.632,1076,1.026,543.0,대신증권,,1.26,0.0345,-46.0,3.5,-4.7,20.2,-5.4,15.0,9.5,2.7,0,0
247,005950,KOSPI,2.628,1076,1.833,14.0,이수화학,화학,0.39,0.0725,-11.0,101.8,9.7,75.9,3.0,-75.2,-4.9,59.2,0,0
248,069960,KOSPI,2.625,1076,1.299,307.0,현대백화점,소매,2.24,0.0551,-49.9,133.4,-37.9,229.1,296.4,891.6,-485.9,-1171.9,0,0
249,181710,KOSPI,2.624,1076,1.488,155.0,NHN,출판·SW,1.37,0.0639,-29.9,28.9,9.4,42.1,-39.8,-89.3,99.5,171.8,0,0
250,000400,KOSPI,2.623,1076,1.482,158.0,롯데손해보험,,0.63,0.0565,-25.3,16.9,-4.9,28.0,-1.9,-1.8,0.6,21.0,0,0
251,071200,KOSDAQ,2.622,1076,1.65,71.0,인피니트헬스케어,출판·SW,0.26,0.0518,0.0,14.7,20.5,10.0,8.6,42.2,0.3,-2.4,0,0
252,263750,KOSDAQ,2.615,1076,0.885,656.0,펄어비스,출판·SW,2.27,0.0299,-49.8,-5.1,-2.4,81.4,-0.8,38.8,16.0,150.6,0,0
253,035420,KOSPI,2.614,1076,1.108,466.0,NAVER,IT서비스,33.19,0.053,-26.3,-21.7,10.6,2754.6,344.6,-256.0,818.8,3718.8,0,0
254,035610,KOSDAQ,2.61,1076,1.441,180.0,솔본,엔지니어링,0.13,0.0269,-1.4,-8.7,20.4,5.2,-1.8,2.4,-0.2,-0.2,0,0
255,008490,KOSPI,2.609,1076,1.491,151.0,서흥,화학,0.33,0.047,-8.0,-0.8,44.4,12.9,1.0,-6.5,-0.4,2.3,0,0
256,051910,KOSPI,2.603,1076,0.996,568.0,LG화학,화학,19.62,0.0454,-35.3,-19.6,5.3,535.3,139.0,638.7,-11.5,-273.5,0,0
257,034220,KOSPI,2.603,1076,1.146,431.0,LG디스플레이,반도체·전자부품,4.97,0.0517,-40.4,2.7,-9.7,403.7,65.6,-309.2,-44.3,-249.0,0,0
258,499790,KOSPI,2.602,1076,1.318,286.0,GS피앤엘,금융(은행),0.85,0.0503,-33.9,8.1,3.3,47.7,51.3,23.4,-2.4,53.4,0,0
259,049720,KOSDAQ,2.6,1076,1.358,238.0,고려신용정보,사업지원,0.13,0.0096,-15.9,-9.9,0.1,35.3,-2.7,13.2,-0.0,-12.7,0,0
260,000720,KOSPI,2.599,1076,1.361,236.0,현대건설,건설,12.32,0.0685,-41.4,50.8,3.2,544.5,54.2,281.3,89.9,609.2,0,0
261,001040,KOSPI,2.597,1076,1.107,468.0,CJ,금융(은행),4.25,0.0481,-37.2,-8.3,2.5,145.4,115.3,509.5,-41.9,-406.3,0,0
262,064960,KOSPI,2.597,1076,1.034,535.0,SNT모티브,자동차·부품,0.74,0.0326,-29.3,-25.0,5.7,17.4,-7.1,-76.6,9.1,80.9,0,0
263,257720,KOSDAQ,2.597,1076,1.015,553.0,실리콘투,도매,2.52,0.0404,-29.2,-26.7,2.1,202.8,166.2,253.5,-87.4,28.2,0,0
264,001540,KOSDAQ,2.596,1076,1.766,30.0,안국약품,제약·바이오,0.17,0.0528,0.0,41.3,17.5,13.4,6.1,6.1,-0.5,-1.2,0,0
265,068760,KOSDAQ,2.594,1076,0.879,662.0,셀트리온제약,제약·바이오,2.0,0.0297,-40.6,-22.3,9.8,36.0,6.2,-4.8,9.5,84.6,0,0
266,097955,KOSPI,2.592,1076,1.297,309.0,CJ제일제당우,,0.17,0.0147,-12.7,-16.7,3.8,7.0,6.4,27.2,-0.0,-0.4,0,0
267,000100,KOSPI,2.59,1076,0.794,725.0,유한양행,제약·바이오,6.53,0.0319,-34.4,-44.0,19.7,198.1,156.2,248.8,8.2,146.9,0,0
268,004490,KOSPI,2.59,1076,1.069,511.0,세방전지,전기장비,0.78,0.0354,-22.4,-29.2,4.3,18.2,6.0,-5.0,1.2,29.4,0,0
269,071320,KOSPI,2.59,1076,0.95,604.0,지역난방공사,전력·가스,0.83,0.0274,-35.9,-23.4,6.8,13.1,-10.3,-14.9,-10.1,-13.3,0,0
270,009160,KOSPI,2.585,1076,1.35,248.0,SIMPAC,철강·1차금속,0.32,0.0401,-26.2,1.0,-9.4,7.5,-5.1,-8.7,-0.1,0.7,0,0
271,080220,KOSDAQ,2.581,1076,1.67,64.0,제주반도체,반도체·전자부품,3.02,0.1016,-34.6,386.2,-1.6,1527.9,-688.4,-1145.7,73.9,280.5,0,0
272,094170,KOSDAQ,2.58,1076,1.458,171.0,동운아나텍,반도체·전자부품,0.69,0.0586,-39.7,72.8,5.6,33.5,-27.6,-32.6,0.5,-0.2,0,0
273,319660,KOSDAQ,2.576,1076,1.621,84.0,피에스케이,기계·장비,3.84,0.0943,-37.3,635.3,-29.9,930.1,-183.1,-1664.7,-3.7,1572.4,0,0
274,009150,KOSPI,2.574,1076,1.501,142.0,삼성전기,반도체·전자부품,95.16,0.0922,-43.9,978.0,-19.6,11555.6,-9041.4,-9846.2,2536.2,484.0,0,0
275,420770,KOSDAQ,2.572,1076,1.597,92.0,기가비스,기계·장비,1.49,0.0773,-39.0,513.4,-28.7,194.5,-124.3,337.0,123.5,7.8,0,0
276,062040,KOSPI,2.571,1076,1.32,281.0,산일전기,전기장비,5.63,0.0653,-44.9,59.9,-2.8,405.7,-264.2,262.4,94.2,-573.6,0,0
277,005290,KOSDAQ,2.569,1076,1.394,209.0,동진쎄미켐,화학,2.14,0.0643,-36.3,32.4,-10.8,174.8,-73.2,-337.0,-14.6,285.4,0,0
278,074600,KOSDAQ,2.568,1076,1.566,105.0,원익QnC,비금속광물(시멘트·유리),0.79,0.0681,-28.9,48.7,-3.9,74.4,-13.4,25.8,1.3,-69.9,0,0
279,054950,KOSDAQ,2.567,1076,1.151,426.0,제이브이엠,기계·장비,0.3,0.0259,-26.2,-17.8,13.9,5.7,-2.9,16.6,2.0,3.2,0,0
280,019210,KOSDAQ,2.564,1076,1.718,45.0,와이지-원,금속가공,0.68,0.0797,-31.0,290.2,-18.2,154.1,-60.5,-66.5,-28.8,-4.2,0,0
281,031430,KOSPI,2.563,1076,1.301,305.0,신세계인터내셔날,소매,0.41,0.0421,-31.5,2.4,-8.4,9.5,9.2,24.1,-8.0,-28.9,0,0
282,020000,KOSPI,2.559,1076,1.32,280.0,한섬,의복,0.35,0.0416,-41.4,38.8,-27.6,24.1,29.4,67.0,-56.6,-87.6,0,0
283,053610,KOSDAQ,2.554,1076,1.618,86.0,프로텍,기계·장비,0.57,0.0678,-33.8,116.4,-3.6,21.5,6.3,1.6,-5.2,17.9,0,0
284,099190,KOSDAQ,2.545,1076,1.143,435.0,아이센스,의료·정밀·광학,0.54,0.0377,-30.1,-15.3,24.0,12.4,12.8,33.8,-0.3,-9.5,0,0
285,108490,KOSDAQ,2.545,1076,1.543,121.0,로보티즈,기계·장비,3.62,0.0847,-39.0,161.5,13.3,490.2,-159.0,-638.7,319.0,497.5,0,0
286,091700,KOSDAQ,2.544,1076,1.16,416.0,파트론,반도체·전자부품,0.29,0.0275,-32.3,-11.7,-2.7,8.7,-3.3,-5.1,0.6,-0.7,0,0
287,013700,KOSPI,2.543,1076,1.663,66.0,까뮤이앤씨,건설,0.1,0.0408,0.0,16.4,23.8,7.4,3.1,7.4,0.0,-0.0,0,0
288,009290,KOSPI,2.543,1076,1.146,432.0,광동제약,제약·바이오,0.33,0.0299,-40.2,1.8,5.4,10.2,4.3,7.6,-0.1,0.1,0,0
289,000120,KOSPI,2.543,1076,0.795,724.0,CJ대한통운,운수·물류,1.8,0.0264,-46.0,-18.9,6.5,35.0,-29.8,-63.5,43.4,109.8,0,0
290,102460,KOSPI,2.541,1076,1.279,326.0,이연제약,제약·바이오,0.19,0.027,-18.9,-15.1,1.3,5.4,1.4,4.8,0.0,0.2,0,0
291,067310,KOSDAQ,2.539,1076,1.54,124.0,하나마이크론,반도체·전자부품,2.25,0.079,-40.4,212.9,-14.8,541.7,3.4,-244.7,-80.5,-94.7,0,0
292,290650,KOSDAQ,2.537,1076,1.357,239.0,엘앤씨바이오,제약·바이오,1.74,0.0632,-45.4,93.9,-11.1,168.9,123.3,221.6,46.8,-86.6,0,0
293,003240,KOSPI,2.534,1076,0.915,638.0,태광산업,화학,1.05,0.0324,-39.9,-20.7,10.9,20.5,3.5,1.3,7.8,21.0,0,0
294,277810,KOSDAQ,2.532,1076,1.328,271.0,레인보우로보틱스,기계·장비,9.49,0.0702,-44.4,61.1,7.8,862.2,-37.4,-1521.3,95.1,140.8,0,0
295,051600,KOSPI,2.531,1076,1.142,437.0,한전KPS,건설,2.07,0.0501,-31.7,-13.8,0.3,45.9,0.5,26.1,10.8,111.6,0,0
296,251270,KOSPI,2.529,1076,0.744,755.0,넷마블,출판·SW,3.3,0.0296,-40.8,-35.2,7.2,65.1,42.0,130.4,-19.1,-27.4,0,0
297,035720,KOSPI,2.528,1076,0.685,788.0,카카오,IT서비스,17.52,0.0309,-41.6,-39.8,11.9,852.9,295.2,1294.8,-36.4,499.0,0,0
298,353200,KOSPI,2.527,1076,1.496,145.0,대덕전자,반도체·전자부품,5.32,0.0843,-43.6,439.8,-11.0,1266.4,-1066.0,-3419.5,747.5,3013.0,0,0
299,036530,KOSPI,2.525,1076,0.88,661.0,SNT홀딩스,금융(은행),0.79,0.0259,-45.4,-13.7,-2.6,9.4,-1.6,-6.7,-2.2,-4.7,0,0
300,317400,KOSPI,2.525,1076,1.725,41.0,자이에스앤디,부동산,0.34,0.0691,0.0,28.9,74.7,124.9,-33.0,50.9,72.7,119.4,0,0
301,078520,KOSPI,2.524,1076,1.377,225.0,에이블씨엔씨,화학,0.33,0.045,-20.4,-4.2,23.6,14.3,4.2,-12.2,13.0,45.0,0,0
302,039200,KOSDAQ,2.524,1076,1.123,455.0,오스코텍,제약·바이오,1.45,0.0466,-38.7,-4.0,22.4,56.2,-23.1,8.9,57.3,55.6,0,0
303,319400,KOSDAQ,2.524,1076,1.419,194.0,현대무벡스,기계·장비,2.73,0.0719,-47.1,378.4,5.4,498.5,-14.8,-39.9,27.5,81.8,0,0
304,211050,KOSDAQ,2.523,1076,1.047,524.0,인카금융서비스,,0.53,0.0334,-36.8,-14.2,0.7,11.7,11.8,15.3,-13.3,-7.0,0,0
305,104830,KOSDAQ,2.523,1076,1.464,167.0,원익머트리얼즈,화학,0.45,0.0567,-35.2,48.2,-5.6,27.5,-3.2,-11.6,-20.2,-56.4,0,0
306,151860,KOSDAQ,2.52,1076,1.23,358.0,KG에코솔루션,자동차·부품,0.28,0.0343,-20.4,-17.5,8.5,5.5,2.3,5.0,0.2,-0.2,0,0
307,003670,KOSPI,2.517,1076,1.026,542.0,포스코퓨처엠,전기장비,14.72,0.0521,-44.1,-2.5,9.0,443.0,-328.2,-360.2,-151.9,-73.8,0,0
308,457190,KOSPI,2.516,1076,1.147,429.0,이수스페셜티케미컬,화학,2.02,0.0516,-48.6,32.3,6.0,67.5,-42.5,-22.8,15.0,43.6,0,0
309,039830,KOSDAQ,2.508,1076,1.565,107.0,오로라,전문서비스,0.25,0.0526,-9.7,9.1,17.5,22.2,16.4,30.9,-20.6,-24.1,0,0
