exc_mean,exc_median,exc_idx,n_filled,regime,idx_ret,entry,exit,model,run_id,t
5.219196194808627,6.525274765609038,24.083238225008007,18,하락,-11.340546349720649,20260626,20260825,lv_b,20260625,729
1.3278615090262142,1.7512617123059901,17.50813024842288,19,하락,-14.538351612813067,20260629,20260826,lv_b,20260627,730
5.477697424306706,6.198512153733799,21.796434582068848,19,하락,-13.881525882343364,20260630,20260827,lv_b,20260629,731
9.255912830810498,9.591126789823534,24.56341797827276,20,하락,-14.012594754614865,20260701,20260828,lv_b,20260630,732
5.011362996888602,6.998613149645382,16.135700748171374,19,하락,-7.2844202559938065,20260702,20260831,lv_b,20260701,733
0.6075589796471577,1.9289802163522605,11.879943275595206,20,하락,-9.499731861108407,20260707,20260903,lv_b,20260706,736
-0.05008058530169126,2.327602379373167,7.658704490956713,20,횡보,-2.0455952283129406,20260708,20260904,lv_b,20260707,737
1.3013769446600905,3.8263790405018616,8.417885972650257,19,횡보,-0.2580232319294218,20260709,20260907,lv_b,20260708,738
-4.357823356624186,-2.681972863428311,3.08733280275459,18,하락,-5.0128212968635735,20260710,20260908,lv_b,20260709,739
-0.42621047178777355,2.127520861193707,1.8874161448143696,19,상승,3.737183106230124,20260713,20260909,lv_b,20260710,740
-1.50532562036929,1.3245089158779215,1.3682650864707007,20,상승,4.6677018092737494,20260714,20260910,lv_b,20260713,741
-2.8971638103211346,-0.6613952542806416,4.610350554288588,18,하락,-3.100440186674142,20260715,20260911,lv_b,20260714,742
2.5252652781113807,4.6701832324855665,7.49431145626264,18,횡보,-0.054661967367863884,20260716,20260914,lv_b,20260715,743
2.029538081563671,5.06860285149623,6.134550756615774,16,상승,5.038313787831594,20260720,20260915,lv_b,20260716,744
-1.9456749556099264,0.8796360821022903,2.1392249774913443,18,상승,3.9353437927059085,20260721,20260916,lv_b,20260720,745
