exc_mean,exc_median,exc_idx,n_filled,regime,idx_ret,entry,exit,model,run_id,t
7.32160797845723,6.242526493993808,16.24540354118394,20,하락,-14.687415834783696,20260608,20260804,v30,20260606,715
4.918639739694522,3.9384235312251676,15.989960820021142,20,하락,-17.156524390878513,20260610,20260806,v30,20260609,717
6.644190934504634,5.615722146778864,19.25186047101002,20,하락,-19.629895677152202,20260611,20260807,v30,20260610,718
4.875708080522173,3.7449695789639508,17.48326718218995,20,하락,-19.708856991895196,20260612,20260810,v30,20260611,719
4.639242894761694,3.890564463531696,18.688874641334326,20,하락,-21.393760514661906,20260615,20260811,v30,20260612,720
1.3390410881170687,0.6928439190532897,14.019447149497035,20,하락,-20.146688882455194,20260616,20260812,v30,20260615,721
9.649456905901959,9.271531440680825,21.563691256563278,20,하락,-19.83373139189603,20260617,20260813,v30,20260616,722
9.130235706213197,8.471422730089454,22.60846460510877,20,하락,-18.31438125475575,20260618,20260814,v30,20260617,723
18.951795872234264,18.28785747455819,33.993060868061804,20,하락,-18.903586426075215,20260619,20260818,v30,20260618,724
12.249172638375807,11.73766705931744,30.885019524060425,20,하락,-21.932726804848574,20260622,20260819,v30,20260619,725
7.784440155913465,8.771847156944622,21.31750147986234,20,하락,-11.075066087623608,20260623,20260820,v30,20260622,726
10.071551614747623,10.246351605625074,25.00065737527182,20,하락,-15.100399361153189,20260624,20260821,v30,20260623,727
8.186361276125986,8.796803718736559,26.91613262002009,20,하락,-16.698874355828984,20260625,20260824,v30,20260624,728
11.40643595723613,12.77757937233592,29.27455836195337,20,하락,-11.340546349720649,20260626,20260825,v30,20260625,729
6.011817661631218,6.429093997279674,21.907042925528987,20,하락,-14.538351612813067,20260629,20260826,v30,20260627,730
5.470678876762861,6.205196431420939,21.469586989905526,20,하락,-13.881525882343364,20260630,20260827,v30,20260629,731
4.371677607484288,4.706891566497321,19.67918275494655,20,하락,-14.012594754614865,20260701,20260828,v30,20260630,732
12.226235048084583,14.225956973522482,23.148462471036446,20,하락,-7.2844202559938065,20260702,20260831,v30,20260701,733
2.3528906460191874,3.6743118827242895,13.625274941967234,20,하락,-9.499731861108407,20260707,20260903,v30,20260706,736
2.006980339515274,4.3846633041901315,9.715765415773678,20,횡보,-2.0455952283129406,20260708,20260904,v30,20260707,737
-0.4057199659255922,2.1458584201700335,6.520738392979965,20,횡보,-0.2580232319294218,20260709,20260907,v30,20260708,738
4.3271229336704256,6.0334724190027895,11.530947646339275,20,하락,-5.0128212968635735,20260710,20260908,v30,20260709,739
8.079727953785632,10.633459286767112,10.393354570387777,19,상승,3.737183106230124,20260713,20260909,v30,20260710,740
2.391326697821325,5.221161234068537,5.264917404661316,20,상승,4.6677018092737494,20260714,20260910,v30,20260713,741
0.10230722532061938,2.3561955343977994,7.482169017598956,19,하락,-3.100440186674142,20260715,20260911,v30,20260714,742
0.7406851959290638,2.9248461021392846,5.628410975880615,19,횡보,-0.054661967367863884,20260716,20260914,v30,20260715,743
0.6224151316933642,3.833196702447134,4.185259058343194,20,상승,5.038313787831594,20260720,20260915,v30,20260716,744
2.898256080889161,5.817925592543716,6.6191979467982875,20,상승,3.9353437927059085,20260721,20260916,v30,20260720,745
