model,tranche_run,n_stocks,exc40_close,done40,exc20_close,done20,exc40_open
v30,20260602,20,5.061859013826583,True,3.395275702299395,True,4.941764899108022
v30,20260610,20,5.620442715959598,True,2.55419335198022,True,7.618337299244196
v30,20260617,20,8.454451260419447,True,7.66341186513407,True,5.782851266007733
v30,20260624,20,8.77765152261807,True,3.118346394342295,True,8.386159819937227
v30,20260701,20,14.177314787412616,True,6.202033941757103,True,11.977236090074477
v30,20260708,20,,False,1.6632041188697546,True,
v30,20260715,20,,False,2.7980338691464777,True,
v30,20260723,20,,False,0.9185557177877227,True,
v30,20260730,20,,False,-0.8659602785881659,True,
v30,20260806,20,,False,,False,
v30,20260814,20,,False,,False,
v30,20260824,20,,False,,False,
v30,20260831,20,,False,,False,
lv_b,20260605,20,9.937729395521838,True,7.886901740848915,True,7.927738583908627
lv_b,20260612,20,10.137912877562673,True,4.785544784541726,True,9.852052536023958
lv_b,20260619,20,8.780691064352654,True,5.104617306577086,True,7.489730637967368
lv_b,20260627,20,4.110083686586484,True,3.924519260160391,True,10.653453328767439
lv_b,20260706,20,1.911484710190281,True,5.235778887390403,True,1.2755318980117103
lv_b,20260713,20,,False,4.482001426138986,True,
lv_b,20260721,20,,False,0.8888341918904802,True,
lv_b,20260728,20,,False,-3.11316928869426,True,
lv_b,20260804,20,,False,-1.0145466492842725,True,
lv_b,20260811,19,,False,,False,
lv_b,20260819,17,,False,,False,
lv_b,20260826,19,,False,,False,
lv_b,20260902,20,,False,,False,
