ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
079430,현대리바트,,6420,33.8,23.4,20.8,-31.0,7.4,-4.6,-18.2,-15.1,-8.7,-10.5,-7.5,0.32,9300,5980,0,False,False,False,104351,336996,7.2,6.8,25.7,0.31,0,False,False,False,False,-,59.1,-3.7,-0.0,-10.9,-0.1,True,0,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,59.1,55.1,079430,00300548,0,0,0,0,,,,,,,,,,,안전
008930,한미사이언스,,32600,36.1,27.9,30.1,-41.3,5.5,-1.7,-14.2,-25.2,-4.7,-11.1,-16.2,0.95,55500,30900,0,False,False,False,173906,146146,45.2,56.6,50.0,1.19,6,False,True,True,False,5일선회복/+3%반등,53.0,-30.8,-22.5,-72.5,-83.6,True,0,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,59.0,55.0,008930,00161426,1,0,0,0,[20260310] 횡령ㆍ배임사실확인(자회사의 주요경영사항)               (20260310802030),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310802030,,,,20260310802030,,위험
005880,대한해운,,2055,31.0,2.6,-12.2,-39.3,37.0,-18.1,-22.3,-5.3,-16.0,-17.8,1.0,0.6,3385,1500,0,False,False,False,5889406,9155938,108.3,131.7,227.2,0.64,-30,True,False,False,False,⚠️떨어지는칼날,80.4,41.0,-5.0,206.9,11.7,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.400000000000006,54.400000000000006,005880,00113535,0,1,0,0,,[20250604] [첨부정정]주요사항보고서(유상증자결정) (20250604000273),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250604000273,,,,20250604000273,주의
002070,비비안,,7750,25.9,5.7,36.1,-44.6,inf,-10.9,2083.1,1322.0,-14.4,101.9,434.5,0.72,14000,0,0,False,False,False,17514,22352,1.3,1.4,2.3,0.78,0,False,False,False,False,-,58.4,-0.0,0.0,-2.8,-0.0,True,0,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.4,54.4,002070,00107677,0,23,1,0,,[20260528] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260528800612) || [20260520] 주요사항보고서(전환사채권발행결정) (20260520000247) || [20260320] [기재정정]주요사항보고서(전환사채권발행결정) (20260320000784),[20260313] 매매거래정지및정지해제(중요내용공시)               (20260313801831),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260528800612 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260520000247 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320000784,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313801831,,,20260528800612 || 20260520000247 || 20260320000784,주의
248070,솔루엠,,18740,35.0,13.1,9.0,-23.0,29.8,-12.8,-6.1,1.4,-10.1,-2.3,6.6,0.5,24350,14440,0,False,False,False,378956,613369,59.6,75.3,130.5,0.62,0,False,False,False,False,-,55.4,28.2,-30.7,69.2,65.6,True,3,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.4,54.4,248070,01159233,0,4,0,0,,[20250704] 유상증자또는주식관련사채등의발행결과(자율공시)               (20250704800710) || [20250704] 유상증자또는주식관련사채등의발행결과(자율공시)               (20250704800701) || [20250626] 주요사항보고서(유상증자결정) (20250626000631),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250704800710 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250704800701 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250626000631,,,,20250704800710 || 20250704800701 || 20250626000631,주의
023000,삼원강재,,2240,29.5,23.8,21.2,-14.7,2.3,-2.0,-8.6,-8.2,-3.2,-3.8,-6.7,0.55,2625,2190,5,True,False,False,54110,39301,0.5,1.2,0.9,1.38,0,False,False,False,False,-,53.2,-0.1,-0.0,-1.2,-0.4,True,0,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.2,54.2,023000,00191588,0,0,0,0,,,,,,,,,,,안전
443060,HD현대마린솔루션,,227000,41.6,40.7,34.2,-20.9,53.5,-11.5,-15.5,23.2,-4.6,5.3,11.3,0.7,287000,147900,5,True,False,False,575261,358854,580.8,1305.6,848.0,1.6,3,False,False,True,False,+3%반등,35.0,40.8,97.8,197.1,-291.0,True,15,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.0,54.0,443060,01194689,0,0,0,0,,,,,,,,,,,안전
241560,두산밥캣,,65200,34.4,25.5,20.6,-18.2,44.4,-4.1,-12.5,0.3,-6.1,-3.8,7.2,1.04,79700,45150,0,False,False,False,395410,313425,208.0,261.2,217.6,1.26,0,False,False,False,False,-,50.0,184.4,-238.7,430.0,-296.8,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,58.0,54.0,241560,01032486,0,0,0,0,,,,,,,,,,,안전
002600,조흥,,139000,19.0,19.5,9.2,-15.5,1.2,-1.3,-5.4,-13.4,-3.2,-3.8,-8.8,0.52,164400,137300,0,False,False,False,150,148,0.1,0.2,0.2,1.01,0,False,False,False,False,-,57.8,-0.0,-0.0,0.0,-0.1,True,0,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,57.8,53.8,002600,00149345,0,0,0,0,,,,,,,,,,,안전
005680,삼영전자,,13200,45.9,15.4,24.6,-26.6,31.1,-21.0,-18.2,7.2,-7.8,-11.4,10.8,0.69,17990,10070,0,False,False,False,211136,184651,17.3,30.9,28.4,1.14,3,False,False,True,False,+3%반등,39.7,5.6,1.0,-1.6,1.2,True,15,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,57.7,53.7,005680,00127200,0,0,0,0,,,,,,,,,,,안전
