name,offset,n_cohorts,start,end,cagr,mdd,total,index_cagr,index_mdd,ew_cagr,ew_mdd
base_quiet,0,10,20250106,20260828,0.14200759856496936,-0.21530964574615086,0.23463358046045513,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
base_quiet,10,10,20250120,20260911,0.11634430319677302,-0.21706737835573342,0.19088574293011673,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
base_quiet,20,9,20250207,20260730,0.06184753629432316,-0.22138870273182665,0.089511108163562,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
base_quiet,30,9,20250221,20260813,0.03315718418057334,-0.2234374246086368,0.04770185833120566,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
base_quiet_turn,0,10,20250106,20260828,0.1240882230486493,-0.22356133937287137,0.20402513158272106,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
base_quiet_turn,10,10,20250120,20260911,0.11362342233788447,-0.2535187874997077,0.18628180072627276,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
base_quiet_turn,20,9,20250207,20260730,0.10006680750311792,-0.24786010791256952,0.1459616575263032,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
base_quiet_turn,30,9,20250221,20260813,0.12548888927328194,-0.21917543099473913,0.18398060620263812,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
pullback_quiet,0,10,20250106,20260828,0.3126361848474182,-0.37719149582090916,0.5400355613000853,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
pullback_quiet,10,10,20250120,20260911,-0.05891820920758406,-0.4351633049013812,-0.09188952992045607,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
pullback_quiet,20,9,20250207,20260730,-0.15067517672805097,-0.42528196029772747,-0.20808807646183125,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
pullback_quiet,30,9,20250221,20260813,0.005228699459693953,-0.3069886226496147,0.0074779315114335,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
quiet_gate_steady,0,10,20250106,20260828,0.23268887123687443,-0.2416504279740933,0.39383660357816885,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
quiet_gate_steady,10,10,20250120,20260911,0.16337323417264793,-0.23411974798018786,0.271498875771194,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
quiet_gate_steady,20,9,20250207,20260730,0.18981558920302133,-0.2651715242733982,0.2818230542902658,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
quiet_gate_steady,30,9,20250221,20260813,0.14945055279929687,-0.26697320982859896,0.22015416006043464,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
quiet_strength_clv,0,10,20250106,20260828,-0.006645407919838253,-0.3133255232679747,-0.010527663480901506,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
quiet_strength_clv,10,10,20250120,20260911,0.1957122886522462,-0.23433637967248944,0.32805778632559157,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
quiet_strength_clv,20,9,20250207,20260730,0.0786517223169374,-0.28086093725588435,0.1142257780216267,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
quiet_strength_clv,30,9,20250221,20260813,0.07571716158782893,-0.2901029257437434,0.10989781410908783,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
recovery_quiet,0,10,20250106,20260828,0.2761518559898759,-0.22730216485891652,0.4726480900293559,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
recovery_quiet,10,10,20250120,20260911,0.10935173887534932,-0.3302709466559821,0.17906710031089146,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
recovery_quiet,20,9,20250207,20260730,-0.030376375051938798,-0.32127826763874534,-0.0431107007639846,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
recovery_quiet,30,9,20250221,20260813,0.050463171213323665,-0.30147241655010837,0.07286244683590404,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
relative_quiet,0,10,20250106,20260828,0.05450463447478149,-0.3301258589059167,0.0878898108052466,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
relative_quiet,10,10,20250120,20260911,0.24608675908385735,-0.24607817212653327,0.4179598651252745,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
relative_quiet,20,9,20250207,20260730,0.09972177339038724,-0.2776747830173686,0.14544822210226882,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
relative_quiet,30,9,20250221,20260813,-0.008563519295899158,-0.3226845565844966,-0.012211113110913163,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
quiet_strength_with_size,0,10,20250106,20260828,0.2856453109891135,-0.2345817104505279,0.49007526880228847,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
quiet_strength_with_size,10,10,20250120,20260911,0.37852997992758053,-0.20472485954247543,0.6645451516519298,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
quiet_strength_with_size,20,9,20250207,20260730,0.16416433084292237,-0.2510883289596558,0.24252783542277045,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
quiet_strength_with_size,30,9,20250221,20260813,0.11373544829444104,-0.23899811463944953,0.16635697166868102,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
squeeze_60,0,10,20250106,20260828,0.009043790471809698,-0.32492700723220547,0.014393299090816658,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
squeeze_60,10,10,20250120,20260911,0.08453675041397335,-0.3209962816345533,0.13747874594781684,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
squeeze_60,20,9,20250207,20260730,0.1466373089232187,-0.24745272920206773,0.21589027176551845,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
squeeze_60,30,9,20250221,20260813,-0.016267085021293037,-0.3609159909135755,-0.023157434747914984,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
volume_upvolume,0,10,20250106,20260828,-0.0014812709961142811,-0.33310268971176316,-0.002350200867968888,0.5220222827017313,-0.37538234331786,0.07601084774881484,-0.39517165839887103
volume_upvolume,10,10,20250120,20260911,0.25432672573265425,-0.28477886951890086,0.43287208506925956,0.5156242155704567,-0.375387095496318,0.09392633026596431,-0.38652047554693314
volume_upvolume,20,9,20250207,20260730,0.0187251785944047,-0.3027786987882298,0.026857211509887735,0.35470980985366096,-0.3754948020370118,0.013028637402028087,-0.3750259311307351
volume_upvolume,30,9,20250221,20260813,-0.07002884882307747,-0.33463635555254045,-0.09851937961885615,0.5319881413889633,-0.3754441782072493,0.046262054786787354,-0.39235922295590053
